,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0.0,2001-12-21,2001-09,0.28,19651613000,-232000000,42000000,892000000,185000000,0,1119000000,42000000,42000000,0,0,0,0,0,0,0,0,0,-19000000,321000000,340000000,0,1161000000,-4268000000,5429000000,-358000000,-232000000,-232000000,0,211000000,100000000,-36000000,22000000,-37000000,-55000000,-298000000,0,487000000,2000000,FY2001,2001
1,0.0,2002-12-19,2002-09,0.26,20101703000,-174000000,105000000,-252000000,89000000,0,-58000000,105000000,105000000,0,0,0,0,0,0,0,0,0,-52000000,-27000000,25000000,0,-19000000,-4144000000,4125000000,-32000000,-174000000,-174000000,0,-112000000,114000000,-34000000,-34000000,65000000,51000000,21000000,0,-99000000,5000000,FY2002,2002
2,0.0,2003-12-19,2003-09,0.37,20536689000,-164000000,27000000,828000000,289000000,0,1144000000,53000000,27000000,-26000000,0,0,0,0,0,0,0,0,0,0,0,0,959000000,-2648000000,3607000000,33000000,-164000000,-164000000,0,119000000,113000000,-4000000,-11000000,68000000,-23000000,331000000,0,-201000000,16000000,FY2003,2003
3,0.0,2004-12-03,2004-09,0.69,21920843000,-176000000,127000000,-1488000000,934000000,0,-427000000,427000000,427000000,0,0,-300000000,-300000000,0,0,0,0,0,0,0,0,0,-1323000000,-3270000000,1947000000,11000000,-176000000,-176000000,0,368000000,150000000,19000000,-45000000,266000000,85000000,421000000,0,-8000000,46000000,FY2004,2004
4,0.0,2005-12-01,2005-09,1.91,23380542000,-260000000,543000000,-2556000000,2535000000,0,522000000,543000000,543000000,0,0,0,0,0,0,0,0,0,0,0,0,0,-2275000000,-11470000000,9195000000,-21000000,-260000000,-260000000,0,492000000,179000000,50000000,-64000000,1328000000,437000000,677000000,0,-121000000,49000000,FY2005,2005
5,0.0,2006-12-29,2006-09,2.75,23947352000,-657000000,324000000,357000000,2220000000,0,2901000000,318000000,-37000000,-355000000,0,0,0,0,361000000,0,0,0,0,40000000,40000000,-28000000,1032000000,-7280000000,8312000000,-30000000,-657000000,-657000000,0,-225000000,225000000,53000000,-105000000,1989000000,15000000,237000000,0,-357000000,163000000,FY2006,2006
6,0.0,2007-11-15,2007-09,5.48,24425211000,-735000000,739000000,-3249000000,5470000000,0,2960000000,365000000,362000000,-3000000,0,0,0,0,377000000,0,0,0,0,0,0,-251000000,-2312000000,-11736000000,9424000000,49000000,-735000000,-735000000,0,1325000000,317000000,78000000,-76000000,3496000000,12000000,1786000000,0,-385000000,242000000,FY2007,2007
7,0.0,2008-11-05,2008-09,4.06,24890183000,-1091000000,1116000000,-8189000000,9596000000,0,2523000000,483000000,483000000,0,0,0,0,0,633000000,0,0,0,-220000000,-220000000,0,-108000000,-6760000000,-23003000000,16243000000,-10000000,-1091000000,-1091000000,0,2045000000,496000000,398000000,-163000000,6119000000,22000000,2883000000,0,-675000000,516000000,FY2008,2008
8,0.0,2009-10-27,2009-09,6.62,25194554000,-1144000000,663000000,-17434000000,10159000000,0,-6612000000,475000000,475000000,0,0,0,0,0,188000000,0,0,0,0,0,0,-69000000,-16147000000,-46825000000,30678000000,-74000000,-1144000000,-1144000000,0,-586000000,734000000,1040000000,54000000,8235000000,26000000,-287000000,0,-353000000,710000000,FY2009,2009
9,0.0,2010-10-27,2010-09,10.13,25647161000,-2005000000,1257000000,-13854000000,18595000000,0,5998000000,912000000,912000000,0,0,0,0,0,345000000,0,0,0,-638000000,-638000000,0,-116000000,-11075000000,-57793000000,46718000000,-20000000,-2005000000,-2005000000,0,1236000000,1027000000,1440000000,-596000000,14013000000,0,6692000000,0,-4860000000,879000000,FY2010,2010
10,0.0,2011-10-26,2011-09,13.62,26019756000,-4260000000,1444000000,-40419000000,37529000000,0,-1446000000,831000000,831000000,0,0,0,0,0,613000000,0,0,0,-244000000,-244000000,0,-3192000000,-32464000000,-102317000000,69853000000,-259000000,-4260000000,-4260000000,0,5757000000,1814000000,2868000000,275000000,25922000000,0,7273000000,0,-1791000000,1168000000,FY2011,2011
11,0.095,2012-10-31,2012-09,23.83,26297824000,-8295000000,-1698000000,-48227000000,50856000000,0,931000000,665000000,665000000,0,0,0,0,-2488000000,125000000,0,0,0,-350000000,-350000000,0,-1107000000,-38427000000,-151232000000,112805000000,-48000000,-8295000000,-8295000000,0,-299000000,3277000000,4405000000,-15000000,41733000000,0,6681000000,0,-6965000000,1740000000,FY2012,2012
12,0.407,2013-10-30,2013-09,17.03,25177964000,-8165000000,-16379000000,-33774000000,53666000000,0,3513000000,530000000,-22330000000,-22860000000,16896000000,16896000000,0,-10564000000,-381000000,0,0,0,-496000000,-496000000,0,-911000000,-24042000000,-148489000000,124447000000,-160000000,-8165000000,-8165000000,0,6478000000,6757000000,1141000000,-973000000,37037000000,0,9400000000,0,-1949000000,2253000000,FY2013,2013
