,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0.0,2001-12-21,2001-09,0.28,19651613000,1.5359,2.1866,3920000000,0.2025,-0.7709,0.9395,0.0369,-0.7868,3.388,0.0526,0.1175,0.0808,0.2569,0.0,0.0,-244000000,-1.3465,-0.0454,-0.0126,1483451640,0.3784,-59.338,-31.5628,-28.5279,0.2766,0.3859,0.0,-1.0256,0.651,-47000000,0.0,-1.0637,-0.0087,0.0511,-0.0024,0.2302,0.2566,-0.4298,0.0,5502451640,-1993000000,-1.0318,-0.0046,-258000000,-1.5548,0.0489,-0.0177,-0.0641,0.0,0.0,0.346,-1.0476,-0.0026,-0.0096,0.0548,1.4036,-220.098,-117.0734,-105.8163,1.026,1.4314,-0.0161,-0.3281,0.277,-0.0038,0.0658,-0.0734,-0.0062,0.1505,-0.0057,0.4841292651871,-0.0097,0.1169,-0.074,-0.0408,853707000,0.0454,0.1986,3844000000,0.0559,-0.1149,0.0829,-0.0455,FY2001,2001
1,0.0,2002-12-19,2002-09,0.26,20101703000,1.5379,2.1866,4095000000,0.2021,0.25,-0.0251,-0.2083,-0.5189,3.2496,0.0501,0.1175,0.0771,0.2569,0.0,0.0,161000000,1.6598,0.028,0.0079,1205442780,0.2943,18.5452,-14.1816,13.8556,0.2099,0.3031,-0.2262,4.0,0.6502,-85000000,0.0,-0.8085,-0.0148,0.0301,-0.0041,0.2791,0.2566,0.2979,0.2528,5226442780,-1936000000,3.6,0.0113,35250000,1.1366,0.0434,0.0023,0.0081,0.0,-3.554,0.101,2.673,0.0042,0.0151,0.0359,1.2762,80.4068,-61.4875,60.074,0.9102,1.3144,-0.0208,0.0706,0.2834,0.0105,0.0388,0.0102,0.0162,0.0909,0.015,0.4841292651871,0.0318,0.0697,0.0105,0.0467,450090000,0.0229,0.1962,3976000000,0.0407,0.046,0.0647,0.0446,FY2002,2002
2,0.0,2003-12-19,2003-09,0.37,20536689000,1.6137,1.9052,4223000000,0.2074,0.0574,0.5079,0.0,2.2471,2.4976,0.0446,0.0853,0.0719,0.1735,0.0,0.0,138000000,-0.1428,0.0222,0.0067,3032574930,0.7181,43.9503,24.2605,32.9627,0.4885,0.7371,-0.0812,0.0,0.6196,125000000,0.0,2.4705,0.0201,0.0301,0.0061,0.2751,0.2566,0.0655,0.2608,7598574930,-3092000000,0.0615,0.0111,18750000,-0.468,0.0255,0.0012,0.004,0.0,-13.5555,0.0772,0.0574,0.0045,0.0148,0.0347,1.7993,110.1242,60.7885,82.5932,1.2241,1.847,-0.0247,0.0809,0.3049,0.0105,0.0348,0.0053,0.0165,0.0785,0.0154,0.4841292651871,0.0419,0.0608,0.0054,0.0046,434986000,0.0216,0.2021,4114000000,0.0279,0.082,0.0761,0.0312,FY2003,2003
3,0.0,2004-12-03,2004-09,0.69,21920843000,1.5858,1.6595,5076000000,0.2339,-0.0731,-0.1257,0.0239,2.2318,2.6612,0.0,0.0553,0.0,0.0887,0.0,0.0,486000000,2.5217,0.0587,0.0224,9661381670,1.9033,36.3209,12.7458,26.1118,1.1669,1.9404,-0.0629,3.0,0.6305,758000000,0.0276,5.064,0.0915,0.0301,0.0349,0.2726,0.2648,0.3214,0.281,15125381670,-2969000000,2.855,0.0321,252000000,12.44,0.0243,0.0154,0.0405,0.0,-9.0275,0.0568,3.0217,0.017,0.0446,0.0299,2.9797,56.8623,19.9543,40.8794,1.8269,3.0378,-0.0103,0.3338,0.3816,0.0357,0.0231,0.0661,0.0572,0.0369,0.0553,0.4841292651871,0.1642,0.0354,0.0675,0.0658,1384154000,0.0673,0.2295,4979000000,0.0426,0.1812,0.0785,0.2019,FY2004,2004
4,0.0,2005-12-01,2005-09,1.91,23380542000,1.5503,1.6351,7428000000,0.3095,-0.4772,0.1758,0.0,1.7141,2.9538,0.0,0.0514,0.0,0.079,0.0,0.0,1822000000,2.7489,0.1307,0.0759,36395835220,4.8998,27.4065,15.9981,20.1304,2.6125,4.9639,0.059,3.5833,0.645,2275000000,0.0,2.0013,0.1633,0.0655,0.0948,0.2901,0.2719,0.7908,0.2654,44656835220,-3491000000,3.9924,0.0953,1232250000,3.8898,0.0243,0.0684,0.1179,0.0,5.6985,0.1555,3.8864,0.0753,0.1297,0.0299,6.0119,33.6271,19.6293,24.6995,3.2055,6.0906,0.0233,0.6826,0.5806,0.1357,0.0231,0.2447,0.2124,0.0369,0.2124,0.4841292651871,0.4394,0.0354,0.2482,0.1059,1459699000,0.0665,0.3055,7332000000,0.0633,0.4305,0.0985,0.4633,FY2005,2005
5,0.0,2006-12-29,2006-09,2.75,23947352000,1.7232,1.6351,9984000000,0.4063,-1.5269,0.8309,0.1845,-0.1242,2.2519,0.0,0.0473,0.0,0.0751,0.0,0.0,2678000000,0.4698,0.1386,0.1089,55745218000,5.5834,28.0267,35.6655,19.7818,2.8861,5.6842,0.0,0.4727,0.5802,1563000000,0.1495,-0.3129,0.0809,0.0862,0.0636,0.2898,0.2738,0.3849,0.2941,65855218000,-6392000000,0.4977,0.1029,1839750000,0.493,0.0422,0.0998,0.1269,0.0,0.0,0.5679,0.5586,0.1146,0.1458,0.05,6.596,33.1097,42.1338,23.3694,3.4095,6.7151,0.0698,0.3864,0.786,0.1385,0.0541,0.261,0.2284,0.1348,0.2284,0.4841292651871,0.5283,0.0924,0.2649,0.024,566810000,0.0242,0.3991,9807000000,0.1236,0.494,0.171,0.3441,FY2006,2006
6,0.0,2007-11-15,2007-09,5.48,24425211000,1.7442,1.6351,14532000000,0.5836,-0.1187,0.463,0.429,1.4639,2.3659,0.0,0.0443,0.0,0.0725,0.0,0.0,4724000000,0.764,0.1922,0.1897,118464156280,8.1519,33.8953,25.0188,23.6644,4.8199,8.3454,0.0,0.7283,0.5733,4735000000,0.4141,2.0294,0.1926,0.0919,0.1901,0.3316,0.2758,0.4562,0.3018,133850156280,-9352000000,0.7571,0.1422,3305250000,0.7965,0.0534,0.1769,0.1793,0.0,0.0,0.4301,0.7764,0.201,0.2036,0.0827,9.2107,38.2976,28.2682,26.7379,5.4459,9.4293,0.1325,0.2724,0.987,0.1642,0.0998,0.3285,0.2851,0.2149,0.2851,0.4841292651871,0.7968,0.1649,0.3349,0.0134,477859000,0.0199,0.57,14195000000,0.1959,0.4732,0.2832,0.4555,FY2007,2007
7,0.0,2008-11-05,2008-09,4.06,24890183000,1.6222,1.618,22297000000,0.8827,-0.4843,0.2697,0.2861,0.7542,2.6411,0.0,0.022,0.0,0.0359,0.0,0.0,8823000000,0.8676,0.2353,0.3492,78943142980,3.5405,12.9013,9.2819,8.8234,2.1056,3.6204,0.2897,0.7285,0.6164,8505000000,0.2638,0.7961,0.2268,0.0919,0.3366,0.352,0.2778,0.6188,0.316,101054142980,-11875000000,0.7507,0.1632,6245250000,0.8894,0.0702,0.3296,0.2221,0.0,0.5699,0.34,0.7872,0.3541,0.2386,0.1199,4.5321,16.5148,11.8817,11.2947,2.6954,4.6344,0.2022,0.5253,1.4842,0.1989,0.1292,0.4074,0.3322,0.2152,0.3322,0.4841292651871,0.7843,0.2007,0.4158,0.0144,464972000,0.019,0.8632,21805000000,0.2376,0.427,0.298,0.5343,FY2008,2008
8,0.0,2009-10-27,2009-09,6.62,25194554000,1.5012,1.5998,31640000000,1.2458,-0.0485,-0.5568,0.2858,0.0586,2.7424,0.0,0.0,0.0,0.0,0.0,0.0,12474000000,0.4138,0.2907,0.4911,143323947480,4.5298,17.4042,15.8983,11.8783,3.3404,4.5956,0.2604,0.3388,0.666,9015000000,0.2782,0.0599,0.2101,0.0919,0.3549,0.4013,0.2844,0.3049,0.3175,166787947480,-5263000000,0.3458,0.1919,8805000000,0.4098,0.0978,0.4622,0.2736,0.0,0.7775,0.2032,0.3486,0.4751,0.2812,0.1332,5.2714,20.2535,18.5011,13.8229,3.8873,5.3479,0.2147,0.1444,1.6894,0.1968,0.1335,0.3861,0.3053,0.2152,0.3053,0.4841292651871,0.4475,0.2068,0.3922,0.0053,304371000,0.0122,1.228,31187000000,0.2485,0.3132,0.2613,0.419,FY2009,2009
9,0.0,2010-10-27,2010-09,10.13,25647161000,1.5731,1.5795,47791000000,1.8457,-0.7526,1.1396,0.3585,0.8303,2.0112,0.0,0.0,0.0,0.0,0.0,0.0,19412000000,0.5561,0.2976,0.7497,234185740930,4.9002,16.712,14.116,12.6313,3.5904,5.0138,0.3008,0.6697,0.6356,16590000000,0.3653,0.8402,0.2543,0.1274,0.6407,0.3937,0.2899,0.4913,0.2441,259805740930,-11261000000,0.7016,0.2148,13788750000,0.566,0.1224,0.71,0.2818,0.0,0.6163,0.614,0.5365,0.716,0.2842,0.1378,5.4362,18.5403,15.6603,14.0132,3.9832,5.5623,0.2337,0.5202,2.5191,0.2284,0.1371,0.4064,0.3528,0.2204,0.3528,0.4841292651871,0.4455,0.2204,0.4135,0.0195,452607000,0.0179,1.8039,46708000000,0.2715,0.5827,0.2781,0.5104,FY2010,2010
