,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0.0,2001-12-21,2001-09,0.28,19651613000,4128000000,100000000,0.0,0.0,1235000000,0,15000000,-16000000,218000000,-25000000,-25000000,-37000000,0,202000000,-344000000,12000000,90000000,0,0,-52000000,5363000000,441000000,1138000000,19354328000,19354328000,0,1579000000,FY2001,2001
1,0.0,2002-12-19,2002-09,0.26,20101703000,4139000000,114000000,0.0,0.0,1603000000,0,-22000000,-11000000,118000000,65000000,65000000,65000000,0,107000000,47000000,0,-67000000,0,0,87000000,5742000000,447000000,1109000000,19881232000,20259960000,0,1556000000,FY2002,2002
2,0.0,2003-12-19,2003-09,0.37,20536689000,4499000000,113000000,0.0,0.0,1708000000,0,-24000000,14000000,69000000,69000000,69000000,68000000,0,83000000,25000000,1000000,-16000000,0,0,92000000,6207000000,471000000,1212000000,20195336000,20354096000,0,1683000000,FY2003,2003
3,0.0,2004-12-03,2004-09,0.69,21920843000,6022000000,150000000,0.01,0.01,2257000000,0,-104000000,-3000000,64000000,266000000,266000000,266000000,0,61000000,336000000,0,-27000000,0,0,370000000,8279000000,491000000,1430000000,20809040000,21693728000,0,1921000000,FY2004,2004
4,0.0,2005-12-01,2005-09,1.91,23380542000,9889000000,179000000,0.05,0.05,4042000000,0,-480000000,0,183000000,1328000000,1328000000,1328000000,0,183000000,1643000000,0,-18000000,0,0,1808000000,13931000000,535000000,1864000000,22636292000,23992584000,0,2399000000,FY2005,2005
5,0.0,2006-12-29,2006-09,2.75,23947352000,13717000000,225000000,0.08,0.08,5598000000,0,-829000000,0,394000000,1989000000,1989000000,1989000000,0,394000000,2453000000,0,-29000000,0,0,2818000000,19315000000,712000000,2433000000,23633624000,24570728000,0,3145000000,FY2006,2006
6,0.0,2007-11-15,2007-09,5.48,24425211000,16426000000,317000000,0.14,0.14,8152000000,0,-1511000000,0,647000000,3495000000,3495000000,3495000000,0,647000000,4407000000,0,-48000000,0,0,5006000000,24578000000,782000000,2963000000,24208660000,24900176000,0,3745000000,FY2007,2007
7,0.0,2008-11-05,2008-09,4.06,24890183000,24294000000,496000000,0.24,0.24,13197000000,0,-2828000000,0,653000000,6119000000,6119000000,6119000000,0,653000000,8327000000,0,-33000000,0,0,8947000000,37491000000,1109000000,3761000000,24684576000,25259892000,0,4870000000,FY2008,2008
8,0.0,2009-10-27,2009-09,6.62,25194554000,25683000000,734000000,0.32,0.32,17222000000,0,-3831000000,0,407000000,8235000000,8235000000,8235000000,0,407000000,11740000000,0,-81000000,0,0,12066000000,42905000000,1333000000,4149000000,25004448000,25396140000,0,5482000000,FY2009,2009
9,0.0,2010-10-27,2010-09,10.13,25647161000,39541000000,1027000000,0.55,0.54,25684000000,0,-4527000000,0,311000000,14013000000,14013000000,14013000000,0,311000000,18385000000,0,-156000000,0,0,18540000000,65225000000,1782000000,5517000000,25464908000,25891936000,0,7299000000,FY2010,2010
10,0.0,2011-10-26,2011-09,13.62,26019756000,64431000000,1814000000,1.0,0.98,43818000000,0,-8283000000,0,519000000,25922000000,25922000000,25922000000,0,519000000,33790000000,0,-104000000,0,0,34205000000,108249000000,2429000000,7599000000,25879224000,26226060000,0,10028000000,FY2011,2011
11,0.095,2012-10-31,2012-09,23.83,26297824000,87846000000,3277000000,1.59,1.57,68662000000,0,-14030000000,0,1088000000,41733000000,41733000000,41733000000,0,1088000000,55241000000,0,-566000000,0,0,55763000000,156508000000,3381000000,10040000000,26174904000,26469932000,0,13421000000,FY2012,2012
12,0.407,2013-10-30,2013-09,17.03,25177964000,106606000000,6757000000,1.43,1.42,64304000000,0,-13118000000,-136000000,1616000000,37037000000,37037000000,37037000000,0,1480000000,48999000000,0,-324000000,0,0,50155000000,170910000000,4475000000,10830000000,25909280000,26086536000,0,15305000000,FY2013,2013
13,0.453,2014-10-27,2014-09,25.19,23464644000,112258000000,7946000000,1.62,1.61,70537000000,0,-13973000000,-384000000,1795000000,39510000000,39510000000,39510000000,0,1411000000,52503000000,0,-431000000,0,0,53483000000,182795000000,6041000000,11993000000,24342288000,24490652000,0,18034000000,FY2014,2014
14,0.495,2015-10-28,2015-09,27.58,22315012000,140089000000,11257000000,2.32,2.3,93626000000,0,-19121000000,-733000000,2921000000,53394000000,53394000000,53394000000,0,2188000000,71230000000,0,-903000000,0,0,72515000000,233715000000,8067000000,14329000000,23013684000,23172276000,0,22396000000,FY2015,2015
15,0.545,2016-10-26,2016-09,28.26,21344664000,131376000000,10505000000,2.08,2.07,84263000000,0,-15685000000,-1456000000,3999000000,45687000000,45687000000,45687000000,0,2543000000,60024000000,0,-1195000000,0,0,61372000000,215639000000,10045000000,14194000000,21883280000,22001124000,0,24239000000,FY2016,2016
16,0.6,2017-11-03,2017-09,38.53,20504804000,141048000000,10157000000,2.31,2.3,88186000000,0,-15738000000,-2323000000,5201000000,48351000000,48351000000,48351000000,0,2878000000,61344000000,0,-133000000,0,0,64089000000,229234000000,11581000000,15261000000,20868968000,21006768000,0,26842000000,FY2017,2017
17,0.68,2018-11-05,2018-09,56.44,19019944000,163756000000,10903000000,3.0,2.98,101839000000,0,-13372000000,-3240000000,5686000000,59531000000,59531000000,59531000000,0,2446000000,70898000000,0,-441000000,0,0,72903000000,265595000000,14236000000,16705000000,19821510000,20000435000,0,30941000000,FY2018,2018
18,0.75,2019-10-31,2019-09,55.99,17772944000,161782000000,12547000000,2.99,2.97,98392000000,0,-10481000000,-3576000000,4961000000,55256000000,55256000000,55256000000,0,1385000000,63930000000,0,422000000,0,0,65737000000,260174000000,16217000000,18245000000,18471336000,18595651000,0,34462000000,FY2019,2019
19,0.795,2020-10-30,2020-09,115.81,16976763000,169559000000,11056000000,3.31,3.28,104956000000,0,-9680000000,-2873000000,3763000000,57411000000,57411000000,57411000000,0,890000000,66288000000,0,-87000000,0,0,67091000000,274515000000,18752000000,19916000000,17352119000,17528214000,0,38668000000,FY2020,2020
20,0.85,2021-10-29,2021-09,141.5,16426786000,212981000000,11284000000,5.67,5.61,152836000000,0,-14527000000,-2645000000,2843000000,94680000000,94680000000,94680000000,0,198000000,108949000000,0,60000000,0,0,109207000000,365817000000,21914000000,21973000000,16701272000,16864919000,0,43887000000,FY2021,2021
21,0.9,2022-10-28,2022-09,138.2,15943425000,223546000000,11104000000,6.15,6.11,170782000000,0,-19300000000,-2931000000,2825000000,99803000000,99803000000,99803000000,0,-106000000,119437000000,0,-228000000,0,0,119103000000,394328000000,26251000000,25094000000,16215963000,16325819000,0,51345000000,FY2022,2022
22,0.94,2023-11-03,2023-09,171.21,15550061000,214137000000,11519000000,6.16,6.13,169148000000,0,-16741000000,-3933000000,3750000000,96995000000,96995000000,96995000000,0,-183000000,114301000000,0,-382000000,0,0,113736000000,383285000000,29915000000,24932000000,15744231000,15812547000,0,54847000000,FY2023,2023
23,0.98,2024-11-01,2024-09,233.0,15116786000,210352000000,11445000000,6.11,6.08,180683000000,0,-29749000000,0,0,93736000000,93736000000,93736000000,0,0,123216000000,0,269000000,0,0,123485000000,391035000000,31370000000,26097000000,15343783000,15408095000,0,57467000000,FY2024,2024
