,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0.0,2001-12-21,2001-09,0.28,19651613000,FY2001,2001
1,0.0,2002-12-19,2002-09,0.26,20101703000,FY2002,2002
2,0.0,2003-12-19,2003-09,0.37,20536689000,FY2003,2003
3,0.0,2004-12-03,2004-09,0.69,21920843000,FY2004,2004
4,0.0,2005-12-01,2005-09,1.91,23380542000,FY2005,2005
5,0.0,2006-12-29,2006-09,2.75,23947352000,FY2006,2006
6,0.0,2007-11-15,2007-09,5.48,24425211000,FY2007,2007
7,0.0,2008-11-05,2008-09,4.06,24890183000,FY2008,2008
8,0.0,2009-10-27,2009-09,6.62,25194554000,FY2009,2009
9,0.0,2010-10-27,2010-09,10.13,25647161000,FY2010,2010
10,0.0,2011-10-26,2011-09,13.62,26019756000,FY2011,2011
11,0.095,2012-10-31,2012-09,23.83,26297824000,FY2012,2012
12,0.407,2013-10-30,2013-09,17.03,25177964000,FY2013,2013
13,0.453,2014-10-27,2014-09,25.19,23464644000,FY2014,2014
14,0.495,2015-10-28,2015-09,27.58,22315012000,FY2015,2015
15,0.545,2016-10-26,2016-09,28.26,21344664000,FY2016,2016
16,0.6,2017-11-03,2017-09,38.53,20504804000,FY2017,2017
17,0.68,2018-11-05,2018-09,56.44,19019944000,FY2018,2018
18,0.75,2019-10-31,2019-09,55.99,17772944000,FY2019,2019
19,0.795,2020-10-30,2020-09,115.81,16976763000,FY2020,2020
20,0.85,2021-10-29,2021-09,141.5,16426786000,FY2021,2021
21,0.9,2022-10-28,2022-09,138.2,15943425000,FY2022,2022
22,0.94,2023-11-03,2023-09,171.21,15550061000,FY2023,2023
23,0.98,2024-11-01,2024-09,233.0,15116786000,FY2024,2024
