,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2002-02-11,2001-12,0.39,19737720000,-36000000,11000000,-417000000,42000000,0,-364000000,11000000,11000000,0,0,0,0,0,0,0,0,0,0,0,0,0,-391000000,-1382000000,991000000,10000000,-36000000,-36000000,0,6000000,28000000,-10000000,-12000000,38000000,-20000000,50000000,0,-32000000,0,FY2002.FQ1,1
1,0.0,2002-05-14,2002-03,0.42,19828769000,-43000000,36000000,-825000000,2000000,0,-787000000,36000000,36000000,0,0,0,0,0,0,0,0,0,0,0,0,0,-740000000,-1515000000,775000000,-42000000,-43000000,-43000000,0,-109000000,29000000,40000000,-3000000,40000000,2000000,40000000,0,-146000000,0,FY2002.FQ2,2
2,0.0,2002-08-09,2002-06,0.32,20095896000,-31000000,42000000,82000000,-37000000,0,87000000,42000000,42000000,0,0,0,0,0,0,0,0,0,0,0,0,0,114000000,-581000000,695000000,-1000000,-31000000,-31000000,0,-65000000,28000000,-32000000,-8000000,32000000,0,-75000000,0,18000000,0,FY2002.FQ3,3
3,0.0,2002-12-19,2002-09,0.26,20101703000,-64000000,16000000,908000000,82000000,0,1006000000,16000000,16000000,0,0,0,0,0,0,0,0,0,0,0,0,0,998000000,-666000000,1664000000,-26000000,-64000000,-64000000,0,56000000,29000000,-32000000,-11000000,-45000000,74000000,6000000,0,61000000,0,FY2002.FQ4,4
4,0.0,2003-02-10,2002-12,0.26,20174405000,-20000000,13000000,237000000,110000000,0,360000000,13000000,13000000,0,0,0,0,0,0,0,0,0,0,0,0,0,248000000,-674000000,922000000,9000000,-20000000,-20000000,0,76000000,31000000,2000000,1000000,-6000000,6000000,7000000,0,68000000,1000000,FY2003.FQ1,1
5,0.0,2003-05-13,2003-03,0.25,20470535000,-40000000,3000000,697000000,98000000,0,798000000,3000000,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,731000000,-423000000,1154000000,6000000,-40000000,-40000000,0,78000000,29000000,-14000000,3000000,14000000,-10000000,70000000,0,5000000,1000000,FY2003.FQ2,2
6,0.0,2003-08-12,2003-06,0.34,20551587000,-46000000,15000000,74000000,8000000,0,97000000,15000000,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,102000000,-884000000,986000000,18000000,-46000000,-46000000,0,-33000000,24000000,-4000000,3000000,19000000,-5000000,40000000,0,-76000000,7000000,FY2003.FQ3,3
7,0.0,2003-12-19,2003-09,0.37,20536689000,-58000000,-4000000,-180000000,73000000,0,-111000000,22000000,22000000,0,0,0,0,0,-26000000,0,0,0,0,0,0,0,-122000000,-667000000,545000000,0,-58000000,-58000000,0,-2000000,29000000,12000000,-18000000,41000000,-14000000,214000000,0,-198000000,7000000,FY2003.FQ4,4
8,0.0,2004-02-10,2003-12,0.38,20650613000,-44000000,32000000,77000000,219000000,0,328000000,32000000,32000000,0,0,0,0,0,0,0,0,0,0,0,0,0,108000000,-395000000,503000000,13000000,-44000000,-44000000,0,114000000,33000000,6000000,-33000000,63000000,-4000000,-33000000,0,180000000,7000000,FY2004.FQ1,1
9,0.0,2004-05-06,2004-03,0.48,20879899000,-35000000,-224000000,-403000000,61000000,0,-566000000,76000000,76000000,0,0,0,0,0,-300000000,0,0,0,0,0,0,0,-367000000,-581000000,214000000,-1000000,-35000000,-35000000,0,-29000000,36000000,2000000,26000000,46000000,0,-56000000,0,1000000,6000000,FY2004.FQ2,2
