,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2002-02-11,2001-12,0.39,19737720000,1.5436,1.6481,3966000000,0.198,-0.6363,0.1203,-0.0712,4.2307,3.3388,0.0514,0.0515,0.0794,0.0801,0.0,0.0,48000000,1.1212,0.0349,0.0023,3645710800,0.9192,17.5274,-607.6184,12.3165,0.6361,0.9369,-0.1567,1.2,0.6478,6000000,-0.2301,1.1714,0.0043,0.0441,0.0002,0.3069,0.2848,21.0952,0.283,7697710800,-1631000000,1.1948,0.0276,15000000,1.0476,0.0407,0.0009,0.0145,0.0,-2.3611,0.763,1.1796,0.0026,0.0385,0.0791,1.9409,37.0082,-1282.9518,26.0057,1.3431,1.9783,-0.0124,0.3654,0.0686,0.0342,0.0814,0.0212,0.0527,0.1362,0.0488,0.57795202000407,0.0976,0.1262,0.0215,0.0603,86107000,0.0043,0.1943,3891000000,0.02,0.0227,0.0293,0.0684,FY2002.FQ1,1
1,0.0,2002-05-14,2002-03,0.42,19828769000,1.5605,1.6262,4014000000,0.1958,-1.5294,-0.4579,-0.3809,1.0454,3.1679,0.0496,0.0505,0.0774,0.0784,0.0,0.0,57000000,3.0714,0.0381,0.0027,4330082980,1.0787,21.1223,309.2916,14.9829,0.7472,1.1009,-0.104,0.0,0.6408,-41000000,0.0,0.3278,-0.0274,0.0134,-0.002,0.2735,0.2779,0.0623,0.2727,8328082980,-848000000,-0.0697,0.0267,21000000,4.5,0.0287,0.0013,0.0187,0.0,-3.9046,0.7734,-0.1129,0.0026,0.0367,0.0619,2.0747,40.6247,594.863,28.8168,1.4371,2.1174,0.0113,0.0447,0.0729,0.0331,0.0498,0.029,0.0513,0.0814,0.0476,0.57795202000407,0.0745,0.0753,0.0295,0.0372,91049000,0.0046,0.1919,3933000000,0.0195,0.0218,0.026,0.0738,FY2002.FQ2,2
2,0.0,2002-08-09,2002-06,0.32,20095896000,1.5477,1.5931,4066000000,0.1979,-0.0333,-0.4125,0.0,-0.1212,3.1682,0.0502,0.0508,0.0777,0.0785,0.0,0.0,41000000,-0.2807,0.0286,0.0019,2440686720,0.6002,13.8675,271.1874,10.1273,0.4245,0.6152,-0.1396,-0.3333,0.6461,-68000000,0.0,-0.0793,-0.0475,-0.0115,-0.0033,0.2736,0.2779,-0.099,0.1794,6430686720,-930000000,-0.4754,0.0223,9750000,-0.5806,0.0198,0.0006,0.009,0.0,-2.6165,0.6974,-0.5517,0.0018,0.0272,0.0511,1.5815,36.5379,714.5207,26.6833,1.1185,1.621,-0.0482,-0.0311,0.0695,0.028,0.0351,0.0249,0.0435,0.0556,0.0404,0.57795202000407,0.0558,0.0514,0.0254,0.0222,267127000,0.0134,0.193,3967000000,-0.0185,0.0365,-0.0081,0.0539,FY2002.FQ3,3
3,0.0,2002-12-19,2002-09,0.26,20101703000,1.5379,1.567,4095000000,0.2038,0.6073,-0.0251,0.03,-0.7018,3.2496,0.0501,0.0508,0.0771,0.0785,0.0,0.0,15000000,-0.8148,0.0103,0.0007,1205442780,0.2943,18.5452,-14.1816,13.8556,0.2099,0.3031,0.0,-1.6666,0.6502,18000000,-0.0855,-0.8392,0.0124,-0.0115,0.0008,0.264,0.2735,-0.1281,0.0,5226442780,-1936000000,-1.6818,-0.0311,-10500000,-1.2641,0.0166,-0.0006,-0.0097,0.0,0.0,0.101,-1.6382,-0.0029,-0.0415,0.0409,1.2762,80.4068,-61.4875,60.074,0.9102,1.3144,-0.0294,-0.0048,0.0718,0.0103,0.0336,0.0102,0.0159,0.052,0.0147,0.57795202000407,0.0245,0.0482,0.0104,0.0224,5807000,0.0002,0.1979,3976000000,-0.0106,0.046,-0.0028,0.0446,FY2002.FQ4,4
4,0.0,2003-02-10,2002-12,0.26,20174405000,1.523,1.5541,4116000000,0.2047,0.4444,0.3422,-0.0727,1.619,3.3755,0.051,0.0512,0.0777,0.0785,0.0,0.0,17000000,-0.6458,0.0115,0.0008,1103345300,0.268,58.0708,-1103.3453,42.4363,0.1889,0.2758,0.0,-1.0,0.6565,90000000,-0.0871,14.0,0.0611,-0.0115,0.0044,0.2758,0.2735,-0.0379,0.0,5245345300,-2292000000,-1.2105,-0.0054,-10500000,-1.7,0.0118,-0.0006,-0.0095,0.0,0.0,0.0558,-1.1509,-0.0003,-0.0054,0.0376,1.2743,276.0708,-5245.3453,201.744,0.8983,1.3113,-0.0212,0.0705,0.0732,0.003,0.0305,0.0027,0.0046,0.0474,0.0042,0.57795202000407,0.0095,0.044,0.0028,0.0043,72702000,0.0036,0.1989,4000000000,-0.01,0.024,-0.0014,0.0378,FY2003.FQ1,1
5,0.0,2003-05-13,2003-03,0.25,20470535000,1.5368,1.5456,4139000000,0.204,0.0697,1.9421,-0.0688,48.0,2.7244,0.0487,0.0512,0.0748,0.0785,0.0,0.0,28000000,-0.5087,0.0189,0.0013,591633750,0.1429,-84.5191,6.037,-59.1633,0.1016,0.1469,-0.1877,-0.5,0.6506,58000000,-0.0724,2.4146,0.0393,-0.0115,0.0028,0.2833,0.2747,0.022,0.2631,5117633750,-3100000000,-0.65,0.0094,-750000,-1.0357,0.0042,0.0,-0.0006,0.0,38.94,0.0545,-0.6545,0.0009,0.0128,0.032,1.2364,-731.0905,52.2207,-511.7633,0.8794,1.2714,-0.0234,-0.0133,0.0727,-0.0011,0.0204,-0.0034,-0.0016,0.0321,-0.0015,0.57795202000407,-0.0048,0.0298,-0.0035,-0.0101,296130000,0.0146,0.1984,4025000000,-0.0066,0.0154,0.0007,0.0311,FY2003.FQ2,2
6,0.0,2003-08-12,2003-06,0.34,20551587000,1.5343,1.5407,4198000000,0.206,-0.4838,1.8146,0.0,1.2162,2.7387,0.0476,0.0506,0.0731,0.0777,0.0,0.0,33000000,-0.1951,0.0213,0.0016,2442539580,0.5818,-122.1269,19.0823,-106.1973,0.4115,0.5977,0.0,-0.5,0.6517,-38000000,0.0,0.4411,-0.0245,-0.0101,-0.0018,0.277,0.2764,0.0946,0.2692,6987539580,-3200000000,-0.4062,0.0122,6750000,-0.3076,0.0074,0.0004,0.0058,0.0,0.0,0.0848,-0.3333,0.0012,0.0168,0.032,1.6644,-349.3769,54.5901,-303.806,1.1773,1.7101,0.0437,0.0811,0.0758,-0.0031,0.0116,-0.0042,-0.0047,0.0183,-0.0044,0.57795202000407,-0.0196,0.0169,-0.0043,-0.0084,81052000,0.0039,0.2005,4086000000,0.0073,0.0235,0.0123,0.0324,FY2003.FQ3,3
7,0.0,2003-12-19,2003-09,0.37,20536689000,1.6137,1.5407,4223000000,0.2057,0.0937,0.5079,0.0,-0.1097,2.4976,0.0446,0.0501,0.0719,0.0775,0.0,0.0,60000000,3.0,0.0349,0.0029,3032574930,0.7181,43.9503,24.2605,32.9627,0.4885,0.7371,0.0,2.0,0.6196,15000000,0.0,-0.1666,0.0087,0.0065,0.0007,0.2658,0.2764,0.1968,0.2545,7598574930,-3092000000,1.9777,0.0256,23250000,3.2142,0.0118,0.0015,0.018,0.0,0.0,0.0772,1.9166,0.0026,0.032,0.0296,1.7993,110.1242,60.7885,82.5932,1.2241,1.847,0.0182,0.1884,0.0835,0.0104,0.0103,0.0052,0.0163,0.0161,0.0152,0.57795202000407,0.0648,0.015,0.0053,0.022,-14898000,-0.0007,0.2003,4114000000,0.0106,0.082,0.0122,0.0312,FY2003.FQ4,4
8,0.0,2004-02-10,2003-12,0.38,20650613000,1.6099,1.5407,4330000000,0.2076,-1.2,0.4257,0.0,0.9909,2.531,0.0433,0.0499,0.0697,0.0773,0.0,0.0,107000000,5.2941,0.0533,0.0051,3056232940,0.7058,21.8302,14.5534,16.3434,0.4533,0.7237,0.0,0.0,0.6211,175000000,0.0,0.9444,0.0872,0.0106,0.0083,0.2671,0.2747,0.3201,0.2758,7847232940,-3422000000,8.875,0.0314,55500000,6.2857,0.0118,0.0035,0.0368,0.0,0.0,0.1305,11.875,0.0041,0.0433,0.0296,1.8122,56.0516,37.3677,41.9638,1.1641,1.8582,0.0312,0.3627,0.0962,0.0203,0.0103,0.0234,0.0327,0.0161,0.0305,0.57795202000407,0.1373,0.015,0.0239,0.0369,113924000,0.0055,0.2025,4223000000,0.0139,0.1119,0.0116,0.0519,FY2004.FQ1,1
9,0.0,2004-05-06,2004-03,0.48,20879899000,1.5,1.5407,4490000000,0.2119,0.125,-0.0739,-0.1397,-0.3775,2.9212,0.0,0.0491,0.0,0.076,0.0,0.0,98000000,2.5,0.0513,0.0046,5428351520,1.2089,31.5601,30.4963,23.398,0.7565,1.2382,-0.0397,1.0,0.6666,26000000,-0.1358,-0.5517,0.0136,0.0106,0.0012,0.2776,0.2747,0.2679,0.2812,10022351520,-3158000000,2.2857,0.024,46500000,63.0,0.0118,0.0029,0.0324,0.0,-14.6643,0.1098,2.3684,0.003,0.0335,0.0296,2.2321,58.2694,56.3053,43.1997,1.3968,2.2861,0.0278,0.2942,0.0901,0.025,0.0153,0.0364,0.039,0.0245,0.0377,0.57795202000407,0.1535,0.0229,0.0373,0.0441,229286000,0.0111,0.2069,4384000000,0.0112,0.0587,0.0136,0.0848,FY2004.FQ2,2
10,0.0,2004-08-05,2004-06,0.58,21570768000,1.501,1.5374,4812000000,0.2188,0.1739,-0.1103,0.1751,25.375,2.9169,0.0,0.0481,0.0,0.074,0.0,0.0,121000000,2.6666,0.06,0.0055,7545045440,1.5679,35.2572,19.396,25.9279,0.987,1.6009,0.0413,2.0,0.6662,173000000,0.3995,5.5526,0.0858,0.013,0.0078,0.2775,0.2747,0.306,0.2823,12511045440,-3120000000,2.2105,0.0302,60000000,7.8888,0.0135,0.0036,0.0397,0.0,14.1283,0.0704,2.2692,0.0038,0.0422,0.0296,2.5999,58.4628,32.162,42.9932,1.6367,2.6545,0.0389,0.3035,0.0916,0.0306,0.0153,0.0502,0.046,0.0245,0.046,0.57795202000407,0.1415,0.0229,0.0513,0.0792,690869000,0.033,0.2143,4713000000,0.0166,0.1214,0.0195,0.1462,FY2004.FQ3,3
11,0.0,2004-12-03,2004-09,0.69,21920843000,1.5858,1.5374,5076000000,0.2233,-0.0172,-0.1257,0.716,5.0684,2.6612,0.0,0.0461,0.0,0.0725,0.0,0.0,160000000,1.6666,0.068,0.007,9661381670,1.9033,36.3209,12.7458,26.1118,1.1669,1.9404,0.0717,1.0,0.6305,384000000,0.0,24.6,0.1634,0.0264,0.0168,0.2689,0.2747,0.3859,0.2835,15125381670,-2969000000,1.1818,0.0408,90000000,2.8709,0.0135,0.0052,0.051,0.0,7.9224,0.0568,1.4363,0.0058,0.057,0.0296,2.9797,56.8623,19.9543,40.8794,1.8269,3.0378,0.0462,0.3702,0.1034,0.0348,0.0153,0.0642,0.0538,0.0245,0.0538,0.57795202000407,0.14,0.0229,0.0654,0.1068,350075000,0.0162,0.2191,4979000000,0.0254,0.1812,0.0237,0.2019,FY2004.FQ4,4
12,0.0,2005-02-01,2004-12,1.15,22654745000,1.6169,1.5374,5790000000,0.2467,-0.3181,-0.3353,0.0,2.5388,2.5812,0.0,0.0439,0.0,0.0708,0.0,0.0,444000000,3.1495,0.1272,0.0189,19604956750,3.386,39.3673,15.0807,27.535,2.008,3.443,0.2058,3.3333,0.6184,717000000,0.0,3.0971,0.2054,0.0502,0.0305,0.2853,0.2764,0.8582,0.3123,26052956750,-2475000000,3.6825,0.0845,302250000,4.4459,0.0252,0.0171,0.1154,0.0,2.5414,0.0745,3.931,0.0182,0.1229,0.0327,4.4996,52.3151,20.0407,36.5912,2.6685,4.5755,0.0934,0.7397,0.1487,0.0572,0.0153,0.1152,0.0916,0.0245,0.0916,0.57795202000407,0.1836,0.0229,0.1172,0.1256,733902000,0.0334,0.2426,5694000000,0.0405,0.3429,0.0359,0.3371,FY2005.FQ1,1
13,0.0,2005-05-04,2005-03,1.49,23047829000,1.5833,1.56,6386000000,0.2661,-0.2285,-0.2862,0.2065,7.7868,2.687,0.0,0.0216,0.0,0.0348,0.0,0.0,443000000,3.5204,0.1366,0.0184,27284265210,4.2725,36.7712,15.441,25.1932,2.4587,4.3494,0.0,5.0,0.6315,493000000,0.3923,17.9615,0.152,0.0735,0.0205,0.2984,0.2772,0.8264,0.3333,34341265210,-2254000000,5.3043,0.0894,301500000,5.4838,0.0346,0.0167,0.1239,0.0,0.0,0.08,5.7968,0.0181,0.1341,0.0378,5.3775,46.282,19.4347,31.7093,3.0946,5.4744,0.0843,0.6987,0.1351,0.0762,0.0227,0.1558,0.1218,0.0358,0.1218,0.57795202000407,0.1992,0.0341,0.1584,0.1329,393084000,0.0173,0.2614,6273000000,0.0484,0.5012,0.0454,0.4222,FY2005.FQ2,2
14,0.0,2005-08-03,2005-06,1.31,23183473000,1.5376,1.5604,6821000000,0.2829,-0.6578,-0.0083,0.1567,1.2369,3.0022,0.0,0.0,0.0,0.0,0.0,0.0,472000000,2.9008,0.134,0.0195,22844349630,3.3491,22.8443,11.405,15.5403,1.8126,3.4035,0.0,3.3333,0.6503,409000000,0.1634,1.3641,0.1161,0.0865,0.0169,0.2965,0.2775,0.8676,0.3241,30370349630,-3094000000,4.2295,0.0906,319500000,4.325,0.0383,0.0176,0.121,0.0,0.0,0.1169,4.5529,0.0195,0.134,0.0427,4.4524,30.3703,15.1624,20.6601,2.4097,4.5247,0.091,0.7477,0.146,0.097,0.0278,0.1913,0.1514,0.0425,0.1514,0.57795202000407,0.2544,0.0418,0.1943,0.0962,135644000,0.0058,0.2784,6712000000,0.0528,0.452,0.0518,0.4174,FY2005.FQ3,3
15,0.0,2005-12-01,2005-09,1.91,23380542000,1.5503,1.5668,7428000000,0.3056,-0.6271,0.1758,0.226,0.6975,2.9538,0.0,0.0,0.0,0.0,0.0,0.0,468000000,1.925,0.1272,0.0192,36395835220,4.8998,27.3242,15.9981,20.0749,2.6125,4.9639,0.3351,3.5,0.645,656000000,0.2745,0.7083,0.1783,0.1017,0.0269,0.2814,0.2775,0.6376,0.1027,44656835220,-3491000000,3.4583,0.1163,312750000,2.475,0.0453,0.0171,0.1133,0.0,1.0003,0.1555,2.5597,0.0196,0.1296,0.0501,6.0119,33.5261,19.6293,24.6314,3.2055,6.0906,0.0956,0.5651,0.1513,0.121,0.0327,0.2141,0.1869,0.0499,0.1869,0.57795202000407,0.3475,0.0499,0.2169,0.0693,197069000,0.0085,0.3017,7332000000,0.0611,0.4305,0.0602,0.4633,FY2005.FQ4,4
16,0.0,2006-02-03,2005-12,2.57,23677281000,1.6922,1.5846,8380000000,0.3423,-0.4137,0.6767,0.4284,-0.6348,2.4035,0.0,0.0,0.0,0.0,0.0,0.0,802000000,0.8063,0.1395,0.0327,52143612170,6.2223,32.549,29.6438,23.5411,3.2207,6.2922,0.3682,0.7692,0.5909,201000000,0.0,-0.7196,0.0349,0.1017,0.0082,0.272,0.2775,0.5702,0.32,60850612170,-4150000000,0.9152,0.0982,562500000,0.861,0.0822,0.0306,0.1304,0.0,1.0314,0.1632,0.937,0.0339,0.1445,0.0899,7.2614,37.9841,34.5938,27.472,3.7585,7.3428,0.1404,0.6472,0.2348,0.1246,0.046,0.2326,0.2026,0.0727,0.2026,0.57795202000407,0.3923,0.0727,0.2352,0.0429,296739000,0.0126,0.3385,8287000000,0.0821,0.5147,0.0715,0.4473,FY2006.FQ1,1
17,0.0,2006-05-05,2006-03,2.24,23777268000,1.6022,1.5846,8682000000,0.3529,-3.4883,1.8154,0.0,-1.2332,2.5327,0.0,0.0,0.0,0.0,0.0,0.0,579000000,0.3069,0.1328,0.0235,45035080320,5.1871,26.1527,47.5053,18.8826,2.6022,5.2537,0.2386,0.4166,0.6241,-318000000,0.0,-1.645,-0.0729,0.1017,-0.0129,0.2975,0.2795,0.3398,0.3223,53261080320,-6346000000,0.4137,0.094,396750000,0.3159,0.1144,0.0215,0.1213,0.0,1.2961,0.3544,0.3908,0.0245,0.1387,0.1263,6.1346,30.9297,56.1825,22.3316,3.0776,6.2133,0.0977,0.3441,0.1772,0.1225,0.0667,0.2284,0.2018,0.1067,0.2018,0.57795202000407,0.5245,0.1067,0.2309,0.0251,99987000,0.0042,0.3484,8572000000,0.0739,0.3758,0.0747,0.3595,FY2006.FQ2,2
