,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2002-02-11,2001-12,0.39,19737720000,953000000,28000000,0.0,0.0,422000000,0,-15000000,-3000000,34000000,38000000,38000000,38000000,0,31000000,20000000,0,2000000,0,0,53000000,1375000000,113000000,289000000,19674480000,20020504000,0,402000000,FY2002.FQ1,1
1,0.0,2002-05-14,2002-03,0.42,19828769000,1086000000,29000000,0.0,0.0,409000000,0,-15000000,-3000000,29000000,40000000,40000000,40000000,0,26000000,28000000,0,1000000,0,0,55000000,1495000000,111000000,270000000,19794880000,20494264000,0,381000000,FY2002.FQ2,2
2,0.0,2002-08-09,2002-06,0.32,20095896000,1038000000,28000000,0.0,0.0,391000000,0,-7000000,-2000000,29000000,32000000,32000000,32000000,0,27000000,13000000,0,-1000000,0,0,39000000,1429000000,106000000,272000000,19956720000,20545392000,0,378000000,FY2002.FQ3,3
3,0.0,2002-12-19,2002-09,0.26,20101703000,1062000000,29000000,0.0,0.0,381000000,0,15000000,-3000000,26000000,-45000000,-45000000,-45000000,0,23000000,-14000000,0,-69000000,0,0,-60000000,1443000000,117000000,278000000,20086528000,20086528000,0,395000000,FY2002.FQ4,4
4,0.0,2003-02-10,2002-12,0.26,20174405000,1066000000,31000000,0.0,0.0,406000000,0,2000000,-2000000,23000000,-8000000,-8000000,-6000000,0,21000000,-14000000,-2000000,-15000000,0,0,-8000000,1472000000,121000000,299000000,20107192000,20107192000,0,420000000,FY2003.FQ1,1
5,0.0,2003-05-13,2003-03,0.25,20470535000,1057000000,29000000,0.0,0.0,418000000,0,-5000000,-2000000,18000000,14000000,14000000,14000000,0,16000000,-1000000,0,4000000,0,0,19000000,1475000000,119000000,300000000,20187440000,20285608000,0,419000000,FY2003.FQ2,2
6,0.0,2003-08-12,2003-06,0.34,20551587000,1117000000,24000000,0.0,0.0,428000000,0,-7000000,-2000000,15000000,19000000,19000000,19000000,0,13000000,9000000,0,4000000,0,0,26000000,1545000000,120000000,299000000,20204408000,20371512000,0,419000000,FY2003.FQ3,3
7,0.0,2003-12-19,2003-09,0.37,20536689000,1259000000,29000000,0.0,0.0,456000000,0,-14000000,20000000,13000000,44000000,44000000,41000000,0,33000000,31000000,3000000,-9000000,0,0,55000000,1715000000,111000000,314000000,20282360000,20529656000,0,425000000,FY2003.FQ4,4
8,0.0,2004-02-10,2003-12,0.38,20650613000,1470000000,33000000,0.0,0.0,536000000,0,-24000000,-2000000,14000000,63000000,63000000,63000000,0,12000000,74000000,0,1000000,0,0,87000000,2006000000,119000000,343000000,20297200000,20849248000,0,462000000,FY2004.FQ1,1
9,0.0,2004-05-06,2004-03,0.48,20879899000,1379000000,36000000,0.0,0.0,530000000,0,-18000000,12000000,0,46000000,46000000,46000000,0,12000000,62000000,0,-10000000,0,0,64000000,1909000000,123000000,345000000,20459432000,21180880000,0,468000000,FY2004.FQ2,2
10,0.0,2004-08-05,2004-06,0.58,21570768000,1455000000,41000000,0.0,0.0,559000000,0,-24000000,13000000,0,61000000,61000000,61000000,0,13000000,80000000,0,-8000000,0,0,85000000,2014000000,125000000,354000000,21001288000,21986776000,0,479000000,FY2004.FQ3,3
11,0.0,2004-12-03,2004-09,0.69,21920843000,1718000000,40000000,0.0,0.0,632000000,0,-38000000,27000000,0,96000000,96000000,96000000,0,27000000,120000000,0,-13000000,0,0,134000000,2350000000,124000000,388000000,21478352000,22723400000,0,512000000,FY2004.FQ4,4
12,0.0,2005-02-01,2004-12,1.15,22654745000,2494000000,41000000,0.01,0.01,996000000,0,-134000000,0,28000000,295000000,295000000,295000000,0,28000000,403000000,0,-2000000,0,0,429000000,3490000000,123000000,470000000,22092896000,23468872000,0,593000000,FY2005.FQ1,1
13,0.0,2005-05-04,2005-03,1.49,23047829000,2275000000,41000000,0.01,0.01,968000000,0,-145000000,0,39000000,290000000,290000000,290000000,0,39000000,402000000,0,-6000000,0,0,435000000,3243000000,119000000,447000000,22628816000,23996308000,0,566000000,FY2005.FQ2,2
14,0.0,2005-08-03,2005-06,1.31,23183473000,2476000000,46000000,0.01,0.01,1044000000,0,-153000000,0,51000000,319000000,319000000,319000000,0,51000000,426000000,0,-5000000,0,0,472000000,3520000000,145000000,473000000,22822576000,24102484000,0,618000000,FY2005.FQ3,3
15,0.0,2005-12-01,2005-09,1.91,23380542000,2643000000,51000000,0.01,0.01,1035000000,0,-49000000,0,65000000,428000000,428000000,428000000,0,65000000,417000000,0,-5000000,0,0,477000000,3678000000,147000000,471000000,23000936000,24298344000,0,618000000,FY2005.FQ4,4
16,0.0,2006-02-03,2005-12,2.57,23677281000,4185000000,52000000,0.02,0.02,1564000000,0,-266000000,0,88000000,565000000,565000000,565000000,0,88000000,750000000,0,-7000000,0,0,831000000,5749000000,182000000,632000000,23261868000,24477796000,0,814000000,FY2006.FQ1,1
17,0.0,2006-05-05,2006-03,2.24,23777268000,3062000000,50000000,0.01,0.01,1297000000,0,-195000000,0,87000000,410000000,410000000,410000000,0,87000000,529000000,0,-11000000,0,0,605000000,4359000000,176000000,592000000,23545480000,24599036000,0,768000000,FY2006.FQ2,2
18,0.0,2006-12-29,2006-06,2.05,23883654000,3045000000,57000000,0.02,0.01,1325000000,0,-189000000,0,99000000,472000000,472000000,472000000,0,99000000,566000000,0,-4000000,0,0,661000000,4370000000,175000000,584000000,23838500000,24538304000,0,759000000,FY2006.FQ3,3
19,0.0,2006-12-29,2006-09,2.75,23947352000,3425000000,66000000,0.02,0.02,1412000000,0,-179000000,0,120000000,542000000,542000000,542000000,0,120000000,608000000,0,-7000000,0,0,721000000,4837000000,179000000,625000000,23910740000,24617348000,0,804000000,FY2006.FQ4,4
20,0.0,2007-02-02,2006-12,3.03,24086157000,4895000000,74000000,0.04,0.04,2220000000,0,-444000000,0,0,1004000000,1004000000,1004000000,0,0,1322000000,0,126000000,0,0,1448000000,7115000000,184000000,714000000,24015348000,24732316000,0,898000000,FY2007.FQ1,1
21,0.0,2007-05-10,2007-03,3.32,24218545000,3415000000,69000000,0.03,0.03,1849000000,0,-364000000,0,0,770000000,770000000,770000000,0,0,986000000,0,148000000,0,0,1134000000,5264000000,183000000,680000000,24164084000,24826284000,0,863000000,FY2007.FQ2,2
22,0.0,2007-08-08,2007-06,4.36,24349947000,3415000000,81000000,0.03,0.03,1995000000,0,-378000000,0,0,818000000,818000000,818000000,0,0,1041000000,0,155000000,0,0,1196000000,5410000000,208000000,746000000,24270568000,24938788000,0,954000000,FY2007.FQ3,3
23,0.0,2007-11-15,2007-09,5.48,24425211000,4701000000,93000000,0.03,0.03,2088000000,0,-325000000,0,0,903000000,903000000,903000000,0,0,1058000000,0,170000000,0,0,1228000000,6789000000,207000000,823000000,24384640000,25084724000,0,1030000000,FY2007.FQ4,4
24,0.0,2008-02-01,2007-12,7.07,24601608000,6276000000,106000000,0.06,0.06,3332000000,0,-745000000,0,0,1581000000,1581000000,1581000000,0,0,2126000000,0,200000000,0,0,2326000000,9608000000,246000000,960000000,24524080000,25201512000,0,1206000000,FY2008.FQ1,1
