,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2002-02-11,2001-12,0.39,19737720000,FY2002.FQ1,1
1,0.0,2002-05-14,2002-03,0.42,19828769000,FY2002.FQ2,2
2,0.0,2002-08-09,2002-06,0.32,20095896000,FY2002.FQ3,3
3,0.0,2002-12-19,2002-09,0.26,20101703000,FY2002.FQ4,4
4,0.0,2003-02-10,2002-12,0.26,20174405000,FY2003.FQ1,1
5,0.0,2003-05-13,2003-03,0.25,20470535000,FY2003.FQ2,2
6,0.0,2003-08-12,2003-06,0.34,20551587000,FY2003.FQ3,3
7,0.0,2003-12-19,2003-09,0.37,20536689000,FY2003.FQ4,4
8,0.0,2004-02-10,2003-12,0.38,20650613000,FY2004.FQ1,1
9,0.0,2004-05-06,2004-03,0.48,20879899000,FY2004.FQ2,2
10,0.0,2004-08-05,2004-06,0.58,21570768000,FY2004.FQ3,3
11,0.0,2004-12-03,2004-09,0.69,21920843000,FY2004.FQ4,4
12,0.0,2005-02-01,2004-12,1.15,22654745000,FY2005.FQ1,1
13,0.0,2005-05-04,2005-03,1.49,23047829000,FY2005.FQ2,2
14,0.0,2005-08-03,2005-06,1.31,23183473000,FY2005.FQ3,3
15,0.0,2005-12-01,2005-09,1.91,23380542000,FY2005.FQ4,4
16,0.0,2006-02-03,2005-12,2.57,23677281000,FY2006.FQ1,1
17,0.0,2006-05-05,2006-03,2.24,23777268000,FY2006.FQ2,2
18,0.0,2006-12-29,2006-06,2.05,23883654000,FY2006.FQ3,3
19,0.0,2006-12-29,2006-09,2.75,23947352000,FY2006.FQ4,4
20,0.0,2007-02-02,2006-12,3.03,24086157000,FY2007.FQ1,1
21,0.0,2007-05-10,2007-03,3.32,24218545000,FY2007.FQ2,2
22,0.0,2007-08-08,2007-06,4.36,24349947000,FY2007.FQ3,3
23,0.0,2007-11-15,2007-09,5.48,24425211000,FY2007.FQ4,4
24,0.0,2008-02-01,2007-12,7.07,24601608000,FY2008.FQ1,1
25,0.0,2008-05-01,2008-03,5.13,24680068000,FY2008.FQ2,2
26,0.0,2008-07-23,2008-06,5.98,24800906000,FY2008.FQ3,3
27,0.0,2008-11-05,2008-09,4.06,24890183000,FY2008.FQ4,4
28,0.0,2009-01-23,2008-12,3.05,24931618000,FY2009.FQ1,1
29,0.0,2009-04-23,2009-03,3.75,24979075000,FY2009.FQ2,2
30,0.0,2009-07-22,2009-06,5.09,25080586000,FY2009.FQ3,3
31,0.0,2009-10-27,2009-09,6.62,25194554000,FY2009.FQ4,4
32,0.0,2010-01-25,2009-12,7.53,25375901000,FY2010.FQ1,1
33,0.0,2010-04-21,2010-03,8.39,25469803000,FY2010.FQ2,2
34,0.0,2010-07-21,2010-06,8.98,25577506000,FY2010.FQ3,3
35,0.0,2010-10-27,2010-09,10.13,25647161000,FY2010.FQ4,4
36,0.0,2011-01-19,2010-12,11.52,25789219000,FY2011.FQ1,1
37,0.0,2011-04-21,2011-03,12.45,25890874000,FY2011.FQ2,2
38,0.0,2011-07-20,2011-06,11.99,25953306000,FY2011.FQ3,3
39,0.0,2011-10-26,2011-09,13.62,26019756000,FY2011.FQ4,4
40,0.0,2012-01-25,2011-12,14.46,26101992000,FY2012.FQ1,1
41,0.0,2012-04-25,2012-03,21.41,26179496000,FY2012.FQ2,2
42,0.0,2012-07-25,2012-06,20.86,26243448000,FY2012.FQ3,3
43,0.095,2012-10-31,2012-09,23.83,26297824000,FY2012.FQ4,4
44,0.095,2013-01-24,2012-12,19.01,26291244000,FY2013.FQ1,1
45,0.095,2013-04-24,2013-03,15.81,26322632000,FY2013.FQ2,2
46,0.109,2013-07-24,2013-06,14.16,25436376000,FY2013.FQ3,3
47,0.109,2013-10-30,2013-09,17.03,25177964000,FY2013.FQ4,4
48,0.109,2014-01-28,2013-12,20.04,24991511000,FY2014.FQ1,1
49,0.109,2014-04-24,2014-03,19.17,24128860000,FY2014.FQ2,2
50,0.118,2014-07-23,2014-06,23.23,23956684000,FY2014.FQ3,3
51,0.118,2014-10-27,2014-09,25.19,23464644000,FY2014.FQ4,4
52,0.118,2015-01-28,2014-12,27.6,23305676000,FY2015.FQ1,1
53,0.118,2015-04-28,2015-03,31.11,23049112000,FY2015.FQ2,2
54,0.13,2015-07-22,2015-06,31.36,22821600000,FY2015.FQ3,3
55,0.13,2015-10-28,2015-09,27.58,22315012000,FY2015.FQ4,4
56,0.13,2016-01-27,2015-12,26.32,22177948000,FY2016.FQ1,1
57,0.13,2016-04-27,2016-03,27.25,21913784000,FY2016.FQ2,2
58,0.143,2016-07-27,2016-06,23.9,21572660000,FY2016.FQ3,3
59,0.143,2016-10-26,2016-09,28.26,21344664000,FY2016.FQ4,4
60,0.143,2017-02-01,2016-12,28.96,21021692000,FY2017.FQ1,1
61,0.143,2017-05-03,2017-03,35.92,20823260000,FY2017.FQ2,2
62,0.158,2017-08-02,2017-06,36.01,20679128000,FY2017.FQ3,3
63,0.158,2017-11-03,2017-09,38.53,20504804000,FY2017.FQ4,4
64,0.158,2018-02-02,2017-12,42.31,20326604000,FY2018.FQ1,1
65,0.158,2018-05-02,2018-03,41.95,19773128000,FY2018.FQ2,2
66,0.183,2018-08-01,2018-06,46.28,19371668000,FY2018.FQ3,3
67,0.183,2018-11-05,2018-09,56.44,19019944000,FY2018.FQ4,4
68,0.183,2019-01-30,2018-12,39.44,18919212000,FY2019.FQ1,1
69,0.183,2019-05-01,2019-03,47.49,18429136000,FY2019.FQ2,2
70,0.193,2019-07-31,2019-06,49.48,18125580000,FY2019.FQ3,3
71,0.193,2019-10-31,2019-09,55.99,17772944000,FY2019.FQ4,4
72,0.193,2020-01-29,2019-12,73.41,17536108000,FY2020.FQ1,1
73,0.193,2020-05-01,2020-03,63.573,17295948000,FY2020.FQ2,2
74,0.205,2020-07-31,2020-06,91.2,17135756000,FY2020.FQ3,3
75,0.205,2020-10-30,2020-09,115.81,16976763000,FY2020.FQ4,4
76,0.205,2021-01-28,2020-12,132.69,16823263000,FY2021.FQ1,1
77,0.205,2021-04-29,2021-03,122.15,16686305000,FY2021.FQ2,2
78,0.22,2021-07-28,2021-06,136.96,16556942000,FY2021.FQ3,3
79,0.22,2021-10-29,2021-09,141.5,16426786000,FY2021.FQ4,4
80,0.22,2022-01-28,2021-12,177.57,16334371000,FY2022.FQ1,1
81,0.22,2022-04-29,2022-03,174.61,16207568000,FY2022.FQ2,2
82,0.23,2022-07-29,2022-06,136.72,16095378000,FY2022.FQ3,3
83,0.23,2022-10-28,2022-09,138.2,15943425000,FY2022.FQ4,4
84,0.23,2023-02-03,2022-12,129.93,15842407000,FY2023.FQ1,1
85,0.23,2023-05-05,2023-03,164.9,15723406000,FY2023.FQ2,2
86,0.24,2023-08-04,2023-06,193.97,15647868000,FY2023.FQ3,3
87,0.24,2023-11-03,2023-09,171.21,15550061000,FY2023.FQ4,4
88,0.24,2024-02-02,2023-12,192.53,15460223000,FY2024.FQ1,1
89,0.24,2024-05-03,2024-03,171.48,15337686000,FY2024.FQ2,2
90,0.25,2024-08-02,2024-06,210.62,15222259000,FY2024.FQ3,3
91,0.25,2024-11-01,2024-09,233.0,15116786000,FY2024.FQ4,4
92,0.25,2025-01-31,2024-12,250.42,15037874000,FY2025.FQ1,1
93,0.25,2025-05-02,2025-03,222.13,14939315000,FY2025.FQ2,2
