,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0,2002-01-24,2001-12,0.541,7464360000,-50321000,106881000,-253294000,-119782000,-15958000,-282153000,99831000,99831000,0,10000000,-9575000,-19575000,0,16625000,0,0,0,-6198000,-6198000,0,0,-196775000,-567152000,370377000,0,-50321000,-50321000,0,171346000,265742000,0,30628000,-567277000,5770000,99254000,20732000,20732000,4637000,FY2001,2001
1,0,2003-02-19,2002-12,0.945,7758120000,-39163000,106894000,-121684000,174291000,38471000,197972000,0,0,0,0,-14795000,-14795000,0,121689000,0,0,0,0,0,0,0,-82521000,-635810000,553289000,0,-39163000,-39163000,0,175766000,82274000,-553000,-51303000,-149132000,-2991000,258773000,0,-31704000,68927000,FY2002,2002
2,0,2004-02-25,2003-12,2.631,8067080000,-46000000,-332000000,236000000,393000000,67000000,364000000,0,0,0,0,-495000000,-495000000,0,163000000,0,0,0,0,5000000,5000000,0,277000000,-536000000,813000000,0,-46000000,-46000000,0,169000000,76000000,1000000,-77000000,35000000,24000000,244000000,0,2000000,88000000,FY2003,2003
3,0,2005-03-11,2004-12,2.215,8194220000,-89000000,-97000000,-317000000,566000000,49000000,201000000,0,0,0,0,-157000000,-157000000,0,60000000,0,0,0,-71000000,-71000000,0,0,-157000000,-1584000000,1427000000,0,-89000000,-89000000,0,211000000,76000000,-257000000,-169000000,588000000,-110000000,382000000,0,-2000000,58000000,FY2004,2004
4,0,2006-02-17,2005-12,2.358,8320000000,-204000000,-193000000,-778000000,733000000,-52000000,-290000000,0,0,0,11000000,-259000000,-270000000,0,66000000,0,0,0,-24000000,-24000000,0,0,-550000000,-1386000000,836000000,0,-204000000,-204000000,0,309000000,121000000,70000000,-104000000,359000000,-213000000,497000000,0,-84000000,87000000,FY2005,2005
5,0,2007-02-16,2006-12,1.973,8280000000,-216000000,-400000000,-333000000,702000000,40000000,9000000,0,-252000000,-252000000,98000000,-285000000,-383000000,0,137000000,0,0,0,-32000000,-32000000,0,0,-85000000,-1930000000,1845000000,0,-216000000,-216000000,0,464000000,205000000,22000000,-282000000,190000000,-280000000,849000000,0,-103000000,101000000,FY2006,2006
6,0,2008-02-11,2007-12,4.632,8320000000,-224000000,50000000,42000000,1405000000,20000000,1517000000,0,-248000000,-248000000,115000000,41000000,-74000000,0,257000000,0,0,0,-75000000,-75000000,0,0,341000000,-930000000,1271000000,0,-224000000,-224000000,0,1043000000,246000000,-99000000,-303000000,476000000,-446000000,1601000000,0,-255000000,185000000,FY2007,2007
7,0,2009-01-30,2008-12,2.564,8571663000,-333000000,-198000000,-1199000000,1697000000,-70000000,230000000,0,-100000000,-100000000,98000000,-257000000,-355000000,0,159000000,0,0,0,-494000000,-494000000,0,0,-372000000,-1677000000,1305000000,0,-333000000,-333000000,0,1058000000,287000000,-5000000,-232000000,645000000,-563000000,1508000000,0,-218000000,275000000,FY2008,2008
8,0,2010-01-29,2009-12,6.726,8880000000,-373000000,-280000000,-2337000000,3293000000,-1000000,675000000,0,0,0,87000000,-385000000,-472000000,0,105000000,0,0,0,-40000000,-40000000,0,0,-1924000000,-3890000000,1966000000,0,-373000000,-373000000,0,2201000000,378000000,81000000,-531000000,902000000,-610000000,3213000000,0,-481000000,341000000,FY2009,2009
9,0,2011-01-28,2010-12,9.0,9020000000,-979000000,181000000,-3360000000,3495000000,17000000,333000000,0,0,0,143000000,-78000000,-221000000,0,259000000,0,0,0,-352000000,-352000000,0,0,-2029000000,-6279000000,4250000000,0,-979000000,-979000000,0,2486000000,568000000,4000000,-1019000000,1152000000,-1139000000,3800000000,0,-295000000,424000000,FY2010,2010
