,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0,2002-01-24,2001-12,0.541,7464360000,-1.1371,NA,-1440000000,-0.1976,0.6265,-0.343,0.0,0.0817,1.3109,1.3197,NA,-1.5008,NA,0,0,216103000,2.3538,0.0692,0.0296,5191273760,-3.605,-9.3241,-30.5184,-9.8613,1.6625,-3.4158,0.0,0.6119,-0.8793,-170103000,0.0,0.3585,-0.0544,NA,-0.0233,0.2557,NA,0.2177,0.0,4038218760,1614428000,0.6054,-0.1783,-37229250,0.8547,NA,-0.0068,-0.0158,0,0.0,-0.2583,0.5243,-0.0722,-0.1685,NA,-2.8043,-7.2531,-23.7398,-7.6709,1.2932,-2.6571,0.0,0.1305,0.4286,-0.2951,NA,-0.0526,0.4625,NA,-0.5903,0.10793340723243,-2.1269,NA,-0.064,0.038,321560000,0.045,-0.2086,-1519749000,0.0,-0.233,0.0,-0.4887,FY2001,2001
1,0,2003-02-19,2002-12,0.945,7758120000,-1.4713,NA,-1352814000,-0.1787,0.2217,0.3664,0.0,2.455,1.5157,1.147,NA,-1.6876,NA,0,0,146398000,-0.3225,0.0372,0.0193,8306774400,-6.1403,-55.4032,61.4733,-55.1457,2.1121,-5.8207,0.0,0.7435,-0.6796,135128000,0.0,1.7943,0.0343,NA,0.0178,0.2523,NA,0.243,0.0,7331423400,1543879000,0.7307,-0.0381,48093000,2.2918,NA,0.0084,0.0163,0,0.0,-0.119,0.7138,-0.0199,-0.0383,NA,-5.4193,-48.8979,54.2553,-48.6707,1.8641,-5.1373,0.0,0.2595,0.5197,-0.0826,NA,0.0776,0.1073,NA,-0.1815,0.10793340723243,-0.8039,NA,0.0856,0.0388,293760000,0.0393,-0.1885,-1427085000,0.0,0.2155,0.0,0.0605,FY2002,2002
2,0,2004-02-25,2003-12,2.631,8067080000,-2.0866,NA,-1036107000,-0.1236,-0.1745,0.493,0.0,1.2548,1.4535,0.901,NA,-1.8802,NA,0,0,346000000,1.3634,0.0657,0.0412,21773944480,-21.0151,622.1126,62.7491,558.3062,4.1363,-19.7008,0.0,1.2,-0.4792,347000000,0.0,1.5679,0.0659,NA,0.0414,0.2387,NA,0.2663,0.1025,21224487480,844665000,1.2334,0.0066,202500000,3.2105,NA,0.0322,0.0512,0,0.0,-0.0631,1.2589,0.0046,0.0074,NA,-20.4848,606.4139,61.1656,544.2176,4.032,-19.2037,0.0,0.3384,0.6281,0.0168,NA,0.2931,-0.0293,NA,0.0379,0.10793340723243,39.6151,NA,0.3178,0.1074,308960000,0.0398,-0.1318,-1105228000,0.0,0.0862,0.0,0.2341,FY2003,2003
3,0,2005-03-11,2004-12,2.215,8194220000,-14.3083,NA,-227000000,-0.0267,-0.9347,0.1821,0.0,0.4402,1.5672,0.5711,NA,-8.1718,NA,0,0,516000000,0.4913,0.0745,0.0607,18226197300,-80.2916,30.9969,38.21,51.3414,2.6334,-49.7983,0.0,16.5,-0.0698,477000000,0.0,0.3746,0.0689,NA,0.0561,0.2314,NA,0.2744,0.0,18150197300,552000000,15.8,0.0849,330000000,0.6296,NA,0.0517,0.0635,0,0.0,0.0968,8.1025,0.0417,0.0512,NA,-79.9568,30.8676,38.0507,51.1273,2.6224,-49.5907,0.0,0.3147,0.8142,0.2173,NA,0.3464,-0.931,NA,0.4629,0.10793340723243,8.7294,NA,0.3773,0.0143,127140000,0.0157,-0.043,-366000000,0.0,0.5022,0.0,0.7809,FY2004,2004
4,0,2006-02-17,2005-12,2.358,8320000000,15.0243,0.6519,246000000,0.0288,-1.2921,-0.2225,0.0,0.295,1.5423,0.4017,0.5838,6.0365,-0.7504,0,0,553000000,0.0717,0.0651,0.0649,19098560000,77.6364,57.353,36.1031,44.6228,2.2495,219.5236,0.0,-0.4,0.0665,529000000,0.0,0.109,0.0623,-0.0211,0.062,0.2401,0.2344,0.2727,0.2219,19618560000,467000000,-0.4336,0.0392,324000000,-0.0181,-0.0595,0.0507,0.0508,0,0.0,0.4146,0.2056,0.0502,0.0504,-0.184,79.7502,58.9145,37.0861,45.8377,2.3107,225.5006,0.0,0.2267,0.9964,0.0959,-0.1889,0.2522,35.0526,-0.0146,0.1982,0.10793340723243,0.6385,-0.3002,0.2763,0.0023,125780000,0.0153,0.0102,87000000,0.0,0.1379,0.0,2.0837,FY2005,2005
5,0,2007-02-16,2006-12,1.973,8280000000,10.1229,1.7682,431000000,0.0508,-0.0588,0.0088,0.0,-0.0422,1.3321,0.2903,0.5838,2.9396,0.507,0,0,594000000,0.0741,0.0554,0.07,15564440000,36.1123,81.9181,32.0255,41.2849,1.4531,65.951,0.0,-0.4523,0.0987,486000000,0.0,-0.0812,0.0453,0.0193,0.0573,0.2292,0.2344,0.2045,0.496,16336440000,225000000,-0.4294,0.0177,291750000,-0.0995,0.0002,0.0458,0.0363,0,0.0,0.3132,-0.1191,0.0444,0.0351,-0.1034,37.9035,85.9812,33.614,43.3327,1.5252,69.2222,0.9198,0.2616,1.263,0.0471,-0.1889,0.2144,0.5612,0.039,0.1108,0.10793340723243,0.2725,-0.3002,0.2376,-0.0046,-40000000,-0.0048,0.0278,236000000,0.8709,0.1804,0.6229,0.752,FY2006,2006
6,0,2008-02-11,2007-12,4.632,8320000000,5.4177,1.7682,1197000000,0.1411,-0.037,1.4843,1.1432,1.0014,1.3904,0.2098,0.5838,1.137,-0.1819,0,0,901000000,0.5168,0.0607,0.1062,36708240000,30.6668,77.1181,31.0823,55.6185,2.4744,37.6494,0.0,1.4347,0.1845,1181000000,0.0,1.43,0.0796,0.0398,0.1392,0.226,0.2344,0.3652,0.2787,38538240000,-1240000000,1.5052,0.032,491250000,0.6838,0.0263,0.0772,0.0441,0,0.0,0.1881,0.7506,0.0778,0.0444,-0.0154,32.1956,80.9626,32.6318,58.3912,2.5977,39.5264,0.5854,0.385,1.7494,0.0877,-0.0328,0.2836,0.5847,0.2849,0.2236,0.10793340723243,1.3697,-0.0717,0.3117,0.0,40000000,0.0048,0.1149,975000000,0.4575,0.4863,0.4527,1.7772,FY2007,2007
7,0,2009-01-30,2008-12,2.564,8571663000,3.1115,0.9871,2672000000,0.3092,-0.4866,0.0905,0.492,0.2078,1.2973,0.0491,0.5838,0.153,-0.6738,0,0,1129000000,0.253,0.0589,0.1306,18659743932,6.9834,28.9298,13.6801,20.71,0.9735,8.3526,0.0,0.3392,0.3213,1364000000,0.8634,0.1549,0.0711,0.0538,0.1578,0.2227,0.2344,0.2734,0.2741,21977743932,-2360000000,0.355,0.0336,631500000,0.2854,0.0401,0.0974,0.0439,0,0.0,0.5727,0.3651,0.1042,0.047,0.0213,8.2252,34.074,16.1127,24.3926,1.1467,9.8378,0.4116,0.2919,2.2182,0.0871,0.032,0.2649,0.3334,0.3979,0.2287,0.10793340723243,3.8972,0.0744,0.2956,0.0188,251663000,0.0302,0.2585,2234000000,0.2906,0.282,0.3441,1.2322,FY2008,2008
8,0,2010-01-29,2009-12,6.726,8880000000,2.6275,0.7451,5257000000,0.5946,-0.1201,0.2437,0.0,0.9404,1.3303,0.0182,0.4864,0.0479,-0.7264,0,0,1507000000,0.3348,0.0614,0.1704,53469880000,10.1711,59.2792,18.3116,46.055,2.1816,15.4716,0.0,0.36,0.3805,2920000000,0.0,1.1407,0.1191,0.0641,0.3303,0.2256,0.2344,0.2953,0.2179,59726880000,-3335000000,0.3984,0.0368,846750000,0.3408,0.044,0.1277,0.046,0,0.0,0.5105,0.2885,0.1313,0.0473,0.0398,11.3614,66.216,20.4544,51.4443,2.4369,17.282,0.3105,0.2787,2.7725,0.0815,0.0643,0.2254,0.2275,0.3979,0.21,0.10793340723243,0.7589,0.1545,0.2903,0.0231,308337000,0.0359,0.3909,3456000000,0.188,0.6614,0.3475,0.9674,FY2009,2009
9,0,2011-01-28,2010-12,9.0,9020000000,2.7384,2.683,6864000000,0.7526,-1.6246,0.0966,0.0,0.0613,1.3253,0.0341,0.346,0.0933,0.0706,0,0,1974000000,0.3098,0.0577,0.2164,72602000000,10.5772,63.0225,28.8561,48.4983,2.1226,14.6611,0.0,0.245,0.3651,2516000000,0.0,-0.1383,0.0735,0.0674,0.2758,0.2234,0.2303,0.3818,0.2351,81180000000,-3593000000,0.2771,0.0336,1054500000,0.2453,0.044,0.1541,0.0411,0,0.0,0.8713,0.2894,0.1641,0.0437,0.0441,11.8269,70.4687,32.2655,54.2284,2.3734,16.3933,0.2861,0.3955,3.7504,0.0706,0.076,0.189,0.19,0.2804,0.177,0.10793340723243,0.3977,0.1876,0.2519,0.0316,140000000,0.0157,0.5429,4952000000,0.2429,0.3608,0.0,0.3056,FY2010,2010
