,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0,2002-01-24,2001-12,0.541,7464360000,2323875000,265742000,-0.07,-0.07,798558000,0,0,-139232000,29103000,-556754000,-556754000,-526427000,0,-110129000,-49639000,-30327000,-366659000,615415000,0,-526427000,3122433000,0,232782000,7284220000,7284220000,0,848197000,FY2001,2001
1,0,2003-02-19,2002-12,0.945,7758120000,2940318000,82274000,-0.02,-0.02,992618000,0,700000,-142925000,23687000,-149933000,-149933000,-149933000,0,-119238000,64124000,0,-95519000,655135000,0,-150633000,3932936000,0,273359000,7567260000,7567260000,0,928494000,FY2002,2002
2,0,2004-02-25,2003-12,2.631,8067080000,4007000000,76000000,0.0,0.0,1257000000,0,-4000000,-130000000,22000000,35000000,35000000,35000000,0,-108000000,270000000,0,-123000000,755000000,0,39000000,5264000000,0,232000000,7900000000,8380000000,0,987000000,FY2003,2003
3,0,2005-03-11,2004-12,2.215,8194220000,5319000000,76000000,0.07,0.07,1602000000,0,233000000,-107000000,28000000,588000000,588000000,588000000,0,-79000000,440000000,0,-6000000,876000000,0,355000000,6921000000,0,286000000,8120000000,8500000000,0,1162000000,FY2004,2004
4,0,2006-02-17,2005-12,2.358,8320000000,6451000000,121000000,0.04,0.04,2039000000,0,-95000000,-92000000,44000000,333000000,333000000,333000000,0,-48000000,432000000,0,44000000,1243000000,0,428000000,8490000000,0,364000000,8240000000,8520000000,0,1607000000,FY2005,2005
5,0,2007-02-16,2006-12,1.973,8280000000,8255000000,205000000,0.02,0.02,2456000000,0,-187000000,-78000000,59000000,190000000,190000000,190000000,0,-19000000,389000000,0,7000000,1609000000,0,377000000,10711000000,0,458000000,8320000000,8480000000,0,2067000000,FY2006,2006
6,0,2008-02-11,2007-12,4.632,8320000000,11482000000,246000000,0.05,0.05,3353000000,0,-184000000,-77000000,90000000,476000000,476000000,476000000,0,13000000,655000000,0,-8000000,2119000000,0,660000000,14835000000,0,579000000,8260000000,8480000000,0,2698000000,FY2007,2007
7,0,2009-01-30,2008-12,2.564,8571663000,14896000000,287000000,0.07,0.07,4270000000,0,-247000000,-71000000,83000000,645000000,645000000,654000000,0,12000000,842000000,-9000000,47000000,2667000000,0,901000000,19166000000,0,761000000,8460000000,8640000000,0,3428000000,FY2008,2008
8,0,2010-01-29,2009-12,6.726,8880000000,18978000000,378000000,0.1,0.1,5531000000,0,-253000000,-34000000,37000000,902000000,902000000,908000000,0,3000000,1129000000,-6000000,29000000,3394000000,0,1161000000,24509000000,0,1008000000,8660000000,8840000000,0,4402000000,FY2009,2009
9,0,2011-01-28,2010-12,9.0,9020000000,26561000000,568000000,0.12,0.12,7643000000,0,-352000000,-39000000,51000000,1152000000,1152000000,1145000000,0,12000000,1406000000,7000000,79000000,4738000000,0,1497000000,34204000000,0,1499000000,8940000000,9120000000,0,6237000000,FY2010,2010
10,0,2012-02-01,2011-12,8.655,9100000000,37288000000,1083000000,0.07,0.06,10789000000,0,-291000000,-65000000,61000000,631000000,631000000,643000000,0,-4000000,862000000,-12000000,76000000,7639000000,0,934000000,48077000000,0,2288000000,9060000000,9220000000,0,9927000000,FY2011,2011
11,0,2013-01-30,2012-12,12.544,9080000000,45971000000,2159000000,0.0,0.0,15122000000,0,-428000000,-92000000,40000000,-39000000,-39000000,116000000,0,-52000000,676000000,-155000000,-80000000,11142000000,0,544000000,61093000000,0,3304000000,9060000000,9060000000,0,14446000000,FY2012,2012
12,0,2014-01-31,2013-12,19.94,9180000000,54181000000,3253000000,0.03,0.03,20271000000,0,-161000000,-141000000,38000000,274000000,274000000,345000000,0,-103000000,745000000,-71000000,-136000000,15264000000,0,506000000,74452000000,0,4262000000,9140000000,9300000000,0,19526000000,FY2013,2013
13,0,2015-01-30,2014-12,15.518,9300000000,62752000000,4746000000,-0.02,-0.02,26236000000,0,-167000000,-210000000,39000000,-241000000,-241000000,-278000000,0,-171000000,178000000,37000000,-118000000,20174000000,0,-111000000,88988000000,0,5884000000,9240000000,9240000000,0,26058000000,FY2014,2014
14,0,2016-01-29,2015-12,33.795,9420000000,71651000000,6281000000,0.06,0.06,35355000000,0,-950000000,-459000000,50000000,596000000,596000000,618000000,0,-409000000,2233000000,-22000000,-256000000,26121000000,0,1568000000,107006000000,0,7001000000,9340000000,9540000000,0,33122000000,FY2015,2015
15,0,2017-02-10,2016-12,37.494,9540000000,88265000000,8116000000,0.25,0.24,47722000000,0,-1425000000,-484000000,100000000,2371000000,2371000000,2467000000,0,-384000000,4186000000,-96000000,90000000,33871000000,0,3892000000,135987000000,0,9665000000,9480000000,9680000000,0,43536000000,FY2016,2016
16,0,2018-02-02,2017-12,58.474,9680000000,111934000000,11478000000,0.31,0.3,65932000000,0,-769000000,-848000000,202000000,3033000000,3033000000,3037000000,0,-646000000,4106000000,-4000000,346000000,48083000000,0,3806000000,177866000000,0,13743000000,9600000000,9860000000,0,61826000000,FY2017,2017
17,0,2019-02-01,2018-12,75.099,9820000000,139156000000,15341000000,1.03,1.0,93731000000,0,-1197000000,-1417000000,440000000,10073000000,10073000000,10064000000,0,-977000000,12421000000,9000000,-183000000,63160000000,0,11261000000,232887000000,0,18150000000,9740000000,10000000000,0,81310000000,FY2018,2018
18,0,2020-01-31,2019-12,92.392,9960000000,165536000000,21789000000,1.17,1.15,114986000000,0,-2374000000,-1600000000,832000000,11588000000,11588000000,11602000000,0,-768000000,14541000000,-14000000,203000000,76364000000,0,13976000000,280522000000,0,24081000000,9880000000,10080000000,0,100445000000,FY2019,2019
19,0,2021-02-03,2020-12,162.847,10060000000,233307000000,25180000000,2.13,2.09,152757000000,0,-2863000000,-1647000000,555000000,21331000000,21331000000,21315000000,0,-1092000000,22899000000,16000000,2371000000,101182000000,0,24178000000,386064000000,0,28676000000,10005000000,10198000000,0,129858000000,FY2020,2020
20,0,2022-02-04,2021-12,166.717,10180000000,272344000000,34433000000,3.3,3.24,197478000000,0,-4791000000,-1809000000,448000000,33364000000,33364000000,33360000000,0,-1361000000,24879000000,4000000,14633000000,131225000000,0,38151000000,469822000000,0,41374000000,10117000000,10296000000,0,172599000000,FY2021,2021
21,0,2023-02-03,2022-12,84.0,10242000000,288831000000,41921000000,-0.27,-0.27,225152000000,0,3217000000,-2367000000,989000000,-2722000000,-2722000000,-2719000000,0,-1378000000,12248000000,-3000000,-16806000000,158775000000,0,-5936000000,513983000000,0,54129000000,10189000000,10189000000,0,212904000000,FY2022,2022
22,0,2024-02-02,2023-12,151.94,10383000000,304739000000,48663000000,2.95,2.9,270046000000,0,-7120000000,-3182000000,2949000000,30425000000,30425000000,30437000000,0,-233000000,36852000000,-12000000,938000000,177008000000,0,37557000000,574785000000,0,56186000000,10304000000,10492000000,0,233194000000,FY2023,2023
23,0,2025-02-07,2024-12,219.39,10593000000,326288000000,52795000000,5.66,5.53,311671000000,0,-9265000000,-2406000000,4677000000,59248000000,59248000000,59349000000,0,2271000000,68593000000,-101000000,-2250000000,187812000000,0,68614000000,637959000000,0,55266000000,10473000000,10721000000,0,243078000000,FY2024,2024
