,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0,2002-01-24,2001-12,0.541,7464360000,FY2001,2001
1,0,2003-02-19,2002-12,0.945,7758120000,FY2002,2002
2,0,2004-02-25,2003-12,2.631,8067080000,FY2003,2003
3,0,2005-03-11,2004-12,2.215,8194220000,FY2004,2004
4,0,2006-02-17,2005-12,2.358,8320000000,FY2005,2005
5,0,2007-02-16,2006-12,1.973,8280000000,FY2006,2006
6,0,2008-02-11,2007-12,4.632,8320000000,FY2007,2007
7,0,2009-01-30,2008-12,2.564,8571663000,FY2008,2008
8,0,2010-01-29,2009-12,6.726,8880000000,FY2009,2009
9,0,2011-01-28,2010-12,9.0,9020000000,FY2010,2010
10,0,2012-02-01,2011-12,8.655,9100000000,FY2011,2011
11,0,2013-01-30,2012-12,12.544,9080000000,FY2012,2012
12,0,2014-01-31,2013-12,19.94,9180000000,FY2013,2013
13,0,2015-01-30,2014-12,15.518,9300000000,FY2014,2014
14,0,2016-01-29,2015-12,33.795,9420000000,FY2015,2015
15,0,2017-02-10,2016-12,37.494,9540000000,FY2016,2016
16,0,2018-02-02,2017-12,58.474,9680000000,FY2017,2017
17,0,2019-02-01,2018-12,75.099,9820000000,FY2018,2018
18,0,2020-01-31,2019-12,92.392,9960000000,FY2019,2019
19,0,2021-02-03,2020-12,162.847,10060000000,FY2020,2020
20,0,2022-02-04,2021-12,166.717,10180000000,FY2021,2021
21,0,2023-02-03,2022-12,84.0,10242000000,FY2022,2022
22,0,2024-02-02,2023-12,151.94,10383000000,FY2023,2023
23,0,2025-02-07,2024-12,219.39,10593000000,FY2024,2024
