,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0,2002-04-24,2002-03,0.715,7502180000,-4854000,2846000,-2506000,-241033000,-2900000,-243593000,0,0,0,0,-4563000,-4563000,0,7409000,0,0,0,0,0,0,0,2348000,-134227000,136575000,0.0,-4854000,-4854000,0,-216512000,22919000,0,4674000,-23150000,-35221000.0,-217866000,0,-3320000,10931000,FY2002.FQ1,1
1,0,2002-07-26,2002-06,0.813,7606080000,-7440000,39434000,-93981000,4637000,23659000,-26251000,0,0,0,0,-3432000,-3432000,0,42866000,0,0,0,0,0,0,0,-86541000,-299877000,213336000,0.0,-7440000,-7440000,0,11970000,22344000,0,16420000,-93553000,40728000.0,8980000,0,-13430000,23148000,FY2002.FQ2,2
2,0,2002-10-25,2002-09,0.799,7624320000,-11353000,1912000,11082000,38108000,6024000,57126000,0,0,0,0,-4126000,-4126000,0,6038000,0,0,0,0,0,0,0,22435000,-28186000,50621000,0.0,-11353000,-11353000,0,76237000,21713000,0,-24029000,-35080000,-23930000.0,114936000,0,-14670000,-832000,FY2002.FQ3,3
3,0,2003-02-19,2002-12,0.945,7758120000,-15516000,62702000,-36279000,372579000,11688000,410690000,0,0,0,0,-2674000,-2674000,0,65376000,0,0,0,0,0,0,0,-20763000,-173520000,152757000,0.0,-15516000,-15516000,0,304071000,15298000,0,-48368000,2651000,14879000.0,352723000,0,-284000,35680000,FY2002.FQ4,4
4,0,2003-04-25,2003-03,1.302,7832180000,-6394000,35334000,-30494000,-251782000,4461000,-242481000,0,0,0,0,-3221000,-3221000,0,38555000,0,0,0,0,0,0,0,-24100000,-233055000,208955000,0.0,-6394000,-6394000,0,-287872000,19750000,0,30625000,-10121000,-862000.00000002,-345730000,0,27233000,27323000,FY2003.FQ1,1
5,0,2003-07-24,2003-06,1.816,7934600000,-7141000,-227876000,233668000,126024000,14139000,145955000,0,0,0,0,-280918000,-280918000,0,53042000,0,0,0,0,0,0,0,240809000,-109259000,350068000,0.0,-7141000,-7141000,0,96491000,19003000,0,-2479000,-43314000,29391000.0,93056000,0,5914000,24453000,FY2003.FQ2,2
6,0,2003-10-24,2003-09,2.422,8008440000,-15192000,37798000,-60012000,36817000,10087000,24690000,0,0,0,0,-3437000,-3437000,0,41235000,0,0,0,0,0,0,0,-49892000,-71880000,21988000,5072000.0,-15192000,-15192000,0,-3334000,18338000,0,-62147000,15563000,-14686000.0,73657000,0,-14844000,20936000,FY2003.FQ3,3
7,0,2004-02-25,2003-12,2.631,8067080000,-17273000,-177256000,92838000,481941000,38313000,435836000,0,0,0,0,-207424000,-207424000,0,30168000,0,0,0,0,0,0,0,110183000,-121806000,231989000,-72000.000000017,-17273000,-17273000,0,363715000,18909000,0,-42999000,72872000,11157000.0,423017000,0,-16303000,15288000,FY2003.FQ4,4
8,0,2004-04-23,2004-03,2.164,8097880000,-9000000,-141000000,56000000,-250000000,2000000,-333000000,0,0,0,0,-156000000,-156000000,0,15000000,0,0,0,0,0,0,0,65000000,-505000000,570000000,0.0,-9000000,-9000000,0,-335000000,18000000,-7000000,13000000,111000000,-44000000.0,-362000000,0,14000000,7000000,FY2004.FQ1,1
9,0,2004-07-23,2004-06,2.72,8134220000,-14000000,19000000,-222000000,143000000,-8000000,-68000000,0,0,0,0,-1000000,-1000000,0,20000000,0,0,0,0,0,0,0,-208000000,-251000000,43000000,0.0,-14000000,-14000000,0,75000000,18000000,-1000000,-5000000,76000000,-47000000.0,85000000,0,-5000000,22000000,FY2004.FQ2,2
