,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0,2002-04-24,2002-03,0.715,7502180000,-0.9409,-1.039,-1447375000,-0.194,0.7502,-0.3361,0.0,0.4077,1.4524,1.5905,1.1592,-1.4966,-1.5029,0,0,34667000,0.5485,0.0409,0.0046,6771073700,-4.6781,-18.9614,649.1298,-20.0208,2.0709,-4.4396,0.0,0.909,-1.0627,-245887000,0.0,0.4233,-0.2901,-0.1149,-0.0329,0.2632,0.2497,0.2219,0.0,5364058700,1869542000,0.8928,-0.0282,8811000,1.228,-0.067,0.0015,0.0138,0,0.0,-0.157,0.8944,-0.0029,-0.0262,-0.2852,-3.706,-15.0212,514.242,-15.8605,1.6406,-3.517,0.0906,0.2099,0.1135,-0.2381,-0.4729,0.0189,0.2473,0.8227,-0.4959,0.13271602175077,-1.1842,-0.7239,0.0212,0.0436,37820000.0,0.005,-0.2044,-1525145000,-0.0485,-0.0736,0.0,-0.1547,FY2002.FQ1,1
1,0,2002-07-26,2002-06,0.813,7606080000,-0.9938,-1.0655,-1443911000,-0.1915,0.2863,-0.4158,-0.1743,0.8659,1.5799,1.5559,1.387,-1.5463,-1.5256,0,0,23816000,-0.4228,0.0295,0.0031,7578590040,-5.2486,-26.8467,486.8056,-27.807,2.2241,-4.9849,0.0,0.4583,-1.0061,-2803000,0.0,0.6469,-0.0034,-0.0962,-0.0003,0.2708,0.2572,0.2139,0.0,6183743040,1962394000,0.4443,-0.1161,1104000,1.0484,-0.0529,0.0001,0.0018,0,0.0,-0.1469,0.4154,-0.0122,-0.1146,-0.2639,-4.2826,-21.9055,397.2085,-22.6891,1.8147,-4.0674,0.0176,0.2066,0.1068,-0.2018,-0.4729,0.0602,0.1952,0.8227,-0.3744,0.13271602175077,-0.6002,-0.7239,0.0671,0.0477,103900000.0,0.0138,-0.2016,-1520307000,-0.0526,0.0669,0.0,-0.0097,FY2002.FQ2,2
2,0,2002-10-25,2002-09,0.799,7624320000,-1.0128,-1.075,-1478439000,-0.1947,0.1216,-0.2422,0.0,1.5917,1.5746,1.5212,1.4878,-1.5408,-1.5435,0,0,48825000,0.3151,0.0573,0.0064,7490875680,-5.0667,-50.7866,62.606,-52.6884,2.0695,-4.8215,0.0,0.7826,-0.9873,26755000,0.0,1.3459,0.0314,-0.0417,0.0035,0.2539,0.2573,0.3327,0.0,6091831680,1950416000,0.7934,-0.0412,20334000,2.1063,-0.0419,0.0035,0.0318,0,0.0,-0.1703,0.7906,-0.0045,-0.0405,-0.2473,-4.1204,-41.3013,50.9133,-42.848,1.683,-3.921,0.0402,0.3316,0.1121,-0.1005,-0.4729,0.1222,0.1009,0.8227,-0.1857,0.13271602175077,-0.2978,-0.7239,0.1351,0.0315,18240000.0,0.0023,-0.2046,-1553623000,-0.0582,0.1121,0.0,-0.0168,FY2002.FQ3,3
3,0,2003-02-19,2002-12,0.945,7758120000,-1.4713,-1.075,-1352814000,-0.1762,-1.0594,0.3664,0.0,0.0671,1.5157,1.147,1.4878,-1.6876,-1.5435,0,0,39090000,-0.661,0.0273,0.005,8306774400,-6.1403,-55.4032,61.4733,-55.1457,2.1121,-5.8207,0.0,0.0,-0.6796,357063000,0.0,0.0453,0.2499,-0.0076,0.0465,0.2346,0.2573,0.2229,0.0,7331423400,1543879000,-0.4788,0.0018,17844000,-0.5807,-0.0182,0.003,0.0166,0,0.0,-0.119,-1.2186,-0.0001,-0.001,-0.1757,-5.4193,-48.8979,54.2553,-48.6707,1.8641,-5.1373,0.0947,0.281,0.1861,-0.0859,-0.4388,0.0741,0.1059,0.5762,-0.1733,0.13271602175077,-0.4515,-0.7239,0.0811,0.033,133800000.0,0.0175,-0.1859,-1427085000,-0.0209,0.2155,0.0,0.0605,FY2002.FQ4,4
4,0,2003-04-25,2003-03,1.302,7832180000,-1.3233,-1.075,-1289064000,-0.1658,-0.3172,0.671,0.0,-0.0445,1.9246,1.3496,1.4878,-1.786,-1.5435,0,0,58975000,0.7011,0.0544,0.0075,11405483360,-8.8478,-83.8003,92.849,-82.3221,2.7357,-8.3714,0.0,0.3333,-0.7556,-258176000,0.0,-0.0499,-0.2382,-0.0076,-0.0332,0.2497,0.2538,0.2126,0.0,10197498360,1800681000,0.5774,-0.0093,29418750,2.3388,0.0078,0.005,0.0362,0,0.0,-0.1096,0.5442,-0.0013,-0.0093,-0.0776,-7.9107,-74.9248,83.0151,-73.6031,2.4459,-7.4848,0.0544,0.2786,0.1394,-0.0736,-0.3056,0.0942,0.103,0.316,-0.14,0.13271602175077,-0.3836,-0.6305,0.102,0.0415,74060000.0,0.0095,-0.1753,-1362423000,-0.0275,0.2525,0.0,0.1093,FY2003.FQ1,1
5,0,2003-07-24,2003-06,1.816,7934600000,-1.2807,-1.075,-1246836000,-0.1582,0.0401,1.3729,-0.0653,26.1779,1.6263,1.302,1.4878,-1.6675,-1.5435,0,0,60826000,1.5539,0.0553,0.0077,15490832600,-12.4241,-180.4112,63.3507,-173.1283,3.4706,-11.7418,0.0,0.5384,-0.7808,118883000,-0.0554,43.4127,0.108,-0.0076,0.015,0.249,0.2538,0.2555,0.0,14409233600,1433494000,0.537,-0.0393,31367250,27.4123,0.0152,0.0053,0.038,0,0.0,-0.1113,0.5311,-0.0054,-0.0393,-0.0399,-11.5566,-167.8146,58.9274,-161.0402,3.2283,-10.922,0.0124,0.3653,0.1396,-0.0519,-0.2199,0.1429,0.0677,0.2213,-0.093,0.13271602175077,-0.2425,-0.4351,0.1552,0.0449,102420000.0,0.013,-0.1674,-1319282000,-0.0286,0.1127,0.0,0.1364,FY2003.FQ2,2
6,0,2003-10-24,2003-09,2.422,8008440000,-1.5109,-1.075,-1158034000,-0.1369,-0.3381,1.0344,0.0,-0.0338,1.7057,1.1915,1.4354,-1.8002,-1.5435,0,0,70269000,0.4392,0.0619,0.0083,20409095680,-17.6239,-579.4581,85.2528,-518.1288,4.2997,-16.6223,0.0,1.4,-0.6618,21625000,0.0,-0.1917,0.019,0.0077,0.0025,0.2519,0.2528,0.3222,0.0,19396441680,1414715000,1.4436,0.0137,38948250,0.9154,0.0242,0.0061,0.0457,0,0.0,-0.0743,1.4508,0.0018,0.0137,-0.0327,-16.7494,-550.7067,81.0227,-492.4204,4.0864,-15.7975,0.0494,0.3326,0.1341,-0.021,-0.1512,0.1782,0.0292,0.1505,-0.04,0.13271602175077,-0.1562,-0.28,0.1939,0.1136,73840000.0,0.0093,-0.1451,-1227814000,0.0175,0.1684,0.0,0.2167,FY2003.FQ3,3
7,0,2004-02-25,2003-12,2.631,8067080000,-2.0866,-1.2089,-1036107000,-0.1045,-0.1132,0.493,0.6934,0.2935,1.4535,0.901,1.3346,-1.8802,-1.6069,0,0,155930000,2.9889,0.0801,0.0157,21773944480,-21.0151,622.1126,62.7491,558.3062,4.1363,-19.7008,0.0,8.0,-0.4792,464668000,0.0,0.3013,0.2387,0.0252,0.0468,0.2192,0.2508,0.273,0.0,21224487480,844665000,26.4884,0.0374,102765750,4.7591,0.034,0.0138,0.0704,0,0.0,-0.0631,51.6403,0.0077,0.0395,-0.0177,-20.4848,606.4139,61.1656,544.2176,4.032,-19.2037,0.1129,0.3622,0.1963,0.0178,-0.0932,0.2936,-0.0319,0.1044,0.038,0.13271602175077,0.9992,-0.1795,0.3176,0.2913,58640000.0,0.0073,-0.1115,-1105228000,0.0486,0.0862,0.0,0.2341,FY2003.FQ4,4
8,0,2004-04-23,2004-03,2.164,8097880000,-1.9209,-1.302,-905050000,-0.1064,-0.4075,0.5502,0.0,0.007,1.6232,1.023,1.3109,-1.9652,-1.6776,0,0,128000000,1.1704,0.0836,0.015,18302264320,-20.2223,117.2312,52.8698,115.7484,3.205,-18.7875,0.0,7.5,-0.5205,-259000000,0.0,-0.0031,-0.1692,0.0252,-0.0304,0.2359,0.2493,0.3341,0.0,17523812320,1008976000,11.9672,0.0725,82500000,1.8043,0.0371,0.0129,0.0718,0,0.0,-0.0473,11.7696,0.0128,0.0712,-0.0052,-19.3622,112.245,50.6211,110.8253,3.0687,-17.9884,0.0911,0.412,0.18,0.08,-0.0798,0.3816,-0.1608,0.1019,0.1748,0.13271602175077,-3.6626,-0.1567,0.4137,0.0938,30800000.0,0.0038,-0.1146,-974171000,0.0258,0.0191,0.0,0.2979,FY2004.FQ1,1
9,0,2004-07-23,2004-06,2.72,8134220000,-2.3874,-1.3973,-790858000,-0.093,-0.9605,0.0925,-0.0853,0.1347,1.7036,0.9341,1.2467,-2.2301,-1.7368,0,0,104000000,0.7097,0.0749,0.0122,22735476400,-28.7478,82.5438,63.8111,80.498,3.7908,-26.4372,0.2457,2.5,-0.4188,129000000,-0.0927,0.0851,0.093,0.0252,0.0151,0.2458,0.2493,0.2448,0.0617,22125078400,1061695000,2.7546,0.0547,64500000,1.0562,0.0371,0.0101,0.062,0,3.2689,-0.0261,2.87,0.0095,0.0583,-0.0052,-27.976,80.3277,62.0979,78.3368,3.689,-25.7274,0.022,0.261,0.1631,0.1518,-0.0628,0.4169,-0.3248,0.0843,0.2983,0.13271602175077,1.4622,-0.1165,0.4507,0.079,36340000.0,0.0044,-0.1011,-859979000,0.0143,0.1823,0.0,0.3657,FY2004.FQ2,2
10,0,2004-10-22,2004-09,2.043,8149280000,-2.9243,-1.4911,-721077000,-0.0848,-0.9088,0.1188,0.0,2.1778,1.6106,0.8445,1.1692,-2.4698,-1.7931,0,0,100000000,0.4231,0.0683,0.0117,17242332040,-23.9119,54.9342,40.794,53.2381,2.7255,-20.0804,0.0,2.5,-0.3419,88000000,0.0,3.0693,0.0601,0.0457,0.0103,0.2433,0.2474,0.2455,0.0526,16648979040,1034659000,2.4697,0.0369,60750000,0.5597,0.0419,0.0095,0.0553,0,0.0,0.0239,2.6625,0.0067,0.0389,0.0063,-23.089,53.0438,39.3902,51.406,2.6318,-19.3894,0.0561,0.2896,0.1721,0.157,-0.0365,0.4073,-0.4151,0.0485,0.3088,0.13271602175077,1.0713,-0.0665,0.4534,0.0051,15060000.0,0.0018,-0.101,-858661000,0.0446,0.2051,0.0,0.3773,FY2004.FQ3,3
11,0,2005-03-11,2004-12,2.215,8194220000,-14.3083,-1.7159,-227000000,-0.0265,-1.142,0.1821,0.6142,0.1557,1.5672,0.5711,1.085,-8.1718,-1.8402,0,0,183000000,0.1736,0.072,0.0213,18226197300,-80.2916,31.0497,38.1301,51.4864,2.6334,-49.7983,0.0,3.5555,-0.0698,520000000,0.0,0.119,0.2046,0.0765,0.0607,0.214,0.2445,0.2749,0.0,18150197300,552000000,3.748,0.1361,121500000,0.1823,0.0505,0.0189,0.0637,0,0.0,0.0968,0.3919,0.0125,0.0421,0.0263,-79.9568,30.9202,37.9711,51.2717,2.6224,-49.5907,0.1217,0.3057,0.2968,0.2191,-0.0015,0.3266,-1.2382,-0.0013,0.4367,0.13271602175077,1.8365,-0.0009,0.3641,-0.1363,44939999.999999,0.0055,-0.0427,-366000000,0.0851,0.5022,0.0,0.7809,FY2004.FQ4,4
12,0,2005-04-28,2005-03,1.714,8220000000,-15.2592,-2.0038,-162000000,-0.0191,-1.8888,-0.3065,0.0,-0.176,1.671,0.6322,0.9785,-9.6481,-1.9227,0,0,136000000,0.0625,0.0715,0.016,14499080000,-89.5004,27.4603,34.7699,41.0738,1.988,-46.6208,0.0,-0.3076,-0.0655,-320000000,0.0,-0.2355,-0.1682,0.0765,-0.0377,0.2407,0.242,0.2686,0.5185,14089080000,1030000000,-0.5315,0.0273,81000000,-0.0181,0.056,0.0127,0.0567,0,0.0,0.1265,-0.0091,0.0127,0.0567,0.0392,-86.9696,26.6838,33.7867,39.9124,1.9318,-45.3025,0.0837,0.2431,0.2242,0.1846,0.0489,0.2885,-2.7146,-0.0963,0.3486,0.13271602175077,0.8851,0.1064,0.3188,-0.0023,25780000.000001,0.0031,-0.0366,-311000000,0.0514,0.4218,0.0,0.821,FY2005.FQ1,1
13,0,2005-07-28,2005-06,1.655,8240000000,-40.6406,-2.237,-64000000,-0.0075,-2.2857,-0.1029,-0.0414,0.7062,1.6835,0.5878,0.9175,-23.8906,-2.0976,0,0,130000000,0.25,0.0741,0.0152,13833200000,-216.1437,27.4468,28.4633,36.4031,1.8061,-63.455,0.1962,-0.3333,-0.0246,198000000,-0.0572,0.5348,0.1129,0.0765,0.0232,0.2567,0.2445,0.3196,0.5185,13637200000,900000000,-0.3157,0.0296,78000000,0.2093,0.058,0.0122,0.0593,0,1.3788,0.2368,0.3333,0.0127,0.0616,0.0408,-213.0812,27.0579,28.06,35.8873,1.7805,-62.5559,0.0206,0.2638,0.2062,0.1986,0.1159,0.3175,-4.4601,-0.2428,0.3517,0.13271602175077,0.5915,0.2366,0.355,0.0,20000000.0,0.0024,-0.0256,-218000000,0.0271,0.3775,0.0,0.919,FY2005.FQ2,2
14,0,2005-10-27,2005-09,2.265,8280000000,472.0,-2.237,6000000,0.0007,-1.6206,-0.1952,0.0,0.3076,1.6153,0.5402,0.8728,255.0,-2.0976,0,0,85000000,-0.15,0.0457,0.0099,18848200000,3141.3666,39.267,39.6804,50.3962,2.3402,-123.1908,0.0,-0.4285,0.0021,77000000,0.0,-0.125,0.0414,0.0765,0.0089,0.2491,0.2445,0.3005,0.4117,18754200000,930000000,-0.4444,0.0161,41250000,-0.3209,0.058,0.0064,0.0296,0,0.0,0.4199,-0.1052,0.0059,0.0274,0.0408,3125.7,39.0712,39.4825,50.1449,2.3285,-122.5764,0.0554,0.2699,0.217,0.1766,0.1544,0.2859,-16.5517,-0.37,0.3198,0.13271602175077,0.5417,0.3035,0.3191,0.007,40000000.0,0.0048,-0.0178,-153000000,0.0519,0.343,0.0,1.0083,FY2005.FQ3,3
15,0,2006-02-17,2005-12,2.358,8320000000,15.0243,-2.237,246000000,0.0288,-0.4864,-0.2225,0.1745,0.131,1.5423,0.4017,0.7384,6.0365,-2.0976,0,0,201000000,0.0983,0.0675,0.0235,19098560000,77.6364,57.353,36.035,44.6228,2.2495,219.5236,0.0,-0.439,0.0665,575000000,0.1707,0.1057,0.1931,0.0765,0.0674,0.224,0.242,0.2261,0.0,19618560000,467000000,-0.4248,0.0668,123750000,0.0185,0.058,0.0193,0.0554,0,0.0,0.4146,0.5046,0.0188,0.054,0.048,79.7502,58.9145,37.0161,45.8377,2.3107,225.5006,0.1046,0.1715,0.3494,0.102,0.1544,0.2592,2.6428,-0.37,0.2038,0.13271602175077,0.4026,0.3035,0.2865,-0.0046,40000000.0,0.0048,0.0102,87000000,0.0875,0.1379,0.0,2.0837,FY2005.FQ4,4
16,0,2006-04-27,2006-03,1.827,8340000000,9.2283,-2.237,324000000,0.038,-0.7692,-0.0487,0.0,-0.0306,1.5536,0.421,0.61,3.8858,-2.0976,0,0,146000000,0.0735,0.064,0.0171,15162180000,46.7968,45.6692,30.2638,36.4475,1.7099,115.7418,0.1161,-0.3333,0.1083,-349000000,0.0,-0.0906,-0.1531,0.0765,-0.0409,0.24,0.2404,0.1943,0.4687,15237180000,752000000,-0.0192,0.0223,79500000,-0.0185,0.058,0.0124,0.0465,0,3.9522,0.4734,-0.1111,0.0112,0.0421,0.0481,47.0283,45.8951,30.4135,36.6278,1.7184,116.3143,0.0722,0.1982,0.2674,0.0993,0.1544,0.2544,1.1649,-0.37,0.2003,0.13271602175077,0.3701,0.3035,0.284,0.0047,20000000.0,0.0024,0.0153,131000000,0.055,0.2095,0.0,3.0,FY2006.FQ1,1
17,0,2006-07-27,2006-06,1.942,8380000000,8.2637,-2.1541,383000000,0.0449,-0.2608,0.0858,-0.1228,-0.4672,1.5301,0.4183,0.5794,3.4569,-2.0976,0,0,90000000,-0.3076,0.042,0.0105,16178960000,42.2427,53.5727,43.1438,44.6932,1.7485,85.1524,-0.104,-0.5,0.121,72000000,-0.1701,-0.6363,0.0336,0.0507,0.0084,0.2379,0.2404,0.1311,0.5925,16273960000,641000000,-0.5769,0.0102,35250000,-0.548,0.0561,0.0055,0.0219,0,-5.1794,0.5168,-0.5,0.0063,0.0252,0.0481,42.4907,53.8872,43.3972,44.9556,1.7587,85.6524,0.0094,0.2201,0.251,0.0981,0.1544,0.2267,0.8543,-0.37,0.1835,0.13271602175077,0.2876,0.3035,0.2568,0.0023,40000000.0,0.0047,0.0223,190000000,0.0388,0.2168,0.0,6.9843,FY2006.FQ2,2
18,0,2006-10-26,2006-09,1.606,8220000000,16.6734,2.9381,196000000,0.0231,0.1842,0.155,0.0,-0.1503,1.3093,0.399,0.5556,6.653,0.6133,0,0,103000000,0.2117,0.0446,0.0121,13286320000,67.7873,45.6574,36.3014,38.0696,1.3694,6643.16,-0.1363,-0.25,0.0599,68000000,0.0,-0.1168,0.0294,0.0507,0.008,0.2379,0.2404,0.1857,0.5,13201320000,611000000,-0.3666,0.0082,30000000,-0.2727,0.0553,0.0047,0.0173,0,-3.3261,0.3944,-0.2549,0.0044,0.0164,0.0421,67.3536,45.3653,36.0691,37.8261,1.3606,6600.66,0.0419,0.2416,0.272,0.0904,0.1544,0.2232,1.0051,-0.37,0.1814,0.13271602175077,0.3178,0.3035,0.2539,-0.0093,-160000000.0,-0.019,0.0002,2000000,0.0651,0.1539,0.0,31.6666,FY2006.FQ3,3
19,0,2007-02-16,2006-12,1.973,8280000000,10.1229,8.746,431000000,0.0511,0.0909,0.0088,0.1792,0.1809,1.3321,0.2903,0.4806,2.9396,3.1982,0,0,256000000,0.2736,0.0642,0.0304,15564440000,36.1123,82.3515,32.0916,41.3947,1.4531,65.951,0.0291,-0.4782,0.0987,694000000,0.1832,0.2069,0.1741,0.0507,0.0824,0.2132,0.2389,0.2743,0.484,16336440000,225000000,-0.5125,0.0243,147750000,0.1939,0.0523,0.0233,0.0494,0,29.6156,0.3132,0.1677,0.0223,0.0471,0.0421,37.9035,86.4361,33.6833,43.4479,1.5252,69.2222,0.1113,0.3389,0.4733,0.0495,0.1295,0.2341,0.6028,0.0938,0.1181,0.13271602175077,0.2548,0.2563,0.2651,-0.0117,60000000.0,0.0072,0.028,236000000,0.0873,0.1804,0.0,0.752,FY2006.FQ4,4
