,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0,2002-04-24,2002-03,0.715,7502180000,624297000,22919000,0.0,0.0,223125000,0,0,-35244000,5652000,-23951000,-23951000,-22207000,0,-29592000,11748000,-1744000,-4363000,147291000,0,-22207000,847422000,0,64086000,7460620000,7460620000,0,211377000,FY2002.FQ1,1
1,0,2002-07-26,2002-06,0.813,7606080000,587438000,22344000,-0.01,-0.01,218167000,0,0,-35651000,5650000,-93553000,-93553000,-92385000,0,-30001000,1472000,-1168000,-63856000,145290000,0,-92385000,805605000,0,71405000,7538740000,7538740000,0,216695000,FY2002.FQ2,2
2,0,2002-10-25,2002-09,0.799,7624320000,635132000,21713000,0.0,0.0,216167000,0,0,-35922000,5600000,-35080000,-35080000,-34523000,0,-30322000,27112000,-557000,-31313000,144461000,0,-34523000,851299000,0,44594000,7593000000,7593000000,0,189055000,FY2002.FQ3,3
3,0,2003-02-19,2002-12,0.945,7758120000,1093451000,15298000,0.0,0.0,335159000,0,0,-36108000,6785000,2651000,2651000,-1518000,0,-29323000,23792000,4169000,4013000,218093000,0,-1518000,1428610000,0,93274000,7675200000,7675200000,0,311367000,FY2002.FQ4,4
4,0,2003-04-25,2003-03,1.302,7832180000,812977000,19750000,0.0,0.0,270582000,0,0,-36511000,6540000,-10121000,-10121000,-10121000,0,-29971000,39225000,0,-19375000,154705000,0,-10121000,1083559000,0,76652000,7770820000,7770820000,0,231357000,FY2003.FQ1,1
5,0,2003-07-24,2003-06,1.816,7934600000,825984000,19003000,0.0,0.0,273928000,0,0,-34367000,5761000,-43314000,-43314000,-43314000,0,-28606000,41823000,0,-56531000,160503000,0,-43314000,1099912000,0,71602000,7877520000,7877520000,0,232105000,FY2003.FQ2,2
6,0,2003-10-24,2003-09,2.422,8008440000,848635000,18338000,0.0,0.0,285821000,0,0,-29802000,4324000,15563000,15563000,15563000,0,-25478000,51931000,0,-10890000,161618000,0,15563000,1134456000,0,72272000,7958240000,8456040000,0,233890000,FY2003.FQ3,3
7,0,2004-02-25,2003-12,2.631,8067080000,1519404000,18909000,0.01,0.0,426669000,0,0,-29320000,5375000,72872000,72872000,76872000,0,-23945000,137021000,-4000000,-36204000,278174000,0,76872000,1946073000,0,11474000,7991380000,9911380000,0,289648000,FY2003.FQ4,4
8,0,2004-04-23,2004-03,2.164,8097880000,1169000000,18000000,0.01,0.01,361000000,0,2000000,-28000000,6000000,111000000,111000000,111000000,0,-22000000,110000000,0,21000000,187000000,0,109000000,1530000000,0,64000000,8080000000,8500000000,0,251000000,FY2004.FQ1,1
9,0,2004-07-23,2004-06,2.72,8134220000,1046000000,18000000,0.01,0.0,341000000,0,-5000000,-26000000,5000000,76000000,76000000,76000000,0,-21000000,86000000,0,16000000,190000000,0,81000000,1387000000,0,65000000,8100000000,8500000000,0,255000000,FY2004.FQ2,2
