,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0,2002-04-24,2002-03,0.715,7502180000,FY2002.FQ1,1
1,0,2002-07-26,2002-06,0.813,7606080000,FY2002.FQ2,2
2,0,2002-10-25,2002-09,0.799,7624320000,FY2002.FQ3,3
3,0,2003-02-19,2002-12,0.945,7758120000,FY2002.FQ4,4
4,0,2003-04-25,2003-03,1.302,7832180000,FY2003.FQ1,1
5,0,2003-07-24,2003-06,1.816,7934600000,FY2003.FQ2,2
6,0,2003-10-24,2003-09,2.422,8008440000,FY2003.FQ3,3
7,0,2004-02-25,2003-12,2.631,8067080000,FY2003.FQ4,4
8,0,2004-04-23,2004-03,2.164,8097880000,FY2004.FQ1,1
9,0,2004-07-23,2004-06,2.72,8134220000,FY2004.FQ2,2
10,0,2004-10-22,2004-09,2.043,8149280000,FY2004.FQ3,3
11,0,2005-03-11,2004-12,2.215,8194220000,FY2004.FQ4,4
12,0,2005-04-28,2005-03,1.714,8220000000,FY2005.FQ1,1
13,0,2005-07-28,2005-06,1.655,8240000000,FY2005.FQ2,2
14,0,2005-10-27,2005-09,2.265,8280000000,FY2005.FQ3,3
15,0,2006-02-17,2005-12,2.358,8320000000,FY2005.FQ4,4
16,0,2006-04-27,2006-03,1.827,8340000000,FY2006.FQ1,1
17,0,2006-07-27,2006-06,1.942,8380000000,FY2006.FQ2,2
18,0,2006-10-26,2006-09,1.606,8220000000,FY2006.FQ3,3
19,0,2007-02-16,2006-12,1.973,8280000000,FY2006.FQ4,4
20,0,2007-04-26,2007-03,1.99,8193966000,FY2007.FQ1,1
21,0,2007-07-26,2007-06,3.421,8267977000,FY2007.FQ2,2
22,0,2007-10-25,2007-09,4.658,8303548000,FY2007.FQ3,3
23,0,2008-02-11,2007-12,4.632,8320000000,FY2007.FQ4,4
24,0,2008-04-25,2008-03,3.565,8340000000,FY2008.FQ1,1
25,0,2008-07-25,2008-06,3.667,8520000000,FY2008.FQ2,2
26,0,2008-10-22,2008-09,3.638,8620000000,FY2008.FQ3,3
27,0,2009-01-30,2008-12,2.564,8571663000,FY2008.FQ4,4
28,0,2009-04-24,2009-03,3.672,8592951000,FY2009.FQ1,1
29,0,2009-07-24,2009-06,4.183,8640000000,FY2009.FQ2,2
30,0,2009-10-23,2009-09,4.668,8660000000,FY2009.FQ3,3
31,0,2010-01-29,2009-12,6.726,8880000000,FY2009.FQ4,4
32,0,2010-04-23,2010-03,6.789,8920000000,FY2010.FQ1,1
33,0,2010-07-23,2010-06,5.463,8960000000,FY2010.FQ2,2
34,0,2010-10-22,2010-09,7.853,8980000000,FY2010.FQ3,3
35,0,2011-01-28,2010-12,9.0,9020000000,FY2010.FQ4,4
36,0,2011-04-27,2011-03,9.007,9040000000,FY2011.FQ1,1
37,0,2011-07-27,2011-06,10.225,9080000000,FY2011.FQ2,2
38,0,2011-10-26,2011-09,10.812,9100000000,FY2011.FQ3,3
39,0,2012-02-01,2011-12,8.655,9100000000,FY2011.FQ4,4
40,0,2012-04-27,2012-03,10.126,9000000000,FY2012.FQ1,1
41,0,2012-07-27,2012-06,11.418,9040000000,FY2012.FQ2,2
42,0,2012-10-26,2012-09,12.716,9060000000,FY2012.FQ3,3
43,0,2013-01-30,2012-12,12.544,9080000000,FY2012.FQ4,4
44,0,2013-04-26,2013-03,13.325,9100000000,FY2013.FQ1,1
45,0,2013-07-26,2013-06,13.885,9140000000,FY2013.FQ2,2
46,0,2013-10-25,2013-09,15.632,9160000000,FY2013.FQ3,3
47,0,2014-01-31,2013-12,19.94,9180000000,FY2013.FQ4,4
48,0,2014-04-25,2014-03,16.818,9200000000,FY2014.FQ1,1
49,0,2014-07-25,2014-06,16.239,9240000000,FY2014.FQ2,2
50,0,2014-10-24,2014-09,16.122,9260000000,FY2014.FQ3,3
51,0,2015-01-30,2014-12,15.518,9300000000,FY2014.FQ4,4
52,0,2015-04-24,2015-03,18.605,9320000000,FY2015.FQ1,1
53,0,2015-07-24,2015-06,21.705,9360000000,FY2015.FQ2,2
54,0,2015-10-23,2015-09,25.595,9380000000,FY2015.FQ3,3
55,0,2016-01-29,2015-12,33.795,9420000000,FY2015.FQ4,4
56,0,2016-04-29,2016-03,29.682,9440000000,FY2016.FQ1,1
57,0,2016-07-29,2016-06,35.781,9480000000,FY2016.FQ2,2
58,0,2016-10-28,2016-09,41.866,9500000000,FY2016.FQ3,3
59,0,2017-02-10,2016-12,37.494,9540000000,FY2016.FQ4,4
60,0,2017-04-28,2017-03,44.327,9560000000,FY2017.FQ1,1
61,0,2017-07-28,2017-06,48.4,9600000000,FY2017.FQ2,2
62,0,2017-10-27,2017-09,48.068,9640000000,FY2017.FQ3,3
63,0,2018-02-02,2017-12,58.474,9680000000,FY2017.FQ4,4
64,0,2018-04-27,2018-03,72.367,9700000000,FY2018.FQ1,1
65,0,2018-07-27,2018-06,84.99,9740000000,FY2018.FQ2,2
66,0,2018-10-26,2018-09,100.15,9780000000,FY2018.FQ3,3
67,0,2019-02-01,2018-12,75.099,9820000000,FY2018.FQ4,4
68,0,2019-04-26,2019-03,89.038,9840000000,FY2019.FQ1,1
69,0,2019-07-26,2019-06,94.682,9880000000,FY2019.FQ2,2
70,0,2019-10-25,2019-09,86.796,9900000000,FY2019.FQ3,3
71,0,2020-01-31,2019-12,92.392,9960000000,FY2019.FQ4,4
72,0,2020-05-01,2020-03,97.486,9980000000,FY2020.FQ1,1
73,0,2020-07-31,2020-06,137.941,10020000000,FY2020.FQ2,2
74,0,2020-10-30,2020-09,157.437,10040000000,FY2020.FQ3,3
75,0,2021-02-03,2020-12,162.847,10060000000,FY2020.FQ4,4
76,0,2021-04-30,2021-03,154.704,10071960000,FY2021.FQ1,1
77,0,2021-07-30,2021-06,172.008,10120000000,FY2021.FQ2,2
78,0,2021-10-29,2021-09,164.252,10140000000,FY2021.FQ3,3
79,0,2022-02-04,2021-12,166.717,10180000000,FY2021.FQ4,4
80,0,2022-04-29,2022-03,162.998,10180000000,FY2022.FQ1,1
81,0,2022-07-29,2022-06,106.21,10183000000,FY2022.FQ2,2
82,0,2022-10-28,2022-09,113.0,10198000000,FY2022.FQ3,3
83,0,2023-02-03,2022-12,84.0,10242000000,FY2022.FQ4,4
84,0,2023-04-28,2023-03,103.29,10258000000,FY2023.FQ1,1
85,0,2023-08-04,2023-06,130.36,10313000000,FY2023.FQ2,2
86,0,2023-10-27,2023-09,127.12,10330000000,FY2023.FQ3,3
87,0,2024-02-02,2023-12,151.94,10383000000,FY2023.FQ4,4
88,0,2024-05-01,2024-03,180.38,10403000000,FY2024.FQ1,1
89,0,2024-08-02,2024-06,193.25,10490000000,FY2024.FQ2,2
90,0,2024-11-01,2024-09,186.33,10511000000,FY2024.FQ3,3
91,0,2025-02-07,2024-12,219.39,10593000000,FY2024.FQ4,4
92,0,2025-05-02,2025-03,190.26,10613000000,FY2025.FQ1,1
