,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0.21,2001-12-10,2001-09,18.268,2018600000,-1658000000,-1257000000,-2015000000,3048000000,0,-224000000,177000000,-896000000,-1073000000,77000000,77000000,0,-438000000,0,0,0,0,0,0,0,0,147000000,-88000000,235000000,-504000000,-1658000000,-1795000000,137000000,-245000000,1754000000,1000000,54000000,-158000000,1696000000,-578000000,0,279000000,0,FY2001,2001
1,0.21,2002-12-04,2002-09,14.853,2018600000,-886000000,1511000000,-3176000000,2286000000,0,621000000,47000000,47000000,0,1892000000,1892000000,0,-428000000,0,0,0,0,0,0,0,0,592000000,-9000000,601000000,-2882000000,-886000000,-1086000000,200000000,-27000000,1042000000,-74000000,-35000000,1236000000,109000000,543000000,0,-535000000,0,FY2002,2002
2,0.21,2003-12-12,2003-09,19.788,2013300000,-883000000,-1523000000,-1034000000,2901000000,0,344000000,51000000,51000000,0,0,-1145000000,-1145000000,-429000000,0,0,0,0,0,0,0,0,26000000,-14000000,40000000,-177000000,-883000000,-1049000000,166000000,232000000,1077000000,441000000,-6000000,1267000000,-116000000,432000000,0,-194000000,0,FY2003,2003
3,0.21,2004-12-13,2004-09,22.123,2054585000,-1427000000,-2701000000,-1484000000,4644000000,0,459000000,201000000,-134000000,-335000000,0,-2203000000,-2203000000,-430000000,66000000,0,0,0,0,0,0,0,-53000000,-67000000,14000000,-4000000,-1427000000,-1427000000,0,264000000,1210000000,-98000000,-40000000,2345000000,923000000,320000000,0,-16000000,0,FY2004,2004
4,0.24,2005-12-07,2005-09,23.673,2007200000,-1773000000,-2897000000,-1691000000,4269000000,0,-319000000,394000000,-2026000000,-2420000000,0,-699000000,-699000000,-490000000,318000000,0,0,0,0,0,0,0,0,0,0,82000000,-1773000000,-1826000000,53000000,212000000,1341000000,-265000000,22000000,2533000000,448000000,346000000,0,-156000000,0,FY2005,2005
5,0.27,2006-11-22,2006-09,30.325,2064000000,-1319000000,-5143000000,-227000000,6058000000,0,688000000,1259000000,-5639000000,-6898000000,941000000,941000000,0,-519000000,74000000,0,0,0,0,0,0,0,1154000000,0,1154000000,-62000000,-1319000000,-1319000000,0,941000000,1437000000,-139000000,-63000000,3374000000,445000000,1089000000,0,-85000000,0,FY2006,2006
6,0.31,2007-11-21,2007-09,34.39,1962200000,-1565000000,-3541000000,-621000000,5421000000,0,1259000000,1245000000,-5678000000,-6923000000,2696000000,2696000000,0,-637000000,78000000,0,0,0,0,0,0,0,1535000000,0,1535000000,-591000000,-1565000000,-1566000000,1000000,-36000000,1491000000,-260000000,52000000,4687000000,-461000000,267000000,0,-355000000,0,FY2007,2007
7,0.35,2008-11-20,2008-09,30.69,1822900000,-1578000000,-3953000000,-2162000000,5446000000,0,-669000000,636000000,-3817000000,-4453000000,1706000000,528000000,-1178000000,-664000000,0,0,0,0,-660000000,-660000000,0,0,84000000,0,84000000,-8000000,-1578000000,-1578000000,0,-549000000,1582000000,-128000000,-329000000,4729000000,-590000000,374000000,0,-594000000,402000000,FY2008,2008
8,0.35,2009-12-02,2009-09,27.46,1818300000,-1753000000,-3148000000,-1755000000,5319000000,0,416000000,0,-138000000,-138000000,1750000000,-1852000000,-3602000000,-648000000,-510000000,0,0,0,-176000000,9000000,185000000,0,46000000,0,46000000,-57000000,-1753000000,-1753000000,0,-456000000,1631000000,323000000,-117000000,3609000000,-245000000,-807000000,0,468000000,457000000,FY2009,2009
9,0.35,2010-11-24,2010-09,33.1,1896900000,-2110000000,-2663000000,-4523000000,6578000000,-87000000,-695000000,0,-2669000000,-2669000000,1190000000,-181000000,-1371000000,-653000000,840000000,0,0,0,-2493000000,-2323000000,170000000,0,0,0,0,-90000000,-2110000000,-2110000000,0,-266000000,1713000000,133000000,-127000000,4313000000,294000000,547000000,0,-686000000,391000000,FY2010,2010
