,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0.21,2001-12-10,2001-09,18.268,2018600000,1.9003,2.2116,23054000000,10.978,-0.5072,-0.266,0.0732,-0.1882,1.0971,0.2229,0.2259,0.4308,0.5037,0.1413,0.0,4586000000,-0.0283,0.1821,2.1838,45197784800,1.9605,-286.0619,32.5163,35.2282,1.7955,5.5038,0.0,-1.035,0.5262,1390000000,0.1156,-0.4764,0.0552,0.156,0.6619,0.1429,0.3278,-0.0423,0.8254,36875784800,9151000000,-1.1717,-0.0062,2124000000,0.1215,0.1709,1.3485,0.1125,-10.5,0.0,0.0484,-0.5127,0.6109,0.0509,0.1316,1.5995,-233.391,26.5293,28.7418,1.4649,4.4904,0.1507,-0.0096,11.9866,-0.0035,0.0468,0.0728,-0.0067,0.1038,-0.0046,0.011142075603605,-0.0047,0.063,0.121,0.301,-95700000,-0.0452,3.9104,8212000000,0.166,-0.027,0.1953,-0.0573,FY2001,2001
1,0.21,2002-12-04,2002-09,14.853,2018600000,2.0957,2.1651,23879000000,11.6824,0.4656,1.0048,0.022,-0.25,1.0038,0.2823,0.2483,0.6026,0.5453,0.121,0.0,3426000000,-0.2529,0.1352,1.6761,41210265800,1.7257,33.3416,29.4359,18.8174,1.6269,10.2513,0.1344,31.0,0.4771,1400000000,0.0079,0.0071,0.0552,0.1437,0.6849,0.0949,0.3278,-0.3317,0.3894,29982265800,12891000000,8.8227,0.0487,1788000000,-0.1581,0.1658,1.1663,0.0941,0.35,1.8047,-0.0098,0.7069,1.0714,0.0864,0.1179,1.2555,24.2574,21.4159,13.6905,1.1837,7.4582,0.1293,0.0062,12.3918,0.0263,0.0384,0.0577,0.0536,0.0826,0.0345,0.011142075603605,0.0354,0.052,0.0997,-0.0266,0,0.0,1.9667,4020000000,0.165,0.1423,0.1763,0.0357,FY2002,2002
2,0.21,2003-12-12,2003-09,19.788,2013300000,2.0639,2.1149,24219000000,11.2779,0.0033,0.2776,0.0306,0.269,0.959,0.262,0.2648,0.5506,0.554,0.1013,0.0,3790000000,0.1062,0.14,1.7648,48899180400,2.019,38.5944,24.2315,21.6944,1.8069,10.9467,0.2568,-0.0166,0.4844,2018000000,0.0409,0.4414,0.0745,0.1232,0.9397,0.1002,0.3167,0.128,0.35,39839180400,11517000000,0.025,0.0468,2034750000,0.138,0.1473,1.2633,0.1002,0.3559,1.2243,-0.0079,0.0292,1.0496,0.0832,0.1067,1.6449,31.4437,19.7419,17.6748,1.4721,8.9185,0.1223,0.0683,12.6014,0.0253,0.0384,0.0618,0.0536,0.0826,0.0332,0.011142075603605,0.0345,0.0515,0.1129,0.0506,-5300000,-0.0026,2.0801,4467000000,0.1557,-0.0011,0.1701,0.0142,FY2003,2003
3,0.21,2004-12-13,2004-09,22.123,2054585000,2.0053,2.0891,26879000000,12.2646,-0.616,0.2899,0.0516,0.6008,0.8471,0.2502,0.2648,0.5171,0.554,0.0814,0.0,5258000000,0.3873,0.1709,2.3991,52806583955,1.9646,22.5187,16.4148,14.1231,1.7171,7.4396,0.1677,0.8135,0.4986,3217000000,0.0608,0.5941,0.1046,0.1086,1.4678,0.1316,0.2241,0.492,0.3201,45453583955,11446000000,0.8508,0.0762,3036000000,0.492,0.1324,1.847,0.1316,0.1962,1.1557,0.3,0.6588,1.706,0.1215,0.1067,1.691,19.3831,14.1291,12.1566,1.478,6.4037,0.1182,0.1363,14.0318,0.0451,0.0378,0.0892,0.094,0.0792,0.0594,0.011142075603605,0.0622,0.0501,0.1581,0.0205,41285000,0.0205,3.2387,7098000000,0.1543,0.0782,0.1717,0.1098,FY2004,2004
4,0.24,2005-12-07,2005-09,23.673,2007200000,1.9359,2.0732,27458000000,12.8997,-0.2424,-0.1562,0.0197,-0.0807,0.9647,0.2345,0.2648,0.4756,0.554,0.1093,0.1428,5272000000,0.0026,0.168,2.4767,55950445600,2.0376,22.0886,22.416,14.6813,1.7833,24.0543,0.1516,0.1121,0.5165,2496000000,-0.0046,-0.2241,0.0795,0.1045,1.1726,0.1252,0.1454,-0.0289,0.308,47516445600,10744000000,0.0801,0.0807,2948250000,-0.0289,0.1284,1.8467,0.1252,0.2016,1.2371,0.0294,0.0192,1.7904,0.1214,0.1067,1.7305,18.7589,19.037,12.4682,1.5145,20.4283,0.0995,0.0202,14.7394,0.0473,0.0378,0.0843,0.0968,0.0792,0.0615,0.011142075603605,0.0644,0.0501,0.1626,-0.0287,-47385000,-0.023,1.0927,2326000000,0.1378,-0.0138,0.1523,0.0215,FY2005,2005
5,0.27,2006-11-22,2006-09,30.325,2064000000,1.8091,2.0346,33163000000,15.9744,0.256,0.3993,0.0273,0.419,0.9365,0.2254,0.2561,0.425,0.5338,0.0733,0.125,6792000000,0.2883,0.2012,3.2716,71022800000,2.1416,21.05,14.9868,13.3401,2.1045,28.2284,0.2241,0.3781,0.5527,4739000000,0.051,0.8986,0.1404,0.1045,2.2827,0.1586,0.1454,0.3622,0.345,62590800000,11114000000,0.332,0.0999,4016250000,0.3622,0.1284,2.5794,0.1586,0.1646,0.8275,0.0117,0.397,2.5645,0.1577,0.1125,1.8873,18.5509,13.2075,11.7563,1.8547,24.8771,0.0605,0.0756,16.2557,0.0596,0.0378,0.1084,0.1162,0.0792,0.0756,0.011142075603605,0.0793,0.0501,0.2491,-0.0246,56800000,0.0282,1.2119,2516000000,0.0505,0.1286,0.075,0.2077,FY2006,2006
6,0.31,2007-11-21,2007-09,34.39,1962200000,1.9011,1.9706,32048000000,15.3193,-0.1865,0.5221,0.0061,-0.1051,0.9932,0.2535,0.2518,0.5022,0.5097,0.067,0.1481,8272000000,0.2179,0.2329,3.9541,75702058000,2.3621,16.1514,19.6322,9.7996,2.1318,32.2685,0.2165,0.3719,0.5259,3856000000,-0.0174,-0.1863,0.1085,0.1045,1.8432,0.1909,0.1454,0.2662,0.372,67480058000,11502000000,0.3891,0.1319,5085750000,0.2662,0.1284,3.2413,0.1909,0.1377,0.6649,0.0154,0.4509,3.6926,0.2175,0.1125,2.1055,14.3972,17.5,8.7352,1.9003,28.7638,0.0468,0.0522,16.9741,0.0775,0.0378,0.1288,0.1498,0.0792,0.0968,0.011142075603605,0.1033,0.0501,0.3017,0.0077,-101800000,-0.0493,1.1214,2346000000,0.0469,0.0155,0.0636,-0.0336,FY2007,2007
7,0.35,2008-11-20,2008-09,30.69,1822900000,1.8563,1.9185,33667000000,17.2828,-0.0083,-0.1822,0.0062,0.0046,1.0064,0.238,0.2441,0.4603,0.4889,0.0358,0.129,9025000000,0.091,0.2384,4.6329,64053801000,1.9025,14.4688,16.5599,8.6535,1.6926,6.5534,0.0986,0.0133,0.5386,3868000000,0.041,0.0031,0.1022,0.1033,1.9856,0.1966,0.1454,0.0976,0.3611,55944801000,11638000000,-0.0554,0.1169,5582250000,0.0976,0.1284,3.8208,0.1966,0.1535,1.2811,0.0056,-0.0418,3.7997,0.1955,0.1125,1.6617,12.6371,14.4634,7.558,1.4783,5.7238,0.0511,0.0656,19.4265,0.0717,0.0378,0.1387,0.1403,0.0792,0.0897,0.011142075603605,0.0962,0.0501,0.2774,-0.0688,-139300000,-0.0709,5.0174,9774000000,0.042,0.0257,0.0567,0.0505,FY2008,2008
8,0.35,2009-12-02,2009-09,27.46,1818300000,1.7817,1.9007,35425000000,18.8933,-0.1108,0.1386,-0.0049,-0.0233,1.3307,0.2048,0.2363,0.3832,0.468,0.0,0.0,7328000000,-0.188,0.2027,3.9082,58008518000,1.6375,17.5411,16.2671,10.2524,1.6047,5.0464,0.1099,-0.228,0.5612,3566000000,0.0129,-0.078,0.0986,0.1004,1.9018,0.1575,0.1454,-0.2345,0.3621,49930518000,9284000000,-0.2529,0.0914,4272750000,-0.2345,0.1284,3.0384,0.1575,0.1988,1.3729,0.0037,-0.2356,3.0176,0.1565,0.1215,1.4094,15.0984,14.0018,8.8247,1.3812,4.3436,0.0442,-0.0447,19.2794,0.0526,0.0462,0.1037,0.1001,0.0954,0.0661,0.011142075603605,0.0707,0.0604,0.1837,-0.0374,-4600000,-0.0025,6.1306,11495000000,0.0374,0.0099,0.0538,0.0522,FY2009,2009
9,0.35,2010-11-24,2010-09,33.1,1896900000,1.759,1.9007,39342000000,20.196,-0.2036,-0.2033,0.0576,0.2366,1.1113,0.1835,0.2363,0.3386,0.468,0.0524,0.0,8439000000,0.1516,0.2217,4.3321,70195390000,1.7842,17.7126,15.7106,10.5923,1.8441,6.9083,0.1354,0.1534,0.5684,4468000000,0.0534,0.2529,0.1173,0.1004,2.2936,0.1767,0.1502,0.1806,0.3491,62787390000,9758000000,0.1983,0.1041,5044500000,0.1806,0.1446,3.4527,0.1767,0.1724,1.1698,0.0118,0.1712,3.4019,0.1741,0.139,1.5959,15.8433,14.0526,9.4744,1.6495,6.1792,0.0412,0.0529,19.5395,0.0598,0.0499,0.116,0.1112,0.0985,0.0762,0.011142075603605,0.081,0.0638,0.214,0.0389,78600000,0.0432,5.2161,10161000000,0.0439,0.0964,0.0486,0.1105,FY2010,2010
