,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0.21,2001-12-10,2001-09,18.268,2018600000,21573000000,1754000000,-0.02,-0.02,3599000000,-104000000,-1059000000,0,0,-158000000,-158000000,224000000,0,0,2832000000,-278000000,-1549000000,767000000,0,1283000000,25172000000,0,0,2100000000,2100000000,0,767000000,FY2001,2001
1,0.21,2002-12-04,2002-09,14.853,2018600000,22924000000,1042000000,0.6,0.6,2405000000,-101000000,-853000000,0,0,1236000000,1236000000,1337000000,0,0,2384000000,0,-194000000,21000000,0,2190000000,25329000000,0,0,2044000000,2044000000,0,21000000,FY2002,2002
2,0.21,2003-12-12,2003-09,19.788,2013300000,24348000000,1077000000,0.59,0.59,2713000000,-127000000,-789000000,0,0,1267000000,1267000000,1465000000,0,0,2713000000,-71000000,-459000000,0,0,2254000000,27061000000,0,0,2147458000,2147458000,0,0,FY2003,2003
3,0.21,2004-12-13,2004-09,22.123,2054585000,26704000000,1210000000,1.08,1.07,4048000000,-197000000,-1197000000,0,0,2345000000,2345000000,2542000000,0,0,4048000000,0,-309000000,0,0,3739000000,30752000000,0,0,2171296000,2191589000,0,0,FY2004,2004
4,0.24,2005-12-07,2005-09,23.673,2007200000,27443000000,1341000000,1.21,1.19,3931000000,-177000000,-1174000000,0,0,2533000000,2533000000,2637000000,109000000,0,3931000000,-36000000,-120000000,0,0,3811000000,31374000000,0,0,2093388000,2128571000,0,0,FY2005,2005
5,0.27,2006-11-22,2006-09,30.325,2064000000,28392000000,1437000000,1.68,1.64,5355000000,-183000000,-1837000000,0,0,3374000000,3374000000,3487000000,70000000,0,5355000000,0,-31000000,0,0,5324000000,33747000000,0,0,2005000000,2076000000,0,0,FY2006,2006
6,0.31,2007-11-21,2007-09,34.39,1962200000,28729000000,1491000000,2.34,2.25,6781000000,-177000000,-2874000000,0,0,4687000000,4687000000,4851000000,13000000,0,6781000000,0,944000000,0,0,7725000000,35510000000,0,0,2004000000,2092000000,0,0,FY2007,2007
7,0.35,2008-11-20,2008-09,30.69,1822900000,30400000000,1582000000,2.34,2.28,7443000000,-302000000,-2673000000,-524000000,0,4427000000,4427000000,4729000000,0,-524000000,7443000000,0,483000000,0,0,7402000000,37843000000,0,0,1890000000,1948000000,0,0,FY2008,2008
8,0.35,2009-12-02,2009-09,27.46,1818300000,30452000000,1631000000,1.78,1.76,5697000000,-302000000,-2049000000,-588000000,122000000,3307000000,3307000000,3609000000,0,-466000000,5697000000,0,427000000,0,0,5658000000,36149000000,0,0,1856000000,1875000000,0,0,FY2009,2009
9,0.35,2010-11-24,2010-09,33.1,1896900000,31337000000,1713000000,2.07,2.03,6726000000,-350000000,-2314000000,-456000000,47000000,3963000000,3963000000,4313000000,0,-409000000,6726000000,0,310000000,0,0,6627000000,38063000000,0,0,1915000000,1948000000,0,0,FY2010,2010
10,0.4,2011-11-23,2011-09,30.16,1762200000,33112000000,1841000000,2.56,2.52,7781000000,-451000000,-2785000000,-435000000,92000000,4807000000,4807000000,5258000000,0,-343000000,7781000000,0,605000000,0,0,8043000000,40893000000,0,0,1878000000,1909000000,0,0,FY2011,2011
11,0.6,2012-11-21,2012-09,52.28,1800000000,23468000000,1987000000,3.17,3.13,18810000000,-491000000,-3087000000,-496000000,103000000,5682000000,5682000000,6173000000,0,-393000000,8863000000,0,790000000,1987000000,0,9260000000,42278000000,0,7960000000,1794000000,1818000000,0,9947000000,FY2012,2012
