,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0.21,2001-12-10,2001-09,18.268,2018600000,FY2001,2001
1,0.21,2002-12-04,2002-09,14.853,2018600000,FY2002,2002
2,0.21,2003-12-12,2003-09,19.788,2013300000,FY2003,2003
3,0.21,2004-12-13,2004-09,22.123,2054585000,FY2004,2004
4,0.24,2005-12-07,2005-09,23.673,2007200000,FY2005,2005
5,0.27,2006-11-22,2006-09,30.325,2064000000,FY2006,2006
6,0.31,2007-11-21,2007-09,34.39,1962200000,FY2007,2007
7,0.35,2008-11-20,2008-09,30.69,1822900000,FY2008,2008
8,0.35,2009-12-02,2009-09,27.46,1818300000,FY2009,2009
9,0.35,2010-11-24,2010-09,33.1,1896900000,FY2010,2010
10,0.4,2011-11-23,2011-09,30.16,1762200000,FY2011,2011
11,0.6,2012-11-21,2012-09,52.28,1800000000,FY2012,2012
12,0.75,2013-11-20,2013-09,64.49,1800000000,FY2013,2013
13,0.86,2014-11-19,2014-09,89.03,1700000000,FY2014,2014
14,1.81,2015-11-25,2015-09,102.2,1600000000,FY2015,2015
15,1.42,2016-11-23,2016-09,92.86,1600000000,FY2016,2016
16,1.56,2017-11-22,2017-09,98.57,1500000000,FY2017,2017
17,1.68,2018-11-21,2018-09,116.94,1500000000,FY2018,2018
18,1.76,2019-11-20,2019-09,130.32,1781000000,FY2019,2019
19,0.88,2020-11-25,2020-09,124.08,1807063000,FY2020,2020
20,0.0,2021-11-24,2021-09,169.17,1818000000,FY2021,2021
21,0.0,2022-11-29,2022-09,94.33,1781000000,FY2022,2022
22,0.0,2023-11-21,2023-09,81.05,1830000000,FY2023,2023
23,0.75,2024-11-14,2024-09,96.19,1808587000,FY2024,2024
