,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0.21,2002-02-14,2001-12,20.328,2018600000,-237000000,3346000000,-2540000000,-579000000,0,227000000,5000000,5000000,0,3769000000,3769000000,0,-428000000,0,0,0,0,0,0,0,0,545000000,0,545000000,-2848000000,-237000000,-237000000,0,-1379000000,253000000,0,0,438000000,109000000,-1379000000,0,0,0,FY2002.FQ1,1
1,0.0,2002-05-15,2002-03,22.643,2018600000,-233000000,-44000000,-191000000,1259000000,0,1024000000,20000000,20000000,0,0,-64000000,-64000000,0,0,0,0,0,0,0,0,0,53000000,0,53000000,-11000000,-233000000,-249000000,16000000,561000000,258000000,0,0,259000000,181000000,561000000,0,0,0,FY2002.FQ2,2
2,0.0,2002-08-09,2002-06,18.542,2018600000,-70000000,-464000000,-74000000,865000000,0,327000000,20000000,20000000,0,0,-484000000,-484000000,0,0,0,0,0,0,0,0,0,3000000,0,3000000,-7000000,-70000000,-254000000,184000000,704000000,264000000,0,0,364000000,-467000000,704000000,0,0,0,FY2002.FQ3,3
3,0.0,2002-12-04,2002-09,14.853,2018600000,-346000000,-1327000000,-371000000,741000000,0,-957000000,2000000,2000000,0,0,-1329000000,-1329000000,0,0,0,0,0,0,0,0,0,0,0,0,-25000000,-346000000,-346000000,0,87000000,267000000,0,0,175000000,212000000,87000000,0,0,0,FY2002.FQ4,4
4,0.21,2003-02-04,2002-12,16.001,2013300000,-193000000,742000000,-187000000,-414000000,0,141000000,18000000,18000000,0,724000000,724000000,0,0,0,0,0,0,0,0,0,0,29000000,0,29000000,-23000000,-193000000,-193000000,0,-696000000,261000000,26000000,0,36000000,-41000000,-696000000,0,0,0,FY2003.FQ1,1
5,0.0,2003-05-15,2003-03,16.698,2013300000,-255000000,-688000000,-283000000,1343000000,0,372000000,11000000,11000000,0,0,-270000000,-270000000,0,-429000000,0,0,0,0,0,0,0,0,0,0,-28000000,-255000000,-255000000,0,541000000,281000000,115000000,0,314000000,92000000,541000000,0,0,0,FY2003.FQ2,2
6,0.0,2003-08-14,2003-06,19.376,2013200000,-264000000,-790000000,-238000000,646000000,0,-382000000,12000000,12000000,0,0,-802000000,-802000000,0,0,0,0,0,0,0,0,0,0,0,0,26000000,-264000000,-264000000,0,-1000000,284000000,256000000,0,502000000,-395000000,-1000000,0,0,0,FY2003.FQ3,3
7,0.0,2003-12-12,2003-09,19.788,2013300000,-337000000,-787000000,-326000000,1326000000,0,213000000,10000000,10000000,0,0,-797000000,-797000000,0,0,0,0,0,0,0,0,0,0,0,0,11000000,-337000000,-337000000,0,388000000,251000000,44000000,0,415000000,228000000,388000000,0,0,0,FY2003.FQ4,4
8,0.21,2004-02-11,2003-12,22.888,2013300000,-208000000,44000000,-163000000,-2000000,0,-121000000,31000000,31000000,0,13000000,13000000,0,0,0,0,0,0,0,0,0,0,0,0,0,45000000,-208000000,-208000000,0,-1387000000,273000000,76000000,0,688000000,348000000,-1387000000,0,0,0,FY2004.FQ1,1
9,0.0,2004-05-13,2004-03,24.517,2013300000,-260000000,-828000000,-266000000,2506000000,0,1412000000,110000000,110000000,0,0,-508000000,-508000000,0,-430000000,0,0,0,0,0,0,0,0,0,0,-6000000,-260000000,-260000000,0,1637000000,279000000,123000000,0,537000000,-70000000,1637000000,0,0,0,FY2004.FQ2,2
10,0.0,2004-08-10,2004-06,25.008,2013300000,-426000000,-590000000,-434000000,899000000,0,-125000000,37000000,37000000,0,0,-627000000,-627000000,0,0,0,0,0,0,0,0,0,0,0,0,-8000000,-426000000,-426000000,0,54000000,320000000,-96000000,0,604000000,17000000,54000000,0,0,0,FY2004.FQ3,3
