,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0.21,2002-02-14,2001-12,20.328,2018600000,2.173,1.9196,23222000000,11.3833,0.3209,-0.2958,0.0,-2.2398,1.3513,0.3124,0.2282,0.6927,0.4454,0.0,0.0,899000000,-0.3518,0.1281,0.4406,55176100800,2.376,174.6079,119.6878,37.8177,2.2238,16.3581,0.0155,6.0,0.4601,-816000000,0.0,-7.9152,-0.1163,0.042,-0.4,0.0925,0.153,-0.4356,0.3878,41034100800,14922000000,13.1666,0.0624,484500000,-0.2462,0.1036,0.3166,0.092,1.0,83.5912,0.0289,0.2277,0.3779,0.1098,0.0876,1.767,129.8547,89.011,28.1248,1.6538,12.1654,0.024,-0.0561,3.4392,0.0067,0.0154,0.0631,0.0139,0.0297,0.0086,0.033067980005332,0.0088,0.0203,0.1084,-0.0299,0,0.0,1.6534,3373000000,0.0155,0.1017,0.011,-0.0264,FY2002.FQ1,1
1,0.0,2002-05-15,2002-03,22.643,2018600000,2.1461,1.9196,23521000000,11.5017,0.4385,1.819,0.0052,0.5391,1.4439,0.3096,0.2282,0.6788,0.4454,0.0,-1.0,861000000,-0.2519,0.147,0.421,58603159800,2.4915,51.3162,54.0619,26.0574,2.3805,15.7323,0.125,1.5,0.4659,1026000000,0.1436,1.5459,0.1752,0.0521,0.5017,0.1033,0.1397,-0.3395,0.4149,45707159800,13763000000,1.4567,0.0442,452250000,-0.1762,0.1091,0.2948,0.1029,0.0,3.1995,0.0191,2.6689,0.2415,0.0843,0.0876,1.9432,40.0237,42.1652,20.3233,1.8566,12.2703,0.0011,-0.0319,2.8635,0.0226,0.0154,0.0559,0.0498,0.0297,0.0288,0.033067980005332,0.0299,0.0203,0.1007,-0.0252,0,0.0,1.8215,3725000000,0.0145,0.1354,0.0115,0.0047,FY2002.FQ2,2
2,0.0,2002-08-09,2002-06,18.542,2018600000,2.1164,1.9196,23730000000,11.5982,-1.0781,-0.1029,-0.0101,-0.0023,1.3747,0.3036,0.2282,0.6542,0.4454,0.0,0.0,1007000000,-0.2199,0.1737,0.4921,49896881200,2.1026,44.7907,430.1455,23.1647,2.0405,12.6321,0.0057,-0.0526,0.4724,795000000,-0.068,-0.549,0.1371,0.0521,0.3885,0.1297,0.1289,-0.2684,0.3977,37428881200,13053000000,-0.0714,0.0628,557250000,-0.1585,0.1091,0.3631,0.1282,0.0,58.6137,0.0048,-0.1299,0.3108,0.1097,0.0876,1.5772,33.5986,322.6627,17.3764,1.5306,9.4756,-0.0178,-0.0276,2.8323,0.0221,0.0154,0.0528,0.048,0.0297,0.0281,0.033067980005332,0.0297,0.0203,0.095,-0.0289,0,0.0,1.9305,3950000000,0.008,0.0948,0.0015,-0.0044,FY2002.FQ3,3
3,0.0,2002-12-04,2002-09,14.853,2018600000,2.0957,1.9222,23879000000,11.6142,0.8061,1.0048,-0.036,-0.1729,1.0038,0.2823,0.2318,0.6026,0.4527,0.0,0.0,659000000,-0.1294,0.0989,0.3205,41210265800,1.7257,33.3416,29.4359,18.8174,1.6269,10.2513,0.0,3.0,0.4771,395000000,0.0652,1.4443,0.0592,0.0629,0.1921,0.0598,0.1289,-0.2099,0.3321,29982265800,12891000000,2.3018,0.0262,294000000,0.0888,0.1091,0.1906,0.0588,0.0,0.0,-0.0098,0.1422,0.1405,0.0433,0.0876,1.2555,24.2574,21.4159,13.6905,1.1837,7.4582,0.0054,0.1513,3.2402,0.0246,0.0155,0.054,0.0528,0.0297,0.0317,0.033067980005332,0.0332,0.0204,0.0981,-0.0414,0,0.0,1.9552,4020000000,0.0093,0.1423,0.0005,0.0357,FY2002.FQ4,4
4,0.21,2003-02-04,2002-12,16.001,2013300000,2.1426,2.0101,23744000000,11.6164,0.1856,0.6331,0.0,0.2849,1.0483,0.2928,0.2603,0.6398,0.5342,0.0,0.0,636000000,-0.2925,0.0887,0.3111,43913813300,1.8494,52.6544,27.2926,27.6535,1.7232,10.9729,-0.2095,-0.9047,0.4667,-607000000,0.0,0.2561,-0.0846,0.0485,-0.2969,0.0523,0.1157,-0.4221,0.4556,32214813300,13519000000,-0.9178,0.005,281250000,-0.4195,0.0975,0.1834,0.0523,10.5,-1.8434,-0.0126,-0.7808,0.0826,0.0235,0.0844,1.3567,38.6268,20.0216,20.2864,1.2641,8.0496,0.017,0.0219,3.5078,0.0165,0.0145,0.0478,0.0356,0.0298,0.0215,0.033067980005332,0.0222,0.019,0.0868,0.0019,-5300000,-0.0026,1.9579,4002000000,0.0128,0.0082,-0.0017,0.0224,FY2003.FQ1,1
5,0.0,2003-05-15,2003-03,16.698,2013300000,2.1147,2.1052,24001000000,11.7479,-0.0944,-0.0626,0.0442,0.0667,1.0962,0.2898,0.2861,0.6258,0.6142,0.0,-1.0,995000000,0.1556,0.153,0.487,44798083400,1.8665,50.3915,26.8091,26.6496,1.7146,10.5258,0.0662,0.1538,0.4728,1088000000,0.1676,0.0604,0.1673,0.0629,0.5325,0.1098,0.1065,0.1801,0.373,33618083400,12961000000,0.2123,0.0483,535500000,0.184,0.1064,0.3494,0.1098,0.0,5.7106,-0.0074,0.1882,0.2873,0.0903,0.0844,1.4006,37.8156,20.1185,19.9988,1.2867,7.8989,0.006,0.1099,3.1815,0.0174,0.0145,0.0499,0.0379,0.0298,0.0227,0.033067980005332,0.0236,0.019,0.0898,-0.0009,0,0.0,2.0832,4256000000,0.012,0.0054,-0.0018,0.0204,FY2003.FQ2,2
6,0.0,2003-08-14,2003-06,19.376,2013200000,2.0561,2.1052,24320000000,11.6698,-2.7714,-0.3761,0.0329,-0.2531,1.0605,0.2781,0.2861,0.5812,0.6142,0.0,0.0,1230000000,0.2214,0.1928,0.5902,49693763200,2.0433,48.3873,39.5021,26.0313,1.8605,10.8953,0.2311,0.3333,0.4863,382000000,0.1246,-0.5194,0.0599,0.0632,0.1833,0.1483,0.1065,0.2579,0.3726,39007763200,12541000000,0.3791,0.0787,709500000,0.2732,0.1064,0.4539,0.1483,0.0,1.6432,-0.0089,0.3584,0.4145,0.1354,0.0873,1.6039,37.9822,31.0077,20.4336,1.4604,8.5524,-0.0152,0.1004,3.0599,0.0203,0.017,0.0545,0.0432,0.0368,0.0263,0.033067980005332,0.0274,0.0221,0.0981,0.0185,-100000,0.0,2.1885,4561000000,0.0088,-0.0043,0.0019,0.0248,FY2003.FQ3,3
7,0.0,2003-12-12,2003-09,19.788,2013300000,2.0639,2.1052,24219000000,9.8417,0.026,0.2776,0.0494,0.7894,0.959,0.262,0.2861,0.5506,0.6142,0.0,0.0,929000000,0.4097,0.1324,0.3775,48899180400,2.019,38.5944,26.4034,21.6944,1.8069,10.9467,0.0,1.125,0.4844,989000000,0.0939,1.5037,0.141,0.0985,0.4018,0.0966,0.0999,0.6992,0.2697,39839180400,11517000000,1.3714,0.0591,508500000,0.7295,0.0998,0.2755,0.0966,0.0,0.0,-0.0079,1.1937,0.2576,0.0903,0.0903,1.6449,31.4437,21.5114,17.6748,1.4721,8.9185,0.0149,0.0528,2.8502,0.0253,0.0189,0.0615,0.053,0.0406,0.0331,0.033067980005332,0.0345,0.0245,0.1116,0.1969,100000,0.0,1.8152,4467000000,0.0117,-0.0011,0.0034,0.0142,FY2003.FQ4,4
8,0.21,2004-02-11,2003-12,22.888,2013300000,2.1047,2.1097,24478000000,11.6617,-0.0777,0.0594,0.0,0.9951,1.0545,0.2554,0.2861,0.5475,0.6142,0.0,0.0,1438000000,1.261,0.1682,0.685,55445410400,2.2651,28.8928,24.6533,17.3321,1.9495,11.7121,0.0567,15.5,0.4751,-210000000,0.0,0.654,-0.0245,0.0595,-0.1,0.1362,0.0999,2.1066,0.368,46080410400,11697000000,18.1111,0.0804,873750000,2.1066,0.0998,0.555,0.1362,0.6363,4.2306,-0.0112,5.5917,0.5307,0.1303,0.0903,1.8825,24.0127,20.4892,14.4046,1.6202,9.7339,0.0367,0.1923,4.0728,0.0378,0.0212,0.0795,0.0802,0.0456,0.0506,0.033067980005332,0.0527,0.0272,0.1442,0.0269,0,0.0,2.2553,4734000000,0.0116,0.0126,0.0026,0.0309,FY2004.FQ1,1
9,0.0,2004-05-13,2004-03,24.517,2013300000,2.1612,2.1155,25493000000,12.0819,-0.0196,0.7968,0.1083,0.8659,0.8412,0.2779,0.2861,0.6185,0.6221,0.0,-1.0,1315000000,0.3216,0.1829,0.6232,56173076100,2.2034,26.2245,16.4875,15.7127,1.9284,9.7658,0.2923,0.7333,0.4627,2246000000,0.0,1.0643,0.3124,0.0985,1.0644,0.1441,0.1065,0.4509,0.3707,49360076100,12167000000,0.7101,0.0746,777000000,0.4509,0.1064,0.4909,0.1441,0.0,0.7881,0.2782,0.6405,0.4563,0.1339,0.1,1.9362,23.0439,14.4878,13.807,1.6945,8.5813,0.0219,0.106,3.4071,0.0401,0.0223,0.0831,0.0877,0.0489,0.0538,0.033067980005332,0.0571,0.0285,0.1457,0.0327,0,0.0,2.726,5752000000,0.0231,0.0855,0.0101,0.0621,FY2004.FQ2,2
