,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0.21,2002-02-14,2001-12,20.328,2018600000,6367000000,253000000,0.21,0.21,649000000,-34000000,-299000000,0,0,438000000,438000000,472000000,0,0,646000000,0,125000000,3000000,0,771000000,7016000000,0,0,2039000000,2040000000,0,3000000,FY2002.FQ1,1
1,0.0,2002-05-15,2002-03,22.643,2018600000,5251000000,258000000,0.13,0.13,605000000,-30000000,-205000000,0,0,259000000,259000000,289000000,0,0,603000000,0,-109000000,2000000,0,494000000,5856000000,0,0,2039000000,2045000000,0,2000000,FY2002.FQ2,2
2,0.0,2002-08-09,2002-06,18.542,2018600000,5043000000,264000000,0.18,0.18,752000000,-19000000,-253000000,0,0,364000000,364000000,383000000,0,0,743000000,0,-107000000,9000000,0,636000000,5795000000,0,0,2041000000,2046000000,0,9000000,FY2002.FQ3,3
3,0.0,2002-12-04,2002-09,14.853,2018600000,6263000000,267000000,0.08,0.08,399000000,-18000000,-96000000,0,0,175000000,175000000,193000000,0,0,392000000,0,-103000000,7000000,0,289000000,6662000000,0,0,2056000000,2056000000,0,7000000,FY2002.FQ4,4
4,0.21,2003-02-04,2002-12,16.001,2013300000,6795000000,261000000,0.02,0.02,375000000,15000000,-77000000,0,0,36000000,36000000,92000000,0,0,375000000,-71000000,-206000000,0,0,169000000,7170000000,0,0,2042000000,2044000000,0,0,FY2003.FQ1,1
5,0.0,2003-05-15,2003-03,16.698,2013300000,5786000000,281000000,0.15,0.15,714000000,-54000000,-219000000,0,0,314000000,314000000,368000000,0,0,714000000,0,-127000000,0,0,587000000,6500000000,0,0,2042000000,2043000000,0,0,FY2003.FQ2,2
6,0.0,2003-08-14,2003-06,19.376,2013200000,5431000000,284000000,0.25,0.24,946000000,-40000000,-322000000,0,0,502000000,502000000,542000000,0,0,946000000,0,-82000000,0,0,864000000,6377000000,0,0,2043000000,2084000000,0,0,FY2003.FQ3,3
7,0.0,2003-12-12,2003-09,19.788,2013300000,6336000000,251000000,0.17,0.17,678000000,-48000000,-171000000,0,0,415000000,415000000,463000000,0,0,678000000,0,-44000000,0,0,634000000,7014000000,0,0,2460831000,2460831000,0,0,FY2003.FQ4,4
8,0.21,2004-02-11,2003-12,22.888,2013300000,7384000000,273000000,0.34,0.33,1165000000,-16000000,-410000000,0,0,688000000,688000000,704000000,0,0,1165000000,0,-51000000,0,0,1114000000,8549000000,0,0,2045000000,2099000000,0,0,FY2004.FQ1,1
9,0.0,2004-05-13,2004-03,24.517,2013300000,6153000000,279000000,0.26,0.26,1036000000,-69000000,-357000000,0,0,537000000,537000000,606000000,0,0,1036000000,0,-73000000,0,0,963000000,7189000000,0,0,2048000000,2110000000,0,0,FY2004.FQ2,2
10,0.0,2004-08-10,2004-06,25.008,2013300000,6375000000,320000000,0.29,0.29,1096000000,-46000000,-365000000,0,0,604000000,604000000,650000000,0,0,1096000000,0,-81000000,0,0,1015000000,7471000000,0,0,2053000000,2111000000,0,0,FY2004.FQ3,3
11,0.0,2004-12-13,2004-09,22.123,2054585000,6792000000,338000000,0.19,0.19,751000000,-66000000,-65000000,0,0,516000000,516000000,582000000,0,0,751000000,0,-104000000,0,0,647000000,7543000000,0,0,2538185000,2538185000,0,0,FY2004.FQ4,4
12,0.24,2005-02-09,2004-12,27.274,2043283000,7550000000,326000000,0.34,0.33,1116000000,-26000000,-372000000,0,0,686000000,686000000,712000000,0,0,1116000000,0,-32000000,0,0,1084000000,8666000000,0,0,2042000000,2107000000,0,0,FY2005.FQ1,1
13,0.0,2005-05-11,2005-03,28.186,2082900000,6720000000,330000000,0.32,0.31,1109000000,-54000000,-414000000,0,0,657000000,657000000,711000000,0,0,1109000000,0,16000000,0,0,1125000000,7829000000,0,0,2044000000,2114000000,0,0,FY2005.FQ2,2
14,0.0,2005-08-10,2005-06,24.703,2049600000,6433000000,350000000,0.4,0.39,1282000000,-47000000,-439000000,0,0,811000000,811000000,858000000,0,0,1282000000,0,15000000,0,0,1297000000,7715000000,0,0,2031000000,2096000000,0,0,FY2005.FQ3,3
15,0.0,2005-12-07,2005-09,23.673,2007200000,6740000000,335000000,0.15,0.15,424000000,-50000000,51000000,0,0,379000000,379000000,356000000,0,0,424000000,73000000,-119000000,0,0,305000000,7164000000,0,0,2256554000,2256554000,0,0,FY2005.FQ4,4
16,0.27,2006-02-06,2005-12,23.516,1958600000,7693000000,369000000,0.38,0.37,1161000000,-16000000,-429000000,0,0,734000000,734000000,750000000,0,0,1161000000,0,18000000,0,0,1179000000,8854000000,0,0,1940000000,1999000000,0,0,FY2006.FQ1,1
17,0.0,2006-05-09,2006-03,27.362,1940100000,6841000000,357000000,0.38,0.37,1186000000,-12000000,-404000000,0,0,733000000,733000000,745000000,0,0,1186000000,0,-37000000,0,0,1149000000,8027000000,0,0,1924000000,1990000000,0,0,FY2006.FQ2,2
18,0.0,2006-08-09,2006-06,29.432,2160200000,6734000000,356000000,0.54,0.53,1740000000,-73000000,-593000000,0,0,1125000000,1125000000,1168000000,30000000,0,1740000000,0,21000000,0,0,1761000000,8474000000,0,0,2071000000,2147000000,0,0,FY2006.FQ3,3
19,0.0,2006-11-22,2006-09,30.325,2064000000,7337000000,355000000,0.37,0.36,1315000000,-82000000,-428000000,0,0,782000000,782000000,854000000,10000000,0,1315000000,0,-33000000,0,0,1282000000,8652000000,0,0,2086000000,2169000000,0,0,FY2006.FQ4,4
20,0.31,2007-02-07,2006-12,33.621,2035200000,7907000000,374000000,0.83,0.79,1674000000,-5000000,-1009000000,0,0,1701000000,1701000000,1681000000,25000000,0,1674000000,0,1016000000,0,0,2690000000,9581000000,0,0,2059000000,2148000000,0,0,FY2007.FQ1,1
21,0.0,2007-05-08,2007-03,33.778,1981629000,6441000000,360000000,0.46,0.44,1513000000,-3000000,-582000000,0,0,931000000,931000000,922000000,12000000,0,1513000000,0,-9000000,0,0,1504000000,7954000000,0,0,2039000000,2129000000,0,0,FY2007.FQ2,2
22,0.0,2007-08-01,2007-06,34.14,1940924000,7022000000,365000000,0.59,0.57,2023000000,-69000000,-762000000,0,0,1178000000,1178000000,1265000000,-18000000,0,2023000000,0,4000000,0,0,2027000000,9045000000,0,0,1982000000,2070000000,0,0,FY2007.FQ3,3
23,0.0,2007-11-21,2007-09,34.39,1962200000,7359000000,392000000,0.46,0.44,1571000000,-100000000,-521000000,0,0,877000000,877000000,983000000,-6000000,0,1571000000,0,-67000000,0,0,1504000000,8930000000,0,0,1935000000,2023000000,0,0,FY2007.FQ4,4
24,0.35,2008-02-05,2007-12,32.28,1931000000,8419000000,385000000,0.66,0.63,2033000000,-24000000,-759000000,0,0,1250000000,1250000000,1274000000,0,0,2033000000,0,0,0,0,2033000000,10452000000,0,0,1904000000,1989000000,0,0,FY2008.FQ1,1
25,0.0,2009-05-05,2008-03,31.38,1901200000,6812000000,391000000,0.6,0.58,1898000000,-50000000,-712000000,-186000000,39000000,1133000000,1133000000,1183000000,0,-147000000,1898000000,0,144000000,0,0,1895000000,8710000000,0,0,1883000000,1960000000,0,0,FY2008.FQ2,2
26,0.0,2008-07-30,2008-06,31.2,1869700000,7215000000,402000000,0.68,0.66,2021000000,-91000000,-712000000,-141000000,0,1284000000,1284000000,1375000000,0,-141000000,2021000000,0,207000000,0,0,2087000000,9236000000,0,0,1900000000,1940000000,0,0,FY2008.FQ3,3
27,0.0,2008-11-20,2008-09,30.69,1822900000,7954000000,404000000,0.41,0.41,1491000000,-137000000,-490000000,-113000000,0,760000000,760000000,897000000,0,-113000000,1491000000,0,9000000,0,0,1387000000,9445000000,0,0,1872000000,1903000000,0,0,FY2008.FQ4,4
28,0.35,2009-02-03,2008-12,22.69,1856335000,8382000000,396000000,0.46,0.45,1217000000,-6000000,-488000000,-139000000,0,845000000,845000000,851000000,0,-139000000,1217000000,0,261000000,0,0,1339000000,9599000000,0,0,1852000000,1872000000,0,0,FY2009.FQ1,1
29,0.0,2009-05-05,2009-03,18.16,1856752000,6800000000,406000000,0.33,0.33,1287000000,-40000000,-348000000,-128000000,0,613000000,613000000,653000000,0,-128000000,1287000000,0,-158000000,0,0,1001000000,8087000000,0,0,1855000000,1868000000,0,0,FY2009.FQ2,2
30,0.0,2009-07-30,2009-06,23.33,1819700000,6998000000,404000000,0.51,0.51,1598000000,-77000000,-626000000,-134000000,59000000,954000000,954000000,1031000000,0,-75000000,1598000000,0,134000000,0,0,1657000000,8596000000,0,0,1857000000,1874000000,0,0,FY2009.FQ3,3
31,0.0,2009-12-02,2009-09,27.46,1818300000,8272000000,425000000,0.48,0.47,1595000000,-179000000,-587000000,-136000000,12000000,895000000,895000000,1074000000,0,-124000000,1595000000,0,190000000,0,0,1661000000,9867000000,0,0,1859000000,1887000000,0,0,FY2009.FQ4,4
32,0.35,2010-02-09,2009-12,32.25,1875900000,8325000000,423000000,0.45,0.44,1414000000,0,-478000000,-118000000,15000000,844000000,844000000,844000000,0,-103000000,1414000000,0,11000000,0,0,1322000000,9739000000,0,0,1867000000,1903000000,0,0,FY2010.FQ1,1
33,0.0,2010-05-11,2010-03,34.91,1969200000,7068000000,424000000,0.49,0.48,1512000000,-45000000,-537000000,-147000000,17000000,953000000,953000000,998000000,0,-130000000,1512000000,0,153000000,0,0,1535000000,8580000000,0,0,1940000000,1973000000,0,0,FY2010.FQ2,2
34,0.0,2010-08-10,2010-06,31.5,1932300000,7723000000,432000000,0.68,0.67,2279000000,-174000000,-831000000,-103000000,14000000,1331000000,1331000000,1505000000,0,-89000000,2279000000,0,146000000,0,0,2336000000,10002000000,0,0,1945000000,1978000000,0,0,FY2010.FQ3,3
35,0.0,2010-11-24,2010-09,33.1,1896900000,8221000000,434000000,0.44,0.43,1521000000,-131000000,-468000000,-88000000,1000000,835000000,835000000,966000000,0,-87000000,1521000000,0,0,0,0,1434000000,9742000000,0,0,1909000000,1939000000,0,0,FY2010.FQ4,4
36,0.4,2011-02-08,2010-12,37.51,1874700000,8776000000,447000000,0.69,0.68,1940000000,-32000000,-730000000,-100000000,5000000,1302000000,1302000000,1334000000,0,-95000000,1940000000,0,219000000,0,0,2064000000,10716000000,0,0,1891000000,1927000000,0,0,FY2011.FQ1,1
37,0.0,2011-05-10,2011-03,43.09,1855200000,7549000000,456000000,0.5,0.49,1528000000,-68000000,-558000000,-111000000,28000000,942000000,942000000,1010000000,0,-83000000,1528000000,0,123000000,0,0,1568000000,9077000000,0,0,1899000000,1934000000,0,0,FY2011.FQ2,2
38,0.0,2011-08-09,2011-06,39.04,1820200000,8229000000,476000000,0.78,0.77,2446000000,-187000000,-845000000,-113000000,25000000,1476000000,1476000000,1663000000,0,-88000000,2446000000,0,150000000,0,0,2508000000,10675000000,0,0,1883000000,1912000000,0,0,FY2011.FQ3,3
39,0.0,2011-11-23,2011-09,30.16,1762200000,8558000000,462000000,0.59,0.59,1867000000,-164000000,-652000000,-111000000,34000000,1087000000,1087000000,1251000000,0,-77000000,1867000000,0,113000000,0,0,1903000000,10425000000,0,0,1839000000,1864000000,0,0,FY2011.FQ4,4
40,0.6,2012-02-07,2011-12,37.5,1838900000,8587000000,485000000,0.81,0.8,2192000000,-57000000,-720000000,-116000000,26000000,1464000000,1464000000,1521000000,0,-90000000,2192000000,0,139000000,0,0,2241000000,10779000000,0,0,1798000000,1824000000,0,0,FY2012.FQ1,1
41,0.0,2012-05-08,2012-03,43.78,1817500000,7942000000,488000000,0.64,0.63,1687000000,-83000000,-650000000,-126000000,31000000,1143000000,1143000000,1226000000,0,-95000000,1687000000,0,284000000,0,0,1876000000,9629000000,0,0,1793000000,1818000000,0,0,FY2012.FQ2,2
42,0.0,2012-08-07,2012-06,48.5,1808900000,8128000000,522000000,1.02,1.01,2960000000,-205000000,-993000000,-115000000,22000000,1831000000,1831000000,2036000000,0,-93000000,2960000000,0,162000000,0,0,3029000000,11088000000,0,0,1791000000,1812000000,0,0,FY2012.FQ3,3
43,0.0,2012-11-21,2012-09,52.28,1800000000,-1189000000,492000000,0.69,0.68,11971000000,-146000000,-724000000,-139000000,24000000,1244000000,1244000000,1390000000,0,-115000000,2024000000,0,205000000,9947000000,0,2114000000,10782000000,0,0,1794000000,1818000000,0,9947000000,FY2012.FQ4,4
44,0.75,2013-02-05,2012-12,49.79,1800000000,9249000000,514000000,0.78,0.77,2092000000,-56000000,-590000000,-92000000,20000000,1382000000,1382000000,1438000000,0,-72000000,2092000000,0,8000000,0,0,2028000000,11341000000,0,0,1777000000,1800000000,0,0,FY2013.FQ1,1
45,0.0,2013-05-07,2013-03,56.8,1800000000,8359000000,550000000,0.84,0.83,2195000000,-108000000,-654000000,-83000000,29000000,1513000000,1513000000,1621000000,0,-54000000,2195000000,0,134000000,0,0,2275000000,10554000000,0,0,1804000000,1825000000,0,0,FY2013.FQ2,2
46,0.0,2013-08-06,2013-06,63.15,1800000000,8574000000,569000000,1.02,1.01,3004000000,-187000000,-1059000000,-93000000,10000000,1847000000,1847000000,2034000000,0,-83000000,3004000000,0,172000000,0,0,3093000000,11578000000,0,0,1802000000,1821000000,0,0,FY2013.FQ3,3
47,0.0,2013-11-20,2013-09,64.49,1800000000,-1148000000,559000000,0.78,0.77,12716000000,-149000000,-681000000,-81000000,55000000,1394000000,1394000000,1543000000,0,-26000000,2159000000,0,91000000,10557000000,0,2224000000,11568000000,0,0,1786000000,1804000000,0,10557000000,FY2013.FQ4,4
48,0.86,2014-02-05,2013-12,76.4,1700000000,7065000000,561000000,1.04,1.03,5244000000,-64000000,-1036000000,-81000000,130000000,1840000000,1840000000,1904000000,0,49000000,2665000000,0,226000000,561000000,0,2940000000,12309000000,0,2018000000,1762000000,1784000000,0,2579000000,FY2014.FQ1,1
49,0.0,2014-05-06,2014-03,80.07,1700000000,5972000000,580000000,1.1,1.08,5677000000,-139000000,-1119000000,-67000000,129000000,1917000000,1917000000,2056000000,0,62000000,2981000000,0,132000000,580000000,0,3175000000,11649000000,0,2116000000,1750000000,1770000000,0,2696000000,FY2014.FQ2,2
50,0.0,2014-08-05,2014-06,85.74,1700000000,6364000000,557000000,1.3,1.28,6102000000,-174000000,-1251000000,-74000000,24000000,2245000000,2245000000,2419000000,0,-50000000,3498000000,0,222000000,557000000,0,3670000000,12466000000,0,2047000000,1732000000,1748000000,0,2604000000,FY2014.FQ3,3
51,0.0,2014-11-19,2014-09,89.03,1700000000,7019000000,590000000,0.87,0.86,5370000000,-126000000,-836000000,-72000000,34000000,1499000000,1499000000,1625000000,0,-38000000,2396000000,0,103000000,590000000,0,2461000000,12389000000,0,2384000000,1716000000,1735000000,0,2974000000,FY2014.FQ4,4
52,1.15,2015-02-03,2014-12,94.19,1700000000,7656000000,592000000,1.28,1.27,5735000000,-62000000,-1118000000,-69000000,11000000,2182000000,2182000000,2244000000,0,-58000000,3208000000,0,212000000,592000000,0,3362000000,13391000000,0,1935000000,1700000000,1717000000,0,2527000000,FY2015.FQ1,1
53,0.0,2015-05-05,2015-03,104.89,1700000000,6690000000,584000000,1.24,1.23,5771000000,-120000000,-1092000000,-66000000,74000000,2108000000,2108000000,2228000000,0,8000000,3106000000,0,206000000,584000000,0,3320000000,12461000000,0,2081000000,1699000000,1715000000,0,2665000000,FY2015.FQ2,2
54,0.66,2015-08-04,2015-06,114.14,1600000000,6663000000,575000000,1.46,1.45,6438000000,-156000000,-1323000000,-62000000,50000000,2483000000,2483000000,2639000000,0,-12000000,3762000000,0,212000000,575000000,0,3962000000,13101000000,0,2101000000,1696000000,1711000000,0,2676000000,FY2015.FQ3,3
55,0.0,2015-11-25,2015-09,102.2,1600000000,7355000000,603000000,0.96,0.95,6157000000,-132000000,-1483000000,-68000000,13000000,1609000000,1609000000,1741000000,0,-55000000,3148000000,0,131000000,603000000,0,3224000000,13512000000,0,2406000000,1679000000,1694000000,0,3009000000,FY2015.FQ4,4
56,0.71,2016-02-09,2015-12,105.08,1700000000,8623000000,607000000,1.74,1.73,6621000000,-30000000,-1448000000,-66000000,42000000,2880000000,2880000000,2910000000,0,-24000000,3989000000,0,393000000,607000000,0,4358000000,15244000000,0,2025000000,1654000000,1668000000,0,2632000000,FY2016.FQ1,1
57,0.0,2016-05-10,2016-03,99.31,1700000000,6864000000,605000000,1.31,1.3,6105000000,-133000000,-1170000000,-81000000,14000000,2143000000,2143000000,2276000000,0,-67000000,3363000000,0,150000000,605000000,0,3446000000,12969000000,0,2137000000,1633000000,1643000000,0,2742000000,FY2016.FQ2,2
