,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0.21,2002-02-14,2001-12,20.328,2018600000,FY2002.FQ1,1
1,0.0,2002-05-15,2002-03,22.643,2018600000,FY2002.FQ2,2
2,0.0,2002-08-09,2002-06,18.542,2018600000,FY2002.FQ3,3
3,0.0,2002-12-04,2002-09,14.853,2018600000,FY2002.FQ4,4
4,0.21,2003-02-04,2002-12,16.001,2013300000,FY2003.FQ1,1
5,0.0,2003-05-15,2003-03,16.698,2013300000,FY2003.FQ2,2
6,0.0,2003-08-14,2003-06,19.376,2013200000,FY2003.FQ3,3
7,0.0,2003-12-12,2003-09,19.788,2013300000,FY2003.FQ4,4
8,0.21,2004-02-11,2003-12,22.888,2013300000,FY2004.FQ1,1
9,0.0,2004-05-13,2004-03,24.517,2013300000,FY2004.FQ2,2
10,0.0,2004-08-10,2004-06,25.008,2013300000,FY2004.FQ3,3
11,0.0,2004-12-13,2004-09,22.123,2054585000,FY2004.FQ4,4
12,0.24,2005-02-09,2004-12,27.274,2043283000,FY2005.FQ1,1
13,0.0,2005-05-11,2005-03,28.186,2082900000,FY2005.FQ2,2
14,0.0,2005-08-10,2005-06,24.703,2049600000,FY2005.FQ3,3
15,0.0,2005-12-07,2005-09,23.673,2007200000,FY2005.FQ4,4
16,0.27,2006-02-06,2005-12,23.516,1958600000,FY2006.FQ1,1
17,0.0,2006-05-09,2006-03,27.362,1940100000,FY2006.FQ2,2
18,0.0,2006-08-09,2006-06,29.432,2160200000,FY2006.FQ3,3
19,0.0,2006-11-22,2006-09,30.325,2064000000,FY2006.FQ4,4
20,0.31,2007-02-07,2006-12,33.621,2035200000,FY2007.FQ1,1
21,0.0,2007-05-08,2007-03,33.778,1981629000,FY2007.FQ2,2
22,0.0,2007-08-01,2007-06,34.14,1940924000,FY2007.FQ3,3
23,0.0,2007-11-21,2007-09,34.39,1962200000,FY2007.FQ4,4
24,0.35,2008-02-05,2007-12,32.28,1931000000,FY2008.FQ1,1
25,0.0,2009-05-05,2008-03,31.38,1901200000,FY2008.FQ2,2
26,0.0,2008-07-30,2008-06,31.2,1869700000,FY2008.FQ3,3
27,0.0,2008-11-20,2008-09,30.69,1822900000,FY2008.FQ4,4
28,0.35,2009-02-03,2008-12,22.69,1856335000,FY2009.FQ1,1
29,0.0,2009-05-05,2009-03,18.16,1856752000,FY2009.FQ2,2
30,0.0,2009-07-30,2009-06,23.33,1819700000,FY2009.FQ3,3
31,0.0,2009-12-02,2009-09,27.46,1818300000,FY2009.FQ4,4
32,0.35,2010-02-09,2009-12,32.25,1875900000,FY2010.FQ1,1
33,0.0,2010-05-11,2010-03,34.91,1969200000,FY2010.FQ2,2
34,0.0,2010-08-10,2010-06,31.5,1932300000,FY2010.FQ3,3
35,0.0,2010-11-24,2010-09,33.1,1896900000,FY2010.FQ4,4
36,0.4,2011-02-08,2010-12,37.51,1874700000,FY2011.FQ1,1
37,0.0,2011-05-10,2011-03,43.09,1855200000,FY2011.FQ2,2
38,0.0,2011-08-09,2011-06,39.04,1820200000,FY2011.FQ3,3
39,0.0,2011-11-23,2011-09,30.16,1762200000,FY2011.FQ4,4
40,0.6,2012-02-07,2011-12,37.5,1838900000,FY2012.FQ1,1
41,0.0,2012-05-08,2012-03,43.78,1817500000,FY2012.FQ2,2
42,0.0,2012-08-07,2012-06,48.5,1808900000,FY2012.FQ3,3
43,0.0,2012-11-21,2012-09,52.28,1800000000,FY2012.FQ4,4
44,0.75,2013-02-05,2012-12,49.79,1800000000,FY2013.FQ1,1
45,0.0,2013-05-07,2013-03,56.8,1800000000,FY2013.FQ2,2
46,0.0,2013-08-06,2013-06,63.15,1800000000,FY2013.FQ3,3
47,0.0,2013-11-20,2013-09,64.49,1800000000,FY2013.FQ4,4
48,0.86,2014-02-05,2013-12,76.4,1700000000,FY2014.FQ1,1
49,0.0,2014-05-06,2014-03,80.07,1700000000,FY2014.FQ2,2
50,0.0,2014-08-05,2014-06,85.74,1700000000,FY2014.FQ3,3
51,0.0,2014-11-19,2014-09,89.03,1700000000,FY2014.FQ4,4
52,1.15,2015-02-03,2014-12,94.19,1700000000,FY2015.FQ1,1
53,0.0,2015-05-05,2015-03,104.89,1700000000,FY2015.FQ2,2
54,0.66,2015-08-04,2015-06,114.14,1600000000,FY2015.FQ3,3
55,0.0,2015-11-25,2015-09,102.2,1600000000,FY2015.FQ4,4
56,0.71,2016-02-09,2015-12,105.08,1700000000,FY2016.FQ1,1
57,0.0,2016-05-10,2016-03,99.31,1700000000,FY2016.FQ2,2
58,0.71,2016-08-09,2016-06,97.82,1700000000,FY2016.FQ3,3
59,0.0,2016-11-23,2016-09,92.86,1600000000,FY2016.FQ4,4
60,0.78,2017-02-07,2016-12,104.22,1600000000,FY2017.FQ1,1
61,0.0,2017-05-09,2017-03,113.39,1564879000,FY2017.FQ2,2
62,0.78,2017-08-08,2017-06,106.25,1600000000,FY2017.FQ3,3
63,0.0,2017-11-22,2017-09,98.57,1500000000,FY2017.FQ4,4
64,0.84,2018-02-06,2017-12,107.51,1507282000,FY2018.FQ1,1
65,0.0,2018-05-08,2018-03,100.44,1500000000,FY2018.FQ2,2
66,0.84,2018-08-07,2018-06,104.81,1500000000,FY2018.FQ3,3
67,0.0,2018-11-21,2018-09,116.94,1500000000,FY2018.FQ4,4
68,0.88,2019-02-05,2018-12,109.65,1490000000,FY2019.FQ1,1
69,0.0,2019-05-08,2019-03,111.03,1781000000,FY2019.FQ2,2
70,0.88,2019-08-06,2019-06,139.64,1781000000,FY2019.FQ3,3
