,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,accounts_payable,accumulated_depreciation,aoci,apic,cash_and_equiv,common_stock,current_accrued_liabilities,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,equity_and_other_investments,goodwill,intangible_assets,inventories,lt_debt,minority_interest_liability,noncurrent_capital_leases,noncurrent_deferred_revenue,other_current_assets,other_current_liabilities,other_equity,other_lt_assets,other_lt_liabilities,pension_liabilities,ppe_gross,ppe_net,preferred_stock,receivables,retained_earnings,st_debt,st_investments,tax_payable,total_assets,total_current_assets,total_current_liabilities,total_equity,total_liabilities,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,treasury_stock,fiscal_year_key,fiscal_year_number
0,0.0,2010-11-18,2008-12,0.0,579000000,22259000000,-43712000000,-32339000000,16489000000,14053000000,1017000000,32427000000,0,0,0,4063000000,0,265000000,13195000000,29018000000,484000000,0,17392000000,8960000000,4002000000,0,2779000000,0,54097000000,83377000000,39665000000,0,7918000000,-70727000000,16920000000,141000000,0,91039000000,44267000000,75608000000,-85076000000,176115000000,91039000000,46772000000,100507000000,0,FY2008,2008
1,0.0,2010-11-18,2009-12,0.0,925000000,18725000000,-1285000000,1588000000,24040000000,22679000000,15000000,22288000000,0,0,0,7936000000,30672000000,14547000000,10107000000,5562000000,708000000,0,13279000000,18809000000,1201000000,0,5206000000,7268000000,35794000000,19972000000,18687000000,0,7518000000,-4394000000,10221000000,134000000,0,136295000000,59247000000,52435000000,21957000000,114338000000,136295000000,77048000000,61903000000,0,FY2009,2009
2,0.0,2011-03-01,2010-12,36.86,1500137000,21497000000,-3277000000,1251000000,24257000000,21061000000,15000000,23419000000,0,0,0,8529000000,31778000000,11882000000,12125000000,9142000000,979000000,0,13021000000,5613000000,625000000,0,14421000000,1231000000,31188000000,22512000000,19235000000,10391000000,8699000000,266000000,1616000000,5555000000,0,138898000000,53053000000,47157000000,37159000000,101739000000,138898000000,85845000000,54582000000,0,FY2010,2010
3,0.0,2012-02-27,2011-12,20.27,1564727000,24551000000,-4686000000,-5861000000,26391000000,16071000000,16000000,21738000000,139000000,1137000000,0,6790000000,29019000000,10014000000,14324000000,6514000000,871000000,853000000,1300000000,5165000000,312000000,0,10067000000,8754000000,34965000000,28476000000,23790000000,10391000000,13215000000,7183000000,5349000000,16148000000,0,144603000000,64923000000,53226000000,38991000000,105612000000,144603000000,79680000000,52386000000,0,FY2011,2011
4,0.0,2013-02-15,2012-12,28.83,1366374000,25166000000,-5817000000,-8052000000,23834000000,18422000000,14000000,21982000000,0,1326000000,0,6883000000,1973000000,6809000000,14714000000,10532000000,756000000,0,1169000000,13433000000,0,0,37916000000,9123000000,37606000000,31662000000,25845000000,10391000000,14439000000,10057000000,5518000000,8988000000,0,149422000000,69996000000,53992000000,37000000000,112422000000,149422000000,79426000000,58430000000,0,FY2012,2012
5,0.0,2014-02-06,2013-12,40.87,1500000000,23621000000,-7429000000,-3113000000,28780000000,20021000000,15000000,23357000000,0,1276000000,0,8094000000,1560000000,5668000000,14039000000,22025000000,567000000,0,1249000000,15656000000,0,0,40271000000,9696000000,27788000000,36679000000,29250000000,3109000000,22813000000,13816000000,14158000000,8972000000,0,166344000000,81501000000,62412000000,43174000000,123170000000,166344000000,84843000000,60758000000,0,FY2013,2013
6,1.2,2015-02-04,2014-12,34.91,1600000000,22529000000,-9275000000,-8073000000,28937000000,18954000000,16000000,26562000000,0,1622000000,0,8350000000,1400000000,4983000000,13642000000,31721000000,567000000,0,1556000000,16202000000,0,0,44339000000,10218000000,32325000000,44078000000,34803000000,0,25606000000,14577000000,14944000000,9222000000,0,177501000000,83626000000,65657000000,36024000000,141477000000,177501000000,93875000000,75820000000,0,FY2014,2014
7,1.38,2016-02-03,2015-12,34.01,1500000000,24062000000,-12349000000,-8036000000,27607000000,15238000000,15000000,25366000000,0,2227000000,0,9201000000,1400000000,4576000000,13764000000,43549000000,452000000,0,2007000000,5855000000,0,0,58352000000,8917000000,28325000000,63750000000,51401000000,0,26388000000,20285000000,19562000000,8163000000,0,194338000000,69408000000,71217000000,40323000000,154015000000,194338000000,124930000000,82798000000,0,FY2015,2015
8,1.52,2017-02-07,2016-12,34.84,1500000000,23333000000,-20666000000,-9330000000,26983000000,12574000000,15000000,23198000000,0,2695000000,0,8996000000,1900000000,4293000000,11040000000,51326000000,239000000,0,2285000000,15921000000,12158000000,0,63353000000,16100000000,22723000000,87611000000,66945000000,0,24827000000,26168000000,23797000000,11841000000,0,221690000000,76203000000,85181000000,44075000000,177615000000,221690000000,145487000000,92434000000,0,FY2016,2016
9,1.52,2018-02-06,2017-12,40.99,1400000000,23929000000,-24081000000,-8011000000,25371000000,15512000000,14000000,22596000000,0,3400000000,0,9073000000,1900000000,3992000000,10663000000,67254000000,1199000000,0,2887000000,5571000000,0,0,49638000000,8253000000,20998000000,103216000000,79135000000,0,28685000000,17627000000,26965000000,8313000000,0,212482000000,68744000000,76890000000,36200000000,176282000000,212482000000,143738000000,99392000000,0,FY2017,2017
