,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0.0,2010-11-18,2008-12,0.0,579000000,-7183000000,3843000000,-1764000000,-12065000000,-778000000,-10764000000,0,0,0,5928000000,1828000000,-4100000000,-283000000,2298000000,0,0,0,-1000000,231000000,232000000,0,2095000000,-3771000000,5866000000,3093000000,-7183000000,-7530000000,347000000,94000000,10203000000,1163000000,77000000,-31051000000,7526000000,-1011000000,-287000000,1315000000,0,FY2008,2008
1,0.0,2010-11-18,2009-12,0.0,925000000,-5274000000,44574000000,-18978000000,-17239000000,660000000,9017000000,0,0,0,60102000000,46055000000,-14047000000,-97000000,-1384000000,0,0,0,-2127000000,-2127000000,0,0,34000000,-360000000,394000000,-11611000000,-5274000000,-5379000000,105000000,-6857000000,11384000000,-2027000000,3194000000,105217000000,-124956000000,-12174000000,1731000000,392000000,0,FY2009,2009
2,0.0,2011-03-01,2010-12,36.86,1500137000,-3867000000,-9770000000,1233000000,6780000000,-57000000,-1814000000,4857000000,3395000000,-1462000000,1886000000,-11422000000,-13308000000,-1572000000,-171000000,0,0,0,-3042000000,-2662000000,380000000,0,-5416000000,-11370000000,5954000000,13178000000,-3867000000,-4213000000,346000000,-966000000,6930000000,254000000,-2229000000,6503000000,-5941000000,1600000000,304000000,-641000000,0,FY2010,2010
3,0.0,2012-02-27,2011-12,20.27,1564727000,-7039000000,-358000000,-12740000000,8166000000,-253000000,-5185000000,11000000,11000000,0,9165000000,697000000,-8468000000,-916000000,-150000000,0,0,0,-53000000,4768000000,4821000000,0,-10621000000,-27106000000,16485000000,152000000,-7039000000,-7086000000,47000000,-4122000000,7427000000,-318000000,-2760000000,9287000000,-4108000000,405000000,-195000000,-1572000000,0,FY2011,2011
4,0.0,2013-02-15,2012-12,28.83,1366374000,-9059000000,-4741000000,-3505000000,10605000000,-8000000,2351000000,4000000,-5094000000,-5098000000,9036000000,1412000000,-7624000000,-939000000,-120000000,0,0,0,-44000000,-26000000,18000000,0,6902000000,-10884000000,17786000000,-1322000000,-9059000000,-9118000000,59000000,630000000,38762000000,-35561000000,-326000000,6136000000,638000000,1671000000,-255000000,-460000000,0,FY2012,2012
5,0.0,2014-02-06,2013-12,40.87,1500000000,-9602000000,3731000000,-14362000000,12630000000,-400000000,1599000000,0,-2438000000,-2438000000,28197000000,8006000000,-20191000000,-1687000000,-150000000,0,0,0,-2623000000,-1727000000,896000000,0,136000000,-9968000000,10104000000,-3169000000,-9602000000,-9819000000,217000000,-1326000000,8041000000,1561000000,59000000,5331000000,-977000000,-1393000000,0,8000000,0,FY2013,2013
6,1.2,2015-02-04,2014-12,34.91,1600000000,-11334000000,5675000000,-15359000000,10061000000,-1230000000,-853000000,0,-3277000000,-3277000000,31764000000,12240000000,-19524000000,-3165000000,-123000000,0,0,0,-53000000,-53000000,0,0,-399000000,-9154000000,8755000000,-3573000000,-11334000000,-11867000000,533000000,247000000,7238000000,-574000000,-309000000,4018000000,-868000000,3804000000,0,-3248000000,0,FY2014,2014
7,1.38,2016-02-03,2015-12,34.01,1500000000,-14001000000,13608000000,-27710000000,11769000000,-1524000000,-3857000000,0,-3520000000,-3520000000,31547000000,18017000000,-13530000000,-2242000000,1353000000,0,0,0,-927000000,-927000000,0,0,858000000,-9363000000,10221000000,-13640000000,-14001000000,-15096000000,1095000000,-1208000000,7487000000,-2046000000,-1209000000,9590000000,-2054000000,837000000,0,-836000000,0,FY2015,2015
8,1.52,2017-02-07,2016-12,34.84,1500000000,-16941000000,17077000000,-35643000000,16607000000,-213000000,-2172000000,0,-2500000000,-2500000000,42036000000,21027000000,-21009000000,-2368000000,918000000,0,0,0,-804000000,-804000000,0,0,-3701000000,-15444000000,11743000000,-14197000000,-16941000000,-19495000000,2554000000,580000000,9819000000,2228000000,-75000000,9269000000,-5289000000,4088000000,0,-3433000000,0,FY2016,2016
9,1.52,2018-02-06,2017-12,40.99,1400000000,-12513000000,12584000000,-27572000000,17328000000,348000000,2688000000,0,-4492000000,-4492000000,52187000000,18455000000,-33732000000,-2233000000,-131000000,985000000,985000000,0,-41000000,-41000000,0,0,3504000000,-5503000000,9007000000,-18522000000,-12513000000,-19180000000,6667000000,-3015000000,12261000000,10880000000,440000000,330000000,-3128000000,-2758000000,0,-697000000,0,FY2017,2017
10,1.52,2019-02-06,2018-12,33.45,1400000000,-5872000000,11454000000,-20763000000,15256000000,-299000000,5648000000,0,-190000000,-190000000,44987000000,11664000000,-33323000000,-2242000000,-640000000,2862000000,2862000000,0,-83000000,-83000000,0,0,2288000000,-2820000000,5108000000,-17096000000,-5872000000,-16736000000,10864000000,-1376000000,13669000000,-112000000,399000000,8075000000,-5000000000,339000000,0,-2114000000,0,FY2018,2018
11,1.52,2020-02-05,2019-12,36.6,1400000000,-3102000000,-4677000000,-10899000000,15021000000,2000000,-553000000,0,0,0,36937000000,-2531000000,-39468000000,-2350000000,-253000000,457000000,457000000,0,0,0,0,0,2190000000,-4075000000,6265000000,-9987000000,-3102000000,-16404000000,13302000000,-3789000000,14118000000,-133000000,-761000000,6667000000,-1842000000,-3128000000,0,100000000,0,FY2019,2019
12,0.38,2021-02-10,2020-12,41.64,1400000000,-1834000000,5552000000,-21826000000,16670000000,-222000000,174000000,0,-90000000,-90000000,78804000000,6141000000,-72663000000,-669000000,-322000000,492000000,492000000,0,0,0,0,0,-4263000000,-16204000000,11941000000,-15729000000,-1834000000,-15233000000,13399000000,-399000000,12815000000,925000000,-104000000,6321000000,-2992000000,-1698000000,0,1403000000,0,FY2020,2020
13,0.0,2022-02-02,2021-12,58.63,1500000000,-209000000,1744000000,-16355000000,15188000000,-152000000,425000000,0,0,0,48212000000,406000000,-47806000000,-186000000,-212000000,1736000000,1736000000,0,0,0,0,0,385000000,-8962000000,9347000000,-16531000000,-209000000,-14602000000,14393000000,-3366000000,12051000000,2214000000,-3155000000,9945000000,-5656000000,-3558000000,0,3347000000,0,FY2021,2021
14,0.18,2023-01-31,2022-12,33.64,1400000000,2285000000,383000000,-17882000000,16043000000,-138000000,-1594000000,0,-2500000000,-2500000000,46186000000,6580000000,-39606000000,-397000000,-3300000000,0,0,0,0,0,0,0,-3780000000,-11837000000,8057000000,-16387000000,2285000000,-11949000000,14234000000,-2977000000,11290000000,425000000,-2581000000,9708000000,-2403000000,9087000000,0,-9483000000,0,FY2022,2022
15,0.36,2024-01-30,2023-12,35.92,1200000000,-607000000,-6353000000,-14663000000,20930000000,54000000,-32000000,0,-11115000000,-11115000000,50963000000,6132000000,-44831000000,-597000000,-773000000,0,0,0,0,0,0,0,4916000000,-4429000000,9345000000,-18972000000,-607000000,-13640000000,13033000000,1822000000,11888000000,-1041000000,-757000000,9840000000,-1579000000,4378000000,0,-1799000000,0,FY2023,2023
16,0.48,2025-01-28,2024-12,53.27,1000000000,-4387000000,1938000000,-20517000000,20129000000,-503000000,1047000000,0,-7064000000,-7064000000,53563000000,10164000000,-43399000000,-653000000,-509000000,0,0,0,0,0,0,0,345000000,-3986000000,4331000000,-16475000000,-4387000000,-15279000000,10892000000,-1529000000,12389000000,1368000000,666000000,5963000000,1938000000,4992000000,0,-7187000000,0,FY2024,2024
