,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0.0,2010-11-18,2008-12,0.0,579000000,-1.07,NA,-85076000000,-146.936,0.0,0.0,0.0,0.0,0.5854,0.5045,NA,-0.5369,NA,0.0,0.0,-10417000000,0.0,-0.0699,-17.9913,14824000000,-0.1742,-0.479,-0.7701,-0.503,0.0995,-0.1737,0.0,0.0,-0.9345,-19248000000,0.0,0.0,-0.1291,NA,-33.2435,-0.0018,NA,0.0,0.0,0,31885000000,0.0,-0.2077,-15465000000,0.0,NA,-35.6131,-0.1384,0.0,0.0,0.0,0.0,-50.8998,-0.1978,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.3039,0.0,NA,0.0,0.0,NA,0.0,0.046739628776298,0.0,NA,0.0,0.0,0,0.0,-147.3937,-85341000000,0.0,0.0,0.0,0.0,FY2008,2008
1,0.0,2010-11-18,2009-12,0.0,925000000,6.2073,NA,21957000000,23.7372,0.2657,0.6138,0.0,-0.4288,1.1299,0.1158,NA,0.7427,NA,0.0,0.0,-9639000000,0.0746,-0.0921,-10.4205,-17251000000,-0.7856,-0.1645,0.7662,-0.1683,-0.1649,0.7415,0.0,3.1167,0.161,-22513000000,0.0,-0.1696,-0.2152,NA,-24.3383,-0.0727,NA,-26.3597,0.0,0,-6896000000,4.3875,1.0022,-15767250000,-0.0195,NA,-22.7275,-0.201,0.0,0.0,-0.5288,4.4777,110.8032,0.9799,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2979,113.0691,0.9221,NA,-0.3325,-3.2598,NA,-1017.6796,0.046739628776298,-5.6755,NA,-0.5194,0.5975,346000000,0.5975,-25.1481,-23262000000,0.0,0.4971,0.0,1.258,FY2009,2009
2,0.0,2011-03-01,2010-12,36.86,1500137000,3.7379,NA,26768000000,16.4827,0.2667,-0.0713,0.0,1.3932,1.125,0.0774,NA,0.2973,NA,0.0,0.0,12038000000,2.2488,0.0887,7.4125,37821049820,1.4129,6.1278,12.9835,6.5924,0.2789,-2.2389,0.0,-0.9744,0.2675,2913000000,0.0,1.1293,0.0214,NA,1.7937,0.1229,NA,3.1919,0.1171,55295049820,-10303000000,-0.9411,0.0455,3831000000,1.2429,NA,3.1453,0.0376,0.0,0.0,0.0293,-0.944,3.5326,0.0423,NA,2.0657,8.959,18.9821,9.6383,0.4078,-3.2734,0.0,0.2964,83.4926,0.0448,NA,0.0545,0.2149,NA,0.1413,0.046739628776298,0.283,NA,0.1036,0.7556,575137000,0.6217,-10.4014,-16892000000,0.0,0.019,0.0,0.6923,FY2010,2010
3,0.0,2012-02-27,2011-12,20.27,1564727000,3.7086,NA,28600000000,17.1462,-0.8202,-0.2369,0.0,0.2044,1.2197,0.0879,NA,0.3335,NA,0.0,0.0,14369000000,0.1936,0.0956,8.6145,6012016290,0.2102,0.6541,5.3345,0.6551,0.04,-0.5762,0.0,0.5847,0.2696,1127000000,0.0,-0.6131,0.0074,NA,0.6756,0.1271,NA,0.1459,0.0,31717016290,-4208000000,0.4889,0.0611,5206500000,0.359,NA,4.1618,0.0461,0.0,0.0,0.2368,0.5996,5.5017,0.061,NA,1.1089,3.4512,28.1428,3.4561,0.211,-3.04,0.0,0.1082,90.0935,0.0648,NA,0.073,0.2473,NA,0.1811,0.046739628776298,0.2856,NA,0.1292,0.027,64590000,0.043,-6.2547,-10433000000,0.0,0.041,0.0,0.0493,FY2011,2011
4,0.0,2013-02-15,2012-12,28.83,1366374000,4.0384,NA,26609000000,15.8859,-0.2869,0.1462,0.0,0.2986,1.2964,0.1074,NA,0.4428,NA,0.0,0.0,35544000000,1.4736,0.2334,21.2202,22514562420,0.8461,3.6384,14.5631,-0.7846,0.1478,1.2629,0.0,-0.3624,0.2476,1546000000,0.0,0.3717,0.0101,NA,0.9229,0.071,NA,-0.434,0.0,39392562420,-2372000000,-0.3266,0.0406,-2413500000,-1.4635,NA,-1.9211,-0.0211,0.0,0.0,0.0863,-4.1268,-17.1313,-0.1884,NA,1.4804,6.3659,25.4803,-1.3728,0.2587,2.2097,0.0,0.0131,90.8991,0.042,NA,-0.0325,0.1664,NA,0.1163,0.046739628776298,0.1721,NA,-0.0429,0.0041,-198353000,-0.1267,10.6429,17827000000,0.0,0.0333,0.0,-0.051,FY2012,2012
5,0.0,2014-02-06,2013-12,40.87,1500000000,3.8528,NA,40065000000,23.9051,-0.0599,0.0867,0.0,0.1909,1.3058,0.2175,NA,0.8492,NA,0.0,0.0,13713000000,-0.6141,0.0882,8.1819,54337000000,1.3562,10.164,17.9448,7.2857,0.3495,1.6547,0.0,-0.1849,0.2595,3028000000,0.0,0.9586,0.0194,NA,1.8066,0.1161,NA,0.6696,0.2851,61305000000,16162000000,-0.136,0.0343,4254000000,2.7625,NA,3.3842,0.0364,0.0,0.0,0.1317,1.2599,4.4498,0.0479,NA,1.5301,11.4674,20.246,8.22,0.3944,1.8669,0.0,0.0208,92.7368,0.0338,NA,0.0517,0.1355,NA,0.0799,0.046739628776298,0.1122,NA,0.0558,0.0005,133626000,0.0977,19.5924,32837000000,0.0,0.1132,0.0,0.1668,FY2013,2013
6,1.2,2015-02-04,2014-12,34.91,1600000000,4.9272,NA,36024000000,21.3538,-0.1803,-0.0532,0.0,-0.2034,1.2736,0.2628,NA,1.3161,NA,0.0,0.0,8888000000,-0.3518,0.057,5.2685,59401000000,1.6489,15.042,-46.6622,13.9898,0.3809,2.004,0.0,-0.3067,0.2029,-1273000000,0.0,-1.4204,-0.0081,NA,-0.7545,0.0885,NA,-0.2351,0.0536,55856000000,27711000000,-0.2613,0.0253,1237500000,-0.709,NA,0.978,0.0105,0.7272,0.0,0.1898,-0.4306,2.5168,0.0272,NA,1.5505,14.1443,-43.8774,13.1549,0.3582,1.8844,0.0,0.0032,92.4297,0.0229,NA,0.0134,0.1011,NA,0.0484,0.046739628776298,0.0635,NA,0.0142,0.0065,100000000,0.0666,17.5702,29641000000,0.0,0.067,0.0,-0.1656,FY2014,2014
7,1.38,2016-02-03,2015-12,34.01,1500000000,4.8195,NA,40323000000,24.5871,-0.2353,-0.196,0.0,0.1697,0.9745,0.3247,NA,1.5828,NA,0.0,0.15,13025000000,0.4654,0.0959,7.942,71163000000,1.7648,7.3462,-31.883,8.5011,0.5243,2.0718,0.0,2.5818,0.2074,-2232000000,0.0,-0.7533,-0.0164,NA,-1.3609,0.1283,NA,0.262,0.0,51015000000,47873000000,1.453,0.0713,4153500000,2.3563,NA,3.3768,0.0408,0.2335,0.0,0.4769,0.9715,5.1042,0.0616,NA,1.2651,5.2663,-22.8561,6.0942,0.3758,1.4852,0.0,-0.1295,82.7591,0.0521,NA,0.0411,0.2571,NA,0.1035,0.046739628776298,0.1266,NA,0.043,-0.0278,-100000000,-0.0625,20.9432,34347000000,0.0,0.0948,0.0,0.1193,FY2015,2015
8,1.52,2017-02-07,2016-12,34.84,1500000000,5.0298,NA,44075000000,28.0732,-0.2099,-0.1748,0.0,0.411,0.8946,0.3388,NA,1.7137,NA,0.0,0.1014,18505000000,0.4207,0.124,11.7866,79171000000,1.7962,8.3983,-237.0389,6.5931,0.5306,2.0899,0.0,0.0152,0.1988,-334000000,0.0,0.8503,-0.0022,NA,-0.2127,0.1275,NA,0.0921,0.228,52260000000,62549000000,-0.0268,0.0631,6514500000,0.5684,NA,5.5324,0.0582,0.2533,0.0,0.3024,0.4344,7.6484,0.0804,NA,1.1857,5.5436,-156.467,4.352,0.3503,1.3795,0.0,0.0991,95.0216,0.0453,NA,0.0573,0.2252,NA,0.0844,0.046739628776298,0.0964,NA,0.0597,-0.0426,0,0.0,24.1286,37882000000,0.0,0.1407,0.0,0.093,FY2016,2016
9,1.52,2018-02-06,2017-12,40.99,1400000000,5.8696,4.4289,36200000000,24.2627,0.2613,0.2336,0.0,0.0434,0.894,0.4434,0.2402,2.6918,0.7959,0.0,0.0,20922000000,0.1306,0.1437,14.0227,100815000000,2.7849,-26.0908,20.9376,8.4982,0.6924,3.3263,0.0,-1.4416,0.1703,4815000000,0.0,15.4161,0.033,0.0026,3.2272,0.1252,0.1195,-0.042,0.9721,57386000000,78707000000,-1.4098,-0.0265,6495750000,-0.0028,0.037,5.8049,0.0594,-0.5735,0.0,0.182,-0.012,7.951,0.0814,0.0545,1.5852,-14.8514,11.9181,4.8373,0.3941,1.8934,0.0,-0.0241,97.579,-0.0177,0.0434,0.0536,-0.098,0.151,-0.0307,0.046739628776298,-0.0346,0.0821,0.0557,-0.0496,-100000000,-0.0666,20.3136,30308000000,0.0,-0.0415,0.0,-0.1786,FY2017,2017
