,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0.0,2010-11-18,2008-12,0.0,579000000,149257000000,10203000000,-53.47,-53.47,-278000000,108000000,-1766000000,-2525000000,424000000,-30943000000,-30943000000,-31237000000,0,-2101000000,-20620000000,186000000,-6750000000,6089000000,0,-29471000000,148979000000,0,14253000000,579000000,579000000,0,20342000000,FY2008,2008
1,0.0,2010-11-18,2009-12,0.0,925000000,112195000000,11384000000,113.18,113.18,-7606000000,-396000000,2166000000,-6122000000,1292000000,104821000000,104690000000,104659000000,0,-4830000000,-21023000000,558000000,128346000000,0,131000000,102493000000,104589000000,0,13417000000,925000000,925000000,0,13417000000,FY2009,2009
2,0.0,2011-03-01,2010-12,36.86,1500137000,118920000000,6930000000,3.11,2.89,16672000000,-331000000,-672000000,-1098000000,465000000,6172000000,4668000000,5065000000,0,-633000000,5108000000,1438000000,1262000000,118000000,1504000000,5737000000,135592000000,0,11446000000,1500000000,1624000000,0,11564000000,FY2010,2010
3,0.0,2012-02-27,2011-12,20.27,1564727000,131171000000,7427000000,4.94,4.58,19105000000,-97000000,110000000,-540000000,455000000,9190000000,8331000000,9287000000,0,-85000000,6942000000,0,2320000000,0,859000000,9177000000,150276000000,0,12163000000,1536000000,1668000000,0,12163000000,FY2011,2011
4,0.0,2013-02-15,2012-12,28.83,1366374000,141443000000,38762000000,3.1,2.92,10813000000,52000000,34831000000,-489000000,343000000,6188000000,5329000000,6136000000,0,-146000000,-3218000000,0,-25331000000,0,859000000,-28695000000,152256000000,0,14031000000,1566000000,1675000000,0,14031000000,FY2012,2012
5,0.0,2014-02-06,2013-12,40.87,1500000000,137373000000,8041000000,2.71,2.38,18054000000,15000000,-2127000000,-334000000,246000000,5346000000,3770000000,5331000000,0,-88000000,5672000000,0,1874000000,0,1576000000,7458000000,155427000000,0,12382000000,1393000000,1676000000,0,12382000000,FY2013,2013
6,1.2,2015-02-04,2014-12,34.91,1600000000,142121000000,7238000000,1.75,1.65,13808000000,-69000000,-228000000,-403000000,211000000,3949000000,2804000000,4018000000,0,-192000000,1650000000,0,2788000000,0,1145000000,4246000000,155929000000,0,12158000000,1605000000,1687000000,0,12158000000,FY2014,2014
7,1.38,2016-02-03,2015-12,34.01,1500000000,118299000000,7487000000,6.11,5.91,17426000000,72000000,1219000000,-423000000,614000000,9687000000,9687000000,9590000000,25000000,191000000,5538000000,0,2642000000,0,0,8371000000,135725000000,0,11888000000,1586000000,1640000000,0,11888000000,FY2015,2015
8,1.52,2017-02-07,2016-12,34.84,1500000000,130153000000,9819000000,6.12,6.0,19031000000,159000000,-2739000000,-563000000,182000000,9427000000,9427000000,9269000000,-1000000,-381000000,8686000000,0,3703000000,0,0,12008000000,149184000000,0,10345000000,1540000000,1570000000,0,10345000000,FY2016,2016
9,1.52,2018-02-06,2017-12,40.99,1400000000,127357000000,12261000000,-2.65,-2.65,18231000000,18000000,-11533000000,-575000000,266000000,-3864000000,-3880000000,330000000,-4212000000,-309000000,8661000000,0,3511000000,0,16000000,11863000000,145588000000,0,9570000000,1465000000,1492000000,0,9570000000,FY2017,2017
