,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0.0,2010-11-18,2008-12,0.0,579000000,FY2008,2008
1,0.0,2010-11-18,2009-12,0.0,925000000,FY2009,2009
2,0.0,2011-03-01,2010-12,36.86,1500137000,FY2010,2010
3,0.0,2012-02-27,2011-12,20.27,1564727000,FY2011,2011
4,0.0,2013-02-15,2012-12,28.83,1366374000,FY2012,2012
5,0.0,2014-02-06,2013-12,40.87,1500000000,FY2013,2013
6,1.2,2015-02-04,2014-12,34.91,1600000000,FY2014,2014
7,1.38,2016-02-03,2015-12,34.01,1500000000,FY2015,2015
8,1.52,2017-02-07,2016-12,34.84,1500000000,FY2016,2016
9,1.52,2018-02-06,2017-12,40.99,1400000000,FY2017,2017
10,1.52,2019-02-06,2018-12,33.45,1400000000,FY2018,2018
11,1.52,2020-02-05,2019-12,36.6,1400000000,FY2019,2019
12,0.38,2021-02-10,2020-12,41.64,1400000000,FY2020,2020
13,0.0,2022-02-02,2021-12,58.63,1500000000,FY2021,2021
14,0.18,2023-01-31,2022-12,33.64,1400000000,FY2022,2022
15,0.36,2024-01-30,2023-12,35.92,1200000000,FY2023,2023
16,0.48,2025-01-28,2024-12,53.27,1000000000,FY2024,2024
