,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2010-05-17,2009-03,0.0,611000000,-1271000000,9314000000,-2315000000,-9390000000,-214000000,-2605000000,0,0,0,10346000000,9377000000,-969000000,0,-63000000,0,0,0,0,0,0,0,-878000000,-960000000,82000000,-166000000,-1271000000,-1566000000,295000000,0,0,0,0,-5899000000,-3491000000,0,0,0,0,FY2009.FQ1,1
1,0.0,2010-08-18,2009-06,0.0,611000000,-1568000000,12411000000,-1214000000,-5696000000,421000000,5922000000,0,0,0,19926000000,19862000000,-64000000,0,-7451000000,0,0,0,0,0,0,0,-23000000,-126000000,103000000,377000000,-1568000000,-1568000000,0,0,0,0,0,-13237000000,7541000000,0,0,0,0,FY2009.FQ2,2
2,0.0,2010-11-18,2009-09,0.0,611000000,-1264000000,25873000000,-17951000000,-258000000,335000000,7999000000,0,0,0,28759000000,26339000000,-2420000000,0,-466000000,0,0,0,0,0,0,0,-65000000,-65000000,0,-16622000000,-1264000000,-1264000000,0,0,0,0,0,127568000000,-127826000000,0,0,0,0,FY2009.FQ3,3
3,0.0,2010-11-18,2009-12,0.0,1581000000,-1548000000,-3024000000,2502000000,-1895000000,118000000,-2299000000,0,0,0,1071000000,-9523000000,-10594000000,0,6499000000,0,0,0,0,0,0,0,1000000000,791000000,209000000,3050000000,-1548000000,-1548000000,0,0,0,0,0,-3215000000,1320000000,0,0,0,0,FY2009.FQ4,4
4,0.0,2010-05-17,2010-03,0.0,1581000000,-706000000,-1738000000,451000000,1850000000,-303000000,260000000,0,0,0,138000000,-1535000000,-1673000000,-203000000,0,0,0,0,-153000000,-153000000,0,0,-12000000,-88000000,76000000,1322000000,-706000000,-840000000,134000000,0,0,0,0,1196000000,654000000,0,0,0,0,FY2010.FQ1,1
5,0.0,2010-08-18,2010-06,0.0,1500000000,-1523000000,-6053000000,5959000000,3845000000,-308000000,3443000000,0,-6000000,-6000000,296000000,-5845000000,-6141000000,-202000000,0,0,0,0,-1000000,-1000000,0,0,-4624000000,-4711000000,87000000,12107000000,-1523000000,-1687000000,164000000,0,0,0,0,1612000000,2233000000,0,0,0,0,FY2010.FQ2,2
6,0.0,2010-11-18,2010-09,0.0,1500000000,-1222000000,-158000000,-2264000000,2624000000,491000000,693000000,0,0,0,358000000,45000000,-313000000,-203000000,0,0,0,0,46000000,46000000,0,0,-2054000000,-4972000000,2918000000,966000000,-1222000000,-1261000000,39000000,0,0,0,0,2223000000,401000000,0,0,0,0,FY2010.FQ3,3
7,0.0,2011-03-01,2010-12,36.86,1500137000,3110000000,-1821000000,-2913000000,-1539000000,63000000,-6210000000,0,0,0,1234000000,-4087000000,-5321000000,-964000000,3230000000,0,0,0,-2934000000,-2934000000,0,0,1274000000,-1599000000,2873000000,-4363000000,3110000000,3101000000,9000000,0,0,0,0,1472000000,-3011000000,0,0,0,0,FY2010.FQ4,4
8,0.0,2011-05-06,2011-03,31.03,1560756000,-1626000000,207000000,39000000,-377000000,183000000,52000000,0,-100000000,-100000000,2260000000,546000000,-1714000000,-221000000,-18000000,0,0,0,-1000000,4804000000,4805000000,0,-3204000000,-8579000000,5375000000,65000000,-1626000000,-1642000000,16000000,0,0,0,0,3411000000,-3788000000,0,0,0,0,FY2011.FQ1,1
9,0.0,2011-08-05,2011-06,30.36,1561450000,-1255000000,-287000000,-5226000000,5064000000,138000000,-311000000,0,0,0,3101000000,-34000000,-3135000000,-214000000,-39000000,0,0,0,-7000000,-34000000,-27000000,0,-4054000000,-7116000000,3062000000,117000000,-1255000000,-1266000000,11000000,0,0,0,0,3037000000,2027000000,0,0,0,0,FY2011.FQ2,2
10,0.0,2011-11-09,2011-09,20.18,1564367000,-1729000000,-576000000,-1317000000,2037000000,-537000000,-393000000,0,0,0,1904000000,-358000000,-2262000000,-214000000,-4000000,0,0,0,-17000000,15000000,32000000,0,157000000,-4954000000,5111000000,240000000,-1729000000,-1741000000,12000000,0,0,0,0,2092000000,-55000000,0,0,0,0,FY2011.FQ3,3
11,0.0,2012-02-27,2011-12,20.27,1564727000,3820000000,298000000,-6236000000,1442000000,-37000000,-4533000000,0,0,0,1985000000,543000000,-1442000000,-267000000,22000000,0,0,0,-28000000,-17000000,11000000,0,-3520000000,-6457000000,2937000000,-6519000000,3820000000,3812000000,8000000,0,0,0,0,747000000,695000000,0,0,0,0,FY2011.FQ4,4
12,0.0,2012-05-03,2012-03,25.65,1565843000,-2290000000,-28000000,-1292000000,2499000000,128000000,1307000000,0,0,0,2394000000,191000000,-2203000000,-217000000,-2000000,0,0,0,0,56000000,56000000,0,1155000000,-4566000000,5721000000,-213000000,-2290000000,-2298000000,8000000,0,0,0,0,1350000000,1149000000,0,0,0,0,FY2012.FQ1,1
13,0.0,2012-08-03,2012-06,19.72,1565941000,-2359000000,594000000,467000000,3942000000,-197000000,4806000000,0,0,0,2884000000,854000000,-2030000000,-242000000,-18000000,0,0,0,0,1000000,1000000,0,3137000000,-2359000000,5496000000,-312000000,-2359000000,-2371000000,12000000,0,0,0,0,1901000000,2041000000,0,0,0,0,FY2012.FQ2,2
14,0.0,2012-10-31,2012-09,22.75,1565980000,-2156000000,1157000000,-3456000000,3383000000,52000000,1136000000,0,0,0,2652000000,1397000000,-1255000000,-220000000,-20000000,0,0,0,0,-39000000,-39000000,0,1259000000,-1760000000,3019000000,-2520000000,-2156000000,-2172000000,16000000,0,0,0,0,1854000000,1529000000,0,0,0,0,FY2012.FQ3,3
15,0.0,2013-02-15,2012-12,28.83,1366374000,-2254000000,-6464000000,776000000,781000000,9000000,-4898000000,0,0,0,1106000000,-1030000000,-2136000000,-260000000,-5174000000,0,0,0,0,0,0,0,1351000000,-2199000000,3550000000,1679000000,-2254000000,-2277000000,23000000,0,0,0,0,1031000000,-250000000,0,0,0,0,FY2012.FQ4,4
16,0.0,2013-05-02,2013-03,27.82,1400000000,-2381000000,2167000000,-510000000,819000000,-255000000,2221000000,0,0,0,3592000000,2408000000,-1184000000,-218000000,-23000000,0,0,0,-82000000,-82000000,0,0,2375000000,-2337000000,4712000000,-422000000,-2381000000,-2418000000,37000000,0,0,0,0,1185000000,-366000000,0,0,0,0,FY2013.FQ1,1
17,0.0,2013-07-25,2013-06,33.31,1400000000,-2494000000,-314000000,-5291000000,4893000000,-234000000,-946000000,0,0,0,8375000000,32000000,-8343000000,-256000000,-90000000,0,0,0,-2110000000,-2110000000,0,0,125000000,-2471000000,2596000000,-812000000,-2494000000,-2541000000,47000000,0,0,0,0,1388000000,3505000000,0,0,0,0,FY2013.FQ2,2
18,0.0,2013-10-30,2013-09,35.97,1400000000,-2496000000,1466000000,-4788000000,3860000000,120000000,658000000,0,0,0,9651000000,4983000000,-4668000000,-1045000000,-2472000000,0,0,0,16000000,16000000,0,0,-1873000000,-2653000000,780000000,-435000000,-2496000000,-2554000000,58000000,0,0,0,0,1705000000,2155000000,0,0,0,0,FY2013.FQ3,3
19,0.0,2014-02-06,2013-12,40.87,1500000000,-2231000000,412000000,-3773000000,3058000000,-31000000,-334000000,0,0,0,7060000000,583000000,-6477000000,-168000000,-3000000,0,0,0,-447000000,-447000000,0,0,-491000000,-2507000000,2016000000,-604000000,-2231000000,-2306000000,75000000,0,0,0,0,1053000000,2005000000,0,0,0,0,FY2013.FQ4,4
20,0.3,2014-04-24,2014-03,34.42,1600000000,-2256000000,718000000,-2837000000,1976000000,-452000000,-595000000,0,0,0,6067000000,1303000000,-4764000000,-571000000,-14000000,0,0,0,0,0,0,0,194000000,-1193000000,1387000000,-775000000,-2256000000,-2379000000,123000000,0,0,0,0,280000000,1696000000,0,0,0,0,FY2014.FQ1,1
21,0.3,2014-07-24,2014-06,36.3,1600000000,-2707000000,1300000000,-4763000000,3830000000,71000000,438000000,0,0,0,7014000000,1929000000,-5085000000,-622000000,-7000000,0,0,0,-50000000,-50000000,0,0,-1155000000,-3947000000,2792000000,-851000000,-2707000000,-2848000000,141000000,0,0,0,0,287000000,3543000000,0,0,0,0,FY2014.FQ2,2
22,0.3,2014-10-23,2014-09,31.94,1600000000,-2900000000,1342000000,-3825000000,1088000000,-409000000,-1804000000,0,0,0,9151000000,2154000000,-6997000000,-588000000,-224000000,0,0,0,-1000000,-1000000,0,0,270000000,-2489000000,2759000000,-1194000000,-2900000000,-3031000000,131000000,0,0,0,0,1442000000,-354000000,0,0,0,0,FY2014.FQ3,3
23,0.3,2015-02-04,2014-12,34.91,1600000000,-3471000000,2315000000,-3934000000,3167000000,-440000000,1108000000,0,0,0,10852000000,6854000000,-3998000000,-1384000000,-3155000000,0,0,0,-2000000,-2000000,0,0,292000000,-1525000000,1817000000,-753000000,-3471000000,-3609000000,138000000,0,0,0,0,2009000000,1158000000,0,0,0,0,FY2014.FQ4,4
