,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2010-05-17,2009-03,0.0,611000000,0.0,NA,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,0.0,-4677000000,0.0,-0.2085,-7.6546,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10661000000,0.0,0.0,-0.4752,NA,-17.4484,-0.0971,NA,0.0,0.0,0,0,0.0,-0.2663,-3507750000,0.0,NA,-7.6546,-0.2085,0.0,0.0,-1.0,0.0,-9.9198,-0.2702,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7119,-0.525,NA,-1.1565,0.5586,NA,1.2366,0.044700270581529,0.9069,NA,-1.1661,0.0552,32000000,0.0552,0.0,0,0.0,-1.0,0.0,1.0,FY2009.FQ1,1
1,0.0,2010-08-18,2009-06,0.0,611000000,0.0,NA,0,0.0,-0.2336,0.0,0.0,0.3933,0.0,0.0,NA,0.0,NA,0.0,0.0,-10427000000,-1.2294,-0.4524,-17.0654,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1596,0.0,-7264000000,0.0,0.3186,-0.3151,NA,-11.8887,-0.2749,NA,-1.9068,0.0,0,0,-1.1598,-0.5599,-7820250000,-1.2294,NA,-17.0654,-0.4524,0.0,0.0,0.0,-1.257,-22.3895,-0.5935,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0274,37.7201,0.0,NA,0.0,0.0,NA,0.0,0.044700270581529,0.0,NA,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,FY2009.FQ2,2
2,0.0,2010-11-18,2009-09,0.0,611000000,0.0,NA,0,0.0,0.1938,0.0,0.0,0.9547,0.0,0.0,NA,0.0,NA,0.0,0.0,-1994000000,0.8087,-0.0744,-3.2635,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8481,0.0,-1522000000,0.0,0.7904,-0.0568,NA,-2.4909,0.0526,NA,1.2226,0.0,0,0,10.8519,4.7468,-1495500000,0.8087,NA,-3.2635,-0.0744,0.0,0.0,0.0,10.2546,207.2062,4.7268,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1621,43.8363,0.0,NA,0.0,0.0,NA,0.0,0.044700270581529,0.0,NA,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,FY2009.FQ3,3
3,0.0,2010-11-18,2009-12,0.0,1581000000,6.2073,NA,21957000000,13.888,0.0,0.6138,0.0,0.0,1.1299,0.1158,NA,0.7427,NA,0.0,0.0,-3925000000,0.0,-0.1214,-2.4826,-17251000000,-0.7856,-0.1645,0.7536,-0.1683,-0.1649,0.7415,0.0,0.0,0.161,-3443000000,0.0,0.0,-0.1065,NA,-2.1777,-0.0154,NA,0.0,0.0,0,-6896000000,0.0,-0.1063,-2943750000,0.0,NA,-2.4826,-0.1214,0.0,0.0,-0.5288,0.0,-2.7634,-0.1351,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4471,1.5381,NA,-0.4469,9.8659,NA,5.4526,0.044700270581529,13.2945,NA,-0.8605,1.7305,970000000,1.5875,-14.7134,-23262000000,0.0,0.4971,0.0,1.258,FY2009.FQ4,4
4,0.0,2010-05-17,2010-03,0.0,1581000000,5.9003,NA,23053000000,14.5812,0.4445,0.0,0.0,1.197,1.1598,0.1042,NA,0.6373,NA,0.0,0.0,1193000000,1.255,0.0379,0.7545,-18062000000,-0.7834,-0.1614,1.6294,-0.1644,-0.1589,0.855,0.0,1.0559,0.1694,1144000000,0.0,1.1073,0.0363,NA,0.7235,0.1246,NA,2.7995,0.3909,0,-9136000000,1.1787,0.0339,894750000,1.255,NA,0.7545,0.0379,0.0,0.0,0.0,1.2148,0.8235,0.0413,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4032,19.9089,0.8215,NA,-0.1622,5.1445,NA,2.9249,0.044700270581529,7.3353,NA,-0.311,1.5875,0,0.0,-13.3611,-21124000000,0.0,0.0,0.0,0.0,FY2010.FQ1,1
5,0.0,2010-08-18,2010-06,0.0,1500000000,5.5185,NA,23901000000,45.7873,0.0286,0.0,0.0,1.675,1.1481,0.0618,NA,0.3545,NA,0.0,0.0,1903000000,1.1825,0.0573,3.6455,-28897000000,-1.209,-0.2287,19.2775,-0.2309,-0.2334,1.5125,0.0,1.121,0.1812,2322000000,0.0,1.3196,0.0699,NA,4.4482,0.1376,NA,1.7203,0.2311,0,-18612000000,1.119,0.0463,1427250000,1.1825,NA,3.6455,0.0573,0.0,0.0,0.0,1.1141,2.9923,0.047,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4394,63.5517,0.9428,NA,-0.0313,5.582,NA,3.5584,0.044700270581529,12.0831,NA,-0.0609,-0.1456,-81000000,-0.0512,-36.5996,-19105000000,0.0,0.0,0.0,0.0,FY2010.FQ2,2
6,0.0,2010-11-18,2010-09,0.0,1500000000,5.7862,NA,23718000000,15.812,0.0332,0.0,0.0,11.1705,1.1714,0.0624,NA,0.3765,NA,0.0,0.0,1733000000,1.8691,0.0508,1.1553,-30531000000,-1.2872,-23.0075,-21.4252,-89.2719,-0.2329,1.5825,0.0,-0.9937,0.1728,1402000000,0.0,1.9211,0.0411,NA,0.9346,0.1313,NA,2.17,0.0,0,-18900000000,-0.9829,0.0634,1299750000,1.8691,NA,1.1553,0.0508,0.0,0.0,0.0,-0.9854,1.2313,0.0542,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2716,22.7066,0.0098,NA,0.0101,0.0579,NA,0.04,0.044700270581529,0.2218,NA,0.0197,1.4549,0,0.0,-12.8613,-19292000000,0.0,0.0,0.0,0.0,FY2010.FQ3,3
7,0.0,2011-03-01,2010-12,36.86,1500137000,3.7379,NA,26768000000,17.8437,3.009,-0.0713,0.0,0.1878,1.125,0.0774,NA,0.2973,NA,0.0,0.0,280000000,1.0713,0.0075,0.1866,37821049820,1.4129,6.1278,5.8737,6.5924,0.2789,-2.2389,0.0,1.1495,0.2675,1571000000,0.0,1.4562,0.0425,NA,1.0472,0.1006,NA,8.424,0.0,55295049820,-10303000000,1.4088,0.0381,210000000,1.0713,NA,0.1866,0.0075,0.0,0.0,0.0293,1.2348,0.6839,0.0278,NA,2.0657,8.959,8.5875,9.6383,0.4078,-3.2734,0.0,0.1409,24.5857,0.0447,NA,0.0556,0.2094,NA,0.1502,0.044700270581529,0.3671,NA,0.1053,-0.0511,137000,0.0001,-11.2603,-16892000000,0.0,0.019,0.0,0.6923,FY2010.FQ4,4
8,0.0,2011-05-06,2011-03,31.03,1560756000,3.7314,3.7346,28695000000,15.7925,-1.3031,-0.1001,0.0,-1.2037,1.218,0.0855,0.0699,0.3268,0.312,0.0,0.0,1344000000,0.1265,0.0371,0.7396,29578258680,1.0307,3.4921,8.9848,5.0656,0.2108,-2.3089,0.0,2.2358,0.2679,-2003000000,0.0,-2.7508,-0.0553,-0.0276,-1.1023,0.12,0.0766,0.1073,0.0975,48430258680,-8491000000,2.1516,0.0929,1008000000,0.1265,0.0037,0.7396,0.0371,0.0,0.0,0.082,0.0783,0.7727,0.0387,0.0333,1.6877,5.7178,14.7115,8.2942,0.3451,-3.7806,0.0,0.1498,19.9196,0.0594,0.0272,0.0555,0.2277,0.2186,0.1671,0.044700270581529,0.2855,0.1586,0.101,0.1492,60619000,0.0404,-7.05,-12810000000,0.0,0.0722,0.0,0.6954,FY2011.FQ1,1
9,0.0,2011-08-05,2011-06,30.36,1561450000,3.5785,3.7346,31641000000,19.1299,0.1759,-0.2353,0.0,0.317,1.2253,0.0799,0.0699,0.2923,0.312,0.0,0.0,2451000000,0.2879,0.0622,1.4818,24630622000,0.7784,2.4814,5.1539,3.5847,0.1681,-2.5959,0.0,-0.3974,0.2794,3809000000,0.0,0.6403,0.0967,-0.0094,2.3029,0.1369,0.1103,0.1815,0.0,47405622000,-8450000000,0.9479,0.0759,1838250000,0.2879,0.0223,1.4818,0.0622,0.0,0.0,0.1592,0.6606,1.5683,0.0658,0.04,1.4982,4.7759,9.9195,6.8993,0.3235,-4.9963,0.0,0.1868,23.8047,0.067,0.052,0.0597,0.2502,0.239,0.1847,0.044700270581529,0.3008,0.1759,0.1038,2.1685,694000,0.0004,-5.7363,-9488000000,0.0514,0.1403,0.0,0.7585,FY2011.FQ2,2
10,0.0,2011-11-09,2011-09,20.18,1564367000,3.2553,3.7346,35225000000,20.9423,-0.4148,-0.261,0.0,-0.2237,1.2369,0.0785,0.078,0.2607,0.312,0.0,0.0,1806000000,0.0421,0.0491,1.0737,9713926060,0.2757,0.984,2.636,1.4189,0.0651,-1.884,0.0,-0.2113,0.3071,308000000,0.0,-0.7803,0.0083,0.0223,0.1831,0.1299,0.1223,0.067,0.0587,31568926060,-8632000000,-0.0254,0.0573,1354500000,0.0421,0.0375,1.0737,0.0491,0.0,0.0,0.1276,-0.0135,1.0832,0.0496,0.0442,0.8962,3.1981,8.5668,4.6112,0.2116,-6.1227,0.0505,0.078,21.8305,0.066,0.0627,0.0597,0.2299,0.2288,0.1745,0.044700270581529,0.2728,0.1708,0.1019,0.1213,2917000,0.0018,-3.0653,-5156000000,0.0,0.082,0.0,0.9232,FY2011.FQ3,3
11,0.0,2012-02-27,2011-12,20.27,1564727000,3.7086,3.7346,28600000000,17.1462,0.2282,-0.2369,0.0,1.9369,1.2197,0.0879,0.0792,0.3335,0.3302,0.0,0.0,1341000000,3.7892,0.0352,0.8039,6012016290,0.2102,0.6541,0.815,0.6551,0.04,-0.5762,0.0,-0.2058,0.2696,5262000000,0.0,2.3494,0.1385,0.0387,3.1546,0.1209,0.1227,0.2376,0.0,31717016290,-4208000000,-0.4843,0.019,1005750000,3.7892,0.0375,0.8039,0.0352,0.0,0.0,0.2368,2.2719,2.0125,0.0883,0.0483,1.1089,3.4512,4.3,3.4561,0.211,-3.04,0.0512,0.03,22.7757,0.0627,0.0643,0.0711,0.2218,0.2288,0.1659,0.044700270581529,0.2471,0.1708,0.12,0.1118,360000,0.0002,-6.2547,-10433000000,0.0,0.041,0.0,0.0493,FY2011.FQ4,4
12,0.0,2012-05-03,2012-03,25.65,1565843000,3.7417,3.7398,29749000000,17.5821,-0.4083,-0.1714,0.0,7.6286,1.2233,0.0947,0.0827,0.3623,0.344,0.0,0.0,1613000000,0.2001,0.0427,0.9533,16973872950,0.5705,2.3776,1.7703,1.9037,0.1117,-2.0276,-0.4428,-0.661,0.2672,209000000,0.0,1.1043,0.0055,0.0387,0.1235,0.1218,0.1232,0.0591,0.1889,40163872950,-3154000000,-0.6093,0.0348,1209750000,0.2001,0.0403,0.9533,0.0427,0.0,-0.127,0.2171,-0.1858,0.6755,0.0302,0.0442,1.35,5.6259,4.1889,4.5046,0.2645,-4.7979,0.0349,0.0432,22.3161,0.0484,0.0643,0.0736,0.1845,0.2288,0.1324,0.044700270581529,0.1919,0.1708,0.1216,-0.0687,1116000,0.0007,-4.9473,-8371000000,0.0,0.0298,0.0,0.0269,FY2012.FQ1,1
