,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2010-05-17,2009-03,0.0,611000000,24611000000,0,-9.78,-9.78,-2180000000,-76000000,114000000,-1230000000,425000000,-5975000000,-5975000000,-5947000000,0,-805000000,-4677000000,48000000,-579000000,0,0,-6061000000,22431000000,0,2497000000,611000000,611000000,0,2497000000,FY2009.FQ1,1
1,0.0,2010-08-18,2009-06,0.0,611000000,29384000000,0,-21.12,-21.12,-6337000000,332000000,445000000,-3375000000,408000000,-12905000000,-12905000000,-13235000000,0,-2967000000,-10427000000,-2000000,-286000000,1154000000,0,-13680000000,23047000000,0,2936000000,611000000,611000000,0,4090000000,FY2009.FQ2,2
2,0.0,2010-11-18,2009-09,0.0,611000000,25373000000,0,208.0,208.0,1411000000,-428000000,746000000,-1188000000,473000000,127140000000,127140000000,127349000000,0,-715000000,-1994000000,219000000,129312000000,41000000,0,126603000000,26784000000,0,3364000000,611000000,611000000,0,3405000000,FY2009.FQ3,3
3,0.0,2010-11-18,2009-12,0.0,1581000000,32827000000,0,-2.27,-2.27,-500000000,-224000000,861000000,-329000000,-14000000,-3439000000,-3520000000,-3508000000,0,-343000000,-3925000000,293000000,-101000000,-1195000000,81000000,-4369000000,32327000000,0,4620000000,1548000000,1581000000,0,3425000000,FY2009.FQ4,4
4,0.0,2010-05-17,2010-03,0.0,1581000000,27553000000,0,0.55,0.54,3923000000,-128000000,-509000000,-337000000,447000000,1068000000,865000000,793000000,0,110000000,1193000000,403000000,-1000000,0,203000000,1302000000,31476000000,0,2730000000,1548000000,1581000000,0,2730000000,FY2010.FQ1,1
5,0.0,2010-08-18,2010-06,0.0,1500000000,28609000000,0,2.66,2.55,4565000000,-76000000,-361000000,-250000000,0,1536000000,1334000000,1201000000,0,-250000000,1903000000,411000000,-91000000,0,202000000,1562000000,33174000000,0,2662000000,500000000,522000000,0,2662000000,FY2010.FQ2,2
6,0.0,2010-11-18,2010-09,0.0,1500000000,29587000000,0,1.3,1.3,4473000000,-61000000,25000000,-263000000,377000000,2162000000,1959000000,1872000000,0,114000000,1733000000,351000000,0,0,203000000,1847000000,34060000000,0,2740000000,1500000000,1500000000,0,2740000000,FY2010.FQ3,3
7,0.0,2011-03-01,2010-12,36.86,1500137000,33170000000,0,0.34,0.34,3712000000,-66000000,173000000,-248000000,-269000000,1406000000,510000000,1199000000,0,-517000000,280000000,273000000,1263000000,118000000,896000000,1026000000,36882000000,0,3314000000,1500137000,1500137000,0,3432000000,FY2010.FQ4,4
8,0.0,2011-05-06,2011-03,31.03,1560756000,31850000000,0,2.09,1.77,4344000000,-45000000,-137000000,-149000000,604000000,3366000000,3151000000,1267000000,0,455000000,1344000000,2144000000,-395000000,0,215000000,1404000000,36194000000,0,3000000000,1504000000,1817000000,0,3000000000,FY2011.FQ1,1
9,0.0,2011-08-05,2011-06,30.36,1561450000,33979000000,0,1.68,1.54,5394000000,-45000000,61000000,-155000000,308000000,2992000000,2524000000,2655000000,0,153000000,2451000000,382000000,-10000000,0,468000000,2594000000,39373000000,0,2943000000,1505000000,1654000000,0,2943000000,FY2011.FQ2,2
