,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2010-05-17,2009-03,0.0,611000000,FY2009.FQ1,1
1,0.0,2010-08-18,2009-06,0.0,611000000,FY2009.FQ2,2
2,0.0,2010-11-18,2009-09,0.0,611000000,FY2009.FQ3,3
3,0.0,2010-11-18,2009-12,0.0,1581000000,FY2009.FQ4,4
4,0.0,2010-05-17,2010-03,0.0,1581000000,FY2010.FQ1,1
5,0.0,2010-08-18,2010-06,0.0,1500000000,FY2010.FQ2,2
6,0.0,2010-11-18,2010-09,0.0,1500000000,FY2010.FQ3,3
7,0.0,2011-03-01,2010-12,36.86,1500137000,FY2010.FQ4,4
8,0.0,2011-05-06,2011-03,31.03,1560756000,FY2011.FQ1,1
9,0.0,2011-08-05,2011-06,30.36,1561450000,FY2011.FQ2,2
10,0.0,2011-11-09,2011-09,20.18,1564367000,FY2011.FQ3,3
11,0.0,2012-02-27,2011-12,20.27,1564727000,FY2011.FQ4,4
12,0.0,2012-05-03,2012-03,25.65,1565843000,FY2012.FQ1,1
13,0.0,2012-08-03,2012-06,19.72,1565941000,FY2012.FQ2,2
14,0.0,2012-10-31,2012-09,22.75,1565980000,FY2012.FQ3,3
15,0.0,2013-02-15,2012-12,28.83,1366374000,FY2012.FQ4,4
16,0.0,2013-05-02,2013-03,27.82,1400000000,FY2013.FQ1,1
17,0.0,2013-07-25,2013-06,33.31,1400000000,FY2013.FQ2,2
18,0.0,2013-10-30,2013-09,35.97,1400000000,FY2013.FQ3,3
19,0.0,2014-02-06,2013-12,40.87,1500000000,FY2013.FQ4,4
20,0.3,2014-04-24,2014-03,34.42,1600000000,FY2014.FQ1,1
21,0.3,2014-07-24,2014-06,36.3,1600000000,FY2014.FQ2,2
22,0.3,2014-10-23,2014-09,31.94,1600000000,FY2014.FQ3,3
23,0.3,2015-02-04,2014-12,34.91,1600000000,FY2014.FQ4,4
24,0.3,2015-04-23,2015-03,37.5,1600000000,FY2015.FQ1,1
25,0.36,2015-07-23,2015-06,33.33,1583997000,FY2015.FQ2,2
26,0.36,2015-10-21,2015-09,30.02,1600000000,FY2015.FQ3,3
27,0.36,2016-02-03,2015-12,34.01,1500000000,FY2015.FQ4,4
28,0.38,2016-04-21,2016-03,31.43,1500000000,FY2016.FQ1,1
29,0.38,2016-07-21,2016-06,28.3,1600000000,FY2016.FQ2,2
30,0.38,2016-10-25,2016-09,31.77,1500000000,FY2016.FQ3,3
31,0.38,2017-02-07,2016-12,34.84,1500000000,FY2016.FQ4,4
32,0.38,2017-04-28,2017-03,35.36,1500000000,FY2017.FQ1,1
33,0.38,2017-07-25,2017-06,34.93,1500000000,FY2017.FQ2,2
34,0.38,2017-10-24,2017-09,40.38,1400000000,FY2017.FQ3,3
35,0.38,2018-02-06,2017-12,40.99,1400000000,FY2017.FQ4,4
36,0.38,2018-04-26,2018-03,36.34,1400000000,FY2018.FQ1,1
37,0.38,2018-07-25,2018-06,39.4,1400000000,FY2018.FQ2,2
38,0.38,2018-10-31,2018-09,33.67,1400000000,FY2018.FQ3,3
39,0.38,2019-02-06,2018-12,33.45,1400000000,FY2018.FQ4,4
40,0.38,2019-04-30,2019-03,37.1,1400000000,FY2019.FQ1,1
41,0.38,2019-08-01,2019-06,38.53,1400000000,FY2019.FQ2,2
42,0.38,2019-10-29,2019-09,37.48,1428784000,FY2019.FQ3,3
43,0.38,2020-02-05,2019-12,36.6,1400000000,FY2019.FQ4,4
44,0.38,2020-05-06,2020-03,20.78,1432277000,FY2020.FQ1,1
45,0.0,2020-07-29,2020-06,25.3,1400000000,FY2020.FQ2,2
46,0.0,2020-11-05,2020-09,29.59,1400000000,FY2020.FQ3,3
47,0.0,2021-02-10,2020-12,41.64,1400000000,FY2020.FQ4,4
48,0.0,2021-05-05,2021-03,57.46,1400000000,FY2021.FQ1,1
49,0.0,2021-08-04,2021-06,59.17,1500000000,FY2021.FQ2,2
50,0.0,2021-10-27,2021-09,52.71,1500000000,FY2021.FQ3,3
51,0.0,2022-02-02,2021-12,58.63,1500000000,FY2021.FQ4,4
52,0.0,2022-04-27,2022-03,43.74,1500000000,FY2022.FQ1,1
53,0.0,2022-07-26,2022-06,31.76,1500000000,FY2022.FQ2,2
54,0.09,2022-10-25,2022-09,32.09,1400000000,FY2022.FQ3,3
55,0.09,2023-01-31,2022-12,33.64,1400000000,FY2022.FQ4,4
56,0.09,2023-04-25,2023-03,36.68,1400000000,FY2023.FQ1,1
57,0.09,2023-07-25,2023-06,38.56,1400000000,FY2023.FQ2,2
58,0.09,2023-10-24,2023-09,32.97,1400000000,FY2023.FQ3,3
59,0.09,2024-01-30,2023-12,35.92,1200000000,FY2023.FQ4,4
60,0.12,2024-04-23,2024-03,45.35,1100000000,FY2024.FQ1,1
61,0.12,2024-07-23,2024-06,46.46,1100000000,FY2024.FQ2,2
62,0.12,2024-10-22,2024-09,44.84,1100000000,FY2024.FQ3,3
63,0.12,2025-01-28,2024-12,53.27,1000000000,FY2024.FQ4,4
64,0.12,2025-05-01,2025-03,47.03,966280000,FY2025.FQ1,1
