,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0.0,-,2002-01,0.0,454510000,-20462000,14475000,-20485000,78119000,0,72109000,0,0,0,14475000,14475000,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-23000.0,-20462000,-20462000,0,39161000,30297000,319000,-29498000,6960000,1382000.0,65436000,5427000,-2204000,0,FY2002,2002
1,0.0,-,2003-01,1.116,456472000,-40628000,98727000,-41416000,93969000,0,151280000,348350000,348350000,0,0,-250000000,-250000000,0,376999.99999998,0,0,0,0,0,0,0,0,0,0,-788000.0,-40628000,-40628000,0,-3550000,23396000,4710000,-37089000,52404000,17009000.0,36374000,-1872000,-963000,0,FY2003,2003
2,0.0,-,2004-01,2.075,453584000,-64484000,-30925000,-67511000,71277000,34000,-27125000,6899000,-28107000,-35006000,0,-2296000,-2296000,0,-522000.0,0,0,0,0,0,0,0,0,0,0,-3027000.0,-64484000,-64484000,0,-51496000,29800000,5713000,-72712000,63467000,23793000.0,40056000,-16886000,-1954000,0,FY2004,2004
3,0.0,2006-04-03,2005-01,2.386,406624000,-98305000,-81606000,-98367000,145987000,73000,-33913000,9474000,-117301000,-126775000,36520000,36520000,0,0,-824999.99999999,0,0,0,0,0,0,0,0,0,0,-61999.999999998,-98305000,-98305000,0,12689000,37451000,4752000,-10578000,60926000,30169000.0,17872000,5662000,-267000,0,FY2005,2005
4,0.0,2006-04-03,2006-01,5.039,582376000,-110696000,935677000,-996812000,291418000,318000,230601000,20800000,20800000,0,928343000,928343000,0,0,-13466000.0,0,0,0,0,0,0,0,0,0,0,-886116000.0,-110696000,-110696000,0,79790000,68204000,-8216000,-91363000,100784000,50856000.0,148054000,33094000,-9995000,0,FY2006,2006
5,0.0,2007-04-04,2007-01,6.679,609220000,-133930000,-46655000,-125936000,423504000,-103000,250810000,33861000,33861000,0,0,-121614000,-121614000,0,41098000.0,0,0,0,0,0,0,0,0,0,0,7994000.0,-133930000,-133930000,0,69168000,116294000,-3080000,-118417000,158250000,82872000.0,153599000,31120000,2866000,0,FY2007,2007
6,0.0,2008-04-02,2008-01,12.89,644028000,-175569000,-131838000,-174508000,502725000,8632000,205011000,64883000,64883000,0,0,-282173000,-282173000,0,85452000.0,0,0,0,0,0,0,0,0,0,0,1061000.0,-175569000,-175569000,0,76360000,138108000,-13151000,-177519000,288291000,13117000.0,288165000,-12535000,-21751000,0,FY2008,2008
7,0.0,2009-04-01,2009-01,6.195,658048000,-183192000,29624000,-820872000,549235000,-37260000,-279273000,28950000,28950000,0,425000000,-30000000,-455000000,0,30674000.0,0,0,0,-630706000,-630706000,0,0,0,0,0,-6973999.9999999,-183192000,-183192000,0,-42125000,146363000,-24701000,-209442000,398282000,36062000.0,180329000,-10111000,-2901000,35354000,FY2009,2009
8,0.0,2010-03-30,2010-01,4.943,634648000,-163800000,-154400000,-187200000,644200000,24700000,327300000,0,-58400000,-58400000,115000000,-100000000,-215000000,0,4000000.0,0,0,0,-8400000,-8400000,0,0,0,0,0,-15000000.0,-163800000,-163800000,0,1500000,164100000,-1200000,29600000,375700000,66300000.0,-34600000,2300000,4200000,37800000,FY2010,2010
9,0.0,2011-03-30,2011-01,5.268,584000000,-197600000,-555600000,-240100000,591200000,9900000,-194600000,0,-381200000,-381200000,240000000,-200000000,-440000000,0,25600000.0,0,0,0,-38100000,-38100000,0,0,0,0,0,-4400000.0,-197600000,-197600000,0,-81700000,176800000,38200000,-227200000,406800000,21500000.0,155800000,-10500000,200000,29600000,FY2011,2011
10,0.0,2012-03-27,2012-01,5.84,547200000,-165100000,-492600000,-201600000,641800000,13700000,-38700000,0,-262100000,-262100000,70000000,-250000000,-320000000,0,19500000.0,0,0,0,-30100000,-30100000,0,0,0,0,0,-6400000.0,-165100000,-165100000,0,-4000000,188600000,-25200000,64300000,338500000,125100000.0,-66000000,-3300000,1000000,18800000,FY2012,2012
11,0.2,2013-04-03,2013-01,5.8,472800000,-139600000,-498500000,-152700000,610200000,-400000,-41400000,11600000,-397800000,-409400000,81000000,0,-81000000,-102000000,1300000.0,0,0,0,-1500000,-1500000,0,0,0,0,0,-11600000.0,-139600000,-139600000,0,3000000,178900000,-58200000,-63800000,-269800000,736700000.0,47100000,27800000,-8100000,19600000,FY2013,2013
12,0.275,2014-04-02,2014-01,8.768,461200000,-125600000,-350600000,-207500000,762700000,-42800000,161800000,58000000,-200300000,-258300000,130000000,-31800000,-161800000,-130900000,12400000.0,0,0,0,-77400000,-77400000,0,0,0,0,0,-4500000.0,-125600000,-125600000,0,159200000,169200000,-2700000,-86900000,354200000,63400000.0,257200000,-9700000,-1400000,19400000,FY2014,2014
