,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0.0,-,2002-01,0.0,454510000,-152.2818,NA,-3985000,-0.0126,0.0,0.0,0.0,0.0,1.1513,0.0,NA,0.0,NA,0,0.0,64384000,2.3468,0.0574,0.2042,-80750000,20.2634,-11.602,-1.4005,-5.5175,-0.072,0.2508,0.0,1.5476,-0.0065,57657000,0.0,0.0,0.0514,NA,0.1829,0.2382,NA,0.4383,0.5244,0,-80750000,1.5818,0.0062,25565250,5.0717,NA,0.1081,0.0304,0.0,0.0,0.0,1.8223,0.0464,0.013,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4816,3.5571,0.0124,NA,0.0746,-0.5659,NA,-0.5659,-0.10160181582941,-0.1321,NA,0.1146,0.0869,0,0.0,-1.0214,-321942000,0.0,0.1863,0.0,0.8066,FY2002,2002
1,0.0,-,2003-01,1.116,456472000,1.4651,NA,548675000,1.1351,-0.9855,1.8734,0.0,0.2028,1.6876,0.0,NA,0.0,NA,0,0.0,110467000,0.7157,0.0816,0.2285,277392752,0.5055,5.2933,5.2003,3.1629,0.205,1.2023,0.0,3.7391,0.6825,53341000,0.0,-0.0748,0.0394,NA,0.1103,0.2537,NA,0.2852,0.4024,509422752,-232030000,6.5293,0.0387,65303250,1.5543,NA,0.1801,0.0643,0.0,0.0,0.3248,4.9925,0.1814,0.0648,NA,0.9284,9.721,9.5503,5.8086,0.3765,2.2079,0.0,0.2066,2.7987,0.0742,NA,0.1817,0.1924,NA,0.1924,-0.10160181582941,0.4519,NA,0.54,0.5335,1962000,0.0043,0.4773,230718000,0.0,0.3247,0.0,138.685,FY2003,2003
2,0.0,-,2004-01,2.075,453584000,1.5187,NA,594033000,1.2424,-0.5871,-0.1169,0.0,-0.2414,1.6654,0.0,NA,0.0,NA,0,0.0,134184000,0.2146,0.0849,0.2806,736281800,1.2394,11.601,108.3883,6.9996,0.4663,2.6949,0.0,0.2201,0.6584,6793000,0.0,-0.8726,0.0043,NA,0.0142,0.2765,NA,0.2716,0.3966,941186800,-204905000,0.2111,0.0401,78288000,0.1988,NA,0.2183,0.0661,0.0,0.0,0.5687,0.1993,0.22,0.0666,NA,1.5844,14.8295,138.5524,8.9476,0.5961,3.4449,0.0,0.167,3.3022,0.0744,NA,0.1776,0.111,NA,0.111,-0.10160181582941,0.1798,NA,0.3889,-0.0108,-2888000,-0.0063,0.5714,273207000,0.0,0.1222,0.0,0.0826,FY2004,2004
3,0.0,2006-04-03,2005-01,2.386,406624000,1.6868,NA,543011000,1.1744,-0.5244,-0.1655,0.0,1.0481,1.3539,0.0398,NA,0.0672,NA,0,0.0,136598000,0.0179,0.0741,0.2954,823559864,1.5166,13.5173,17.2719,8.3262,0.4469,3.7076,0.0,-0.015,0.5928,47682000,0.0,6.0192,0.0258,NA,0.1031,0.279,NA,0.1777,0.384,970204864,-134472000,-0.04,0.033,74360250,-0.0501,NA,0.2144,0.0538,0.0,0.0,0.5694,-0.0596,0.2139,0.0536,NA,1.7867,15.9243,20.3474,9.8088,0.5264,4.3678,0.0,0.1671,3.9855,0.067,NA,0.1608,0.1071,NA,0.1038,-0.10160181582941,0.1527,NA,0.3355,-0.0329,-46960000,-0.1035,0.4804,222123000,0.0,0.0152,0.0,-0.0858,FY2005,2005
4,0.0,2006-04-03,2006-01,5.039,582376000,2.7054,NA,1114713000,2.2299,-0.126,1.3486,0.0,0.9961,1.2639,0.3236,NA,0.8755,NA,0,0.0,282054000,1.0648,0.0912,0.5642,3496462664,3.1366,34.6926,19.3471,21.8635,1.1308,-12.5935,0.0,0.5343,0.3696,180722000,0.0,2.7901,0.0584,NA,0.3615,0.282,NA,0.6959,0.3697,2934592664,574397000,0.6542,0.0325,160387500,1.1568,NA,0.4277,0.0691,0.0,0.0,1.566,0.6168,0.3199,0.0517,NA,2.6325,29.1176,16.2381,18.3501,0.9491,-10.5698,0.0,0.6777,6.1849,0.0512,NA,0.1552,0.1215,NA,0.0754,-0.10160181582941,0.096,NA,0.4105,0.0811,175752000,0.4322,-0.5554,-277639000,0.0,2.2924,0.0,1.0528,FY2006,2006
5,0.0,2007-04-04,2007-01,6.679,609220000,2.4345,NA,1375878000,2.1731,-0.2098,0.6245,0.0,0.4532,1.3249,0.2555,NA,0.622,NA,0,0.0,456761000,0.6194,0.0858,0.7214,4260300380,3.0964,26.9213,14.7123,16.7533,0.8009,-151.9961,0.0,0.2437,0.4107,289574000,0.0,0.6023,0.0544,NA,0.4573,0.2766,NA,0.6873,0.3776,4068980380,203496000,0.5701,0.0297,255350250,0.592,NA,0.5377,0.064,0.0,0.0,0.0563,0.5901,0.4016,0.0478,NA,2.9573,25.7123,14.0516,16.0009,0.765,-145.1703,0.0,0.7203,8.4008,0.0497,NA,0.1542,0.127,NA,0.0732,-0.10160181582941,0.0968,NA,0.4205,0.2665,26844000,0.046,-0.0442,-28029000,0.0,0.1106,0.0,0.2342,FY2007,2007
6,0.0,2008-04-02,2008-01,12.89,644028000,2.0273,1.6028,1862446000,2.8245,-0.3109,0.3142,0.0,0.187,1.4237,0.1521,0,0.3084,0,0,0.0,639529000,0.4001,0.0901,0.9699,8018579920,4.3054,27.8141,24.5099,18.1804,1.1303,17.4314,0.0,0.752,0.4932,327156000,0.0,0.1297,0.0461,0.0326,0.4961,0.2556,0.2547,0.2326,0.3463,8301520920,-282941000,0.8217,0.0406,376065750,0.4727,0.0589,0.7604,0.0706,0.0,0.0,0.1209,0.7344,0.6688,0.0621,0.0497,4.4573,28.7956,25.3748,18.8219,1.1702,18.0465,0.0,0.3337,10.7585,0.0809,0.0504,0.2093,0.178,0.1243,0.1234,-0.10160181582941,0.1825,0.1074,0.5055,0.0414,34808000,0.0571,0.6976,460006000,0.0,0.1272,0.0,0.3536,FY2008,2008
7,0.0,2009-04-01,2009-01,6.195,658048000,1.9745,1.6028,2270585000,3.3854,-0.0434,-0.3257,0.0,0.0925,1.1633,0.1217,0.0199,0.2403,0.0336,0,0.0,826075000,0.2916,0.0938,1.2316,4044178360,1.7811,10.154,11.0483,6.3793,0.4592,21.3093,0.5386,0.3584,0.5064,366043000,0.0,0.1188,0.0415,0.0404,0.5457,0.2577,0.2567,0.2516,0.3717,4076607360,-32429000,0.3815,0.0452,509784000,0.3555,0.0641,1.0134,0.0771,0.0,0.19,0.0734,0.4373,0.9452,0.0719,0.0526,1.7953,10.2354,11.1369,6.4304,0.4629,21.4802,0.368,0.2413,13.1297,0.0964,0.0591,0.25,0.1927,0.1525,0.1516,-0.10160181582941,0.2086,0.1172,0.6961,0.0171,14020000,0.0217,0.2829,189784000,0.4756,0.1874,0.7446,0.2191,FY2009,2009
8,0.0,2010-03-30,2010-01,4.943,634648000,1.8197,1.7533,2723000000,4.0544,0.1058,0.566,0.0,0.1729,1.2848,0.0902,0.065,0.1642,0.1157,0,0.0,801100000,-0.0302,0.0882,1.1928,2678965064,0.9838,7.1003,5.5765,4.5521,0.2951,5.1857,0.3653,-0.0537,0.5495,480400000,0.0,0.3124,0.0529,0.0438,0.7153,0.2681,0.2629,0.0724,0.3615,3137065064,-458100000,-0.0526,0.0415,477750000,-0.0628,0.0652,0.9484,0.0701,0.0,0.2275,0.0636,-0.0716,0.8762,0.0648,0.0579,1.152,8.3145,6.5301,5.3306,0.3455,6.0725,0.3228,0.0309,13.5169,0.0799,0.0706,0.2048,0.1511,0.139,0.126,-0.10160181582941,0.1675,0.1172,0.659,0.0013,-23400000,-0.0355,0.7692,516600000,0.2762,0.1052,0.0,0.1992,FY2010,2010
9,0.0,2011-03-30,2011-01,5.268,584000000,1.7486,1.7842,2895900000,4.7011,-0.2063,-0.2149,0.0,-0.0822,1.2328,0.0491,0.0697,0.0859,0.125,0,0.0,840900000,0.0496,0.0887,1.365,2614712000,0.9029,6.4086,6.643,4.2077,0.2759,4.0538,0.0,0.1776,0.5718,393600000,0.0,-0.1806,0.0415,0.0438,0.6389,0.2678,0.268,0.0422,0.3453,3076512000,-461800000,0.0813,0.043,498075000,0.0425,0.0676,1.078,0.07,0.0,0.0,0.0506,0.0559,1.0087,0.0655,0.0635,1.0623,7.5404,7.8163,4.9509,0.3247,4.7697,0.2875,0.0435,15.3793,0.0814,0.0743,0.2007,0.1451,0.1361,0.1292,-0.10160181582941,0.1737,0.1172,0.6153,-0.0827,-50648000,-0.0798,1.047,645000000,0.2576,0.0218,0.0,0.0634,FY2011,2011
