,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0.0,-,2002-01,0.0,454510000,854035000,30297000,0.02,0.02,267103000,0,-7675000,0,0,6960000,6960000,6960000,0,0,34087000,0,-19452000,30297000,0,14635000,1121138000,0,202719000,288072000,315176000,0,233016000,FY2002,2002
1,0.0,-,2003-01,1.116,456472000,1009491000,23396000,0.11,0.1,343300000,0,-35297000,0,0,52404000,52404000,52404000,0,0,87071000,0,630000,23154000,0,87701000,1352791000,0,233075000,450312000,483352000,0,256229000,FY2003,2003
2,0.0,-,2004-01,2.075,453584000,1142264000,29800000,0.14,0.13,436574000,0,-41721000,0,0,63467000,63467000,63467000,0,0,104384000,0,804000,29487000,0,105188000,1578838000,0,302703000,450640000,478112000,0,332190000,FY2004,2004
3,0.0,2006-04-03,2005-01,2.386,406624000,1328611000,37451000,0.13,0.13,514195000,0,-37985000,0,0,60926000,60926000,60926000,0,0,99147000,0,-236000,37019000,0,98911000,1842806000,0,378029000,437296000,462368000,0,415048000,FY2005,2005
4,0.0,2006-04-03,2006-01,5.039,582376000,2219753000,68204000,0.21,0.2,872030000,0,-59138000,0,0,100784000,100784000,100784000,0,0,213850000,0,-53928000,58837000,0,159922000,3091783000,0,599343000,463360000,499888000,0,658180000,FY2006,2006
5,0.0,2007-04-04,2007-01,6.679,609220000,3847458000,116294000,0.26,0.25,1471442000,0,-96046000,0,0,158250000,158250000,158250000,0,0,340467000,0,-86171000,109862000,0,254296000,5318900000,0,1021113000,599696000,633136000,0,1130975000,FY2007,2007
6,0.0,2008-04-02,2008-01,12.89,644028000,5280255000,138108000,0.45,0.43,1813707000,0,-152765000,0,0,288291000,288291000,288291000,0,0,501421000,0,-60365000,130270000,0,441056000,7093962000,0,1182016000,632904000,659376000,0,1312286000,FY2008,2008
7,0.0,2009-04-01,2009-01,6.195,658048000,6535762000,146363000,0.61,0.59,2270135000,0,-235669000,-50456000,11619000,398282000,398282000,398282000,0,-38837000,679712000,0,-6924000,145004000,0,633951000,8805897000,0,1445419000,652760000,670684000,0,1590423000,FY2009,2009
8,0.0,2010-03-30,2010-01,4.943,634648000,6643300000,164100000,0.57,0.56,2434700000,1600000,-212800000,-45400000,2200000,377300000,377300000,375700000,0,-43200000,637000000,0,-5300000,162600000,0,588500000,9078000000,0,1635100000,658000000,671600000,0,1797700000,FY2010,2010
9,0.0,2011-03-30,2011-01,5.268,584000000,6936100000,176800000,0.67,0.66,2537600000,1200000,-214600000,-37000000,1800000,408000000,408000000,406800000,0,-35200000,664100000,0,-7500000,174700000,0,621400000,9473700000,0,1698800000,606400000,616000000,0,1873500000,FY2011,2011
