,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0.0,-,2002-01,0.0,454510000,FY2002,2002
1,0.0,-,2003-01,1.116,456472000,FY2003,2003
2,0.0,-,2004-01,2.075,453584000,FY2004,2004
3,0.0,2006-04-03,2005-01,2.386,406624000,FY2005,2005
4,0.0,2006-04-03,2006-01,5.039,582376000,FY2006,2006
5,0.0,2007-04-04,2007-01,6.679,609220000,FY2007,2007
6,0.0,2008-04-02,2008-01,12.89,644028000,FY2008,2008
7,0.0,2009-04-01,2009-01,6.195,658048000,FY2009,2009
8,0.0,2010-03-30,2010-01,4.943,634648000,FY2010,2010
9,0.0,2011-03-30,2011-01,5.268,584000000,FY2011,2011
10,0.0,2012-03-27,2012-01,5.84,547200000,FY2012,2012
11,0.2,2013-04-03,2013-01,5.8,472800000,FY2013,2013
12,0.275,2014-04-02,2014-01,8.768,461200000,FY2014,2014
13,0.33,2015-03-30,2015-01,8.813,430800000,FY2015,2015
14,0.36,2016-03-28,2016-01,6.553,413200000,FY2016,2016
15,0.37,2017-03-27,2017-01,6.123,404000000,FY2017,2017
16,0.38,2018-04-02,2018-01,4.203,405200000,FY2018,2018
17,0.38,2019-04-02,2019-01,2.835,408000000,FY2019,2019
18,0.095,2020-03-27,2020-01,0.96,257200000,FY2020,2020
19,0.0,2021-03-23,2021-01,81.25,261200000,FY2021,2021
20,0.0,2022-03-17,2022-01,27.233,303600000,FY2022,2022
21,0.0,2023-03-28,2023-01,21.87,304600000,FY2023,2023
22,0.0,2024-03-26,2024-01,14.23,305700000,FY2024,2024
23,0.0,2025-03-25,2025-01,26.9,446800000,FY2025,2025
