,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0.0,-,2002-04,2.381,454640000,-6133000,98533000,-6869000,-59017000,0,32647000,347541000,347541000,0,0,-249008000,-249008000,0,0.0,0,0,0,0,0,0,0,0,0,0,-736000.0,-6133000,-6133000,0,-69285000,5180000,0,-7639000,4914000,173999.99999999,-62815000,163000,1006000,0,FY2003.FQ1,1
1,0.0,-,2002-07,2.188,454752000,-11403000,-565000,-11425000,51216000,0,39226000,50000,50000,0,0,-992000,-992000,0,377000.0,0,0,0,0,0,0,0,0,0,0,-22000.0,-11403000,-11403000,0,39304000,5684000,0,13204000,6118000,110000.0,26395000,-457000,162000,0,FY2003.FQ2,2
2,0.0,-,2002-10,2.238,455840000,-11751000,479000,-11763000,-16218000,0,-27502000,479000,479000,0,377000,377000,0,0,-377000.0,0,0,0,0,0,0,0,0,0,0,-12000.0,-11751000,-11751000,0,-32031000,5922000,0,-135607000,9785000,106000.0,106702000,-427000,-2699000,0,FY2003.FQ3,3
3,0.0,-,2003-01,1.116,456472000,-11341000,280000,-11359000,117988000,0,106909000,280000,280000,0,0,-377000,-377000,0,377000.0,0,0,0,0,0,0,0,0,0,0,-18000.000000001,-11341000,-11341000,0,58462000,6610000,0,92953000,31587000,21329000.0,-33908000,-1151000,568000,0,FY2003.FQ4,4
4,0.0,-,2003-04,1.494,456824000,-11217000,140000,-11307000,-46386000,0,-57553000,182000,140000,-42000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-90000.0,-11217000,-11217000,0,-59595000,6284000,0,5175000,6611000,314000.0,-66087000,-381000,1698000,0,FY2004.FQ1,1
5,0.0,-,2003-07,1.7,452304000,-23706000,-12577000,-26999000,9254000,0,-30322000,1189000,-10281000,-11470000,0,0,0,0,-2296000.0,0,0,0,0,0,0,0,0,0,0,-3293000.0,-23706000,-23706000,0,-5851000,6952000,0,1920000,6606000,1547000.0,6913000,-14277000,-407000,0,FY2004.FQ2,2
6,0.0,-,2003-10,2.103,443032000,-16802000,-22618000,-16955000,-13055000,0,-52628000,876000,-22618000,-23494000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-153000.0,-16802000,-16802000,0,-32720000,7804000,0,-153225000,10693000,1168000.0,125176000,-2886000,-1785000,0,FY2004.FQ3,3
7,0.0,-,2004-01,2.075,453584000,-12759000,4130000,-12250000,121464000,0,113344000,4652000,4652000,0,0,0,0,0,-522000.0,0,0,0,0,0,0,0,0,0,0,509000.0,-12759000,-12759000,0,46670000,8760000,0,73418000,39557000,26477000.0,-25946000,658000,-1460000,0,FY2004.FQ4,4
8,0.0,-,2004-04,2.201,457392000,-24645000,4476000,-24686000,-17540000,-62000,-37812000,4476000,4476000,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-41000.0,-24645000,-24645000,0,-34467000,8377000,-106000,28808000,6678000,1978000.0,-71126000,4428000,3423000,0,FY2005.FQ1,1
9,0.0,-,2004-07,1.925,449832000,-22588000,-14906000,-23169000,30733000,-3000,-7345000,88000,-14906000,-14994000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-581000.0,-22588000,-22588000,0,13928000,8952000,4000,10545000,7672000,177000.0,7735000,-3904000,-448000,0,FY2005.FQ2,2
10,0.0,2005-12-08,2004-10,2.449,429968000,-24586000,-36077000,-24854000,2669000,77000,-58185000,75704000,-36077000,-111781000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-268000.0,-24586000,-24586000,0,-20396000,9148000,191000,-90579000,12059000,1667000.0,74546000,-443000,-3920000,0,FY2005.FQ3,3
11,0.0,2006-04-03,2005-01,2.386,406624000,-26486000,-35099000,-25658000,130125000,61000,69429000,-70794000,-70794000,0,0,0,0,0,35695000.0,0,0,0,0,0,0,0,0,0,0,828000.0,-26486000,-26486000,0,53624000,10974000,4663000,40648000,34517000,26347000.0,6717000,5581000,678000,0,FY2005.FQ4,4
12,0.0,2006-06-02,2005-04,3.076,410672000,-22812000,8584000,-22812000,-7204000,-146000,-21578000,7775000,7775000,0,0,0,0,0,809000.0,0,0,0,0,0,0,0,0,0,0,0.0,-22812000,-22812000,0,-29063000,10322000,-60000,-38826000,10326000,1271000.0,6829000,3258000,-324000,0,FY2006.FQ1,1
13,0.0,2006-09-05,2005-07,4.294,414416000,-19232000,8364000,-19232000,-39449000,-143000,-50460000,6342000,6342000,0,0,0,0,0,2022000.0,0,0,0,0,0,0,0,0,0,0,0.0,-19232000,-19232000,0,-58970000,10763000,-299000,-2274000,7903000,1154000.0,-38773000,-18641000,718000,0,FY2006.FQ2,2
14,0.0,2005-12-08,2005-10,4.475,578448000,-29327000,929663000,-933707000,-14017000,138000,-17923000,3247000,3247000,0,0,0,0,0,926416000.0,0,0,0,0,0,0,0,0,0,0,-904380000.0,-29327000,-29327000,0,-47817000,20094000,-30000,-168848000,-2460000,16196000.0,129736000,-2506000,-6199000,0,FY2006.FQ3,3
15,0.0,2006-04-03,2006-01,5.039,582376000,-39325000,-10934000,-21061000,352088000,469000,320562000,3436000,3436000,0,0,-13077000,-13077000,0,-1293000.0,0,0,0,0,0,0,0,0,0,0,18264000.0,-39325000,-39325000,0,215640000,27025000,-7827000,118585000,85015000,32235000.0,50262000,50983000,-4190000,0,FY2006.FQ4,4
16,0.0,2006-06-02,2006-04,5.9,599560000,-22240000,45686000,-22240000,-200336000,178000,-176712000,16349000,16349000,0,0,0,0,0,29337000.0,0,0,0,0,0,0,0,0,0,0,0.0,-22240000,-22240000,0,-213636000,27021000,-2192000,-28696000,11701000,-23230000.0,-167616000,-22687000,5363000,0,FY2007.FQ1,1
17,0.0,2006-09-05,2006-07,5.201,601176000,-7783000,-10939000,-7783000,12913000,-346000,-6155000,2378000,2378000,0,0,0,0,0,-13317000.0,0,0,0,0,0,0,0,0,0,0,0.0,-7783000,-27080000,19297000,-55936000,27432000,-2616000,57807000,3177000,40856000.0,-59915000,-58607000,4779000,0,FY2007.FQ2,2
18,0.0,2006-12-05,2006-10,6.383,606480000,-35103000,-54498000,-35103000,51498000,325000,-37778000,10663000,10663000,0,0,-71831000,-71831000,0,6670000.0,0,0,0,0,0,0,0,0,0,0,0.0,-35103000,-35103000,0,43428000,28812000,-1684000,-270912000,13569000,-32627000.0,264705000,55484000,-5849000,0,FY2007.FQ3,3
19,0.0,2007-04-04,2007-01,6.679,609220000,-49507000,-26904000,-60810000,559429000,-260000,471455000,4471000,4471000,0,0,-33607000,-33607000,0,2232000.0,0,0,0,0,0,0,0,0,0,0,-11303000.0,-49507000,-49507000,0,295312000,33029000,3412000,123384000,129803000,97873000.0,116425000,56930000,-1427000,0,FY2007.FQ4,4
20,0.0,2007-06-14,2007-04,8.293,629656000,-28027000,-30571000,-27677000,-288796000,1969000,-345075000,29971000,29971000,0,0,-106386000,-106386000,0,45844000.0,0,0,0,0,0,0,0,0,0,0,350000.0,-28027000,-28027000,0,-304739000,33723000,-2112000,-118132000,24723000,-40391000.0,-188122000,6103000,-4588000,0,FY2008.FQ1,1
21,0.0,2007-09-07,2007-07,10.088,635972000,-43361000,-13551000,-42649000,96246000,1903000,41949000,16811000,16811000,0,0,-43614000,-43614000,0,13252000.0,0,0,0,0,0,0,0,0,0,0,712000.0,-43361000,-43361000,0,47460000,33812000,-176000,79681000,21810000,-6660000.0,-27060000,-14219000,9058000,0,FY2008.FQ2,2
22,0.0,2007-12-07,2007-10,14.805,643836000,-53369000,-74882000,-53369000,53115000,3667000,-71469000,17526000,17526000,0,0,-132173000,-132173000,0,39765000.0,0,0,0,0,0,0,0,0,0,0,0.0,-53369000,-53369000,0,-28784000,36157000,-2466000,-408856000,51957000,-3749000.0,363218000,32660000,-15806000,0,FY2008.FQ3,3
23,0.0,2008-04-02,2008-01,12.89,644028000,-50812000,-12834000,-50813000,642160000,1093000,579606000,575000,575000,0,0,0,0,0,-13409000.0,0,0,0,0,0,0,0,0,0,0,-1000.0000000048,-50812000,-50812000,0,362423000,34416000,-8397000,269788000,189801000,63917000.0,140129000,-37079000,-10415000,0,FY2008.FQ4,4
24,0.0,2008-06-12,2008-04,13.76,653052000,-36405000,16109000,-53400000,-200707000,6570000,-231428000,20426000,20426000,0,0,-30000000,-30000000,0,25683000.0,0,0,0,0,0,0,0,0,0,0,-16995000.0,-36405000,-36405000,0,-292068000,36492000,2328000,-171929000,62125000,-9584000.0,-139135000,28347000,-9351000,0,FY2009.FQ1,1
25,0.0,2008-09-11,2008-07,10.128,654612000,-45135000,8420000,-78439000,-9492000,-6577000,-86088000,0,0,0,0,0,0,0,8420000.0,0,0,0,0,0,0,0,0,0,0,-33304000.0,-45135000,-45135000,0,-102846000,35310000,-5563000,19112000,57163000,6444000.0,-85898000,-41582000,5522000,0,FY2009.FQ2,2
26,0.0,2008-12-11,2008-10,6.848,655104000,-51218000,6328000,-49290000,6614000,-25494000,-61842000,0,0,0,0,0,0,0,6328000.0,0,0,0,0,0,0,0,0,0,0,1928000.0,-51218000,-51218000,0,-64123000,36111000,-5050000,-535624000,46669000,-6993000.0,466065000,-1129000,6565000,0,FY2009.FQ3,3
