,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0.0,-,2002-04,2.381,454640000,1.299,NA,498470000,1.0614,0.0,0.0,0.0,-1.148,1.9317,0.0,NA,0.0,NA,0.0,0.0,13894000,15.4278,0.0511,0.0295,969100840,1.9441,50.7276,48.4986,28.4352,0.8135,5.3685,0.0,1.4,0.7697,-65150000,0.0,-1.3712,-0.24,NA,-0.1387,0.2545,NA,0.4391,0.4022,1082497840,-113397000,1.6796,0.0181,6535500,2.6071,NA,0.0185,0.0321,0.0,0.0,0.0,1.7323,0.0175,0.0302,NA,2.1716,56.6634,54.1736,31.7625,0.9087,5.9967,0.0,0.3478,0.5779,0.0304,NA,0.1064,0.0772,NA,0.0772,0.020191149525656,0.1272,NA,0.357,0.6302,130000,0.0002,0.3843,180513000,0.0,0.0,0.0,0.0,FY2003.FQ1,1
1,0.0,-,2002-07,2.188,454752000,1.3466,NA,504638000,1.029,-0.7783,0.0,0.0,0.924,1.7859,0.0,NA,0.0,NA,0.0,0.0,15547000,5.4005,0.0566,0.0317,842374376,1.6692,28.0128,21.2785,16.3399,0.6692,4.5123,0.0,1.8125,0.7425,39813000,0.0,0.9702,0.1451,NA,0.0811,0.2677,NA,0.3674,0.402,994997376,-152623000,2.2617,0.0223,7397250,5.3972,NA,0.0201,0.0359,0.0,0.0,0.0,2.4129,0.0208,0.0373,NA,1.9717,33.0882,25.1338,19.3004,0.7905,5.3299,0.0,0.3261,0.5592,0.0453,NA,0.1188,0.0599,NA,0.0599,0.020191149525656,0.0815,NA,0.3181,0.7023,112000,0.0002,0.3806,186681000,0.0,0.0,0.0,0.0,FY2003.FQ2,2
2,0.0,-,2002-10,2.238,455840000,1.5471,0,514902000,1.0532,-0.4032,0.0,0.0,0.6005,1.4983,0.0,0,0.0,0,0.0,0.0,21904000,1.0858,0.0763,0.0448,895048920,1.7382,22.6005,14.7722,13.3679,0.6646,4.5446,0.0,19.0,0.6463,-27969000,0.0,0.4288,-0.0975,0,-0.0572,0.2575,0.2464,0.353,0.4019,1020169920,-125121000,37.6758,0.0341,11986500,1.8493,0.0141,0.0326,0.0557,0.0,0.0,0.0,16.0437,0.0334,0.057,0.0024,1.9812,25.7599,16.8372,15.2366,0.7575,5.1799,0.0,0.4425,0.5864,0.0536,0,0.1371,0.0776,0,0.0776,0.020191149525656,0.1067,0,0.3577,0.5234,1088000,0.0023,0.4028,196945000,0.0,0.0,0.0,0.0,FY2003.FQ3,3
3,0.0,-,2003-01,1.116,456472000,1.4651,0,548675000,1.1325,-0.998,1.8734,0.0,-0.0132,1.6876,0.0,0,0.0,0,0.0,0.0,59122000,0.1279,0.1136,0.122,277392752,0.5055,5.2933,5.2003,3.1629,0.205,1.2023,0.0,0.0312,0.6825,106647000,0.0,-0.0636,0.2049,0,0.2201,0.2438,0.2492,0.1454,0.4027,509422752,-232030000,0.6814,0.0606,39384000,0.4528,0.0301,0.1083,0.1009,0.0,0.0,0.3248,0.6454,0.1091,0.1016,0.0175,0.9284,9.721,9.5503,5.8086,0.3765,2.2079,0.0,0.012,1.0741,0.0654,0.0114,0.1615,0.0985,0.0299,0.0985,0.020191149525656,0.1483,0.0299,0.394,0.2219,632000,0.0013,0.4762,230718000,0.2426,0.3247,0.5136,138.685,FY2003.FQ4,4
4,0.0,-,2003-04,1.494,456824000,1.3405,0.6495,555592000,1.1529,-0.8289,0.5386,0.0,0.214,1.9504,0.0,0,0.0,0,0.0,0.0,16973000,0.2216,0.0527,0.0352,508018056,0.9143,9.3901,8.3434,5.6104,0.362,2.1378,0.0,0.4,0.7459,-57603000,0.0,0.1158,-0.179,-0.0487,-0.1195,0.2655,0.256,0.2366,0.4026,682495056,-174477000,0.3453,0.0205,8016750,0.2266,0.0326,0.0221,0.0332,0.0,0.0,0.3958,0.3463,0.0229,0.0344,0.0323,1.2284,12.6152,11.209,7.5373,0.4864,2.872,0.0,0.1854,0.6676,0.0698,0.0266,0.1588,0.0979,0.0686,0.0979,0.020191149525656,0.155,0.0686,0.3669,0.0261,352000,0.0007,0.4931,237635000,0.0559,0.1502,0.0,0.1145,FY2004.FQ1,1
5,0.0,-,2003-07,1.7,452304000,1.3582,1.3198,553277000,1.1489,-1.0789,-0.0555,0.0,-0.8193,1.7846,0.0,0,0.0,0,0.0,0.0,17801000,0.1449,0.0582,0.0369,624769800,1.1292,11.4449,94.3333,6.8375,0.4355,2.6861,0.0,0.0769,0.7362,-14452000,0.0,-1.3629,-0.0472,-0.0724,-0.03,0.2911,0.2586,0.2115,0.4024,768916800,-144147000,0.0797,0.0216,8136750,0.0999,0.0343,0.0225,0.0354,0.0,0.0,0.5726,0.0806,0.0229,0.0361,0.0352,1.3897,14.0855,116.0979,8.4151,0.536,3.3059,0.0,0.1145,0.6347,0.0729,0.0378,0.1598,0.0984,0.0774,0.0984,0.020191149525656,0.1381,0.0774,0.3691,-0.018,-4520000,-0.0098,0.483,232586000,0.0392,0.1057,0.0,0.0963,FY2004.FQ2,2
6,0.0,-,2003-10,2.103,443032000,1.596,1.3436,542616000,1.1412,-0.4298,-0.268,0.0,0.195,1.4087,0.0,0,0.0,0,0.0,0.0,25695000,0.173,0.0788,0.054,840119296,1.5482,15.1381,177.4275,9.037,0.57,3.7879,0.0,0.15,0.6265,-29857000,0.0,-0.0675,-0.0915,-0.0694,-0.0627,0.302,0.2626,0.3335,0.4043,931696296,-91577000,0.0927,0.0327,13418250,0.1194,0.0357,0.0376,0.0548,0.0,0.0,0.57,0.0972,0.0377,0.055,0.0367,1.717,16.7882,196.7679,10.0221,0.6321,4.2008,0.0493,0.1371,0.6857,0.0686,0.0494,0.165,0.1012,0.0774,0.1012,0.020191149525656,0.129,0.0774,0.3893,-0.0274,-9272000,-0.0204,0.4664,221790000,0.0,0.0871,0.0,0.0538,FY2004.FQ3,3
7,0.0,-,2004-01,2.075,453584000,1.5187,1.3524,594033000,1.2543,-0.125,-0.1169,0.1639,0.0294,1.6654,0.0,0,0.0,0,0.0,0.0,73715000,0.2468,0.1178,0.1556,736281800,1.2394,11.601,108.3883,6.9996,0.4663,2.6949,0.0,0.2575,0.6584,108705000,0.1832,0.0192,0.1738,-0.0694,0.2295,0.2617,0.2636,0.2896,0.3924,941186800,-204905000,0.2523,0.0632,48716250,0.2369,0.0454,0.1371,0.1038,0.0,0.0,0.5687,0.2311,0.1374,0.1041,0.0461,1.5844,14.8295,138.5524,8.9476,0.5961,3.4449,0.117,0.2017,1.3205,0.0717,0.0595,0.1784,0.1116,0.0878,0.1116,0.020191149525656,0.151,0.0878,0.3952,-0.0225,10552000,0.0238,0.5769,273207000,0.0,0.1222,0.0,0.0826,FY2004.FQ4,4
8,0.0,-,2004-04,2.201,457392000,1.3848,1.3715,606613000,1.261,-1.1971,-0.0423,0.0,0.6218,1.873,0.0,0,0.0,0,0.0,0.0,19147000,0.128,0.0515,0.0398,839626792,1.3841,13.2153,37.8022,7.9931,0.5154,2.9379,0.302,0.0,0.7221,-42185000,0.0,0.2676,-0.1134,-0.0694,-0.0876,0.2839,0.2636,0.2352,0.3886,1006719792,-167093000,0.0101,0.0179,8077500,0.0075,0.0454,0.0223,0.0289,0.0,0.5246,0.6343,-0.0131,0.0227,0.0293,0.0461,1.6595,15.8453,45.3252,9.5838,0.618,3.5226,0.0646,0.1553,0.7727,0.0729,0.067,0.1677,0.1058,0.0982,0.1058,0.020191149525656,0.1533,0.0982,0.3457,-0.0017,3808000,0.0083,0.5941,285787000,0.0,0.1278,0.0,0.0918,FY2005.FQ1,1
9,0.0,-,2004-07,1.925,449832000,1.4025,1.3936,599434000,1.2586,0.0471,0.1082,-0.127,2.321,1.7456,0.0,0,0.0,0,0.0,0.0,21497000,0.2076,0.0622,0.0451,706178600,1.178,10.9315,15.7601,6.6167,0.4231,2.5352,-0.1294,0.1428,0.713,8145000,-0.2318,1.5635,0.0235,-0.0694,0.0171,0.3075,0.2666,0.1944,0.3977,865926600,-159748000,0.1613,0.0221,9408750,0.1563,0.0361,0.0263,0.0362,0.0,-1.0354,0.4565,0.1522,0.0267,0.0368,0.037,1.4445,13.4044,19.3252,8.1135,0.5189,3.1087,-0.0389,0.1305,0.7256,0.0768,0.0692,0.1701,0.1071,0.0985,0.1071,0.020191149525656,0.1469,0.0985,0.3502,-0.0109,-7560000,-0.0165,0.5848,278546000,0.0331,0.1187,0.0,0.0834,FY2005.FQ2,2
