,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0.0,-,2002-04,2.381,454640000,202314000,5180000,0.01,0.01,69091000,0,-3307000,0,0,4914000,4914000,4914000,0,0,8714000,0,-493000,5120000,0,8221000,271405000,0,55257000,434744000,469624000,0,60377000,FY2003.FQ1,1
1,0.0,-,2002-07,2.188,454752000,200817000,5684000,0.01,0.01,73445000,0,-4113000,0,0,6118000,6118000,6118000,0,0,9863000,0,368000,5623000,0,10231000,274262000,0,57959000,454744000,490408000,0,63582000,FY2003.FQ2,2
2,0.0,-,2002-10,2.238,455840000,212883000,5922000,0.02,0.02,73845000,0,-6577000,0,0,9785000,9785000,9785000,0,0,15982000,0,380000,5862000,0,16362000,286728000,0,52001000,455448000,488888000,0,57863000,FY2003.FQ3,3
3,0.0,-,2003-01,1.116,456472000,393477000,6610000,0.07,0.06,126919000,0,-21300000,0,0,31587000,31587000,31587000,0,0,52512000,0,375000,6549000,0,52887000,520396000,0,67858000,456312000,484480000,0,74407000,FY2003.FQ4,4
4,0.0,-,2003-04,1.494,456824000,236300000,6284000,0.01,0.01,85441000,0,-4457000,0,0,6611000,6611000,6611000,0,0,10689000,0,379000,6217000,0,11068000,321741000,0,68535000,456664000,481888000,0,74752000,FY2004.FQ1,1
5,0.0,-,2003-07,1.7,452304000,216691000,6952000,0.01,0.01,88983000,0,-4450000,0,0,6606000,6606000,6606000,0,0,10849000,0,207000,6872000,0,11056000,305674000,0,71262000,454112000,481544000,0,78134000,FY2004.FQ2,2
6,0.0,-,2003-10,2.103,443032000,227568000,7804000,0.02,0.02,98474000,0,-7260000,0,0,10693000,10693000,10693000,0,0,17891000,0,62000,7718000,0,17953000,326042000,0,72865000,446136000,475448000,0,80583000,FY2004.FQ3,3
7,0.0,-,2004-01,2.075,453584000,461705000,8760000,0.08,0.08,163676000,0,-25554000,0,0,39557000,39557000,39557000,0,0,64955000,0,156000,8680000,0,65111000,625381000,0,90041000,445648000,473576000,0,98721000,FY2004.FQ4,4
8,0.0,-,2004-04,2.201,457392000,266196000,8377000,0.01,0.01,105540000,0,-4245000,0,0,6678000,6678000,6678000,0,0,10770000,0,153000,8299000,0,10923000,371736000,0,86471000,455920000,481040000,0,94770000,FY2005.FQ1,1
9,0.0,-,2004-07,1.925,449832000,239307000,8952000,0.01,0.01,106286000,0,-5067000,0,0,7672000,7672000,7672000,0,0,12545000,0,194000,8808000,0,12739000,345593000,0,84933000,452960000,476264000,0,93741000,FY2005.FQ2,2
