,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0.0,-,2002-04,2.381,454640000,FY2003.FQ1,1
1,0.0,-,2002-07,2.188,454752000,FY2003.FQ2,2
2,0.0,-,2002-10,2.238,455840000,FY2003.FQ3,3
3,0.0,-,2003-01,1.116,456472000,FY2003.FQ4,4
4,0.0,-,2003-04,1.494,456824000,FY2004.FQ1,1
5,0.0,-,2003-07,1.7,452304000,FY2004.FQ2,2
6,0.0,-,2003-10,2.103,443032000,FY2004.FQ3,3
7,0.0,-,2004-01,2.075,453584000,FY2004.FQ4,4
8,0.0,-,2004-04,2.201,457392000,FY2005.FQ1,1
9,0.0,-,2004-07,1.925,449832000,FY2005.FQ2,2
10,0.0,2005-12-08,2004-10,2.449,429968000,FY2005.FQ3,3
11,0.0,2006-04-03,2005-01,2.386,406624000,FY2005.FQ4,4
12,0.0,2006-06-02,2005-04,3.076,410672000,FY2006.FQ1,1
13,0.0,2006-09-05,2005-07,4.294,414416000,FY2006.FQ2,2
14,0.0,2005-12-08,2005-10,4.475,578448000,FY2006.FQ3,3
15,0.0,2006-04-03,2006-01,5.039,582376000,FY2006.FQ4,4
16,0.0,2006-06-02,2006-04,5.9,599560000,FY2007.FQ1,1
17,0.0,2006-09-05,2006-07,5.201,601176000,FY2007.FQ2,2
18,0.0,2006-12-05,2006-10,6.383,606480000,FY2007.FQ3,3
19,0.0,2007-04-04,2007-01,6.679,609220000,FY2007.FQ4,4
20,0.0,2007-06-14,2007-04,8.293,629656000,FY2008.FQ1,1
21,0.0,2007-09-07,2007-07,10.088,635972000,FY2008.FQ2,2
22,0.0,2007-12-07,2007-10,14.805,643836000,FY2008.FQ3,3
23,0.0,2008-04-02,2008-01,12.89,644028000,FY2008.FQ4,4
24,0.0,2008-06-12,2008-04,13.76,653052000,FY2009.FQ1,1
25,0.0,2008-09-11,2008-07,10.128,654612000,FY2009.FQ2,2
26,0.0,2008-12-11,2008-10,6.848,655104000,FY2009.FQ3,3
27,0.0,2009-04-01,2009-01,6.195,658048000,FY2009.FQ4,4
28,0.0,2009-07-08,2009-04,7.54,658508000,FY2010.FQ1,1
29,0.0,2009-09-09,2009-07,5.473,658644000,FY2010.FQ2,2
30,0.0,2009-12-09,2009-10,6.073,659008000,FY2010.FQ3,3
31,0.0,2010-03-30,2010-01,4.943,634648000,FY2010.FQ4,4
32,0.0,2010-06-09,2010-04,6.078,611412000,FY2011.FQ1,1
33,0.0,2010-09-08,2010-07,5.013,601408000,FY2011.FQ2,2
34,0.0,2011-12-07,2010-10,4.913,605476000,FY2011.FQ3,3
35,0.0,2011-03-30,2011-01,5.268,584000000,FY2011.FQ4,4
36,0.0,2011-06-08,2011-04,6.42,565200000,FY2012.FQ1,1
37,0.0,2011-09-08,2011-07,5.895,560800000,FY2012.FQ2,2
38,0.0,2011-12-07,2011-10,6.393,553600000,FY2012.FQ3,3
39,0.0,2012-03-27,2012-01,5.84,547200000,FY2012.FQ4,4
40,0.038,2012-06-06,2012-04,5.69,528000000,FY2013.FQ1,1
41,0.038,2012-09-05,2012-07,4.005,498000000,FY2013.FQ2,2
42,0.063,2012-12-05,2012-10,5.708,483600000,FY2013.FQ3,3
43,0.063,2013-04-03,2013-01,5.8,472800000,FY2013.FQ4,4
44,0.069,2013-06-13,2013-04,8.725,476000000,FY2014.FQ1,1
45,0.069,2013-09-11,2013-07,12.265,468400000,FY2014.FQ2,2
46,0.069,2013-12-11,2013-10,13.705,464800000,FY2014.FQ3,3
47,0.069,2014-04-02,2014-01,8.768,461200000,FY2014.FQ4,4
48,0.083,2014-06-12,2014-04,9.92,458000000,FY2015.FQ1,1
49,0.083,2014-09-08,2014-07,10.493,451200000,FY2015.FQ2,2
50,0.083,2014-12-10,2014-10,10.69,437200000,FY2015.FQ3,3
51,0.083,2015-03-30,2015-01,8.813,430800000,FY2015.FQ4,4
52,0.09,2015-06-09,2015-04,9.635,428400000,FY2016.FQ1,1
53,0.09,2015-09-09,2015-07,11.463,423600000,FY2016.FQ2,2
54,0.09,2015-12-08,2015-10,11.518,419600000,FY2016.FQ3,3
55,0.09,2016-03-28,2016-01,6.553,413200000,FY2016.FQ4,4
56,0.093,2016-06-07,2016-04,8.2,416000000,FY2017.FQ1,1
57,0.093,2016-09-07,2016-07,7.738,416000000,FY2017.FQ2,2
58,0.093,2016-12-06,2016-10,6.013,410400000,FY2017.FQ3,3
59,0.093,2017-03-27,2017-01,6.123,404000000,FY2017.FQ4,4
60,0.095,2017-06-06,2017-04,5.673,405200000,FY2018.FQ1,1
61,0.095,2017-09-06,2017-07,5.423,405200000,FY2018.FQ2,2
62,0.095,2017-12-05,2017-10,4.673,405200000,FY2018.FQ3,3
63,0.095,2018-04-02,2018-01,4.203,405200000,FY2018.FQ4,4
64,0.095,2018-06-12,2018-04,3.413,407600000,FY2019.FQ1,1
65,0.095,2018-09-11,2018-07,3.603,407600000,FY2019.FQ2,2
66,0.095,2018-12-11,2018-10,3.65,408000000,FY2019.FQ3,3
67,0.095,2019-04-02,2019-01,2.835,408000000,FY2019.FQ4,4
68,0.095,2019-06-11,2019-04,2.163,409200000,FY2020.FQ1,1
69,0.0,2019-09-11,2019-07,1.005,362000000,FY2020.FQ2,2
70,0.0,2019-12-11,2019-10,1.36,271600000,FY2020.FQ3,3
71,0.0,2020-03-27,2020-01,0.96,257200000,FY2020.FQ4,4
72,0.0,2020-06-09,2020-04,1.433,258400000,FY2021.FQ1,1
73,0.0,2020-09-09,2020-07,1.003,260800000,FY2021.FQ2,2
74,0.0,2020-12-08,2020-10,2.618,260800000,FY2021.FQ3,3
75,0.0,2021-03-23,2021-01,81.25,261200000,FY2021.FQ4,4
