,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0.0,-,2001-12,0.0,10838284000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6985000,-6985000,0,0,0,0,FY2001,2001
1,0.0,2005-03-30,2002-12,0.0,10838284000,-37198000,-5473000,-109717000,155265000,0,40075000,0,0,0,0,-7735000,-7735000,0,2262000,0,0,0,0,0,0,99000,-72618000,-93061000,20443000,0,-37198000,-37198000,0,4991000,28983000,0,0,99656000,0,54743000,-5875000,-43877000,21635000,FY2002,2002
2,0.0,2006-03-16,2003-12,0.0,10838284000,-176801000,8090000,-313954000,395445000,1662000,91243000,0,0,0,0,-7386000,-7386000,0,15476000,0,0,0,-39958000,-39958000,0,0,-97195000,-316599000,219404000,0,-176801000,-176801000,0,-6231000,55049000,0,0,105648000,11618000,143067000,-58913000,-90385000,229361000,FY2003,2003
3,0.0,2005-03-30,2004-12,0.0,10926051000,-318995000,1194618000,-1901356000,977044000,7572000,277878000,1161080000,1161080000,0,4300000,-407000,-4707000,0,33945000,0,0,0,-58863000,-58863000,0,-36906000,-1523498000,-4134576000,2611078000,36906000,-318995000,-318995000,0,-253207000,148473000,191570000,0,399119000,212343000,3500000,-99779000,-156928000,278746000,FY2004,2004
4,0.0,2006-03-16,2005-12,0.0,11877980000,-838217000,4370830000,-3358193000,2459422000,-21758000,3450301000,4287229000,4287229000,0,0,-1425000,-1425000,0,85026000,0,0,0,-101310000,-101310000,0,0,-2418666000,-12675880000,10257214000,0,-838217000,-838217000,0,22577000,293812000,21163000,0,1465397000,455764000,446530000,-51663000,-372290000,200709000,FY2005,2005
5,0.0,2007-03-01,2006-12,0.0,12426248000,-1902798000,2966398000,-6899150000,3580508000,19741000,-332503000,2063549000,2063549000,0,0,0,0,0,902849000,0,0,0,-402446000,-402446000,0,0,-4593906000,-27701038000,23107132000,0,-1902798000,-1902798000,0,140749000,571939000,-98468000,0,3077446000,-569258000,1053918000,-289157000,-624012000,458100000,FY2006,2006
6,0.0,2008-02-15,2007-12,0.0,12523021000,-2402840000,403067000,-3681589000,5775410000,40034000,2536922000,0,0,0,0,0,0,0,403067000,0,0,0,-906651000,-906651000,0,0,-372098000,-16031571000,15659473000,0,-2402840000,-2402840000,0,318545000,967658000,-164212000,0,4203720000,-418947000,1454481000,-298689000,-837247000,868646000,FY2007,2007
7,0.0,2009-02-13,2008-12,0.0,12599540000,-2359000000,87000000,-5319000000,7853000000,-46000000,2575000000,0,0,0,0,0,0,0,87000000,0,0,0,-3320000000,-3320000000,0,0,360000000,-15403000000,15763000000,0,-2359000000,-2359000000,0,327000000,1500000000,-225000000,0,4227000000,904000000,808000000,-147000000,-334000000,1120000000,FY2008,2008
8,0.0,2010-02-12,2009-12,0.0,12698576000,-810000000,233000000,-8019000000,9316000000,11000000,1541000000,0,0,0,0,0,0,0,233000000,0,0,0,-108000000,-108000000,0,0,-7101000000,-29204000000,22103000000,0,-810000000,-810000000,0,486000000,1524000000,-268000000,0,6520000000,-110000000,728000000,262000000,-504000000,1164000000,FY2009,2009
9,0.0,2011-02-11,2010-12,0.0,12839599000,-4018000000,3050000000,-10680000000,11081000000,-19000000,3432000000,0,-801000000,-801000000,10492000000,3463000000,-7029000000,0,388000000,0,0,0,-1067000000,-1067000000,0,0,-7956000000,-45055000000,37099000000,2361000000,-4018000000,-4018000000,0,-99000000,1396000000,9000000,0,8505000000,-106000000,1444000000,-414000000,-1129000000,1376000000,FY2010,2010
10,0.0,2012-01-26,2011-12,0.0,12983220000,-3438000000,807000000,-19041000000,14565000000,22000000,-3647000000,0,0,0,10905000000,726000000,-10179000000,0,81000000,0,0,0,-1900000000,-1900000000,0,0,-13349000000,-62100000000,48751000000,-354000000,-3438000000,-3438000000,0,630000000,1851000000,343000000,-30000000,9737000000,30000000,2048000000,-232000000,-1156000000,1974000000,FY2011,2011
11,0.0,2013-01-29,2012-12,0.0,13186383000,-3273000000,1229000000,-13056000000,16619000000,3000000,4795000000,0,0,0,16109000000,1328000000,-14781000000,0,-99000000,0,0,0,-10568000000,-10568000000,0,0,1119000000,-34106000000,35225000000,-334000000,-3273000000,-3273000000,0,898000000,2962000000,-266000000,301000000,10737000000,-404000000,1916000000,-532000000,-787000000,2692000000,FY2012,2012
12,0.0,2014-02-12,2013-12,0.0,13420277000,-7358000000,-857000000,-13679000000,18659000000,-3000000,4120000000,0,0,0,10768000000,-557000000,-11325000000,0,-300000000,0,0,0,-1448000000,1077000000,2525000000,0,-7099000000,-46013000000,38914000000,-299000000,-7358000000,-7358000000,0,156000000,3939000000,-437000000,-234000000,12733000000,-1075000000,2627000000,-930000000,-1307000000,3343000000,FY2013,2013
13,0.0,2015-02-09,2014-12,26.248,13622128000,-10959000000,-2087000000,-21055000000,23024000000,-433000000,-551000000,0,0,0,11625000000,-18000000,-11643000000,0,-2069000000,0,0,0,-4888000000,-4502000000,386000000,0,-6997000000,-58525000000,51528000000,1403000000,-10959000000,-11014000000,55000000,672000000,4979000000,-104000000,0,14136000000,-938000000,1854000000,459000000,-1641000000,4279000000,FY2014,2014
14,0.0,2016-02-11,2015-12,37.944,13746960000,-9915000000,-4225000000,-23711000000,26572000000,-434000000,-1798000000,0,-1780000000,-1780000000,13705000000,-23000000,-13728000000,0,-2422000000,0,0,0,-236000000,-236000000,0,0,-13210000000,-76269000000,63059000000,-350000000,-9915000000,-9950000000,35000000,-409000000,5063000000,-179000000,0,16348000000,546000000,2003000000,-318000000,-2094000000,5203000000,FY2015,2015
15,0.0,2017-02-03,2016-12,38.591,13825860000,-9972000000,-8332000000,-31165000000,36036000000,-170000000,-3631000000,0,-3693000000,-3693000000,8729000000,-1335000000,-10064000000,0,-3304000000,0,0,0,-986000000,-986000000,0,0,-17779000000,-85168000000,67389000000,-2428000000,-9972000000,-10212000000,240000000,3300000000,6144000000,-38000000,0,19478000000,449000000,5566000000,312000000,-2578000000,6703000000,FY2016,2016
16,0.0,2018-02-06,2017-12,52.32,13895660000,-13085000000,-8298000000,-31401000000,37091000000,405000000,-2203000000,800000000,-4046000000,-4846000000,4291000000,-86000000,-4377000000,0,-4166000000,0,0,0,-287000000,-287000000,0,0,-19448000000,-93940000000,74492000000,1419000000,-13085000000,-13184000000,99000000,9246000000,6915000000,258000000,0,12662000000,331000000,13014000000,0,-3768000000,7679000000,FY2017,2017
17,0.0,2019-02-05,2018-12,51.781,13911120000,-25041000000,-13179000000,-28504000000,47971000000,-302000000,5986000000,950000000,-8125000000,-9075000000,6766000000,-61000000,-6827000000,0,-4993000000,0,0,0,-1491000000,-1491000000,0,0,-1972000000,-52231000000,50259000000,0,-25041000000,-25139000000,98000000,4908000000,9035000000,778000000,0,30736000000,-6839000000,7077000000,0,-2169000000,9353000000,FY2018,2018
18,0.0,2020-02-04,2019-12,66.851,13766700000,-23548000000,-23209000000,-29491000000,54520000000,-23000000,1797000000,0,-18396000000,-18396000000,317000000,-268000000,-585000000,0,-4545000000,0,0,0,-2515000000,-2515000000,0,0,-4017000000,-102247000000,98230000000,589000000,-23548000000,-23548000000,0,819000000,11781000000,173000000,0,34343000000,-3390000000,5159000000,0,-4340000000,10794000000,FY2019,2019
19,0.0,2021-02-03,2020-12,87.594,13504440000,-22281000000,-24408000000,-32773000000,65124000000,24000000,7967000000,0,-31149000000,-31149000000,11761000000,9661000000,-2100000000,0,-2920000000,0,0,0,-738000000,-738000000,0,0,-9822000000,-143751000000,133929000000,68000000,-22281000000,-22281000000,0,1827000000,13697000000,1390000000,0,40269000000,-5050000000,8351000000,0,-6524000000,12991000000,FY2020,2020
20,0.0,2022-02-02,2021-12,144.68,13242420000,-24640000000,-61362000000,-35523000000,91652000000,-287000000,-5520000000,0,-50274000000,-50274000000,20199000000,-1236000000,-21435000000,0,-9852000000,0,0,0,-2618000000,-2618000000,0,0,-8806000000,-138034000000,129228000000,541000000,-24640000000,-24640000000,0,-1523000000,12441000000,1808000000,0,76033000000,-12483000000,7572000000,0,-9095000000,15376000000,FY2021,2021
21,0.0,2023-02-03,2022-12,88.73,12849000000,-31485000000,-69757000000,-20298000000,91495000000,-506000000,934000000,0,-59296000000,-59296000000,52872000000,-1196000000,-54068000000,0,-9265000000,0,0,0,-6969000000,-6969000000,0,0,16567000000,-81405000000,97972000000,1589000000,-31485000000,-31485000000,0,-2235000000,13475000000,-8081000000,0,59972000000,9002000000,82000000,0,-2317000000,19362000000,FY2022,2022
22,0.0,2024-01-31,2023-12,140.93,12460000000,-32251000000,-72093000000,-27063000000,101746000000,-421000000,2169000000,0,-61504000000,-61504000000,10790000000,-760000000,-11550000000,0,-9829000000,0,0,0,-495000000,-495000000,0,0,6734000000,-80885000000,87619000000,-1051000000,-32251000000,-32251000000,0,-3845000000,11946000000,-7763000000,0,73795000000,5153000000,3988000000,0,-7833000000,22460000000,FY2023,2023
