,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0.0,-,2001-12,0.0,10838284000,0.0,NA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0,0,55698000,0.0,0.6444,0.0051,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,NA,0.0,0.8353,NA,0.0,0.3062,0,0,0.0,0.0808,41773500,0.0,NA,0.0051,0.6444,0.0,0.0,0.0,0.0,0.0009,0.1164,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079,0.0,NA,0.0,0.0,NA,0.0,0.24640035728283,0.0,NA,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,FY2001,2001
1,0.0,2005-03-30,2002-12,0.0,10838284000,1.6492,NA,129607000,0.0119,0.0,0.0,0.0,0.0,2.5896,0.0378,NA,0.0624,NA,0,0,215449000,2.8681,0.4902,0.0198,-139819000,-1.0787,-1.403,-1.1842,-0.7561,-0.3181,-1.0795,0.0,8.0,0.6063,118067000,0.0,0.0,0.2686,NA,0.0108,0.7007,NA,3.266,0.461,0,-46890000,13.2671,0.2267,139849500,2.3478,NA,0.0172,0.4242,0.0,0.0,0.0,17.3666,0.017,0.4207,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0853,0.0405,0.6947,NA,1.8486,1.1457,NA,1.0784,0.24640035728283,1.5686,NA,1.8495,0.0,0,0.0,0.0119,129511000,0.0,0.0,0.0,0.0,FY2002,2002
2,0.0,2006-03-16,2003-12,0.0,10838284000,1.4801,NA,544424000,0.0502,-3.7529,1.5799,0.0,1.5469,2.3793,0.0022,NA,0.0033,NA,0,0,397513000,0.845,0.2711,0.0366,-334718000,-0.6148,-3.1682,-1.5308,-0.9655,-0.2283,-0.7626,0.0,0.1111,0.6756,218644000,0.0,0.8518,0.1491,NA,0.0201,0.573,NA,1.7275,0.6952,0,-148995000,0.0601,0.072,256848000,0.8366,NA,0.0315,0.2336,0.0,0.0,2.4944,0.8746,0.0319,0.2364,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3353,0.1352,0.1824,NA,0.8175,0.277,NA,0.2724,0.24640035728283,0.3714,NA,0.9355,0.0,0,0.0,0.0404,438868000,0.0,2.0375,0.0,2.3846,FY2003,2003
3,0.0,2005-03-30,2004-12,0.0,10926051000,1.1312,NA,2929056000,0.2687,-0.8042,1.865,0.0,1.4707,7.9133,0.0,NA,0.0,NA,0,0,989665000,1.4896,0.3103,0.0907,-2132297000,-0.7279,-5.3425,-3.2403,-3.2792,-0.6685,-0.7795,0.0,2.7,0.884,658049000,0.0,2.0096,0.2063,NA,0.0603,0.5429,NA,1.0611,0.3861,0,-426873000,2.7778,0.1251,630894000,1.4562,NA,0.0771,0.2637,0.0,0.0,1.0127,0.8757,0.0596,0.2038,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1755,0.2925,0.1907,NA,0.4661,0.2269,NA,0.2267,0.24640035728283,0.2711,NA,0.5083,0.0057,87767000,0.008,0.2509,2735169000,0.0,2.802,0.0,3.9748,FY2004,2004
4,0.0,2006-03-16,2005-12,0.0,11877980000,1.0905,NA,9418957000,0.8075,-1.6276,8.0827,0.0,1.5172,12.0757,0.0,NA,0.0,NA,0,0,2401090000,1.4261,0.3911,0.2058,-8034247000,-0.8529,-5.4826,-4.9557,-3.7513,-1.3088,-0.8788,0.0,2.4054,0.9169,1621205000,0.0,1.4636,0.2641,NA,0.1389,0.5801,NA,1.0567,0.3157,0,-3877174000,2.6715,0.2387,1580458500,1.5051,NA,0.1806,0.3432,0.0,0.0,1.5381,2.2937,0.1836,0.3488,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9247,0.5262,0.2157,NA,0.3371,0.2373,NA,0.2373,0.24640035728283,0.3643,NA,0.3504,0.0699,951929000,0.0871,0.7837,9141274000,0.0,2.1001,0.0,2.2156,FY2005,2005
5,0.0,2007-03-01,2006-12,0.0,12426248000,1.0841,NA,17039840000,1.3775,-1.27,-0.0857,0.0,0.4558,9.9953,0.0,NA,0.0,NA,0,0,4121935000,0.7166,0.3886,0.3332,-11243914000,-0.6598,-3.6536,-6.7019,-2.8032,-1.0602,-0.7422,0.0,0.9761,0.9224,1677710000,0.0,0.0348,0.1582,NA,0.1356,0.6015,NA,0.7913,0.2327,0,-3544671000,1.1,0.2901,2662497000,0.6846,NA,0.2869,0.3347,0.0,0.0,1.4905,0.8728,0.3242,0.3782,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7275,0.8573,0.2141,NA,0.2659,0.2326,NA,0.2326,0.24640035728283,0.3233,NA,0.2894,0.0605,548268000,0.0461,1.2245,15147880000,0.0,0.7984,0.0,0.8091,FY2006,2006
6,0.0,2008-02-15,2007-12,0.0,12523021000,1.1166,NA,22689679000,1.7956,-0.2627,0.7157,0.0,0.613,8.4933,0.0,NA,0.0,NA,0,0,6052058000,0.4682,0.3647,0.4789,-14218613000,-0.6266,-3.3823,-4.2159,-2.5059,-0.8568,-0.7129,0.0,0.3373,0.8955,3372570000,0.0,1.0102,0.2032,NA,0.2668,0.5993,NA,0.5587,0.2591,0,-6081593000,0.3659,0.2533,3813300000,0.4322,NA,0.4023,0.3064,0.0,0.0,0.6863,0.4145,0.449,0.3419,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5647,1.3132,0.1919,NA,0.2512,0.2116,NA,0.2116,0.24640035728283,0.2792,NA,0.2837,0.0215,96773000,0.0077,1.5783,19943715000,0.0,0.3714,0.0,0.3315,FY2007,2007
7,0.0,2009-02-13,2008-12,0.0,12599540000,1.1249,NA,28238862000,2.2255,0.0182,0.4234,0.0,0.3597,8.7651,0.0,NA,0.0,NA,0,0,8132000000,0.3436,0.373,0.6409,-15845771000,-0.5611,-3.7487,-2.8841,-2.7072,-0.727,-0.7073,0.0,0.0,0.8889,5494000000,0.0,0.629,0.252,NA,0.4329,0.6044,NA,0.3246,0.2778,0,-8656672000,0.0055,0.1939,4974000000,0.3043,NA,0.5226,0.3042,0.0,0.0,0.2957,0.0315,0.4612,0.2685,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3134,1.7178,0.148,NA,0.2513,0.1659,NA,0.1659,0.24640035728283,0.2335,NA,0.3002,0.0041,76519000,0.0061,1.7655,22402318000,0.0,0.2538,0.0,0.2445,FY2008,2008
8,0.0,2010-02-12,2009-12,0.0,12698576000,1.1247,NA,36004000000,2.8206,0.6566,0.178,0.0,0.1862,10.6177,0.0,NA,0.0,NA,0,0,9836000000,0.2095,0.4158,0.7705,-24485000000,-0.68,-3.7553,-2.8785,-2.9214,-1.0352,-0.8073,0.0,0.5345,0.889,8506000000,0.0,0.5482,0.3596,NA,0.6663,0.626,NA,0.1239,0.222,0,-10198000000,0.5424,0.2756,6234000000,0.2533,NA,0.6511,0.3514,0.0,0.0,-0.0742,0.4319,0.6565,0.3543,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851,1.8529,0.1804,NA,0.2473,0.2029,NA,0.2029,0.24640035728283,0.2872,NA,0.2984,0.0059,99036000,0.0078,2.3758,30326000000,0.0,0.2747,0.0,0.2749,FY2009,2009
9,0.0,2011-02-11,2010-12,0.0,12839599000,1.251,1.1248,46241000000,3.5797,-3.9604,0.1796,0.0,0.1894,4.1578,0.0598,0,0.0749,0,0,0,11777000000,0.1973,0.4016,0.9117,-33375000000,-0.7217,-3.9241,-4.7253,-3.0914,-1.1382,-0.857,0.0,0.2876,0.7993,7063000000,0.0,-0.1696,0.2408,0.2236,0.5467,0.6447,0.603,0.2766,0.2122,0,-8565000000,0.3044,0.29,7785750000,0.2489,0.339,0.8036,0.354,0.0,0.0,0.6014,0.2881,0.8357,0.3682,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2397,2.2698,0.1729,0.1865,0.233,0.2068,0.2192,0.1984,0.24640035728283,0.2679,0.2192,0.2728,0.012,141023000,0.0111,3.0145,38941000000,0.0,0.4285,0.0,0.2843,FY2010,2010
