,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0.0,-,2001-12,0.0,10838284000,14228000,0,0.0,0.0,72198000,0,-3083000,0,0,6985000,6985000,6985000,0,0,55698000,0,-45630000,0,0,10068000,86426000,16500000,0,10838284000,10838284000,0,16500000,FY2001,2001
1,0.0,2005-03-30,2002-12,0.0,10838284000,131510000,28983000,0.0,0.0,307998000,0,-85259000,-2570000,1215000,99656000,99656000,99656000,0,-1355000,186466000,0,-196000,0,0,184915000,439508000,31748000,89784000,10838284000,10838284000,0,121532000,FY2002,2002
2,0.0,2006-03-16,2003-12,0.0,10838284000,625854000,55049000,0.01,0.01,840080000,0,-241006000,-1931000,6121000,105648000,105648000,105648000,0,4190000,342464000,0,0,0,0,346654000,1465934000,91228000,406388000,10838284000,10838284000,0,497616000,FY2003,2003
3,0.0,2005-03-30,2004-12,0.0,10926051000,1457653000,148473000,0.05,0.03,1731570000,0,-251115000,-5954000,15996000,399119000,399119000,399119000,0,10042000,841192000,0,-201000000,0,0,650234000,3189223000,225632000,664746000,7719560000,10900678000,0,890378000,FY2004,2004
4,0.0,2006-03-16,2005-12,0.0,11877980000,2577088000,293812000,0.13,0.12,3561472000,0,-676280000,-776000,121038000,1465397000,1465397000,1465397000,0,120262000,2107278000,0,-85863000,0,0,2141677000,6138560000,599510000,854684000,11023079000,11663659000,0,1454194000,FY2005,2005
5,0.0,2007-03-01,2006-12,0.0,12426248000,4225027000,571939000,0.25,0.24,6379890000,0,-933594000,0,412063000,3077446000,3077446000,3077446000,0,412063000,3549996000,0,48981000,0,0,4011040000,10604917000,1228589000,1601305000,12044450000,12369934000,0,2829894000,FY2006,2006
6,0.0,2008-02-15,2007-12,0.0,12523021000,6649085000,967658000,0.33,0.33,9944901000,0,-1470260000,0,559205000,4203720000,4203720000,4203720000,0,559205000,5084400000,0,30375000,0,0,5673980000,16593986000,2119985000,2740516000,12420206000,12636156000,0,4860501000,FY2007,2007
7,0.0,2009-02-13,2008-12,0.0,12599540000,8622000000,1500000000,0.33,0.33,13174000000,0,-1626000000,0,390000000,4227000000,4227000000,4227000000,0,390000000,6632000000,0,-1169000000,0,0,5853000000,21796000000,2793000000,3749000000,12546204000,12688266000,0,6542000000,FY2008,2008
8,0.0,2010-02-12,2009-12,0.0,12698576000,8844000000,1524000000,0.51,0.51,14807000000,0,-1861000000,0,230000000,6520000000,6520000000,6520000000,0,230000000,8312000000,0,-161000000,0,0,8381000000,23651000000,2843000000,3652000000,12636596000,12764272000,0,6495000000,FY2009,2009
9,0.0,2011-02-11,2010-12,0.0,12839599000,10417000000,1396000000,0.66,0.65,18904000000,0,-2291000000,-5000000,579000000,8505000000,8505000000,8505000000,0,574000000,10381000000,0,-159000000,0,0,10796000000,29321000000,3762000000,4761000000,12735740000,12917524000,0,8523000000,FY2010,2010
