,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0.0,-,2001-12,0.0,10838284000,FY2001,2001
1,0.0,2005-03-30,2002-12,0.0,10838284000,FY2002,2002
2,0.0,2006-03-16,2003-12,0.0,10838284000,FY2003,2003
3,0.0,2005-03-30,2004-12,0.0,10926051000,FY2004,2004
4,0.0,2006-03-16,2005-12,0.0,11877980000,FY2005,2005
5,0.0,2007-03-01,2006-12,0.0,12426248000,FY2006,2006
6,0.0,2008-02-15,2007-12,0.0,12523021000,FY2007,2007
7,0.0,2009-02-13,2008-12,0.0,12599540000,FY2008,2008
8,0.0,2010-02-12,2009-12,0.0,12698576000,FY2009,2009
9,0.0,2011-02-11,2010-12,0.0,12839599000,FY2010,2010
10,0.0,2012-01-26,2011-12,0.0,12983220000,FY2011,2011
11,0.0,2013-01-29,2012-12,0.0,13186383000,FY2012,2012
12,0.0,2014-02-12,2013-12,0.0,13420277000,FY2013,2013
13,0.0,2015-02-09,2014-12,26.248,13622128000,FY2014,2014
14,0.0,2016-02-11,2015-12,37.944,13746960000,FY2015,2015
15,0.0,2017-02-03,2016-12,38.591,13825860000,FY2016,2016
16,0.0,2018-02-06,2017-12,52.32,13895660000,FY2017,2017
17,0.0,2019-02-05,2018-12,51.781,13911120000,FY2018,2018
18,0.0,2020-02-04,2019-12,66.851,13766700000,FY2019,2019
19,0.0,2021-02-03,2020-12,87.594,13504440000,FY2020,2020
20,0.0,2022-02-02,2021-12,144.68,13242420000,FY2021,2021
21,0.0,2023-02-03,2022-12,88.73,12849000000,FY2022,2022
22,0.0,2024-01-31,2023-12,140.93,12460000000,FY2023,2023
23,0.6,2025-02-05,2024-12,190.44,12211000000,FY2024,2024
