,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0.0,-,2003-06,0.0,10838284000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,32168000,-32168000.0,0,0,0,0,FY2003.FQ2,2
1,0.0,2006-03-16,2003-12,0.0,10838284000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,FY2003.FQ4,4
2,0.0,2005-05-16,2004-03,0.0,10838284000,-86037000,3710000,-106843000,208045000,-2553000,102359000,0,0,0,0,-1204000,-1204000,0,4914000,0,0,0,0,0,0,-3000000,-17806000,-190391000,172585000,0.0,-86037000,-86037000,0,43924000,23675000,0,0,63973000,0.0,-281000,-4040000,48245000,76473000,FY2004.FQ1,1
3,0.0,2004-08-16,2004-06,0.0,10838284000,-96246000,28617000,-188151000,162559000,319000,3344000,0,0,0,4300000,3101000,-1199000,0,25516000,0,0,0,0,0,0,0,-91367000,-280690000,189323000,-538000.00000001,-96246000,-96246000,0,-116471000,31012000,0,0,79063000,94194000.0,36471000,-17906000,-135036000,74761000,FY2004.FQ2,2
4,0.0,2004-11-15,2004-09,0.0,10926051000,-77632000,1162001000,-1309728000,238343000,-845000,89771000,0,0,0,0,-1118000,-1118000,0,1163119000,0,0,0,0,0,0,-4999000,-1219802000,-2406228000,1186426000,-7294999.9999998,-77632000,-77632000,0,-175674000,41326000,0,0,51983000,252727000.0,-151916000,-32188000,8430000,67981000,FY2004.FQ3,3
5,0.0,2005-03-30,2004-12,0.0,10926051000,-59080000,290000,-296634000,368097000,10651000,82404000,0,0,0,0,-1186000,-1186000,0,1476000,0,0,0,0,0,0,-28907000,-194523000,-1257267000,1062744000,-14124000.0,-59080000,-59080000,0,-4986000,52460000,0,0,204100000,56992000.0,119226000,-45645000,-78567000,59531000,FY2004.FQ4,4
6,0.0,2005-05-16,2005-03,0.0,11083230000,-142391000,3505000,-472328000,529622000,-5100000,55699000,0,0,0,0,-592000,-592000,0,4097000,0,0,0,-5000000,-5000000,0,0,-324937000,-1160160000,835223000,0.0,-142391000,-142391000,0,-22049000,56193000,0,0,369193000,77377000.0,67591000,-29571000,-60069000,48908000,FY2005.FQ1,1
7,0.0,2005-08-15,2005-06,0.0,11158957000,-157463000,7956000,-348499000,624619000,-13176000,270900000,0,0,0,0,-1019000,-1019000,0,8975000,0,0,0,-14202000,-14202000,0,0,-176834000,-703506000,526672000,0.0,-157463000,-157463000,0,48752000,66929000,0,0,342814000,118786000.0,86641000,6629000,-44518000,47338000,FY2005.FQ2,2
8,0.0,2005-11-14,2005-09,0.0,11810482000,-292532000,4308293000,-189090000,646747000,-853000,4765097000,0,0,0,0,198000,198000,0,4308095000,0,0,0,-22546000,-22546000,0,0,125988000,-3139329000,3265317000,0.0,-292532000,-292532000,0,46942000,75965000,0,0,381182000,96349000.0,169141000,-1703000,-120496000,46309000,FY2005.FQ3,3
9,0.0,2006-03-16,2005-12,0.0,11877980000,-245831000,51076000,-2348276000,658434000,-2629000,-1641395000,0,0,0,0,-12000,-12000,0,51088000,0,0,0,-59562000,-59562000,0,0,-2042883000,-7672885000,5630002000,0.0,-245831000,-245831000,0,-51068000,94725000,0,0,372208000,184415000.0,123157000,-27018000,-147207000,58154000,FY2005.FQ4,4
