,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0.0,-,2003-06,0.0,10838284000,0.0,NA,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0,0,176306000,0.0,0.5665,0.0162,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,NA,0.0,0.6227,NA,0.0,0.6952,0,0,0.0,0.1033,132229500,0.0,NA,0.0162,0.5665,0.0,0.0,-1.0,0.0,0.0097,0.3391,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287,0.897,NA,6.9916,1.4793,NA,1.3924,0.28432191889307,2.0253,NA,6.9949,0.0,0,0.0,0.0,0,0.0,-1.0,0.0,-1.0,FY2003.FQ2,2
1,0.0,2006-03-16,2003-12,0.0,10838284000,1.4801,NA,544424000,0.0502,0.0,0.0,0.0,0.0,2.3793,0.0022,NA,0.0033,NA,0,0,0,-1.0,0.0,0.0,-334718000,-0.6148,0.0,0.0,0.0,0.0,-0.7626,0.0,-1.0,0.6756,0,0.0,0.0,0.0,NA,0.0,0.0,NA,-1.0,0.0,0,-148995000,-1.0,0.0,0,-1.0,NA,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,NA,0.0,0.0,NA,0.0,0.28432191889307,0.0,NA,0.0,0.0,0,0.0,0.0404,438868000,0.0,0.0,0.0,0.0,FY2003.FQ4,4
2,0.0,2005-05-16,2004-03,0.0,10838284000,0.0,NA,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0,0,178998000,0.0,0.2746,0.0165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122008000,0.0,0.0,0.1872,NA,0.0112,0.5159,NA,0.0,0.5889,0,0,0.0,0.0981,116492250,0.0,NA,0.0143,0.2383,0.0,0.0,-1.0,0.0,0.0143,0.2388,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0601,0.5872,NA,1.9537,0.8692,NA,0.8663,0.28432191889307,1.1585,NA,2.3425,0.0,0,0.0,0.0,0,0.0,-1.0,0.0,-1.0,FY2004.FQ1,1
3,0.0,2004-08-16,2004-06,0.0,10838284000,1.3058,NA,937139000,0.0864,0.0,3.4102,0.0,0.0,3.4959,0.0031,NA,0.0041,NA,0,0,201970000,0.0,0.2884,0.0186,-548687000,-0.5854,-3.1317,-2.9135,-1.2741,-0.3299,-0.6583,0.0,0.0,0.7657,66313000,0.0,0.0,0.0947,NA,0.0061,0.5338,NA,0.0,0.5334,0,-250947000,0.0,0.1129,128218500,0.0,NA,0.0157,0.2441,0.0,0.0,4.9532,0.0,0.0156,0.242,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0646,0.2638,NA,0.9311,0.3445,NA,0.3431,0.28432191889307,0.4571,NA,1.0301,0.0,0,0.0,0.0768,833384000,0.0,3.6289,0.0,4.8464,FY2004.FQ2,2
4,0.0,2004-11-15,2004-09,0.0,10926051000,1.1156,NA,2589023000,0.2358,0.0,0.0,0.0,0.0,8.5991,0.001,NA,0.0011,NA,0,0,253438000,0.4374,0.3144,0.023,-1858356000,-0.7177,-9.5291,-5.3243,-5.4647,-0.8612,-0.7605,0.0,0.6666,0.8963,160711000,0.0,0.0,0.1994,NA,0.0146,0.5506,NA,1.2899,0.0,0,-341443000,0.6159,0.0645,159084000,0.203,NA,0.0193,0.2632,0.0,0.0,0.0,-0.858,0.0013,0.0185,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5896,0.0734,0.0925,NA,0.2912,0.1081,NA,0.1079,0.28432191889307,0.1294,NA,0.3123,0.0129,87767000,0.008,0.2225,2443548000,0.0,0.0,0.0,0.0,FY2004.FQ3,3
5,0.0,2005-03-30,2004-12,0.0,10926051000,1.1312,NA,2929056000,0.2563,0.0,1.865,0.0,0.0,7.9133,0.0,NA,0.0,NA,0,0,355259000,0.0,0.3444,0.031,-2132297000,-0.7279,-5.3425,-3.2403,-3.2792,-0.6685,-0.7795,0.0,0.0,0.884,309017000,0.0,0.0,0.2995,NA,0.027,0.56,NA,0.0,0.3419,0,-426873000,0.0,0.1978,227099250,0.0,NA,0.0264,0.2935,0.0,0.0,1.0127,0.0,0.0271,0.3007,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0902,0.1287,NA,0.3009,0.1446,NA,0.1445,0.28432191889307,0.168,NA,0.3204,0.0542,0,0.0,0.2393,2735169000,0.0,2.802,0.0,3.9748,FY2004.FQ4,4
6,0.0,2005-05-16,2005-03,0.0,11083230000,1.1279,NA,3426862000,0.2992,-0.6549,0.0,0.0,1.5457,8.0301,0.0,NA,0.0,NA,0,0,498963000,1.7875,0.3971,0.0435,-2507298000,-0.7316,-3.5597,-2.7156,-2.6363,-0.6608,-0.7737,0.0,4.3333,0.8865,387231000,0.0,2.1738,0.3081,NA,0.0338,0.5648,NA,1.1108,0.1911,0,-482572000,4.771,0.2938,332077500,1.8506,NA,0.0386,0.3523,0.0,0.0,0.0,1.933,0.0398,0.3632,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9282,0.1097,0.1962,NA,0.3502,0.2216,NA,0.2216,0.28432191889307,0.2586,NA,0.3721,0.0567,157179000,0.0143,0.2829,3240611000,0.0,0.0,0.0,0.0,FY2005.FQ1,1
7,0.0,2005-08-15,2005-06,0.0,11158957000,1.1375,NA,3953857000,0.3444,-0.636,1.9582,0.0,2.8424,8.1388,0.0,NA,0.0,NA,0,0,542627000,1.6866,0.3919,0.0472,-2947967000,-0.7455,-3.0451,-2.2263,-2.3084,-0.6582,-0.7888,0.0,3.2857,0.879,467156000,0.0,6.0447,0.3374,NA,0.0406,0.5679,NA,1.1035,0.308,0,-753472000,3.3359,0.2476,356773500,1.7825,NA,0.0414,0.3435,0.0,0.0,0.7978,1.9235,0.0431,0.3578,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772,0.1206,0.2315,NA,0.3811,0.2623,NA,0.2623,0.28432191889307,0.315,NA,0.4027,0.059,75727000,0.0068,0.3255,3737253000,0.0,2.3867,0.0,2.8877,FY2005.FQ2,2
8,0.0,2005-11-14,2005-09,0.0,11810482000,1.0748,1.1295,8793068000,0.7596,-2.7681,15.0205,0.0,1.7135,14.9731,0.0,0,0.0,0,0,0,605136000,1.3877,0.3833,0.0522,-7630147000,-0.8677,-5.8816,-5.0277,-4.2108,-1.453,-0.8909,0.0,5.6,0.9303,354215000,0.0,1.204,0.2244,0.1933,0.0305,0.5849,0.5553,1.0805,0.3069,0,-5518569000,6.3328,0.2414,396878250,1.4947,0.2783,0.0457,0.3352,0.0,0.0,1.2147,35.7183,0.0475,0.3484,0.2713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9586,0.1363,0.186,0.1911,0.2705,0.2035,0.2125,0.2035,0.28432191889307,0.4007,0.2125,0.2801,0.0543,651525000,0.0583,0.7398,8564465000,0.0,2.2719,0.0,2.3962,FY2005.FQ3,3
9,0.0,2006-03-16,2005-12,0.0,11877980000,1.0905,1.1217,9418957000,0.7754,-3.1609,8.0827,0.0,0.7887,12.0757,0.0,0,0.0,0,0,0,754364000,1.1234,0.393,0.0621,-8034247000,-0.8529,-5.4826,-4.9557,-3.7513,-1.3088,-0.8788,0.0,0.7222,0.9169,412603000,0.0,0.3352,0.2149,0.2072,0.0339,0.5951,0.5624,0.9768,0.4182,0,-3877174000,0.8236,0.1939,494729250,1.1784,0.3143,0.0543,0.3437,0.0,0.0,1.5381,1.0628,0.0526,0.3334,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8604,0.1579,0.1485,0.1911,0.2288,0.1609,0.2125,0.1609,0.28432191889307,0.3324,0.2125,0.2353,0.063,67498000,0.0057,0.7525,9141274000,0.4301,2.1001,0.4905,2.2156,FY2005.FQ4,4
