,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0.0,-,2003-06,0.0,10838284000,117401000,0,0.0,0.0,193798000,0,-73382000,0.0,0,32168000,32168000,32168000,0,0,176306000,0,-70756000,0,0,105550000,311199000,17492000,0,10838284000,10838284000,0,17492000,FY2003.FQ2,2
1,0.0,2006-03-16,2003-12,0.0,10838284000,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10838284000,10838284000,0,0,FY2003.FQ4,4
2,0.0,2005-05-16,2004-03,0.0,10838284000,315398000,23675000,0.0,0.0,336225000,0,-91650000,0.0,300000,63973000,63973000,63973000,0,300000,155323000,0,0,0,0,155623000,651623000,35019000,145883000,10838284000,10838284000,0,180902000,FY2004.FQ1,1
3,0.0,2004-08-16,2004-06,0.0,10838284000,326377000,31012000,0.0,0.0,373835000,0,-90397000,-1498000.0,0,79063000,79063000,79063000,0,-1498000,170958000,0,0,0,0,169460000,700212000,45762000,157115000,10838284000,10838284000,0,202877000,FY2004.FQ2,2
4,0.0,2004-11-15,2004-09,0.0,10926051000,362099000,41326000,0.0,0.0,443788000,0,37005000,0.0,3866000,51983000,51983000,51983000,0,3866000,212112000,0,-201000000,0,0,14978000,805887000,57409000,174267000,8192342000,10978762000,0,231676000,FY2004.FQ3,3
5,0.0,2005-03-30,2004-12,0.0,10926051000,453779000,52460000,0.02,0.01,577722000,0,-106073000,-5954000.0,13328000,204100000,204100000,204100000,0,7374000,302799000,0,0,0,0,310173000,1031501000,87442000,187481000,10436727000,11426608000,0,274923000,FY2004.FQ4,4
6,0.0,2005-05-16,2005-03,0.0,11083230000,546781000,56193000,0.03,0.03,709735000,0,-87263000,-123000.0,13809000,369193000,369193000,369193000,0,13686000,442770000,0,0,0,0,456456000,1256516000,108711000,158254000,10633936000,11453382000,0,266965000,FY2005.FQ1,1
7,0.0,2005-08-15,2005-06,0.0,11158957000,598119000,66929000,0.03,0.03,786376000,0,-152606000,-26000.0,19748000,342814000,342814000,342814000,0,19722000,475698000,0,0,0,0,495420000,1384495000,123134000,187544000,10818677000,11478398000,0,310678000,FY2005.FQ2,2
8,0.0,2005-11-14,2005-09,0.0,11810482000,655154000,75965000,0.03,0.03,923302000,0,-168786000,-388000.0,25351000,381182000,381182000,381182000,0,24963000,529171000,0,-4166000,0,0,549968000,1578456000,177793000,216338000,10994547000,11575704000,0,394131000,FY2005.FQ3,3
9,0.0,2006-03-16,2005-12,0.0,11877980000,777035000,94725000,0.03,0.03,1142057000,0,-267625000,-239000.0,68303000,372208000,372208000,372208000,0,68064000,659639000,0,-87870000,0,0,639833000,1919092000,189871000,292547000,11645157000,12147150000,0,482418000,FY2005.FQ4,4
10,0.0,2006-05-10,2006-03,0.0,12111683000,904119000,111158000,0.05,0.04,1349681000,0,-218327000,-8000.0,78924000,592291000,592291000,592291000,0,78916000,742744000,0,-11042000,0,0,810618000,2253800000,246599000,360338000,11744460000,12153144000,0,606937000,FY2006.FQ1,1
11,0.0,2006-08-09,2006-06,0.0,12162640000,989032000,126221000,0.06,0.05,1466968000,0,-255100000,-176999.99999999,103187000,721077000,721077000,721077000,0,103010000,815381000,0,57786000,0,0,976177000,2456000000,282552000,369035000,12044729000,12389515000,0,651587000,FY2006.FQ2,2
12,0.0,2006-11-08,2006-09,0.0,12234429000,1048728000,145310000,0.06,0.05,1640972000,0,-306150000,-21000.0,108230000,733361000,733361000,733361000,0,108209000,931358000,0,-56000,0,0,1039511000,2689700000,312632000,396982000,12124252000,12410935000,0,709614000,FY2006.FQ3,3
13,0.0,2007-03-01,2006-12,0.0,12426248000,1283148000,189250000,0.08,0.08,1922369000,0,-154017000,206000.0,121722000,1030717000,1030717000,1030717000,0,121928000,1060613000,0,2193000,0,0,1184734000,3205517000,386806000,474950000,12264317000,12526143000,0,861756000,FY2006.FQ4,4
14,0.0,2007-05-09,2007-03,0.0,12449838000,1470426000,204992000,0.08,0.08,2193574000,0,-349775000,-341999.99999997,130475000,1002162000,1002162000,1002162000,0,130133000,1221238000,0,566000,0,0,1351937000,3664000000,408384000,563952000,12360623000,12582608000,0,972336000,FY2007.FQ1,1
15,0.0,2007-08-09,2007-06,0.0,12473321000,1560255000,223355000,0.07,0.07,2311745000,0,-316625000,0.0,137984000,925120000,925120000,925120000,0,137984000,1104630000,0,-869000,0,0,1241745000,3872000000,532106000,675009000,12405420000,12606545000,0,1207115000,FY2007.FQ2,2
16,0.0,2007-11-07,2007-09,0.0,12501506000,1662579000,249375000,0.08,0.08,2568821000,0,-402281000,0.0,146114000,1069989000,1069989000,1069989000,0,146114000,1317891000,0,8265000,0,0,1472270000,4231400000,548712000,702218000,12436790000,12650782000,0,1250930000,FY2007.FQ3,3
17,0.0,2008-02-15,2007-12,0.0,12523021000,1955824000,289936000,0.09,0.09,2870862000,0,-401578000,0.0,144631000,1206449000,1206449000,1206449000,0,144631000,1440741000,0,22655000,0,0,1608027000,4826686000,630783000,799338000,12477990000,12704730000,0,1430121000,FY2007.FQ4,4
18,0.0,2008-05-12,2008-03,0.0,12551552000,2110536000,336524000,0.1,0.1,3075464000,0,-406492000,0.0,122003000,1307086000,1307086000,1307086000,0,122003000,1546192000,0,45383000,0,0,1713578000,5186000000,673069000,856203000,12513036000,12683391000,0,1529272000,FY2008.FQ1,1
19,0.0,2008-08-07,2008-06,0.0,12565682000,2147575000,391607000,0.09,0.09,3219625000,0,-388497000,0.0,88086000,1247391000,1247391000,1247391000,0,88086000,1577953000,0,-30151000,0,0,1635888000,5367200000,682210000,959462000,12540529000,12708606000,0,1641672000,FY2008.FQ2,2
20,0.0,2008-11-07,2008-09,0.0,12577977000,2173390000,386246000,0.1,0.1,3368010000,0,-378844000,0.0,90996000,1289938000,1289938000,1289938000,0,90996000,1647574000,0,-69788000,0,0,1668782000,5541400000,704571000,1015865000,12557473000,12698736000,0,1720436000,FY2008.FQ3,3
21,0.0,2009-02-13,2008-12,0.0,12599540000,2190499000,385623000,0.03,0.03,3510901000,0,-452167000,0.0,88914000,382584000,382584000,382584000,0,88914000,1860282000,0,-1114445000,0,0,834751000,5701400000,733149000,917470000,12573777000,12662371000,0,1650619000,FY2008.FQ4,4
22,0.0,2009-05-06,2009-03,0.0,12625337000,2102000000,403000000,0.11,0.11,3407000000,0,-467000000,0.0,66000000,1423000000,1423000000,1423000000,0,66000000,1884000000,0,-60000000,0,0,1890000000,5509000000,642000000,881000000,12597873000,12676557000,0,1523000000,FY2009.FQ1,1
23,0.0,2009-08-04,2009-06,0.0,12644708000,2108000000,377000000,0.11,0.11,3415000000,0,-371000000,0.0,50000000,1485000000,1485000000,1485000000,0,50000000,1874000000,0,-68000000,0,0,1856000000,5523000000,708000000,833000000,12623808000,12729106000,0,1541000000,FY2009.FQ2,2
24,0.0,2009-11-04,2009-09,0.0,12665128000,2226000000,379000000,0.13,0.12,3719000000,0,-428000000,0.0,47000000,1639000000,1639000000,1639000000,0,47000000,2074000000,0,-54000000,0,0,2067000000,5945000000,758000000,887000000,12647625000,12777459000,0,1645000000,FY2009.FQ3,3
25,0.0,2010-02-12,2009-12,0.0,12698576000,2408000000,365000000,0.15,0.15,4266000000,0,-595000000,0.0,67000000,1974000000,1974000000,1974000000,0,67000000,2481000000,0,21000000,0,0,2569000000,6674000000,736000000,1049000000,12677117000,12873966000,0,1785000000,FY2009.FQ4,4
26,0.0,2010-05-05,2010-03,0.0,12718636000,2452000000,331000000,0.15,0.15,4323000000,0,-551000000,0.0,95000000,1955000000,1955000000,1955000000,0,95000000,2488000000,0,-77000000,0,0,2506000000,6775000000,818000000,1017000000,12703491000,12891829000,0,1835000000,FY2010.FQ1,1
27,0.0,2010-07-30,2010-06,0.0,12732183000,2467000000,342000000,0.14,0.14,4353000000,0,-594000000,0.0,136000000,1840000000,1840000000,1840000000,0,136000000,2365000000,0,-67000000,0,0,2434000000,6820000000,898000000,1090000000,12721673000,12886953000,0,1988000000,FY2010.FQ2,2
28,0.0,2010-10-29,2010-09,0.0,12756999000,2552000000,342000000,0.17,0.16,4734000000,0,-547000000,0.0,172000000,2167000000,2167000000,2167000000,0,172000000,2547000000,0,-5000000,0,0,2714000000,7286000000,994000000,1193000000,12732343000,12882598000,0,2187000000,FY2010.FQ3,3
29,0.0,2011-02-11,2010-12,0.0,12839599000,2946000000,381000000,0.19,0.19,5494000000,0,-599000000,-5000000.0,176000000,2543000000,2543000000,2543000000,0,171000000,2982000000,0,-11000000,0,0,3142000000,8440000000,1051000000,1461000000,12785492000,13008755000,0,2512000000,FY2010.FQ4,4
30,0.0,2011-05-10,2011-03,0.0,12872607000,2936000000,401000000,0.14,0.13,5639000000,0,-594000000,-4000000.0,190000000,1798000000,1798000000,1798000000,0,186000000,2796000000,0,-590000000,0,0,2392000000,8575000000,1226000000,1617000000,12848630000,13042682000,0,2843000000,FY2011.FQ1,1
31,0.0,2011-07-27,2011-06,0.0,12894226000,3172000000,455000000,0.19,0.19,5854000000,0,-580000000,-13000000.0,212000000,2505000000,2505000000,2505000000,0,199000000,2881000000,0,5000000,0,0,3085000000,9026000000,1234000000,1739000000,12876643000,13028816000,0,2973000000,FY2011.FQ2,2
