,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0.0,-,2003-06,0.0,10838284000,FY2003.FQ2,2
1,0.0,2006-03-16,2003-12,0.0,10838284000,FY2003.FQ4,4
2,0.0,2005-05-16,2004-03,0.0,10838284000,FY2004.FQ1,1
3,0.0,2004-08-16,2004-06,0.0,10838284000,FY2004.FQ2,2
4,0.0,2004-11-15,2004-09,0.0,10926051000,FY2004.FQ3,3
5,0.0,2005-03-30,2004-12,0.0,10926051000,FY2004.FQ4,4
6,0.0,2005-05-16,2005-03,0.0,11083230000,FY2005.FQ1,1
7,0.0,2005-08-15,2005-06,0.0,11158957000,FY2005.FQ2,2
8,0.0,2005-11-14,2005-09,0.0,11810482000,FY2005.FQ3,3
9,0.0,2006-03-16,2005-12,0.0,11877980000,FY2005.FQ4,4
10,0.0,2006-05-10,2006-03,0.0,12111683000,FY2006.FQ1,1
11,0.0,2006-08-09,2006-06,0.0,12162640000,FY2006.FQ2,2
12,0.0,2006-11-08,2006-09,0.0,12234429000,FY2006.FQ3,3
13,0.0,2007-03-01,2006-12,0.0,12426248000,FY2006.FQ4,4
14,0.0,2007-05-09,2007-03,0.0,12449838000,FY2007.FQ1,1
15,0.0,2007-08-09,2007-06,0.0,12473321000,FY2007.FQ2,2
16,0.0,2007-11-07,2007-09,0.0,12501506000,FY2007.FQ3,3
17,0.0,2008-02-15,2007-12,0.0,12523021000,FY2007.FQ4,4
18,0.0,2008-05-12,2008-03,0.0,12551552000,FY2008.FQ1,1
19,0.0,2008-08-07,2008-06,0.0,12565682000,FY2008.FQ2,2
20,0.0,2008-11-07,2008-09,0.0,12577977000,FY2008.FQ3,3
21,0.0,2009-02-13,2008-12,0.0,12599540000,FY2008.FQ4,4
22,0.0,2009-05-06,2009-03,0.0,12625337000,FY2009.FQ1,1
23,0.0,2009-08-04,2009-06,0.0,12644708000,FY2009.FQ2,2
24,0.0,2009-11-04,2009-09,0.0,12665128000,FY2009.FQ3,3
25,0.0,2010-02-12,2009-12,0.0,12698576000,FY2009.FQ4,4
26,0.0,2010-05-05,2010-03,0.0,12718636000,FY2010.FQ1,1
27,0.0,2010-07-30,2010-06,0.0,12732183000,FY2010.FQ2,2
28,0.0,2010-10-29,2010-09,0.0,12756999000,FY2010.FQ3,3
29,0.0,2011-02-11,2010-12,0.0,12839599000,FY2010.FQ4,4
30,0.0,2011-05-10,2011-03,0.0,12872607000,FY2011.FQ1,1
31,0.0,2011-07-27,2011-06,0.0,12894226000,FY2011.FQ2,2
32,0.0,2011-10-26,2011-09,0.0,12937744000,FY2011.FQ3,3
33,0.0,2012-01-26,2011-12,0.0,12983220000,FY2011.FQ4,4
34,0.0,2012-04-25,2012-03,0.0,13023621000,FY2012.FQ1,1
35,0.0,2012-07-24,2012-06,0.0,13065101000,FY2012.FQ2,2
36,0.0,2012-10-30,2012-09,0.0,13129358000,FY2012.FQ3,3
37,0.0,2013-01-29,2012-12,0.0,13186383000,FY2012.FQ4,4
38,0.0,2013-04-25,2013-03,0.0,13227503000,FY2013.FQ1,1
39,0.0,2013-07-25,2013-06,0.0,13312461000,FY2013.FQ2,2
40,0.0,2013-10-24,2013-09,0.0,13353341000,FY2013.FQ3,3
41,0.0,2014-02-12,2013-12,0.0,13420277000,FY2013.FQ4,4
42,0.0,2014-04-24,2014-03,27.772,19127992000,FY2014.FQ1,1
43,0.0,2014-07-25,2014-06,28.685,13536654000,FY2014.FQ2,2
44,0.0,2014-10-23,2014-09,28.789,13584167000,FY2014.FQ3,3
45,0.0,2015-02-09,2014-12,26.248,13622128000,FY2014.FQ4,4
46,0.0,2015-04-29,2015-03,27.325,13665357000,FY2015.FQ1,1
47,0.0,2015-07-23,2015-06,26.026,13709800000,FY2015.FQ2,2
48,0.0,2015-10-29,2015-09,30.421,13753860000,FY2015.FQ3,3
49,0.0,2016-02-11,2015-12,37.944,13746960000,FY2015.FQ4,4
50,0.0,2016-05-03,2016-03,37.248,13735840000,FY2016.FQ1,1
51,0.0,2016-08-04,2016-06,34.605,13735560000,FY2016.FQ2,2
52,0.0,2016-11-03,2016-09,38.865,13782720000,FY2016.FQ3,3
53,0.0,2017-02-03,2016-12,38.591,13825860000,FY2016.FQ4,4
54,0.0,2017-05-02,2017-03,41.478,13842160000,FY2017.FQ1,1
55,0.0,2017-07-25,2017-06,45.437,13857520000,FY2017.FQ2,2
56,0.0,2017-10-27,2017-09,47.956,13895800000,FY2017.FQ3,3
57,0.0,2018-02-06,2017-12,52.32,13895660000,FY2017.FQ4,4
58,0.0,2018-04-24,2018-03,51.59,13898900000,FY2018.FQ1,1
59,0.0,2018-07-24,2018-06,55.783,13918920000,FY2018.FQ2,2
60,0.0,2018-10-26,2018-09,59.674,13919140000,FY2018.FQ3,3
61,0.0,2019-02-05,2018-12,51.781,13911120000,FY2018.FQ4,4
62,0.0,2019-04-30,2019-03,58.666,13895640000,FY2019.FQ1,1
63,0.0,2019-07-26,2019-06,54.046,13881000000,FY2019.FQ2,2
64,0.0,2019-10-29,2019-09,60.95,13818120000,FY2019.FQ3,3
65,0.0,2020-02-04,2019-12,66.851,13766700000,FY2019.FQ4,4
66,0.0,2020-04-29,2020-03,58.141,13679440000,FY2020.FQ1,1
67,0.0,2020-07-31,2020-06,70.681,13624300000,FY2020.FQ2,2
68,0.0,2020-10-30,2020-09,73.48,13554480000,FY2020.FQ3,3
69,0.0,2021-02-03,2020-12,87.594,13504440000,FY2020.FQ4,4
70,0.0,2021-04-28,2021-03,103.432,13421880000,FY2021.FQ1,1
71,0.0,2021-07-28,2021-06,125.316,13352740000,FY2021.FQ2,2
72,0.0,2021-10-27,2021-09,133.266,13293640000,FY2021.FQ3,3
73,0.0,2022-02-02,2021-12,144.68,13242420000,FY2021.FQ4,4
74,0.0,2022-04-27,2022-03,139.65,13175260000,FY2022.FQ1,1
75,0.0,2022-07-27,2022-06,109.373,13078000000,FY2022.FQ2,2
76,0.0,2022-10-26,2022-09,96.15,12971000000,FY2022.FQ3,3
77,0.0,2023-02-03,2022-12,88.73,12849000000,FY2022.FQ4,4
78,0.0,2023-04-26,2023-03,104.0,12722000000,FY2023.FQ1,1
79,0.0,2023-07-26,2023-06,120.97,12629000000,FY2023.FQ2,2
80,0.0,2023-10-25,2023-09,131.85,12541000000,FY2023.FQ3,3
81,0.0,2024-01-31,2023-12,140.93,12460000000,FY2023.FQ4,4
82,0.0,2024-04-26,2024-03,152.26,12381000000,FY2024.FQ1,1
83,0.2,2024-07-24,2024-06,183.42,12322000000,FY2024.FQ2,2
84,0.2,2024-10-30,2024-09,167.19,12264000000,FY2024.FQ3,3
85,0.2,2025-02-05,2024-12,190.44,12211000000,FY2024.FQ4,4
86,0.2,2025-04-25,2025-03,156.23,12155000000,FY2025.FQ1,1
