,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0.48,2002-02-22,2001-11,89.35,476229000,-1370000000,2083000000,-1909000000,2865000000,0,3039000000,0,-1433000000,-1433000000,7955000000,3747000000,-4208000000,-231000000,0,0,0,0,0,0,0,0,0,0,0,-539000000,-1370000000,-1370000000,0,352000000,873000000,52000000,0,2310000000,-722000000,352000000,0,0,0,FY2001,2001
1,0.48,2003-02-27,2002-11,78.87,472941000,-1008000000,9093000000,-1103000000,-10077000000,0,-2087000000,0,-1415000000,-1415000000,19094000000,10736000000,-8358000000,-228000000,0,0,0,0,0,0,0,0,0,0,0,-95000000,-1008000000,-1008000000,0,-12244000000,744000000,230000000,0,2114000000,-921000000,-12244000000,0,0,0,FY2002,2002
2,0.74,2004-02-24,2003-11,96.08,473015000,-856000000,20581000000,-1577000000,-16739000000,0,2265000000,0,-796000000,-796000000,28967000000,21496000000,-7471000000,-350000000,231000000,0,0,0,0,0,0,0,0,0,0,-721000000,-856000000,-856000000,0,-14319000000,1145000000,93000000,0,3005000000,-6663000000,-14319000000,0,0,0,FY2003,2003
3,1.0,2005-02-08,2004-11,104.76,480960000,-829000000,31753000000,-1084000000,-33391000000,0,-2722000000,521000000,-1284000000,-1805000000,43184000000,32986000000,-10198000000,-497000000,548000000,0,0,0,-255000000,-255000000,0,0,0,0,0,0,-829000000,-829000000,0,-41053000000,845000000,1040000000,0,4553000000,0,-40277000000,0,-776000000,1224000000,FY2004,2004
4,1.0,2006-02-07,2005-11,128.96,437171000,-782000000,19373000000,-1064000000,-12413000000,0,5896000000,1143000000,-5965000000,-7108000000,45410000000,23070000000,-22340000000,-511000000,1060000000,1719000000,1719000000,0,-556000000,-556000000,0,0,274000000,0,274000000,0,-782000000,-1421000000,639000000,-20199000000,854000000,-450000000,0,5626000000,0,-21521000000,0,1322000000,1756000000,FY2005,2005
5,1.3,2007-02-06,2006-11,194.8,412666000,-1675000000,64094000000,-9748000000,-52447000000,0,1899000000,1613000000,-6204000000,-7817000000,76115000000,55185000000,-20930000000,-754000000,14518000000,1349000000,1349000000,0,-1661000000,-1661000000,0,0,-6412000000,-12922000000,6510000000,0,-1675000000,-1744000000,69000000,-65128000000,995000000,-1505000000,0,9537000000,0,-63334000000,0,-1794000000,3654000000,FY2006,2006
6,1.4,2008-01-29,2007-11,226.64,390682000,-2037000000,73390000000,396000000,-69447000000,0,4339000000,791000000,-8165000000,-8956000000,94261000000,72083000000,-22178000000,-831000000,10303000000,0,0,0,-1900000000,-1900000000,0,0,4333000000,-872000000,5205000000,0,-2037000000,-2130000000,93000000,-86807000000,1167000000,129000000,0,11599000000,0,-82996000000,0,-3811000000,4465000000,FY2007,2007
7,1.4,2009-01-27,2008-11,78.99,461784000,-1906000000,7901000000,-4337000000,1894000000,0,5458000000,6105000000,4071000000,-2034000000,50267000000,-23987000000,-74254000000,-850000000,15301000000,13366000000,13366000000,0,-2613000000,-2613000000,0,0,182000000,-3851000000,4033000000,0,-1906000000,-2027000000,121000000,-1901000000,1625000000,-1763000000,0,2322000000,0,4686000000,0,-6587000000,1611000000,FY2008,2008
8,1.517,2010-03-01,2009-12,168.84,515114000,-1474000000,-22828000000,-1561000000,48875000000,0,24486000000,6260000000,6258000000,-2000000,30130000000,-25796000000,-55926000000,-2205000000,8489000000,-9574000000,-9574000000,0,-221000000,-221000000,0,0,134000000,-2722000000,2856000000,0,-1474000000,-1556000000,82000000,31969000000,1943000000,-431000000,0,13385000000,0,25704000000,0,6265000000,2009000000,FY2009,2009
9,1.4,2011-03-01,2010-12,168.16,507531000,-1155000000,7839000000,-985000000,-5357000000,0,1497000000,581000000,-3602000000,-4183000000,39616000000,12160000000,-27456000000,-1443000000,724000000,0,0,0,-804000000,-804000000,0,0,1774000000,-1885000000,3659000000,-800000000,-1155000000,-1227000000,72000000,-20989000000,1904000000,1339000000,0,8354000000,0,-21190000000,0,201000000,4035000000,FY2010,2010
