,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,cash_and_equiv_growth,cf_cfo_cagr_10,debt_to_equity,debt_to_equity_median,deposits_cagr_10,deposits_growth,dividends_per_share_cagr_10,dividends_per_share_growth,earning_assets,earning_assets_cagr_10,earning_assets_growth,earning_assets_to_equity,earning_assets_to_equity_median,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,equity_to_assets_median,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_per_share,income_tax_rate,loan_loss_reserve_to_loans,loan_loss_reserve_to_loans_median,loans_gross_cagr_10,loans_gross_growth,loans_net_growth,loans_to_deposits,loans_to_deposits_median,market_cap,net_debt,net_income_growth,net_income_margin,net_interest_income_cagr_10,net_interest_income_growth,net_interest_margin,nim_median,payout_ratio,peg_ratio,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0.48,2002-02-22,2001-11,89.35,476229000,17.1256,NA,18231000000,33.6489,0.7852,0.0,3.7635,NA,0.0,0.0,0.0,0.0,130207000000,0.0,0.2591,7.142,NA,4569000000,-0.1701,0.2889,8.433,66658061150,3.6563,28.8563,44.5873,4.2159,3.6563,0.0,-0.29,0.0583,NA,1495000000,0.0,1.7734,0.0945,2.7593,0.375,0.0,NA,0.0,0.0,0.0,0.0,NA,42551061150,61704000000,-0.2468,0.1461,0.0,0.3113,0.011,NA,0.1126,0.0,-0.2637,6.8217,0.2337,NA,2.3339,18.4203,28.4622,2.6912,2.3339,0.0,-0.0469,29.1823,0.0077,NA,0.0439,0.1329,NA,0.0274,0.030742719553195,0.0293,NA,0.0592,27367000.0,0.0609,33.6489,18231000000,0.0,0.0977,0.0,0.1029,FY2001,2001
1,0.48,2003-02-27,2002-11,78.87,472941000,18.7114,NA,19003000000,36.1892,-0.302,0.0,4.1756,NA,0.0,0.0,0.0,0.0,138790000000,0.0,0.0659,7.3035,NA,3997000000,-0.1251,0.2857,7.6118,71189856670,3.7462,33.6754,-6.4221,5.09,3.7462,0.0,-0.0539,0.0534,NA,-11085000000,0.0,-8.4147,-0.7925,-21.1102,0.3501,0.0,NA,0.0,0.0,0.0,0.0,NA,37300856670,74527000000,-0.0848,0.1511,0.0,0.8569,0.0178,NA,0.1191,0.0,-0.1198,6.195,0.2325,NA,1.9628,17.6446,-3.3649,2.667,1.9628,0.0,-0.1154,26.6349,0.0063,NA,0.0351,0.1135,NA,0.0228,0.030742719553195,0.0243,NA,-0.0308,-3288000.0,-0.0069,36.1892,19003000000,0.0,0.1388,0.0,0.0423,FY2002,2002
2,0.74,2004-02-24,2003-11,96.08,473015000,18.6667,NA,21632000000,42.2582,0.4697,0.0,4.7006,NA,0.0,0.0,0.0,0.5416,165920000000,0.0,0.1954,7.6701,NA,5590000000,0.3985,0.3488,10.9201,95842281200,4.4305,31.8942,-5.4471,5.9815,4.4305,0.0,0.4565,0.0535,NA,-17595000000,0.0,-0.5872,-1.0981,-34.3719,0.3239,0.0,NA,0.0,0.0,0.0,0.0,NA,45447281200,94597000000,0.4214,0.1875,0.0,0.3123,0.0206,NA,0.126,0.0,0.3664,8.6833,0.2774,NA,2.1009,15.1238,-2.5829,2.8363,2.1009,0.0,0.1456,31.301,0.0079,NA,0.0401,0.1479,NA,0.0271,0.030742719553195,0.0286,NA,-0.0251,74000.0,0.0001,42.2582,21632000000,0.0,0.1356,0.0,0.1383,FY2003,2003
3,1.0,2005-02-08,2004-11,104.76,480960000,21.1882,NA,25079000000,49.1263,-0.384,0.0,5.4091,NA,0.0,0.0,0.0,0.3513,207630000000,0.0,0.2513,8.279,NA,7521000000,0.3454,0.3589,14.7326,126716369600,5.0526,27.8314,-3.7029,6.0482,5.0526,0.0,0.5195,0.0471,NA,-34220000000,0.0,-0.9448,-1.6333,-67.0323,0.318,0.0,NA,0.0,0.0,0.0,0.0,NA,50385369600,131290000000,0.5151,0.2173,0.0,-0.0396,0.0162,NA,0.1121,0.0,0.5019,13.0773,0.3186,NA,2.009,11.0664,-1.4723,2.4049,2.009,0.0,0.3075,41.0401,0.0097,NA,0.047,0.1949,NA,0.032,0.030742719553195,0.0334,NA,-0.0027,7945000.0,0.0167,49.1263,25079000000,0.0,0.3159,0.0,0.1593,FY2004,2004
4,1.0,2006-02-07,2005-11,128.96,437171000,25.2411,NA,26252000000,52.483,1.3507,0.0,5.5433,NA,0.0,0.0,0.0,0.0,287287000000,0.0,0.3836,10.2595,NA,9127000000,0.2135,0.3616,18.2467,146123572160,5.5661,25.9729,-11.0741,5.7898,6.942,0.0,0.2567,0.0396,NA,-13195000000,0.0,0.6144,-0.5228,-26.3794,0.3199,0.0,NA,0.0,0.0,0.0,0.0,NA,56377572160,144965000000,0.2356,0.2229,0.0,0.0234,0.0125,NA,0.0892,0.0,0.2392,16.5393,0.3277,NA,2.1475,10.0208,-4.2726,2.2338,2.6783,0.0,0.2046,50.4558,0.009,NA,0.0481,0.2119,NA,0.0327,0.030742719553195,0.0341,NA,-0.0201,-43789000.0,-0.091,42.0811,21049000000,0.0,0.3301,0.0,0.1165,FY2005,2005
5,1.3,2007-02-06,2006-11,194.8,412666000,23.4225,NA,32686000000,68.4666,-0.3867,0.0,6.1803,NA,0.0,0.0,0.0,0.3,340854000000,0.0,0.1864,9.5247,NA,15555000000,0.7042,0.4129,32.5827,223070336800,6.8246,23.3899,-4.1216,5.9224,8.2618,0.0,0.7564,0.0426,NA,-54122000000,0.0,-3.1017,-1.4369,-113.3682,0.3449,0.0,NA,0.0,0.0,0.0,0.0,NA,80387336800,214877000000,0.6951,0.2532,0.0,0.1294,0.0111,NA,0.066,0.0,0.7599,30.4985,0.3865,NA,2.4593,8.4289,-1.4852,2.1342,2.9773,0.0,0.4923,78.8961,0.0123,NA,0.0645,0.299,NA,0.0433,0.030742719553195,0.045,NA,-0.0455,-24505000.0,-0.056,56.5563,27000000000,0.0,0.1859,0.0,0.2779,FY2006,2006
6,1.4,2008-01-29,2007-11,226.64,390682000,26.1634,NA,39700000000,86.0797,0.6338,0.0,7.043,NA,0.0,0.4368,0.0,0.0769,462877000000,0.0,0.3579,10.8148,NA,18771000000,0.2067,0.4081,40.7003,275736168480,6.9454,23.7724,-3.8573,5.9959,7.9674,0.0,0.2559,0.0382,NA,-71484000000,0.0,-0.3207,-1.5544,-154.9956,0.3411,0.0,NA,0.0,0.0,0.0,0.0,NA,88544168480,291159000000,0.2162,0.2522,0.0,0.1397,0.0099,NA,0.0566,0.0,0.209,38.1699,0.3828,NA,2.2303,7.6337,-1.2386,1.9254,2.5584,0.0,0.2209,99.7116,0.0118,NA,0.0561,0.2951,NA,0.0385,0.030742719553195,0.0396,NA,-0.0339,-21984000.0,-0.0532,75.039,34608000000,0.0,0.3359,0.0,0.1959,FY2007,2007
7,1.4,2009-01-27,2008-11,78.99,461784000,13.7418,19.9498,47898000000,104.9934,0.5308,0.0,4.0323,5.0548,0.0,0.7985,0.0,0.0,354065000000,0.0,-0.235,5.5005,7.4868,3961000000,-0.7889,0.1782,8.6825,206414318160,4.3094,88.895,-17201.1931,9.2887,4.8175,0.0,-0.8192,0.0727,0.0503,-12000000,0.0,0.9998,-0.0005,-0.0263,0.0059,0.0,0,0.0,0.0,0.0,0.0,0,36476318160,243821000000,-0.7998,0.1044,0.0,0.0724,0.0104,0.0114,0.3131,0.0,-0.8673,5.1205,0.1051,0.29,0.7615,15.709,-3039.6931,1.6414,0.8513,0.0,-0.5167,48.711,0.0023,0.0085,0.0065,0.0433,0.1714,0.0069,0.030742719553195,0.0072,0.0297,-0.0108,71102000.0,0.1819,93.9193,42846000000,0.0,-0.21,0.0,0.5039,FY2008,2008
8,1.517,2010-03-01,2009-12,168.84,515114000,12.0052,18.6891,63757000000,115.7324,1.4327,0.0,3.4891,4.4381,0.0,0.4259,0.2024,0.0835,380693000000,0.1941,0.0752,5.3835,7.4868,21772000000,4.4965,0.4819,39.5207,244968847760,3.8422,18.3017,5.168,5.4229,4.1635,0.1479,3.9507,0.0832,0.0535,47401000000,0.0,3951.0833,1.0493,86.0428,0.3249,0.0,0,0.0,0.0,0.0,0.0,0,86971847760,208444000000,4.7644,0.2963,0.2653,0.7322,0.0201,0.0121,0.0685,0.4392,7.4884,35.9938,0.4389,0.3106,1.3641,6.4977,1.8348,1.9253,1.4781,0.1296,1.0328,81.9985,0.0154,0.0094,0.0559,0.1981,0.1965,0.0417,0.030742719553195,0.0455,0.0323,0.2075,53330000.0,0.1154,106.8015,58837000000,0.1298,-0.0402,0.2142,0.0985,FY2009,2009
9,1.4,2011-03-01,2010-12,168.16,507531000,11.781,18.6891,70399000000,120.2784,0.039,0.0,3.3887,4.4381,0.0,-0.0215,0.1129,-0.0771,396741000000,0.1439,0.0421,5.1287,7.4868,14796000000,-0.3204,0.3778,25.2793,235331412960,3.3428,28.1699,-36.1381,6.0093,3.6273,0.0818,-0.4044,0.0848,0.0535,-6512000000,0.0,-1.1373,-0.1662,-11.1259,0.352,0.0,0,0.0,0.0,0.0,0.0,0,85346412960,222356000000,-0.3758,0.2133,0.1876,-0.257,0.0141,0.0133,0.1062,1.2478,-0.3498,22.0263,0.3292,0.3232,1.2123,10.2162,-13.106,2.1793,1.3155,0.0896,-0.133,66.9075,0.0094,0.0092,0.035,0.1128,0.1714,0.0254,0.030742719553195,0.0288,0.0297,0.0624,-7583000.0000001,-0.0147,110.844,64877000000,0.1235,0.0734,0.1668,0.0939,FY2010,2010
