,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,credit_losses_provision,da_income_statement_supplemental,eps_basic,eps_diluted,income_allocated_to_minority_interest,income_tax,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income,net_interest_income_after_credit_losses_provision,preferred_dividends,pretax_income,revenue,shares_basic,shares_diluted,special_charges,total_interest_expense,total_interest_income,total_noninterest_expense,total_noninterest_revenue,total_opex,fiscal_year_key,fiscal_year_number
0,0.48,2002-02-22,2001-11,89.35,476229000,15327000000,0,873000000,4.53,4.26,0,-1386000000,2310000000,2310000000,2310000000,0,1293000000,1293000000,0,3696000000,15811000000,509700000,541800000,0,15327000000,16620000000,12115000000,14518000000,27442000000,FY2001,2001
1,0.48,2003-02-27,2002-11,78.87,472941000,8868000000,0,744000000,4.27,4.03,0,-1139000000,2114000000,2114000000,2114000000,0,2401000000,2401000000,0,3253000000,13986000000,495600000,525100000,0,8868000000,11269000000,10733000000,11585000000,19601000000,FY2002,2002
2,0.74,2004-02-24,2003-11,96.08,473015000,7600000000,0,1145000000,6.15,5.87,0,-1440000000,3005000000,3005000000,3005000000,0,3151000000,3151000000,0,4445000000,16023000000,488400000,511900000,11000000,7600000000,10751000000,11567000000,12872000000,19167000000,FY2003,2003
3,1.0,2005-02-08,2004-11,104.76,480960000,8888000000,0,845000000,9.3,8.92,0,-2123000000,4553000000,4553000000,4553000000,0,3026000000,3026000000,0,6676000000,20951000000,489500000,510500000,103000000,8888000000,11914000000,14172000000,17925000000,23060000000,FY2004,2004
4,1.0,2006-02-07,2005-11,128.96,437171000,18153000000,0,854000000,11.73,11.21,0,-2647000000,5626000000,5609000000,5626000000,0,3097000000,3097000000,17000000,8273000000,25238000000,478100000,500200000,37000000,18153000000,21250000000,16928000000,22141000000,35081000000,FY2005,2005
5,1.3,2007-02-06,2006-11,194.8,412666000,31688000000,0,995000000,20.93,19.69,0,-5023000000,9537000000,9398000000,9537000000,0,3498000000,3498000000,139000000,14560000000,37665000000,449000000,477400000,45000000,31688000000,35186000000,23060000000,34167000000,54748000000,FY2006,2006
6,1.4,2008-01-29,2007-11,226.64,390682000,41981000000,0,1167000000,26.34,24.73,0,-6005000000,11599000000,11407000000,11599000000,0,3987000000,3987000000,192000000,17604000000,45987000000,433000000,461200000,37000000,41981000000,45968000000,28346000000,42000000000,70327000000,FY2007,2007
7,1.4,2009-01-27,2008-11,78.99,461784000,31357000000,0,1625000000,4.67,4.47,0,-14000000,2322000000,2041000000,2322000000,0,4276000000,4276000000,281000000,2336000000,22222000000,437000000,456200000,271000000,31357000000,35633000000,19615000000,17946000000,50972000000,FY2008,2008
8,1.517,2010-03-01,2009-12,168.84,515114000,6500000000,0,1943000000,23.74,22.13,0,-6444000000,13385000000,12192000000,13385000000,0,7407000000,7407000000,1193000000,19829000000,45173000000,512300000,550900000,704000000,6500000000,13907000000,24640000000,37766000000,31140000000,FY2009,2009
9,1.4,2011-03-01,2010-12,168.16,507531000,6806000000,0,1904000000,14.15,13.18,0,-4538000000,8354000000,7713000000,8354000000,0,5503000000,5503000000,641000000,12892000000,39161000000,542000000,585300000,855000000,6806000000,12309000000,25414000000,33658000000,32220000000,FY2010,2010
