,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0.48,2002-02-22,2001-11,89.35,476229000,FY2001,2001
1,0.48,2003-02-27,2002-11,78.87,472941000,FY2002,2002
2,0.74,2004-02-24,2003-11,96.08,473015000,FY2003,2003
3,1.0,2005-02-08,2004-11,104.76,480960000,FY2004,2004
4,1.0,2006-02-07,2005-11,128.96,437171000,FY2005,2005
5,1.3,2007-02-06,2006-11,194.8,412666000,FY2006,2006
6,1.4,2008-01-29,2007-11,226.64,390682000,FY2007,2007
7,1.4,2009-01-27,2008-11,78.99,461784000,FY2008,2008
8,1.517,2010-03-01,2009-12,168.84,515114000,FY2009,2009
9,1.4,2011-03-01,2010-12,168.16,507531000,FY2010,2010
10,1.4,2012-02-28,2011-12,90.43,485468000,FY2011,2011
11,1.77,2013-03-01,2012-12,127.56,465148000,FY2012,2012
12,2.05,2014-02-28,2013-12,177.26,446359000,FY2013,2013
13,2.25,2015-02-23,2014-12,193.83,430259000,FY2014,2014
14,2.55,2016-02-22,2015-12,180.23,419481000,FY2015,2015
15,2.6,2017-02-27,2016-12,239.45,392632000,FY2016,2016
16,2.9,2018-02-26,2017-12,254.76,374809000,FY2017,2017
17,3.15,2019-02-26,2018-12,167.05,367742000,FY2018,2018
18,4.15,2020-02-21,2019-12,229.93,347343000,FY2019,2019
19,5.0,2021-02-22,2020-12,263.71,344089000,FY2020,2020
20,6.5,2022-02-25,2021-12,382.55,333573000,FY2021,2021
21,9.0,2023-02-24,2022-12,343.38,334919000,FY2022,2022
22,10.5,2024-02-23,2023-12,385.77,323376000,FY2023,2023
23,11.5,2025-02-27,2024-12,572.62,310654000,FY2024,2024
