,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0.12,2002-04-04,2002-02,82.5,474612000,-206000000,3992000000,-183000000,-3741000000,0,68000000,0,-283000000,-283000000,856000000,5995000000,5139000000,-57000000,-1663000000,0,0,0,0,0,0,0,0,0,0,23000000,-206000000,-206000000,0,-2396000000,168000000,0,0,524000000,-2037000000,-2396000000,0,0,0,FY2002.FQ1,1
1,0.12,2002-07-10,2002-05,75.45,470813000,-101000000,-1352000000,-177000000,854000000,0,-675000000,0,-349000000,-349000000,3577000000,-2610000000,-6187000000,-56000000,1663000000,0,0,0,0,0,0,0,0,0,0,-76000000,-101000000,-101000000,0,-525000000,185000000,0,0,563000000,631000000,-525000000,0,0,0,FY2002.FQ2,2
2,0.12,2002-10-11,2002-08,77.3,478821000,-523000000,14208000000,-584000000,-16237000000,0,-2613000000,0,-400000000,-400000000,14757000000,14666000000,-91000000,-58000000,0,0,0,0,0,0,0,0,0,0,0,-61000000,-523000000,-523000000,0,-17454000000,192000000,0,0,522000000,503000000,-17454000000,0,0,0,FY2002.FQ3,3
3,0.12,2003-02-27,2002-11,78.87,472941000,-178000000,-7755000000,-159000000,9047000000,0,1133000000,0,-383000000,-383000000,2759000000,-7315000000,-10074000000,-57000000,0,0,0,0,0,0,0,0,0,0,0,19000000,-178000000,-178000000,0,8131000000,199000000,0,0,505000000,212000000,8131000000,0,0,0,FY2002.FQ4,4
4,0.12,2003-04-10,2003-02,69.45,470555000,-113000000,9411000000,-1515000000,-8130000000,0,-234000000,0,-255000000,-255000000,12073000000,9723000000,-2350000000,-57000000,0,0,0,0,0,0,0,0,0,0,0,-1402000000,-113000000,-113000000,0,3672000000,189000000,0,0,662000000,-12653000000,3672000000,0,0,0,FY2003.FQ1,1
5,0.12,2003-07-11,2003-05,81.5,467261000,-143000000,7704000000,-52000000,-5032000000,0,2620000000,0,-257000000,-257000000,9653000000,8017000000,-1636000000,-56000000,0,0,0,0,0,0,0,0,0,0,0,91000000,-143000000,-143000000,0,-32610000000,185000000,0,0,695000000,26698000000,-32610000000,0,0,0,FY2003.FQ2,2
6,0.25,2003-10-10,2003-08,88.49,473286000,-116000000,3922000000,-786000000,-3703000000,0,-567000000,0,-204000000,-204000000,7610000000,4099000000,-3511000000,-118000000,145000000,0,0,0,0,0,0,0,0,0,0,-670000000,-116000000,-116000000,0,31862000000,170000000,0,0,677000000,-36412000000,31862000000,0,0,0,FY2003.FQ3,3
7,0.25,2004-02-24,2003-11,96.08,473015000,-484000000,-456000000,776000000,126000000,0,446000000,0,-80000000,-80000000,5605000000,-343000000,-5948000000,-119000000,86000000,0,0,0,0,0,0,0,0,0,0,1260000000,-484000000,-484000000,0,-17243000000,601000000,0,0,971000000,15797000000,-17243000000,0,0,0,FY2003.FQ4,4
8,0.25,2004-04-06,2004-02,105.87,482724000,-213000000,15150000000,-307000000,-14980000000,0,-137000000,0,-306000000,-306000000,18253000000,15524000000,-2729000000,-125000000,57000000,0,0,0,0,0,0,0,0,0,0,-94000000,-213000000,-213000000,0,-15335000000,222000000,0,0,1293000000,-1160000000,-15335000000,0,0,0,FY2004.FQ1,1
9,0.25,2004-07-09,2004-05,93.91,480651000,-15000000,-1502000000,-15000000,2608000000,0,1091000000,0,-279000000,-279000000,6724000000,-1281000000,-8005000000,-123000000,181000000,0,0,0,0,0,0,0,0,0,0,0,-15000000,-15000000,0,-1275000000,97000000,0,0,1187000000,2599000000,-1275000000,0,0,0,FY2004.FQ2,2
