,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,cash_and_equiv_growth,cf_cfo_cagr_10,debt_to_equity,debt_to_equity_median,deposits_cagr_10,deposits_growth,dividends_per_share_cagr_10,dividends_per_share_growth,earning_assets,earning_assets_cagr_10,earning_assets_growth,earning_assets_to_equity,earning_assets_to_equity_median,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,equity_to_assets_median,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_per_share,income_tax_rate,loan_loss_reserve_to_loans,loan_loss_reserve_to_loans_median,loans_gross_cagr_10,loans_gross_growth,loans_net_growth,loans_to_deposits,loans_to_deposits_median,market_cap,net_debt,net_income_growth,net_income_margin,net_interest_income_cagr_10,net_interest_income_growth,net_interest_margin,nim_median,payout_ratio,peg_ratio,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0.12,2002-04-04,2002-02,82.5,474612000,16.7874,17.3427,18495000000,34.6089,0.4584,0.0,4.0339,4.0235,0.0,0.0,0.0,0.0,131065000000,0.2399,0.2698,7.0865,6.3091,1007000000,-0.3079,0.2798,1.8843,66752490000,3.6092,32.31,44.6803,4.5484,3.6092,-0.0293,-0.3,0.0595,0.0576,-3947000000,0.0,-0.0002,-1.0969,-7.3858,0.3754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39155490000,67631000000,-0.3177,0.1456,0.0717,0.1195,0.0102,0.0112,0.1224,-6.4586,-0.3335,1.5699,0.2331,0.2662,2.117,18.9523,26.2084,2.6679,2.117,0.0054,-0.2398,6.7327,0.0066,0.0099,0.0364,0.1125,0.1917,0.0229,0.02676936111714,0.0248,0.036,-0.0258,-1617000.0,-0.0033,34.6089,18495000000,0.0276,0.0186,0.0796,0.0606,FY2002.FQ1,1
1,0.12,2002-07-10,2002-05,75.45,470813000,17.3527,17.2792,18858000000,35.5141,0.7476,0.0,3.8874,3.9686,0.0,0.0,0.0,0.0,138985000000,0.0797,0.2372,7.37,6.3135,1086000000,-0.0597,0.282,2.0451,63717840850,3.3788,31.0515,4.472,4.3831,3.3788,-0.0315,0.0,0.0576,0.0578,753000000,0.0,1.0627,0.1955,1.418,0.3751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35522840850,67007000000,-0.0242,0.1461,0.1213,3.0542,0.0136,0.0112,0.1132,-5.4939,-0.0475,1.6967,0.2339,0.2515,1.8837,17.3113,2.4931,2.4436,1.8837,0.0103,-0.0348,7.2523,0.0064,0.0095,0.0348,0.1098,0.1649,0.0221,0.02676936111714,0.0238,0.0341,-0.0271,-3799000.0,-0.008,35.5141,18858000000,0.027,0.1016,0.0639,0.0467,FY2002.FQ2,2
2,0.12,2002-10-11,2002-08,77.3,478821000,18.5483,17.2792,18844000000,36.2106,-0.2034,0.0,4.1284,3.9686,0.0,0.0,0.0,0.0,137349000000,0.0686,0.1429,7.2887,6.4738,986000000,-0.007,0.2702,1.8946,71085863300,3.7723,33.7539,-5.7981,4.894,3.7723,-0.0549,0.1494,0.0539,0.0578,-16760000000,0.0,-2.7193,-4.593,-32.2059,0.3425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37012863300,74107000000,0.1153,0.143,0.1205,1.6264,0.0164,0.0115,0.12,-3.1975,0.0352,1.5257,0.2175,0.2355,1.9641,17.5749,-3.0189,2.5482,1.9641,-0.0205,-0.0032,7.0119,0.0062,0.0086,0.0345,0.1117,0.1452,0.0223,0.02676936111714,0.0235,0.0298,-0.0357,8008000.0,0.017,36.2106,18844000000,0.0235,0.1572,0.0543,0.0493,FY2002.FQ3,3
3,0.12,2003-02-27,2002-11,78.87,472941000,18.7114,17.2792,19003000000,36.9061,-0.302,0.0,4.1756,3.9686,0.0,0.0,0.0,0.0,138790000000,0.0829,0.0659,7.3035,6.889,918000000,-0.0496,0.3178,1.7828,71189856670,3.7462,33.6754,-6.4221,5.09,3.7462,-0.0394,0.0645,0.0534,0.0578,8869000000,0.0,0.1527,3.0709,17.2247,0.2976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37300856670,74527000000,0.016,0.1748,0.0778,0.255,0.0173,0.0115,0.1212,-4.477,-0.0069,1.3963,0.2489,0.2355,1.9628,17.6446,-3.3649,2.667,1.9628,-0.0357,-0.1572,5.6088,0.0059,0.0077,0.0333,0.1117,0.1309,0.0216,0.02676936111714,0.0226,0.0269,-0.0346,-5880000.0,-0.0122,36.9061,19003000000,0.0247,0.1388,0.0478,0.0423,FY2002.FQ4,4
4,0.12,2003-04-10,2003-02,69.45,470555000,19.0615,17.2792,19514000000,38.1132,-0.3424,0.0,4.5645,3.9686,0.0,0.0,0.0,0.0,136912000000,0.0891,0.0446,7.016,7.0513,1207000000,0.1986,0.2882,2.3574,71491044750,3.6635,31.7455,-4.648,4.905,3.6635,-0.0225,0.3163,0.0524,0.0578,-8243000000,0.0,-1.0884,-1.9687,-16.0996,0.3497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32680044750,84484000000,0.2633,0.1581,0.1231,0.7597,0.0196,0.0115,0.093,-6.4435,0.2133,1.9882,0.2431,0.2355,1.6746,14.5115,-2.1247,2.2421,1.6746,-0.0077,0.1637,8.1777,0.0061,0.007,0.0331,0.1169,0.1222,0.0217,0.02676936111714,0.0228,0.0248,-0.0419,-2386000.0,-0.005,38.1132,19514000000,0.0306,0.198,0.0439,0.055,FY2003.FQ1,1
5,0.12,2003-07-11,2003-05,81.5,467261000,20.1924,17.4162,20042000000,39.2826,0.1437,0.0,4.8441,4.0235,0.0,0.0,0.0,0.0,145498000000,0.0347,0.0468,7.2596,7.1142,1223000000,0.1261,0.3069,2.397,82141771500,4.0984,34.4554,-3.8547,5.5844,4.0984,0.0169,0.283,0.0495,0.0574,-5175000000,0.0,-7.8725,-1.2986,-10.143,0.3304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38081771500,89879000000,0.2344,0.1744,0.1356,0.2882,0.0205,0.0123,0.0882,9.4443,0.152,2.0344,0.2604,0.2355,1.9,15.9738,-1.7871,2.589,1.9,0.0155,0.0347,7.8106,0.0061,0.0065,0.0316,0.1205,0.1187,0.0211,0.02676936111714,0.0222,0.0226,-0.0391,-3294000.0,-0.007,39.2826,20042000000,0.0359,0.2367,0.0194,0.0627,FY2003.FQ2,2
6,0.25,2003-10-10,2003-08,88.49,473286000,19.2847,17.9505,20438000000,39.9413,0.8002,0.0,4.9509,4.0811,0.0,0.0,0.0761,1.0833,164376000000,0.0476,0.1967,8.0426,7.2008,1150000000,0.1663,0.3031,2.2474,87688078140,4.2904,34.5364,-10.4789,5.9037,4.2904,-0.0058,0.32,0.0518,0.0557,-3819000000,0.0,0.7721,-1.0068,-7.4633,0.3091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41881078140,94547000000,0.2969,0.1784,0.0958,0.3204,0.0202,0.015,0.1893,-28.1161,0.2342,1.9151,0.2583,0.2355,2.0491,16.4951,-5.0049,2.8197,2.0491,-0.0218,0.0394,7.4125,0.0063,0.0063,0.0314,0.1254,0.1187,0.0212,0.02676936111714,0.0225,0.0222,-0.0167,6025000.0,0.0128,39.9413,20438000000,0.026,0.1276,0.016,0.0845,FY2003.FQ3,3
7,0.25,2004-02-24,2003-11,96.08,473015000,18.6667,18.6075,21632000000,42.1101,0.4697,0.0,4.7006,4.152,0.0,0.0,0.0761,0.0,165920000000,0.0397,0.1954,7.6701,7.2741,2010000000,1.1895,0.4953,3.9127,95842281200,4.4305,31.8942,-5.4471,5.9815,4.4305,0.0595,0.909,0.0535,0.0537,-358000000,0.0,-1.0403,-0.0882,-0.6969,0.3108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45447281200,94597000000,0.9227,0.2392,0.1444,0.0322,0.019,0.0169,0.1322,2.5403,0.9596,2.7428,0.3472,0.2385,2.1009,15.1238,-2.5829,2.8363,2.1009,0.0016,0.4051,7.8995,0.0075,0.0063,0.0362,0.1428,0.1187,0.0245,0.02676936111714,0.0259,0.0222,-0.0023,-271000.0,-0.0005,42.1101,21632000000,0.0311,0.1356,0.0184,0.1383,FY2003.FQ4,4
8,0.25,2004-04-06,2004-02,105.87,482724000,19.9363,18.6891,22235000000,42.9994,0.5148,0.0,5.3648,4.37,0.0,0.0,0.0761,0.0,178771000000,0.0405,0.3057,8.04,7.2961,2151000000,0.7821,0.3565,4.1597,113290989880,5.0951,31.1581,-4.6156,6.3404,5.0951,0.1113,0.9379,0.0501,0.0535,-15193000000,0.0,-0.8431,-2.5187,-29.3811,0.3297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51105989880,112338000000,0.9531,0.2143,0.0975,-0.0731,0.0179,0.0176,0.1,1.2625,0.8948,3.7304,0.3197,0.246,2.2984,14.0555,-2.0821,2.8601,2.2984,0.0512,0.4406,11.665,0.0085,0.0063,0.0404,0.1657,0.1187,0.0274,0.02676936111714,0.0289,0.0222,0.0099,9709000.0,0.0205,42.9994,22235000000,0.0391,0.1917,0.0215,0.1394,FY2004.FQ1,1
9,0.25,2004-07-09,2004-05,93.91,480651000,20.2108,18.8865,23152000000,45.0866,0.1155,-0.1052,5.1331,4.6325,0.0,0.0,0.0761,0.0,196460000000,0.0419,0.3502,8.4856,7.3368,1837000000,0.502,0.3258,3.5774,106108935410,4.5831,25.7046,-6.3246,5.4356,4.5831,0.0952,0.6985,0.0494,0.0529,2593000000,-0.103,1.501,0.4599,5.0496,0.3178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45137935410,110802000000,0.7079,0.2105,0.0312,-0.2249,0.0154,0.0176,0.1082,1.1479,0.6763,3.3885,0.3086,0.2536,1.9496,10.9345,-2.6904,2.3122,1.9496,0.051,0.4148,10.9795,0.009,0.0063,0.0427,0.1819,0.1187,0.0291,0.02676936111714,0.0307,0.0222,0.0064,-2073000.0,-0.0042,45.0866,23152000000,0.0412,0.1562,0.0241,0.1551,FY2004.FQ2,2
