,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,credit_losses_provision,da_income_statement_supplemental,eps_basic,eps_diluted,income_allocated_to_minority_interest,income_tax,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income,net_interest_income_after_credit_losses_provision,preferred_dividends,pretax_income,revenue,shares_basic,shares_diluted,special_charges,total_interest_expense,total_interest_income,total_noninterest_expense,total_noninterest_revenue,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0.12,2002-04-04,2002-02,82.5,474612000,2102000000,0,168000000,1.05,0.98,0,-315000000,524000000,524000000,524000000,0,412000000,412000000,0,839000000,3598000000,500200000,534400000,0,2102000000,2514000000,2759000000,3186000000,4861000000,FY2002.FQ1,1
1,0.12,2002-07-10,2002-05,75.45,470813000,2383000000,0,185000000,1.13,1.06,0,-338000000,563000000,563000000,563000000,0,673000000,673000000,0,901000000,3851000000,496800000,531000000,0,2383000000,3056000000,2950000000,3178000000,5333000000,FY2002.FQ2,2
2,0.12,2002-10-11,2002-08,77.3,478821000,2223000000,0,192000000,1.05,1.0,0,-272000000,522000000,522000000,522000000,0,696000000,696000000,0,794000000,3649000000,494900000,520400000,0,2223000000,2919000000,2855000000,2953000000,5078000000,FY2002.FQ3,3
3,0.12,2003-02-27,2002-11,78.87,472941000,2160000000,0,199000000,1.03,0.99,0,-214000000,505000000,505000000,505000000,0,620000000,620000000,0,719000000,2888000000,490800000,514900000,0,2160000000,2780000000,2169000000,2268000000,4329000000,FY2002.FQ4,4
4,0.12,2003-04-10,2003-02,69.45,470555000,1907000000,0,189000000,1.35,1.29,0,-356000000,662000000,662000000,662000000,0,725000000,725000000,0,1018000000,4187000000,489300000,512000000,0,1907000000,2632000000,3169000000,3462000000,5076000000,FY2003.FQ1,1
5,0.12,2003-07-11,2003-05,81.5,467261000,2000000000,0,185000000,1.43,1.36,0,-343000000,695000000,695000000,695000000,0,867000000,867000000,0,1038000000,3985000000,485800000,510200000,0,2000000000,2867000000,2947000000,3118000000,4947000000,FY2003.FQ2,2
6,0.25,2003-10-10,2003-08,88.49,473286000,1922000000,0,170000000,1.39,1.32,0,-303000000,677000000,677000000,677000000,0,919000000,919000000,0,980000000,3793000000,488500000,511700000,0,1922000000,2841000000,2813000000,2874000000,4735000000,FY2003.FQ3,3
7,0.25,2004-02-24,2003-11,96.08,473015000,1771000000,0,601000000,1.98,1.89,0,-438000000,971000000,971000000,971000000,0,640000000,640000000,0,1409000000,4058000000,489900000,513700000,0,1771000000,2411000000,2649000000,3418000000,4420000000,FY2003.FQ4,4
8,0.25,2004-04-06,2004-02,105.87,482724000,1873000000,0,222000000,2.63,2.5,0,-636000000,1293000000,1293000000,1293000000,0,672000000,672000000,0,1929000000,6032000000,492000000,517100000,0,1873000000,2545000000,4103000000,5360000000,5976000000,FY2004.FQ1,1
9,0.25,2004-07-09,2004-05,93.91,480651000,2038000000,0,97000000,2.43,2.31,0,-553000000,1187000000,1187000000,1187000000,0,672000000,672000000,0,1740000000,5638000000,487900000,513500000,0,2038000000,2710000000,3898000000,4966000000,5936000000,FY2004.FQ2,2
