,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0.12,2002-04-04,2002-02,82.5,474612000,FY2002.FQ1,1
1,0.12,2002-07-10,2002-05,75.45,470813000,FY2002.FQ2,2
2,0.12,2002-10-11,2002-08,77.3,478821000,FY2002.FQ3,3
3,0.12,2003-02-27,2002-11,78.87,472941000,FY2002.FQ4,4
4,0.12,2003-04-10,2003-02,69.45,470555000,FY2003.FQ1,1
5,0.12,2003-07-11,2003-05,81.5,467261000,FY2003.FQ2,2
6,0.25,2003-10-10,2003-08,88.49,473286000,FY2003.FQ3,3
7,0.25,2004-02-24,2003-11,96.08,473015000,FY2003.FQ4,4
8,0.25,2004-04-06,2004-02,105.87,482724000,FY2004.FQ1,1
9,0.25,2004-07-09,2004-05,93.91,480651000,FY2004.FQ2,2
10,0.25,2004-10-08,2004-08,89.65,483888000,FY2004.FQ3,3
11,0.25,2005-02-08,2004-11,104.76,480960000,FY2004.FQ4,4
12,0.25,2005-04-06,2005-02,108.8,478391000,FY2005.FQ1,1
13,0.25,2005-07-05,2005-05,97.5,467123000,FY2005.FQ2,2
14,0.25,2005-10-05,2005-08,111.18,453560000,FY2005.FQ3,3
15,0.25,2006-02-07,2005-11,128.96,437171000,FY2005.FQ4,4
16,0.25,2006-04-05,2006-02,141.29,431260000,FY2006.FQ1,1
17,0.35,2006-07-03,2006-05,150.95,431116000,FY2006.FQ2,2
18,0.35,2006-10-04,2006-08,148.65,428910000,FY2006.FQ3,3
19,0.35,2007-02-06,2006-11,194.8,412666000,FY2006.FQ4,4
20,0.35,2007-04-04,2007-02,201.75,411317000,FY2007.FQ1,1
21,0.35,2007-07-03,2007-05,230.82,407682000,FY2007.FQ2,2
22,0.35,2007-10-10,2007-08,176.01,397675000,FY2007.FQ3,3
23,0.35,2008-01-29,2007-11,226.64,390682000,FY2007.FQ4,4
24,0.35,2008-04-09,2008-02,169.63,394474000,FY2008.FQ1,1
25,0.35,2008-07-07,2008-05,176.41,394203000,FY2008.FQ2,2
26,0.35,2008-10-08,2008-08,163.97,395442000,FY2008.FQ3,3
27,0.35,2009-01-27,2008-11,78.99,461784000,FY2008.FQ4,4
28,0.467,2009-05-06,2009-03,106.02,503421000,FY2009.FQ1,1
29,0.35,2009-08-05,2009-06,147.44,510737000,FY2009.FQ2,2
30,0.35,2009-11-04,2009-09,184.35,513056000,FY2009.FQ3,3
31,0.35,2010-03-01,2009-12,168.84,515114000,FY2009.FQ4,4
32,0.35,2010-05-10,2010-03,170.63,514191000,FY2010.FQ1,1
33,0.35,2010-08-09,2010-06,131.27,515487000,FY2010.FQ2,2
34,0.35,2010-11-09,2010-09,144.58,511518000,FY2010.FQ3,3
35,0.35,2011-03-01,2010-12,168.16,507531000,FY2010.FQ4,4
36,0.35,2011-05-10,2011-03,158.6,517917000,FY2011.FQ1,1
37,0.35,2011-08-09,2011-06,133.09,507856000,FY2011.FQ2,2
38,0.35,2011-11-09,2011-09,94.55,492623000,FY2011.FQ3,3
39,0.35,2012-02-28,2011-12,90.43,485468000,FY2011.FQ4,4
40,0.35,2012-05-10,2012-03,124.37,495211000,FY2012.FQ1,1
41,0.46,2012-08-09,2012-06,95.86,480991000,FY2012.FQ2,2
42,0.46,2012-11-08,2012-09,113.68,471431000,FY2012.FQ3,3
43,0.5,2013-03-01,2012-12,127.56,465148000,FY2012.FQ4,4
44,0.5,2013-05-09,2013-03,147.15,460782000,FY2013.FQ1,1
45,0.5,2013-08-08,2013-06,151.25,450481000,FY2013.FQ2,2
46,0.5,2013-11-07,2013-09,158.21,441499000,FY2013.FQ3,3
47,0.55,2014-02-28,2013-12,177.26,446359000,FY2013.FQ4,4
48,0.55,2014-05-09,2014-03,163.85,448032000,FY2014.FQ1,1
49,0.55,2014-08-07,2014-06,167.44,440735000,FY2014.FQ2,2
50,0.55,2014-11-05,2014-09,183.57,435734000,FY2014.FQ3,3
51,0.6,2015-02-23,2014-12,193.83,430259000,FY2014.FQ4,4
52,0.6,2015-05-05,2015-03,187.97,432093000,FY2015.FQ1,1
53,0.65,2015-08-03,2015-06,208.79,432768000,FY2015.FQ2,2
54,0.65,2015-11-03,2015-09,173.76,427904000,FY2015.FQ3,3
55,0.65,2016-02-22,2015-12,180.23,419481000,FY2015.FQ4,4
56,0.65,2016-05-06,2016-03,156.98,417572000,FY2016.FQ1,1
57,0.65,2016-08-04,2016-06,148.58,406592000,FY2016.FQ2,2
58,0.65,2016-11-03,2016-09,161.27,399212000,FY2016.FQ3,3
59,0.65,2017-02-27,2016-12,239.45,392632000,FY2016.FQ4,4
60,0.65,2017-05-04,2017-03,229.72,394792000,FY2017.FQ1,1
61,0.75,2017-08-04,2017-06,221.9,388213000,FY2017.FQ2,2
62,0.75,2017-11-03,2017-09,237.19,379099000,FY2017.FQ3,3
63,0.75,2018-02-26,2017-12,254.76,374809000,FY2017.FQ4,4
64,0.75,2018-05-04,2018-03,251.86,377706000,FY2018.FQ1,1
65,0.8,2018-08-03,2018-06,220.57,377879000,FY2018.FQ2,2
66,0.8,2018-11-02,2018-09,224.24,372739000,FY2018.FQ3,3
67,0.8,2019-02-26,2018-12,167.05,367742000,FY2018.FQ4,4
68,0.8,2019-05-06,2019-03,191.99,366772000,FY2019.FQ1,1
69,0.85,2019-08-05,2019-06,204.6,360540000,FY2019.FQ2,2
70,1.25,2019-11-01,2019-09,207.23,357509000,FY2019.FQ3,3
71,1.25,2020-02-21,2019-12,229.93,347343000,FY2019.FQ4,4
72,1.25,2020-05-01,2020-03,154.59,343857000,FY2020.FQ1,1
