,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,allowance_for_loan_losses,aoci,apic,cash_and_equiv,common_stock,deposits_liability,goodwill,intangible_assets,loans_gross,loans_net,lt_debt,minority_interest_liability,other_equity,other_lt_assets,other_lt_liabilities,ppe_net,preferred_stock,retained_earnings,st_debt,total_assets,total_current_assets,total_current_liabilities,total_equity,total_investments,total_liabilities,total_liabilities_and_equity,treasury_stock,unearned_income,fiscal_year_key,fiscal_year_number
0,1.36,2002-03-22,2001-12,36.53,1973383000,-4524000000,-442000000,12495000000,35343000000,1997000000,293650000000,0,15347000000,219269000000,212920000000,43622000000,550000000,0,128731000000,285309000000,6292000000,1009000000,26993000000,29345000000,693575000000,330285000000,322995000000,41649000000,294942000000,651926000000,693575000000,-953000000,-1825000000,FY2001,2001
1,1.36,2003-03-19,2002-12,24.0,1998707000,-5350000000,1227000000,13222000000,28160000000,2024000000,304753000000,0,12902000000,218254000000,211014000000,45190000000,0,0,124760000000,341014000000,6829000000,1009000000,25851000000,25537000000,758800000000,403295000000,330290000000,42306000000,375135000000,716494000000,758800000000,-1027000000,-1890000000,FY2002,2002
2,1.36,2004-02-18,2003-12,36.73,2042620000,-4523000000,-30000000,13512000000,30443000000,2044000000,326491000000,0,14991000000,220808000000,214995000000,54782000000,12295000000,0,141797000000,307981000000,6487000000,1009000000,29681000000,23209000000,770912000000,392642000000,349700000000,58449000000,362199000000,712463000000,770912000000,-62000000,-1290000000,FY2003,2003
3,1.36,2005-03-02,2004-12,39.01,3556191000,-7320000000,-208000000,72801000000,56848000000,3585000000,521456000000,0,57887000000,402114000000,394794000000,105718000000,48061000000,0,200084000000,354716000000,9145000000,339000000,30209000000,21644000000,1157248000000,495338000000,543100000000,153714000000,438490000000,1003534000000,1157248000000,-1073000000,0,FY2004,2004
4,1.36,2006-03-09,2005-12,39.69,3486689000,-7090000000,-626000000,74994000000,58331000000,3618000000,554991000000,43621000000,14559000000,419148000000,412058000000,130365000000,0,0,412586000000,392512000000,9081000000,139000000,33848000000,13863000000,1198942000000,307037000000,568854000000,107211000000,248706000000,1091731000000,1198942000000,-4762000000,0,FY2005,2005
5,1.36,2007-03-01,2006-12,48.3,3461684000,-7279000000,-1557000000,77807000000,53959000000,3658000000,638788000000,45185000000,14852000000,483127000000,475848000000,163683000000,0,0,377702000000,414410000000,8735000000,0,43600000000,18849000000,1351520000000,429198000000,657637000000,115790000000,375239000000,1235730000000,1351520000000,-7718000000,0,FY2006,2006
6,1.48,2008-02-29,2007-12,43.65,3367383000,-9234000000,-917000000,78597000000,51610000000,3658000000,740728000000,45270000000,14731000000,519374000000,510140000000,227845000000,0,0,433447000000,420757000000,9319000000,0,54715000000,49596000000,1562147000000,549240000000,790324000000,123221000000,497630000000,1438926000000,1562147000000,-12832000000,0,FY2007,2007
7,1.52,2009-03-02,2008-12,31.53,3757923000,-23164000000,-5687000000,92143000000,165034000000,3942000000,1009277000000,48027000000,14984000000,744898000000,721734000000,391891000000,0,-217000000,574364000000,557963000000,10045000000,31939000000,54013000000,49037000000,2175052000000,805898000000,1058314000000,166884000000,640864000000,2008168000000,2175052000000,-9249000000,0,FY2008,2008
8,0.2,2010-02-24,2009-12,41.67,3941959000,-31602000000,-91000000,97982000000,89436000000,4105000000,938367000000,48357000000,20152000000,633458000000,601856000000,322058000000,0,-68000000,527865000000,564405000000,11118000000,8152000000,62481000000,41794000000,2031989000000,822641000000,980161000000,165365000000,733205000000,1866624000000,2031989000000,-7196000000,0,FY2009,2009
9,0.2,2011-02-28,2010-12,42.42,3910294000,-32266000000,1001000000,97415000000,49240000000,4105000000,930369000000,48854000000,17688000000,692927000000,660661000000,304978000000,0,-53000000,594633000000,670789000000,13355000000,7800000000,73998000000,35363000000,2117605000000,782414000000,965732000000,176106000000,733174000000,1941499000000,2117605000000,-8160000000,0,FY2010,2010
