,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,1.36,2002-03-22,2001-12,36.53,1973383000,0,-10683000000,12318000000,-3107000000,100000000,-1372000000,0,47000000,47000000,8986000000,-22227000000,-31213000000,-2697000000,14194000000,0,0,0,0,0,0,0,17352000000,-182922000000,200274000000,-5034000000,0,0,0,-14764000000,2891000000,0,0,1694000000,7072000000,-14764000000,0,0,0,FY2001,2001
1,1.36,2003-03-19,2002-12,24.0,1998707000,0,44643000000,-23344000000,-25134000000,453000000,-3382000000,0,175000000,175000000,48334000000,36149000000,-12185000000,-2784000000,11103000000,0,0,0,0,0,0,0,-22105000000,-246669000000,224564000000,-1239000000,0,0,0,-36896000000,3426000000,1636000000,0,1663000000,5037000000,-36896000000,0,0,0,FY2002,2002
2,1.36,2004-02-18,2003-12,36.73,2042620000,0,-26251000000,12418000000,14601000000,282000000,1050000000,0,1213000000,1213000000,17195000000,-46583000000,-63778000000,-2865000000,21984000000,0,0,0,0,0,0,0,13373000000,-312913000000,326286000000,-955000000,0,0,0,3173000000,3101000000,1428000000,0,6719000000,180000000,3173000000,0,0,0,FY2003,2003
3,1.36,2005-03-02,2004-12,39.01,3556191000,0,59596000000,-29734000000,-15147000000,185000000,14900000000,848000000,110000000,-738000000,25344000000,4962000000,-20382000000,-3927000000,59121000000,-670000000,-670000000,0,0,0,0,0,6052000000,-173745000000,179797000000,-35786000000,0,0,0,-30457000000,3835000000,-827000000,0,4466000000,6540000000,-28066000000,0,-2391000000,1296000000,FY2004,2004
4,1.36,2006-03-09,2005-12,39.69,3486689000,0,45069000000,-12944000000,-30236000000,-387000000,1502000000,682000000,-2730000000,-3412000000,46339000000,19456000000,-26883000000,-4878000000,33421000000,-200000000,-200000000,0,0,0,0,0,32239000000,-81749000000,113988000000,-45183000000,0,0,0,-38763000000,4318000000,-1791000000,0,8483000000,-4046000000,-36829000000,0,-1934000000,1563000000,FY2005,2005
5,1.36,2007-03-01,2006-12,48.3,3461684000,0,152749000000,-99627000000,-49579000000,199000000,3742000000,1659000000,-2279000000,-3938000000,69378000000,35111000000,-34267000000,-4846000000,124902000000,-139000000,-139000000,0,0,0,0,0,-52852000000,-201530000000,148678000000,-46775000000,0,0,0,-65817000000,3577000000,-1810000000,0,14444000000,-2341000000,-64647000000,0,-1170000000,2368000000,FY2006,2006
6,1.48,2008-02-29,2007-12,43.65,3367383000,0,184056000000,-74188000000,-110560000000,424000000,-268000000,0,-8178000000,-8178000000,136553000000,87143000000,-49410000000,-5051000000,110142000000,0,0,0,0,0,0,0,7100000000,-122507000000,129607000000,-81288000000,0,0,0,-138331000000,3821000000,1307000000,0,15365000000,5253000000,-136399000000,0,-1932000000,2025000000,FY2007,2007
7,1.52,2009-03-02,2008-12,31.53,3757923000,0,246999000000,-283671000000,23930000000,-507000000,-13249000000,11500000000,11500000000,0,81626000000,16282000000,-65344000000,-5911000000,192382000000,32746000000,32746000000,0,0,0,0,0,-107369000000,-248599000000,141230000000,-176302000000,0,0,0,4996000000,4528000000,-2637000000,0,5605000000,8801000000,-5225000000,0,10221000000,2637000000,FY2008,2008
8,0.2,2010-02-24,2009-12,41.67,3941959000,0,-153079000000,29355000000,122797000000,238000000,-689000000,5756000000,5756000000,0,51324000000,-84315000000,-135639000000,-3422000000,-46098000000,-25000000000,-25000000000,0,0,0,0,0,-144610000000,-346372000000,201762000000,173965000000,0,0,0,58421000000,4358000000,-3622000000,0,11728000000,48557000000,64733000000,0,-6312000000,3355000000,FY2009,2009
9,0.2,2011-02-28,2010-12,42.42,3910294000,0,-49217000000,54002000000,-3752000000,328000000,1361000000,0,-2999000000,-2999000000,55181000000,-50731000000,-105912000000,-1486000000,6351000000,-352000000,-352000000,0,0,0,0,0,31860000000,-179487000000,211347000000,22142000000,0,0,0,-51348000000,4965000000,-968000000,0,17370000000,22978000000,-51791000000,0,443000000,3251000000,FY2010,2010
