,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,cash_and_equiv_growth,cf_cfo_cagr_10,debt_to_equity,debt_to_equity_median,deposits_cagr_10,deposits_growth,dividends_per_share_cagr_10,dividends_per_share_growth,earning_assets,earning_assets_cagr_10,earning_assets_growth,earning_assets_to_equity,earning_assets_to_equity_median,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,equity_to_assets_median,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_per_share,income_tax_rate,loan_loss_reserve_to_loans,loan_loss_reserve_to_loans_median,loans_gross_cagr_10,loans_gross_growth,loans_net_growth,loans_to_deposits,loans_to_deposits_median,market_cap,net_debt,net_income_growth,net_income_margin,net_interest_income_cagr_10,net_interest_income_growth,net_interest_margin,nim_median,payout_ratio,peg_ratio,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,1.36,2002-03-22,2001-12,36.53,1973383000,16.6528,15.4785,40640000000,20.083,0.094,0.0,1.7753,1.4675,0.1219,0.0511,0.1453,0.0625,549554000000,0.1621,-0.0359,13.1948,13.2794,5457000000,-0.5161,0.1878,2.6966,80366680990,1.9775,47.4419,-25.8663,2.7664,3.1774,0.3492,-0.7202,0.06,0.0646,-3107000000,0.0,0.7728,-0.1069,-1.5353,0.33,0.0206,0.0219,0.0996,0.0148,0.0025,0.7467,0.821,72087680990,37624000000,-0.7042,0.0583,0.1013,0.1356,0.0192,0.0321,1.7,1.2183,-0.7061,1.268,0.0883,0.2663,1.7738,42.5547,-23.2016,2.4815,2.8501,0.1536,-0.1179,14.3556,0.0024,0.0102,0.0062,0.0403,0.1593,0.0135,0.066031922371313,0.0186,0.0616,0.0277,44893000,0.0232,12.499,25293000000,0.1744,-0.0304,0.1905,-0.1105,FY2001,2001
1,1.36,2003-03-19,2002-12,24.0,1998707000,17.9359,15.8017,41297000000,20.4947,-0.2032,0.0,1.6717,1.5513,0.1246,0.0378,0.1301,0.0,621549000000,0.1776,0.131,14.6917,13.6152,5945000000,0.0894,0.2007,2.9503,64998968000,1.5739,39.0853,-2.586,2.1948,2.289,-0.0473,0.0,0.0557,0.0632,-25134000000,0.0,-7.0894,-0.8487,-12.4734,0.3398,0.0245,0.0219,0.1021,-0.0046,-0.0089,0.7161,0.8117,47968968000,42567000000,-0.0182,0.0561,0.1023,0.1273,0.0207,0.0291,1.7,-6.0865,-0.0183,1.2501,0.085,0.2663,1.1615,28.8448,-1.9085,1.6198,1.6893,0.1453,0.0194,14.6967,0.0022,0.0102,0.006,0.0398,0.1593,0.0146,0.066031922371313,0.0202,0.0616,-0.0042,25324000,0.0128,14.0918,28395000000,0.1844,0.094,0.1568,0.0157,FY2002,2002
2,1.36,2004-02-18,2003-12,36.73,2042620000,13.1894,15.8017,57440000000,27.9513,0.081,0.0,1.6897,1.5513,0.1275,0.0713,0.1152,0.0,613450000000,0.1683,-0.013,10.4954,13.6152,13129000000,1.2084,0.3947,6.3888,99364432600,1.7298,14.7885,6.8053,2.9878,2.3407,0.0535,3.05,0.0758,0.0632,14601000000,0.0,1.5809,0.439,7.1051,0.3299,0.0204,0.0209,0.1084,0.0117,0.0188,0.6763,0.7971,75025432600,47548000000,3.0402,0.202,0.1028,0.013,0.0199,0.0272,0.4197,2.085,2.9809,4.8798,0.3015,0.2844,1.3061,11.1661,5.1383,2.2559,1.7674,0.144,0.1229,16.1829,0.0087,0.0098,0.0227,0.1519,0.1589,0.0538,0.066031922371313,0.0704,0.0616,0.0198,43913000,0.0219,20.6564,42449000000,0.1779,0.0159,0.18,0.3815,FY2003,2003
3,1.36,2005-03-02,2004-12,39.01,3556191000,7.5285,15.4785,153375000000,53.7969,0.8673,0.0,1.2054,1.416,0.1837,0.5971,0.0953,0.0,897452000000,0.1962,0.4629,5.8384,13.2794,9691000000,-0.2618,0.2287,3.3991,187597010910,1.2231,42.0056,-12.385,4.4273,1.9646,0.0001,-0.5216,0.1328,0.0646,-15147000000,0.0,-2.0373,-0.3574,-5.3128,0.2725,0.0182,0.0205,0.1763,0.8211,0.8362,0.7711,0.7722,138727010910,70514000000,-0.3353,0.1053,0.1346,0.3396,0.0218,0.0244,0.8774,1603.2086,-0.416,2.054,0.1382,0.2833,0.9044,31.0629,-9.1587,3.274,1.4528,0.1774,0.2741,14.8621,0.0046,0.0098,0.0092,0.0588,0.1589,0.0213,0.066031922371313,0.027,0.0616,0.3873,1513571000,0.7409,33.4928,95488000000,0.2104,0.5011,0.3052,1.6298,FY2004,2004
4,1.36,2006-03-09,2005-12,39.69,3486689000,11.183,15.4384,107072000000,30.1017,0.026,0.0,1.3452,1.416,0.1888,0.0643,0.0771,0.0,726185000000,0.1596,-0.1908,6.7734,13.1761,16157000000,0.6672,0.2978,4.5423,210420686410,1.9652,24.8049,-6.9592,3.8788,4.3037,0.0165,0.5354,0.0894,0.0647,-30236000000,0.0,-0.9961,-0.5573,-8.5004,0.3028,0.0169,0.0204,0.1763,0.0423,0.0437,0.7552,0.7631,138386686410,85897000000,0.8994,0.1563,0.0918,0.1832,0.024,0.0229,0.5714,9.8656,1.0216,3.3283,0.2182,0.2526,1.2924,16.3134,-4.5768,2.551,2.8304,0.1374,0.2802,15.251,0.0072,0.0091,0.0147,0.0797,0.1507,0.0318,0.066031922371313,0.0406,0.0566,0.2476,-69502000,-0.0195,13.7452,48892000000,0.2068,0.036,0.2457,-0.3025,FY2005,2005
5,1.36,2007-03-01,2006-12,48.3,3461684000,11.6721,15.1393,115790000000,32.3978,-0.0749,0.0,1.5764,1.5036,0.1344,0.1509,0.0617,0.0,912325000000,0.1222,0.2563,7.8791,12.6653,23463000000,0.4521,0.3784,6.5649,276923337200,2.3915,19.1722,-5.5854,4.4665,4.9669,0.0936,0.6974,0.0856,0.066,-49579000000,0.0,-0.6397,-0.7996,-13.8721,0.3136,0.015,0.0199,0.1193,0.1526,0.1548,0.7563,0.7557,167199337200,128573000000,0.7026,0.2329,0.0981,0.0862,0.0259,0.0229,0.3366,1.2356,0.6797,5.564,0.3207,0.2833,1.4439,11.5756,-3.3723,2.6968,2.9989,0.1459,0.1428,17.3472,0.0113,0.0094,0.0228,0.1295,0.1407,0.0525,0.066031922371313,0.066,0.0532,0.0047,-25005000,-0.0071,15.5996,55753000000,0.1493,0.1272,0.1831,0.08,FY2006,2006
6,1.48,2008-02-29,2007-12,43.65,3367383000,12.6776,14.0958,123221000000,35.7649,-0.0435,0.0,2.2515,1.6241,0.1435,0.1595,0.0599,0.0882,1068614000000,0.1303,0.1713,8.6723,11.3344,26626000000,0.1348,0.373,7.7282,323221267950,2.6231,21.0362,-2.9234,4.5286,5.1126,0.0495,0.0717,0.0788,0.0712,-110560000000,0.0,-1.2299,-1.549,-32.09,0.3262,0.0177,0.0188,0.1181,0.075,0.072,0.7011,0.7509,146986267950,225831000000,0.0637,0.2152,0.1233,0.2431,0.0266,0.0229,0.3418,1.9311,0.1467,6.6191,0.3195,0.2833,1.1928,9.5663,-1.3294,2.0594,2.3249,0.1555,0.1511,20.7157,0.0105,0.0094,0.0219,0.1285,0.129,0.0439,0.066031922371313,0.0517,0.0482,-0.036,-94301000,-0.0272,18.3496,63220000000,0.1563,0.1558,0.1864,0.0641,FY2007,2007
7,1.52,2009-03-02,2008-12,31.53,3757923000,13.0333,13.1113,134945000000,38.3148,2.1977,0.2088,2.6421,1.6807,0.1686,0.3625,0.047,0.027,1550796000000,0.1706,0.4512,9.2926,9.894,7301000000,-0.7257,0.1085,2.0729,345344312190,2.5591,61.6136,14.4314,5.135,4.8008,-0.0712,-0.6882,0.0767,0.0762,23930000000,0.2479,1.2164,0.3558,6.7944,0.0,0.031,0.0188,0.1562,0.4342,0.4147,0.738,0.7423,118487312190,275894000000,-0.6352,0.0833,0.163,0.4685,0.0296,0.0229,1.1259,-2.9671,-0.8784,0.7873,0.0412,0.2417,0.878,21.1395,4.9514,1.7618,1.6471,0.1368,-0.0577,19.0948,0.0029,0.0079,0.002,0.0386,0.1041,0.0111,0.066031922371313,0.0141,0.0379,0.0222,390540000,0.1159,20.4241,71934000000,0.1951,0.3923,0.212,0.3543,FY2008,2008
8,0.2,2010-02-24,2009-12,41.67,3941959000,12.2879,12.8554,157213000000,40.5219,-0.458,1.1828,2.2002,1.7325,0.1452,-0.0702,-0.1561,-0.8684,1456099000000,0.1542,-0.061,8.8053,9.049,20425000000,1.7975,0.2033,5.2645,396883431530,2.5244,33.8406,3.232,3.9516,4.4742,-0.0478,0.674,0.0813,0.0778,122797000000,1.1828,4.1315,1.2226,31.6511,0.2747,0.0498,0.0193,0.1355,-0.1496,-0.166,0.675,0.7423,164261431530,274416000000,1.0924,0.1167,0.1739,0.319,0.034,0.0229,0.0884,-2.9274,4.794,4.1412,0.1599,0.1891,1.0448,14.0059,1.3376,1.6355,1.8517,0.1249,0.4933,25.887,0.0055,0.0063,0.0104,0.0705,0.0751,0.0206,0.066031922371313,0.0265,0.0266,0.1015,184036000,0.0489,22.8636,88704000000,0.1747,-0.0657,0.212,-0.0091,FY2009,2009
9,0.2,2011-02-28,2010-12,42.42,3910294000,12.0246,12.4827,168306000000,42.3209,-0.4494,0.0,1.9325,1.7325,0.1278,-0.0085,-0.1694,0.0,1475341000000,0.0997,0.0132,8.3775,8.7388,29824000000,0.4601,0.2904,7.4993,421612671480,2.505,24.2724,-112.3701,4.1055,4.143,0.033,0.7522,0.0831,0.0801,-3752000000,0.0,-1.0305,-0.0365,-0.9434,0.3012,0.0465,0.0205,0.1236,0.0938,0.0977,0.7447,0.7414,165874671480,291101000000,0.481,0.1691,0.1828,-0.0029,0.0347,0.025,0.0505,2.887,0.5472,6.2508,0.242,0.1891,0.9855,9.5494,-44.2096,1.6152,1.6299,0.1204,0.0225,25.8226,0.0083,0.0063,0.017,0.1017,0.0751,0.0332,0.066031922371313,0.0383,0.0266,0.025,-31665000,-0.008,25.5887,101764000000,0.1146,0.0421,0.1416,0.0649,FY2010,2010
