,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,1.36,2002-03-22,2001-12,36.53,1973383000,FY2001,2001
1,1.36,2003-03-19,2002-12,24.0,1998707000,FY2002,2002
2,1.36,2004-02-18,2003-12,36.73,2042620000,FY2003,2003
3,1.36,2005-03-02,2004-12,39.01,3556191000,FY2004,2004
4,1.36,2006-03-09,2005-12,39.69,3486689000,FY2005,2005
5,1.36,2007-03-01,2006-12,48.3,3461684000,FY2006,2006
6,1.48,2008-02-29,2007-12,43.65,3367383000,FY2007,2007
7,1.52,2009-03-02,2008-12,31.53,3757923000,FY2008,2008
8,0.2,2010-02-24,2009-12,41.67,3941959000,FY2009,2009
9,0.2,2011-02-28,2010-12,42.42,3910294000,FY2010,2010
10,1.0,2012-02-29,2011-12,33.25,3772691000,FY2011,2011
11,1.2,2013-02-28,2012-12,43.97,3803952000,FY2012,2012
12,1.44,2014-02-20,2013-12,58.48,3756108000,FY2013,2013
13,1.58,2015-02-24,2014-12,62.58,3714789000,FY2014,2014
14,1.72,2016-02-23,2015-12,66.03,3663475000,FY2015,2015
15,1.88,2017-02-28,2016-12,86.29,3561190000,FY2016,2016
16,2.12,2018-02-27,2017-12,106.94,3425299000,FY2017,2017
17,2.72,2019-02-26,2018-12,97.62,3275766000,FY2018,2018
18,3.4,2020-02-25,2019-12,139.4,3084021000,FY2019,2019
19,3.6,2021-02-23,2020-12,127.07,3049434000,FY2020,2020
20,3.8,2022-02-22,2021-12,158.35,2944149000,FY2021,2021
21,4.0,2023-02-21,2022-12,134.1,2934258000,FY2022,2022
22,4.1,2024-02-16,2023-12,170.1,2876659000,FY2023,2023
23,4.8,2025-02-14,2024-12,239.71,2797620000,FY2024,2024
