,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0.34,2002-05-15,2002-03,35.65,1990166000,0,22246000000,-9624000000,-12558000000,-27000000,37000000,0,-336000000,-336000000,40274000000,34554000000,-5720000000,-684000000,-11288000000,0,0,0,0,0,0,0,-15191000000,-59755000000,44564000000,5567000000,0,0,0,-15709000000,631000000,0,0,982000000,1538000000,-15709000000,0,0,0,FY2002.FQ1,1
1,0.34,2002-08-12,2002-06,33.92,1993369000,0,16605000000,3375000000,-20795000000,56000000,-759000000,0,290000000,290000000,7063000000,5120000000,-1943000000,-690000000,11885000000,0,0,0,0,0,0,0,4445000000,-38050000000,42495000000,-1070000000,0,0,0,-23417000000,828000000,0,0,1028000000,766000000,-23417000000,0,0,0,FY2002.FQ2,2
2,0.34,2002-11-14,2002-09,18.99,1995862000,0,-21465000000,-7676000000,25093000000,329000000,-3719000000,0,-20000000,-20000000,0,-18657000000,-18657000000,-712000000,-2076000000,0,0,0,0,0,0,0,-5068000000,-75768000000,70700000000,-2608000000,0,0,0,23050000000,529000000,0,0,40000000,1474000000,23050000000,0,0,0,FY2002.FQ3,3
3,0.34,2003-03-19,2002-12,24.0,1998707000,0,27257000000,-9419000000,-16874000000,95000000,1059000000,0,241000000,241000000,16167000000,15132000000,-1035000000,-698000000,12582000000,0,0,0,0,0,0,0,-6291000000,-73096000000,66805000000,-3128000000,0,0,0,-20820000000,1438000000,0,0,-387000000,2895000000,-20820000000,0,0,0,FY2002.FQ4,4
4,0.34,2003-05-14,2003-03,23.71,2030038000,0,-9545000000,-6096000000,18606000000,46000000,3011000000,0,205000000,205000000,6636000000,-5149000000,-11785000000,-696000000,-3905000000,0,0,0,0,0,0,0,-6219000000,-101462000000,95243000000,123000000,0,0,0,15345000000,1060000000,0,0,1400000000,801000000,15345000000,0,0,0,FY2003.FQ1,1
5,0.34,2003-08-12,2003-06,34.18,2035112000,0,11417000000,-10135000000,-322000000,209000000,1169000000,0,462000000,462000000,2362000000,-5863000000,-8225000000,-726000000,17544000000,0,0,0,0,0,0,0,3533000000,-88071000000,91604000000,-13668000000,0,0,0,-2790000000,1090000000,0,0,1827000000,-449000000,-2790000000,0,0,0,FY2003.FQ2,2
6,0.34,2003-11-12,2003-09,34.33,2039170000,0,-26171000000,1449000000,19898000000,11000000,-4813000000,0,335000000,335000000,2044000000,-21202000000,-23246000000,-714000000,-4590000000,0,0,0,0,0,0,0,-568000000,-92609000000,92041000000,2017000000,0,0,0,17875000000,190000000,0,0,1628000000,205000000,17875000000,0,0,0,FY2003.FQ3,3
7,0.34,2004-02-18,2003-12,36.73,2042620000,0,-1952000000,27200000000,-23581000000,16000000,1683000000,0,211000000,211000000,6153000000,-14369000000,-20522000000,-729000000,12935000000,0,0,0,0,0,0,0,16627000000,-30771000000,47398000000,10573000000,0,0,0,-27257000000,761000000,0,0,1864000000,1051000000,-27257000000,0,0,0,FY2003.FQ4,4
8,0.34,2004-05-10,2004-03,41.95,2081686000,0,49384000000,-41954000000,-8359000000,80000000,-849000000,0,543000000,543000000,41957000000,39152000000,-2805000000,-720000000,10409000000,0,0,0,0,0,0,0,-12657000000,-65445000000,52788000000,-29297000000,0,0,0,-11457000000,762000000,796000000,0,1930000000,-390000000,-11457000000,0,0,0,FY2004.FQ1,1
9,0.34,2004-08-09,2004-06,38.77,2087505000,0,38703000000,-29942000000,-4500000000,-155000000,4106000000,0,209000000,209000000,9886000000,7097000000,-2789000000,-734000000,32131000000,0,0,0,0,0,0,0,-17944000000,-48230000000,30286000000,-11998000000,0,0,0,-7245000000,671000000,-1243000000,0,-548000000,3865000000,-7245000000,0,0,0,FY2004.FQ2,2
