,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,cash_and_equiv_growth,cf_cfo_cagr_10,debt_to_equity,debt_to_equity_median,deposits_cagr_10,deposits_growth,dividends_per_share_cagr_10,dividends_per_share_growth,earning_assets,earning_assets_cagr_10,earning_assets_growth,earning_assets_to_equity,earning_assets_to_equity_median,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,equity_to_assets_median,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_per_share,income_tax_rate,loan_loss_reserve_to_loans,loan_loss_reserve_to_loans_median,loans_gross_cagr_10,loans_gross_growth,loans_net_growth,loans_to_deposits,loans_to_deposits_median,market_cap,net_debt,net_income_growth,net_income_margin,net_interest_income_cagr_10,net_interest_income_growth,net_interest_margin,nim_median,payout_ratio,peg_ratio,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0.34,2002-05-15,2002-03,35.65,1990166000,17.3228,16.4167,40122000000,20.0029,0.0651,0.0,2.029,1.8748,0.0253,0.0347,0.0221,0.0,565748000000,0.0626,-0.0282,13.7547,13.2258,2118000000,-0.1885,0.2787,1.0559,81382417900,2.0283,55.0998,-15.5043,2.866,3.4712,-0.0619,-0.1724,0.0577,0.0609,-12558000000,0.0,-0.2056,-1.6528,-6.2608,0.3396,0.0233,0.0187,0.0214,-0.0103,-0.0167,0.7607,0.7936,70949417900,51127000000,-0.1809,0.1292,0.0303,0.2105,0.0202,0.0205,0.7083,-7.7523,-0.209,0.7413,0.1957,0.2107,1.7683,48.0361,-13.5167,2.4986,3.0262,0.0388,-0.0873,3.788,0.0021,0.0084,0.0053,0.0359,0.1364,0.0123,0.069718844518377,0.0172,0.0459,-0.0129,16783000.0,0.0085,11.6886,23445000000,0.0674,-0.0015,0.0603,-0.0634,FY2002.FQ1,1
1,0.34,2002-08-12,2002-06,33.92,1993369000,17.3283,16.4167,41727000000,20.6979,-0.1031,0.0,1.8652,1.9197,0.0197,0.0615,0.0221,0.0,597090000000,0.0558,0.0281,13.9715,13.2258,2387000000,0.9312,0.3151,1.184,83022076480,1.9896,39.0324,-3.9624,2.8531,3.1675,-0.1634,1.7777,0.0577,0.0609,-20795000000,0.0,-3.0838,-2.7455,-10.3149,0.3406,0.0234,0.0187,0.0187,-0.0273,-0.0423,0.7279,0.7936,67615076480,47320000000,1.7195,0.1357,-0.0263,0.0363,0.0196,0.0199,0.68,-1.9444,1.6649,0.7733,0.2058,0.2007,1.6204,31.7889,-3.2271,2.3237,2.5797,-0.0659,0.1023,3.7569,0.0029,0.006,0.0076,0.0507,0.1001,0.0172,0.069718844518377,0.0233,0.0322,-0.0086,3203000.0,0.0016,13.0009,26210000000,0.0619,0.039,0.0586,-0.0055,FY2002.FQ2,2
2,0.34,2002-11-14,2002-09,18.99,1995862000,17.0766,16.6182,42428000000,21.1505,-0.001,0.0,1.6339,1.9197,0.0327,0.0375,0.006,0.0,606861000000,0.0655,-0.0197,13.971,13.3847,589000000,-0.5738,0.0847,0.2936,50847419380,1.1984,29.5968,2.0055,1.7719,1.7493,-0.3727,-0.9545,0.0585,0.0601,25093000000,0.0,2.1829,3.612,12.5089,0.3333,0.0246,0.0187,0.0197,-0.0442,-0.0601,0.7304,0.7831,37901419380,39367000000,-0.9109,0.0057,0.0125,0.0289,0.019,0.0193,34.0,-0.5919,-0.9103,0.0299,0.0086,0.1616,0.8933,22.0613,1.4949,1.3207,1.3039,-0.023,-0.0547,3.4631,0.0023,0.0043,0.0061,0.0398,0.075,0.0145,0.069718844518377,0.0198,0.0246,-0.0073,2493000.0,0.0012,14.4895,29066000000,0.0659,-0.0719,0.0588,0.0035,FY2002.FQ3,3
3,0.34,2003-03-19,2002-12,24.0,1998707000,17.9359,16.8647,41297000000,20.3133,-0.2032,0.0,1.6717,1.9197,0.031,0.0378,0.006,0.0,621549000000,0.0662,0.131,14.6917,13.6337,851000000,2.7161,0.1135,0.4185,64998968000,1.5739,39.0853,-2.586,2.1948,2.289,0.0,-0.1764,0.0557,0.0593,-16874000000,0.0,-1.502,-2.2513,-8.3,0.0,0.0245,0.0194,0.0193,-0.0046,-0.0089,0.7161,0.767,47968968000,42567000000,-0.1656,-0.0516,0.047,0.234,0.0198,0.0193,-1.7,0.0,-0.0334,-0.2887,-0.0783,0.1093,1.1615,28.8448,-1.9085,1.6198,1.6893,-0.0052,0.1395,3.6866,0.0022,0.0032,0.0061,0.0387,0.0574,0.0146,0.069718844518377,0.0198,0.0192,0.0126,2845000.0,0.0014,13.967,28395000000,0.0671,0.094,0.0522,0.0157,FY2002.FQ4,4
4,0.34,2003-05-14,2003-03,23.71,2030038000,17.5275,17.1997,42075000000,20.8086,-0.099,0.0,1.7448,1.9197,0.0273,0.066,0.006,0.0,614364000000,0.0584,0.0859,14.2596,13.8629,3182000000,0.5023,0.3785,1.5736,67297200980,1.5994,32.3388,11.1603,2.2121,2.3032,0.0,0.4375,0.057,0.0581,18606000000,0.0,2.4816,2.2134,9.2017,0.3402,0.0237,0.0219,0.0137,0.022,0.0129,0.7292,0.7537,48132200980,46052000000,0.4256,0.1665,0.0321,0.0983,0.0201,0.0193,0.4927,0.0,0.427,1.0494,0.2524,0.1093,1.1439,23.1293,7.9821,1.5821,1.6472,0.0085,0.1063,4.1572,0.0027,0.0028,0.0075,0.0487,0.0497,0.0179,0.069718844518377,0.0239,0.0176,0.008,31331000.0,0.0156,14.4505,29219000000,0.0589,0.0598,0.0368,0.0474,FY2003.FQ1,1
5,0.34,2003-08-12,2003-06,34.18,2035112000,17.9068,17.3256,43812000000,21.3612,0.043,0.0,1.6616,1.8203,0.0131,0.0831,0.006,0.0,627179000000,0.0095,0.0503,13.9929,13.9713,3857000000,0.6158,0.4269,1.8805,85687128160,1.9557,29.7524,3.2331,2.6876,2.7418,0.0959,0.78,0.0558,0.0577,-322000000,0.0,0.9845,-0.0356,-0.1569,0.3397,0.0222,0.0227,0.0058,0.0705,0.0735,0.7195,0.7385,69560128160,40685000000,0.7772,0.2022,0.0221,0.0628,0.0203,0.0193,0.382,2.517,0.7748,1.349,0.3062,0.1433,1.5876,24.1528,2.6246,2.1817,2.2257,0.0056,0.1927,4.4046,0.0036,0.0028,0.0101,0.0655,0.0497,0.0242,0.069718844518377,0.0329,0.0176,0.0173,5074000.0,0.0024,15.2374,31252000000,0.0115,0.0837,-0.0043,0.0487,FY2003.FQ2,2
6,0.34,2003-11-12,2003-09,34.33,2039170000,12.5118,17.3256,62347000000,30.1484,-0.0765,0.0,1.6376,1.7601,0.0141,0.0734,0.0,0.0,607350000000,0.0042,0.0008,9.5863,13.9713,2620000000,3.4482,0.3381,1.2669,91479706100,1.4672,20.4744,4.2932,2.7989,1.8739,0.03,77.0,0.0799,0.0577,19898000000,0.0,-0.207,2.5681,9.6218,0.33,0.02,0.0227,0.0092,0.1133,0.1223,0.7575,0.7385,70004706100,44439000000,39.7,0.2101,0.0234,0.114,0.0209,0.0197,0.4358,5.2105,39.5,1.175,0.3136,0.1433,1.1228,15.668,3.2853,2.1419,1.434,-0.0071,0.1153,3.7466,0.0056,0.0028,0.0151,0.0995,0.0497,0.0348,0.069718844518377,0.0462,0.0176,0.0309,4058000.0,0.0019,23.6058,48817000000,0.0105,0.0686,0.0373,0.4585,FY2003.FQ3,3
7,0.34,2004-02-18,2003-12,36.73,2042620000,13.1894,17.3256,57440000000,27.6286,0.081,0.0,1.6897,1.7173,0.0166,0.0713,0.0,0.0,613450000000,0.0054,-0.013,10.4954,13.9713,3470000000,3.0775,0.43,1.669,99364432600,1.7298,14.7885,6.8053,2.9878,2.3407,0.1733,5.45,0.0758,0.0577,-23581000000,0.0,-0.3974,-2.9227,-11.3424,0.3119,0.0204,0.0227,0.0004,0.0117,0.0188,0.6763,0.7298,75025432600,47548000000,5.8165,0.231,0.0079,-0.1712,0.0202,0.02,0.382,0.6442,5.6149,1.303,0.3357,0.2007,1.3061,11.1661,5.1383,2.2559,1.7674,0.0161,0.0764,3.8807,0.0085,0.0028,0.0219,0.1474,0.0497,0.0491,0.069718844518377,0.0628,0.0176,0.0226,3450000.0,0.0016,20.4179,42449000000,0.0078,0.0159,0.0312,0.3815,FY2003.FQ4,4
8,0.34,2004-05-10,2004-03,41.95,2081686000,14.3964,17.1997,54635000000,26.1036,0.889,0.0,1.7084,1.6991,0.018,0.1204,0.0,0.0,649427000000,0.0047,0.057,11.6711,13.8629,3665000000,0.1517,0.4082,1.751,89101727700,1.6308,12.2915,-7.2065,2.634,2.2303,0.1538,0.3333,0.0694,0.0581,-8359000000,0.0,-1.4492,-0.9311,-3.9937,0.3351,0.0188,0.0227,-0.002,-0.0026,0.0059,0.6491,0.7286,87326727700,27161000000,0.3785,0.2149,0.0062,-0.1197,0.0189,0.02,0.3695,0.7831,0.368,1.387,0.3233,0.2291,1.5983,12.0467,-7.0629,2.5815,2.1859,0.0202,0.0679,4.289,0.0092,0.0028,0.023,0.1538,0.0497,0.0528,0.069718844518377,0.0767,0.0176,0.0351,39066000.0,0.0191,19.0874,39950000000,0.0002,0.0608,0.0254,0.2915,FY2004.FQ1,1
9,0.34,2004-08-09,2004-06,38.77,2087505000,15.5755,17.1997,51494000000,25.2075,0.8543,0.0,1.836,1.6991,0.0166,0.0888,0.0,0.0,642743000000,0.0157,0.0248,12.242,13.8629,-404000000,-1.1047,-0.0468,-0.1977,77887568850,1.5125,15.9802,-4.7084,2.3302,2.2024,0.0,-1.3033,0.0642,0.0581,-4500000000,0.0,-12.9751,-0.5213,-2.2028,0.0,0.0175,0.0227,0.003,-0.0133,-0.0015,0.6519,0.7237,80932568850,21690000000,-1.2999,-0.0634,0.0016,-0.0225,0.0183,0.02,-1.2592,0.0,-1.3885,-0.5262,-0.1245,0.2291,1.5716,16.6049,-4.8925,2.4213,2.2885,0.0275,-0.0446,4.225,0.006,0.0033,0.0145,0.1036,0.0581,0.0354,0.069718844518377,0.062,0.0211,-0.0039,5818999.9999998,0.0027,17.3115,35364000000,0.0166,0.0188,0.0234,0.1713,FY2004.FQ2,2
