,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,credit_losses_provision,da_income_statement_supplemental,eps_basic,eps_diluted,income_allocated_to_minority_interest,income_tax,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income,net_interest_income_after_credit_losses_provision,preferred_dividends,pretax_income,revenue,shares_basic,shares_diluted,special_charges,total_interest_expense,total_interest_income,total_noninterest_expense,total_noninterest_revenue,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0.34,2002-05-15,2002-03,35.65,1990166000,4112000000,753000000,631000000,0.49,0.48,0,-505000000,982000000,969000000,982000000,0,2927000000,2174000000,13000000,1487000000,7598000000,1978200000,2005800000,255000000,3359000000,6286000000,5103000000,4671000000,8462000000,FY2002.FQ1,1
1,0.34,2002-08-12,2002-06,33.92,1993369000,4437000000,821000000,828000000,0.51,0.5,0,-531000000,1028000000,1015000000,1028000000,0,2882000000,2061000000,13000000,1559000000,7574000000,1982600000,2016000000,229000000,3616000000,6498000000,4965000000,4692000000,8581000000,FY2002.FQ2,2
2,0.34,2002-11-14,2002-09,18.99,1995862000,5416000000,1836000000,529000000,0.01,0.01,0,-20000000,40000000,27000000,40000000,0,2736000000,900000000,13000000,60000000,6947000000,1986000000,2006000000,333000000,3580000000,6316000000,4718000000,4211000000,8298000000,FY2002.FQ3,3
3,0.34,2003-03-19,2002-12,24.0,1998707000,4124000000,921000000,1438000000,-0.2,-0.2,0,200000000,-387000000,-399000000,-387000000,0,3633000000,2712000000,12000000,-587000000,7495000000,2014494000,2033000000,1693000000,3203000000,6836000000,5468000000,3862000000,8671000000,FY2002.FQ4,4
4,0.34,2003-05-14,2003-03,23.71,2030038000,3791000000,743000000,1060000000,0.69,0.69,0,-722000000,1400000000,1387000000,1400000000,0,3215000000,2472000000,13000000,2122000000,8406000000,2000000000,2022000000,0,3048000000,6263000000,5541000000,5191000000,8589000000,FY2003.FQ1,1
5,0.34,2003-08-12,2003-06,34.18,2035112000,3243000000,435000000,1090000000,0.9,0.89,0,-940000000,1827000000,1815000000,1827000000,0,3063000000,2628000000,12000000,2767000000,9034000000,2006000000,2051000000,100000000,2808000000,5871000000,5732000000,5971000000,8540000000,FY2003.FQ2,2
6,0.34,2003-11-12,2003-09,34.33,2039170000,2871000000,223000000,190000000,0.8,0.78,0,-802000000,1628000000,1615000000,1628000000,0,3048000000,2825000000,13000000,2430000000,7748000000,2012000000,2068000000,0,2648000000,5696000000,5095000000,4700000000,7743000000,FY2003.FQ3,3
7,0.34,2004-02-18,2003-12,36.73,2042620000,2742000000,139000000,761000000,0.92,0.89,0,-845000000,1864000000,1851000000,1864000000,0,3011000000,2872000000,13000000,2709000000,8068000000,2018000000,2079000000,0,2603000000,5614000000,5220000000,5057000000,7823000000,FY2003.FQ4,4
8,0.34,2004-05-10,2004-03,41.95,2081686000,2663000000,15000000,762000000,0.94,0.92,0,-973000000,1930000000,1917000000,1930000000,0,2830000000,2815000000,13000000,2903000000,8977000000,2032000000,2093000000,0,2648000000,5478000000,6059000000,6147000000,8707000000,FY2004.FQ1,1
9,0.34,2004-08-09,2004-06,38.77,2087505000,2823000000,203000000,671000000,-0.27,-0.27,0,527000000,-548000000,-561000000,-548000000,0,2994000000,2791000000,13000000,-1075000000,8631000000,2042800000,2042800000,3790000000,2620000000,5614000000,5713000000,5637000000,8333000000,FY2004.FQ2,2
10,0.34,2004-11-09,2004-09,39.73,3564070000,5210000000,1169000000,1171000000,0.4,0.39,0,-541000000,1418000000,1405000000,1418000000,0,5452000000,4283000000,13000000,1959000000,12505000000,3513500000,3592000000,752000000,4041000000,9493000000,8625000000,7053000000,12666000000,FY2004.FQ3,3
11,0.34,2005-03-02,2004-12,39.01,3556191000,5789000000,1157000000,1231000000,0.5,0.49,0,-609000000,1666000000,1653000000,1460000000,0,5095000000,3938000000,13000000,2069000000,12225000000,3520700000,3608500000,-3177000000,4632000000,9727000000,12176000000,7130000000,16808000000,FY2004.FQ4,4
12,0.34,2005-05-05,2005-03,34.6,3525298000,5834000000,427000000,1165000000,0.64,0.63,0,-1019000000,2264000000,2259000000,2264000000,0,5225000000,4798000000,5000000,3283000000,13647000000,3517500000,3569800000,1045000000,5407000000,10632000000,8892000000,8422000000,14299000000,FY2005.FQ1,1
13,0.34,2005-08-08,2005-06,35.32,3513944000,6471000000,587000000,1056000000,0.28,0.28,0,-226000000,994000000,991000000,937000000,57000000,4932000000,4345000000,3000000,1163000000,12548000000,3493000000,3548300000,279000000,5884000000,10816000000,10519000000,7616000000,16403000000,FY2005.FQ2,2
14,0.34,2005-11-09,2005-09,33.93,3503407000,7752000000,1245000000,1034000000,0.72,0.71,0,-1192000000,2527000000,2524000000,2469000000,58000000,4783000000,3538000000,3000000,3661000000,14265000000,3485000000,3547700000,221000000,6507000000,11290000000,9138000000,9482000000,15645000000,FY2005.FQ3,3
15,0.34,2006-03-09,2005-12,39.69,3486689000,9002000000,1224000000,1063000000,0.78,0.76,0,-1186000000,2698000000,2696000000,2642000000,56000000,4678000000,3454000000,2000000,3828000000,13982000000,3472800000,3562700000,77000000,7778000000,12456000000,8853000000,9304000000,16631000000,FY2005.FQ4,4
16,0.34,2006-05-08,2006-03,41.64,3472950000,9072000000,831000000,837000000,0.89,0.86,0,-1572000000,3081000000,3077000000,3081000000,0,5060000000,4229000000,4000000,4653000000,15236000000,3472700000,3570800000,71000000,8241000000,13301000000,9681000000,10176000000,17922000000,FY2006.FQ1,1
17,0.34,2006-08-09,2006-06,42.0,3470582000,9932000000,493000000,883000000,1.02,0.99,0,-1727000000,3540000000,3540000000,3484000000,56000000,5178000000,4685000000,0,5211000000,14940000000,3473800000,3572200000,86000000,9439000000,14617000000,9150000000,9762000000,18589000000,FY2006.FQ2,2
